# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,21,23,15,
(0,1),-6.54648 # DEPENDENCYPART_ARC
(0,2),-6.79291 # DEPENDENCYPART_ARC
(0,3),-6.1885 # DEPENDENCYPART_ARC
(0,4),-6.64773 # DEPENDENCYPART_ARC
(0,5),-7.19581 # DEPENDENCYPART_ARC
(0,6),-7.88077 # DEPENDENCYPART_ARC
(0,7),-6.70198 # DEPENDENCYPART_ARC
(0,8),-6.48004 # DEPENDENCYPART_ARC
(0,9),-5.40742 # DEPENDENCYPART_ARC
(0,10),-2.76711 # DEPENDENCYPART_ARC
(0,11),-7.14115 # DEPENDENCYPART_ARC
(0,12),-8.01429 # DEPENDENCYPART_ARC
(0,13),-7.9817 # DEPENDENCYPART_ARC
(0,14),-6.17357 # DEPENDENCYPART_ARC
(0,15),-3.2763 # DEPENDENCYPART_ARC
(0,16),-4.71822 # DEPENDENCYPART_ARC
(0,17),-8.21816 # DEPENDENCYPART_ARC
(0,18),-7.01668 # DEPENDENCYPART_ARC
(0,19),-5.74628 # DEPENDENCYPART_ARC
(0,20),-8.8302 # DEPENDENCYPART_ARC
(0,21),-3.04689 # DEPENDENCYPART_ARC
(0,22),-9.20678 # DEPENDENCYPART_ARC
(0,23),-8.91939 # DEPENDENCYPART_ARC
(0,24),-9.64034 # DEPENDENCYPART_ARC
(0,25),-6.01281 # DEPENDENCYPART_ARC
(1,2),0.638928 # DEPENDENCYPART_ARC
(1,3),3.8747 # DEPENDENCYPART_ARC
(1,4),0.917281 # DEPENDENCYPART_ARC
(1,5),0.109646 # DEPENDENCYPART_ARC
(1,6),-0.23691 # DEPENDENCYPART_ARC
(1,7),0.0166686 # DEPENDENCYPART_ARC
(1,8),0.244889 # DEPENDENCYPART_ARC
(1,9),-0.358681 # DEPENDENCYPART_ARC
(1,10),-0.181096 # DEPENDENCYPART_ARC
(1,11),0.852174 # DEPENDENCYPART_ARC
(1,12),-0.999915 # DEPENDENCYPART_ARC
(1,13),-3.00745 # DEPENDENCYPART_ARC
(1,14),-3.26031 # DEPENDENCYPART_ARC
(1,15),-2.39806 # DEPENDENCYPART_ARC
(1,16),-0.592659 # DEPENDENCYPART_ARC
(1,17),-3.49395 # DEPENDENCYPART_ARC
(1,18),-0.97698 # DEPENDENCYPART_ARC
(1,19),-6.21813 # DEPENDENCYPART_ARC
(1,20),-1.93394 # DEPENDENCYPART_ARC
(1,21),-5.40093 # DEPENDENCYPART_ARC
(1,22),-0.958554 # DEPENDENCYPART_ARC
(1,23),-1.76619 # DEPENDENCYPART_ARC
(1,24),-2.19815 # DEPENDENCYPART_ARC
(1,25),3.28412 # DEPENDENCYPART_ARC
(2,1),-1.47154 # DEPENDENCYPART_ARC
(2,3),-0.883698 # DEPENDENCYPART_ARC
(2,4),-1.44491 # DEPENDENCYPART_ARC
(2,5),-1.78213 # DEPENDENCYPART_ARC
