# _root_ ADT , a security services and auctions company , trades on London 's Stock Exchange .
#goldHeads=10,1,5,5,1,5,8,6,1,0,10,15,12,15,11,10,
#predictedHeads=10,1,5,5,1,5,8,6,1,0,10,15,12,15,11,10,
(0,1),-6.47587 # DEPENDENCYPART_ARC
(0,2),-6.91576 # DEPENDENCYPART_ARC
(0,3),-7.06315 # DEPENDENCYPART_ARC
(0,4),-6.47079 # DEPENDENCYPART_ARC
(0,5),-6.48536 # DEPENDENCYPART_ARC
(0,6),-7.67336 # DEPENDENCYPART_ARC
(0,7),-6.28492 # DEPENDENCYPART_ARC
(0,8),-6.67926 # DEPENDENCYPART_ARC
(0,9),-7.48791 # DEPENDENCYPART_ARC
(0,10),-2.19858 # DEPENDENCYPART_ARC
(0,11),-7.68844 # DEPENDENCYPART_ARC
(0,12),-7.31967 # DEPENDENCYPART_ARC
(0,13),-8.47306 # DEPENDENCYPART_ARC
(0,14),-7.47786 # DEPENDENCYPART_ARC
(0,15),-6.24263 # DEPENDENCYPART_ARC
(0,16),-5.68472 # DEPENDENCYPART_ARC
(1,2),3.47423 # DEPENDENCYPART_ARC
(1,3),0.981711 # DEPENDENCYPART_ARC
(1,4),2.0538 # DEPENDENCYPART_ARC
(1,5),1.38405 # DEPENDENCYPART_ARC
(1,6),0.855001 # DEPENDENCYPART_ARC
(1,7),0.450042 # DEPENDENCYPART_ARC
(1,8),1.76862 # DEPENDENCYPART_ARC
(1,9),3.4829 # DEPENDENCYPART_ARC
(1,10),0.292631 # DEPENDENCYPART_ARC
(1,11),0.306026 # DEPENDENCYPART_ARC
(1,12),-1.44137 # DEPENDENCYPART_ARC
(1,13),-0.251273 # DEPENDENCYPART_ARC
(1,14),-1.17337 # DEPENDENCYPART_ARC
(1,15),-0.732383 # DEPENDENCYPART_ARC
(1,16),1.23264 # DEPENDENCYPART_ARC
(2,1),-1.14552 # DEPENDENCYPART_ARC
(2,3),-0.365622 # DEPENDENCYPART_ARC
(2,4),-1.01868 # DEPENDENCYPART_ARC
(2,5),-1.21489 # DEPENDENCYPART_ARC
(2,6),-1.28563 # DEPENDENCYPART_ARC
(2,7),-1.64463 # DEPENDENCYPART_ARC
(2,8),-2.10503 # DEPENDENCYPART_ARC
(2,9),-0.221337 # DEPENDENCYPART_ARC
(2,10),-1.53434 # DEPENDENCYPART_ARC
(2,11),-1.5729 # DEPENDENCYPART_ARC
(2,12),-2.20387 # DEPENDENCYPART_ARC
(2,13),-2.24193 # DEPENDENCYPART_ARC
(2,14),-2.48881 # DEPENDENCYPART_ARC
(2,15),-2.59306 # DEPENDENCYPART_ARC
(2,16),-1.82145 # DEPENDENCYPART_ARC
(3,1),-1.04528 # DEPENDENCYPART_ARC
(3,2),-0.128783 # DEPENDENCYPART_ARC
(3,4),0.858928 # DEPENDENCYPART_ARC
(3,5),-0.0961858 # DEPENDENCYPART_ARC
(3,6),0.144772 # DEPENDENCYPART_ARC
(3,7),-0.606661 # DEPENDENCYPART_ARC
(3,8),-0.603304 # DEPENDENCYPART_ARC
(3,9),0.269137 # DEPENDENCYPART_ARC
(3,10),-0.644442 # DEPENDENCYPART_ARC
(3,11),-1.20821 # DEPENDENCYPART_ARC
(3,12),-1.428 # DEPENDENCYPART_ARC
(3,13),-1.89967 # DEPENDENCYPART_ARC
(3,14),-1.71103 # DEPENDENCYPART_ARC
(3,15),-1.7125 # DEPENDENCYPART_ARC
(3,16),-0.946436 # DEPENDENCYPART_ARC
(4,1),-2.5685 # DEPENDENCYPART_ARC
(4,2),-0.87981 # DEPENDENCYPART_ARC
(4,3),1.86627 # DEPENDENCYPART_ARC
(4,5),1.12695 # DEPENDENCYPART_ARC
(4,6),0.461291 # DEPENDENCYPART_ARC
(4,7),-0.256425 # DEPENDENCYPART_ARC
(4,8),-0.996774 # DEPENDENCYPART_ARC
(4,9),0.467785 # DEPENDENCYPART_ARC
(4,10),-0.146299 # DEPENDENCYPART_ARC
(4,11),-0.676831 # DEPENDENCYPART_ARC
(4,12),-1.70503 # DEPENDENCYPART_ARC
(4,13),-1.00481 # DEPENDENCYPART_ARC
(4,14),-1.86962 # DEPENDENCYPART_ARC
(4,15),-1.87104 # DEPENDENCYPART_ARC
(4,16),-0.172785 # DEPENDENCYPART_ARC
(5,1),0.856048 # DEPENDENCYPART_ARC
(5,2),1.12877 # DEPENDENCYPART_ARC
(5,3),3.75653 # DEPENDENCYPART_ARC
(5,4),4.90461 # DEPENDENCYPART_ARC
(5,6),3.83527 # DEPENDENCYPART_ARC
(5,7),0.997891 # DEPENDENCYPART_ARC
(5,8),0.84069 # DEPENDENCYPART_ARC
(5,9),1.11484 # DEPENDENCYPART_ARC
(5,10),0.671505 # DEPENDENCYPART_ARC
(5,11),0.532941 # DEPENDENCYPART_ARC
(5,12),0.109082 # DEPENDENCYPART_ARC
(5,13),0.177046 # DEPENDENCYPART_ARC
(5,14),-0.0961856 # DEPENDENCYPART_ARC
(5,15),0.12015 # DEPENDENCYPART_ARC
(5,16),1.44374 # DEPENDENCYPART_ARC
(6,1),-0.734301 # DEPENDENCYPART_ARC
(6,2),-1.32708 # DEPENDENCYPART_ARC
(6,3),-0.44923 # DEPENDENCYPART_ARC
(6,4),-0.642332 # DEPENDENCYPART_ARC
(6,5),0.0348824 # DEPENDENCYPART_ARC
(6,7),3.2094 # DEPENDENCYPART_ARC
(6,8),3.00883 # DEPENDENCYPART_ARC
(6,9),0.734938 # DEPENDENCYPART_ARC
(6,10),0.419823 # DEPENDENCYPART_ARC
(6,11),-0.723564 # DEPENDENCYPART_ARC
(6,12),-1.99351 # DEPENDENCYPART_ARC
(6,13),-1.29367 # DEPENDENCYPART_ARC
(6,14),-1.76743 # DEPENDENCYPART_ARC
(6,15),-1.61281 # DEPENDENCYPART_ARC
(6,16),0.0279927 # DEPENDENCYPART_ARC
(7,1),-3.37911 # DEPENDENCYPART_ARC
(7,2),-2.57818 # DEPENDENCYPART_ARC
(7,3),-0.958986 # DEPENDENCYPART_ARC
(7,4),-0.740276 # DEPENDENCYPART_ARC
(7,5),-1.41922 # DEPENDENCYPART_ARC
(7,6),-0.906815 # DEPENDENCYPART_ARC
(7,8),0.753639 # DEPENDENCYPART_ARC
(7,9),-0.678475 # DEPENDENCYPART_ARC
(7,10),-0.439422 # DEPENDENCYPART_ARC
(7,11),-0.700355 # DEPENDENCYPART_ARC
(7,12),-1.41738 # DEPENDENCYPART_ARC
(7,13),-1.02361 # DEPENDENCYPART_ARC
(7,14),-1.83124 # DEPENDENCYPART_ARC
(7,15),-1.83414 # DEPENDENCYPART_ARC
(7,16),-0.827876 # DEPENDENCYPART_ARC
(8,1),-0.784125 # DEPENDENCYPART_ARC
(8,2),-0.511137 # DEPENDENCYPART_ARC
(8,3),2.77066 # DEPENDENCYPART_ARC
(8,4),3.1571 # DEPENDENCYPART_ARC
(8,5),1.60338 # DEPENDENCYPART_ARC
(8,6),0.97451 # DEPENDENCYPART_ARC
(8,7),3.89995 # DEPENDENCYPART_ARC
(8,9),1.27342 # DEPENDENCYPART_ARC
(8,10),0.353291 # DEPENDENCYPART_ARC
(8,11),-1.0833 # DEPENDENCYPART_ARC
(8,12),-0.865166 # DEPENDENCYPART_ARC
(8,13),-0.488072 # DEPENDENCYPART_ARC
(8,14),-0.697316 # DEPENDENCYPART_ARC
(8,15),-0.903943 # DEPENDENCYPART_ARC
(8,16),-0.749425 # DEPENDENCYPART_ARC
(9,1),-1.98891 # DEPENDENCYPART_ARC
(9,2),0.0636321 # DEPENDENCYPART_ARC
(9,3),-0.975433 # DEPENDENCYPART_ARC
(9,4),-1.47887 # DEPENDENCYPART_ARC
(9,5),-1.51018 # DEPENDENCYPART_ARC
(9,6),-1.20616 # DEPENDENCYPART_ARC
(9,7),-1.24544 # DEPENDENCYPART_ARC
(9,8),-0.467533 # DEPENDENCYPART_ARC
(9,10),-0.1819 # DEPENDENCYPART_ARC
(9,11),-1.37648 # DEPENDENCYPART_ARC
(9,12),-1.31147 # DEPENDENCYPART_ARC
(9,13),-1.85867 # DEPENDENCYPART_ARC
(9,14),-1.76231 # DEPENDENCYPART_ARC
(9,15),-2.21437 # DEPENDENCYPART_ARC
(9,16),-1.6164 # DEPENDENCYPART_ARC
(10,1),2.10673 # DEPENDENCYPART_ARC
(10,2),0.850421 # DEPENDENCYPART_ARC
(10,3),0.544483 # DEPENDENCYPART_ARC
(10,4),1.83165 # DEPENDENCYPART_ARC
(10,5),0.295935 # DEPENDENCYPART_ARC
(10,6),0.955858 # DEPENDENCYPART_ARC
(10,7),1.02439 # DEPENDENCYPART_ARC
(10,8),1.85196 # DEPENDENCYPART_ARC
(10,9),2.04967 # DEPENDENCYPART_ARC
(10,11),3.81412 # DEPENDENCYPART_ARC
(10,12),0.585956 # DEPENDENCYPART_ARC
(10,13),0.514467 # DEPENDENCYPART_ARC
(10,14),0.462189 # DEPENDENCYPART_ARC
(10,15),0.6088 # DEPENDENCYPART_ARC
(10,16),4.57584 # DEPENDENCYPART_ARC
(11,1),-1.85902 # DEPENDENCYPART_ARC
(11,2),-1.74524 # DEPENDENCYPART_ARC
(11,3),-1.31456 # DEPENDENCYPART_ARC
(11,4),-1.67198 # DEPENDENCYPART_ARC
(11,5),-1.03997 # DEPENDENCYPART_ARC
(11,6),-1.78315 # DEPENDENCYPART_ARC
(11,7),-1.13692 # DEPENDENCYPART_ARC
(11,8),-1.33903 # DEPENDENCYPART_ARC
(11,9),-0.599674 # DEPENDENCYPART_ARC
(11,10),-0.0262129 # DEPENDENCYPART_ARC
(11,12),2.46998 # DEPENDENCYPART_ARC
(11,13),1.09189 # DEPENDENCYPART_ARC
(11,14),1.81459 # DEPENDENCYPART_ARC
(11,15),3.62159 # DEPENDENCYPART_ARC
(11,16),-0.198779 # DEPENDENCYPART_ARC
(12,1),-5.02607 # DEPENDENCYPART_ARC
(12,2),-2.69349 # DEPENDENCYPART_ARC
(12,3),-2.21534 # DEPENDENCYPART_ARC
(12,4),-2.15338 # DEPENDENCYPART_ARC
(12,5),-2.26336 # DEPENDENCYPART_ARC
(12,6),-2.74136 # DEPENDENCYPART_ARC
(12,7),-1.06679 # DEPENDENCYPART_ARC
(12,8),-1.89636 # DEPENDENCYPART_ARC
(12,9),-1.12945 # DEPENDENCYPART_ARC
(12,10),-0.569513 # DEPENDENCYPART_ARC
(12,11),0.531492 # DEPENDENCYPART_ARC
(12,13),3.4656 # DEPENDENCYPART_ARC
(12,14),0.488077 # DEPENDENCYPART_ARC
(12,15),0.209401 # DEPENDENCYPART_ARC
(12,16),-1.00191 # DEPENDENCYPART_ARC
(13,1),-1.88817 # DEPENDENCYPART_ARC
(13,2),-1.86414 # DEPENDENCYPART_ARC
(13,3),-1.11509 # DEPENDENCYPART_ARC
(13,4),-2.17515 # DEPENDENCYPART_ARC
(13,5),-1.45438 # DEPENDENCYPART_ARC
(13,6),-1.58532 # DEPENDENCYPART_ARC
(13,7),-1.14172 # DEPENDENCYPART_ARC
(13,8),-1.42139 # DEPENDENCYPART_ARC
(13,9),-0.571231 # DEPENDENCYPART_ARC
(13,10),-0.465214 # DEPENDENCYPART_ARC
(13,11),-0.207606 # DEPENDENCYPART_ARC
(13,12),1.00244 # DEPENDENCYPART_ARC
(13,14),-0.131522 # DEPENDENCYPART_ARC
(13,15),-0.701521 # DEPENDENCYPART_ARC
(13,16),-1.08267 # DEPENDENCYPART_ARC
(14,1),-5.02638 # DEPENDENCYPART_ARC
(14,2),-3.13097 # DEPENDENCYPART_ARC
(14,3),-3.65318 # DEPENDENCYPART_ARC
(14,4),-1.52091 # DEPENDENCYPART_ARC
(14,5),-2.0293 # DEPENDENCYPART_ARC
(14,6),-2.91655 # DEPENDENCYPART_ARC
(14,7),-1.2483 # DEPENDENCYPART_ARC
(14,8),-2.08479 # DEPENDENCYPART_ARC
(14,9),-1.6481 # DEPENDENCYPART_ARC
(14,10),-1.29996 # DEPENDENCYPART_ARC
(14,11),-1.00875 # DEPENDENCYPART_ARC
(14,12),2.49539 # DEPENDENCYPART_ARC
(14,13),0.253875 # DEPENDENCYPART_ARC
(14,15),1.50823 # DEPENDENCYPART_ARC
(14,16),-0.46267 # DEPENDENCYPART_ARC
(15,1),-2.15487 # DEPENDENCYPART_ARC
(15,2),-1.10813 # DEPENDENCYPART_ARC
(15,3),-1.2423 # DEPENDENCYPART_ARC
(15,4),-0.0862986 # DEPENDENCYPART_ARC
(15,5),-0.0273509 # DEPENDENCYPART_ARC
(15,6),-1.12692 # DEPENDENCYPART_ARC
