# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(0,1),-5.85274 # DEPENDENCYPART_ARC
(0,2),-6.52286 # DEPENDENCYPART_ARC
(0,3),-6.49685 # DEPENDENCYPART_ARC
(0,4),-7.22432 # DEPENDENCYPART_ARC
(0,5),-6.93538 # DEPENDENCYPART_ARC
(0,6),-7.31318 # DEPENDENCYPART_ARC
(0,7),-6.35933 # DEPENDENCYPART_ARC
(0,8),-7.1299 # DEPENDENCYPART_ARC
(0,9),-6.23473 # DEPENDENCYPART_ARC
(0,10),-7.54851 # DEPENDENCYPART_ARC
(0,11),-1.99856 # DEPENDENCYPART_ARC
(0,12),-6.15341 # DEPENDENCYPART_ARC
(0,13),-7.81741 # DEPENDENCYPART_ARC
(0,14),-8.19579 # DEPENDENCYPART_ARC
(0,15),-8.5676 # DEPENDENCYPART_ARC
(0,16),-7.71912 # DEPENDENCYPART_ARC
(0,17),-7.18039 # DEPENDENCYPART_ARC
(0,18),-9.40801 # DEPENDENCYPART_ARC
(0,19),-7.6474 # DEPENDENCYPART_ARC
(0,20),-7.70043 # DEPENDENCYPART_ARC
(0,21),-9.37735 # DEPENDENCYPART_ARC
(0,22),-8.60336 # DEPENDENCYPART_ARC
(0,23),-5.92934 # DEPENDENCYPART_ARC
(0,24),-5.89896 # DEPENDENCYPART_ARC
(1,2),1.32872 # DEPENDENCYPART_ARC
(1,3),2.00384 # DEPENDENCYPART_ARC
(1,4),-0.181517 # DEPENDENCYPART_ARC
(1,5),0.911607 # DEPENDENCYPART_ARC
(1,6),-0.958942 # DEPENDENCYPART_ARC
(1,7),-0.588672 # DEPENDENCYPART_ARC
(1,8),-0.0942936 # DEPENDENCYPART_ARC
(1,9),-0.475889 # DEPENDENCYPART_ARC
(1,10),1.55704 # DEPENDENCYPART_ARC
(1,11),-0.595515 # DEPENDENCYPART_ARC
(1,12),-1.24595 # DEPENDENCYPART_ARC
(1,13),-1.54646 # DEPENDENCYPART_ARC
(1,14),-2.67088 # DEPENDENCYPART_ARC
(1,15),-1.57778 # DEPENDENCYPART_ARC
(1,16),-2.78786 # DEPENDENCYPART_ARC
(1,17),-2.4826 # DEPENDENCYPART_ARC
(1,18),-2.15768 # DEPENDENCYPART_ARC
(1,19),-3.23861 # DEPENDENCYPART_ARC
(1,20),-2.61796 # DEPENDENCYPART_ARC
(1,21),1.27641 # DEPENDENCYPART_ARC
(1,22),-3.85906 # DEPENDENCYPART_ARC
(1,23),-3.64698 # DEPENDENCYPART_ARC
(1,24),0.892574 # DEPENDENCYPART_ARC
(2,1),4.49242 # DEPENDENCYPART_ARC
(2,3),3.66482 # DEPENDENCYPART_ARC
(2,4),0.920521 # DEPENDENCYPART_ARC
(2,5),2.36585 # DEPENDENCYPART_ARC
(2,6),0.516151 # DEPENDENCYPART_ARC
(2,7),0.755732 # DEPENDENCYPART_ARC
(2,8),1.26397 # DEPENDENCYPART_ARC
(2,9),1.05766 # DEPENDENCYPART_ARC
(2,10),3.70627 # DEPENDENCYPART_ARC
(2,11),0.534091 # DEPENDENCYPART_ARC
(2,12),0.0687565 # DEPENDENCYPART_ARC
(2,13),0.0771919 # DEPENDENCYPART_ARC
(2,14),-0.99563 # DEPENDENCYPART_ARC
(2,15),-0.500601 # DEPENDENCYPART_ARC
(2,16),-1.57295 # DEPENDENCYPART_ARC
(2,17),-1.20333 # DEPENDENCYPART_ARC
(2,18),-1.54237 # DEPENDENCYPART_ARC
(2,19),-2.18927 # DEPENDENCYPART_ARC
(2,20),-0.710268 # DEPENDENCYPART_ARC
(2,21),1.91293 # DEPENDENCYPART_ARC
(2,22),-2.99438 # DEPENDENCYPART_ARC
(2,23),-2.0775 # DEPENDENCYPART_ARC
(2,24),1.50459 # DEPENDENCYPART_ARC
(3,1),-1.6761 # DEPENDENCYPART_ARC
(3,2),-1.11538 # DEPENDENCYPART_ARC
(3,4),-0.421709 # DEPENDENCYPART_ARC
(3,5),-1.21442 # DEPENDENCYPART_ARC
(3,6),-0.926783 # DEPENDENCYPART_ARC
(3,7),-1.49363 # DEPENDENCYPART_ARC
(3,8),-2.00382 # DEPENDENCYPART_ARC
(3,9),-2.08102 # DEPENDENCYPART_ARC
(3,10),-0.342226 # DEPENDENCYPART_ARC
(3,11),-1.60125 # DEPENDENCYPART_ARC
(3,12),-2.22795 # DEPENDENCYPART_ARC
(3,13),-2.90147 # DEPENDENCYPART_ARC
(3,14),-1.74732 # DEPENDENCYPART_ARC
(3,15),-2.55996 # DEPENDENCYPART_ARC
(3,16),-2.61901 # DEPENDENCYPART_ARC
(3,17),-2.75845 # DEPENDENCYPART_ARC
(3,18),-2.11059 # DEPENDENCYPART_ARC
(3,19),-2.93474 # DEPENDENCYPART_ARC
(3,20),-3.06855 # DEPENDENCYPART_ARC
(3,21),-2.7348 # DEPENDENCYPART_ARC
(3,22),-3.30041 # DEPENDENCYPART_ARC
(3,23),-3.39414 # DEPENDENCYPART_ARC
(3,24),-2.46508 # DEPENDENCYPART_ARC
(4,1),-1.19691 # DEPENDENCYPART_ARC
(4,2),-1.05606 # DEPENDENCYPART_ARC
(4,3),-0.15279 # DEPENDENCYPART_ARC
(4,5),0.51589 # DEPENDENCYPART_ARC
(4,6),-0.571165 # DEPENDENCYPART_ARC
(4,7),-0.517627 # DEPENDENCYPART_ARC
(4,8),-0.610901 # DEPENDENCYPART_ARC
(4,9),-0.801619 # DEPENDENCYPART_ARC
(4,10),-0.334627 # DEPENDENCYPART_ARC
(4,11),-1.0991 # DEPENDENCYPART_ARC
(4,12),-1.40257 # DEPENDENCYPART_ARC
(4,13),-1.45159 # DEPENDENCYPART_ARC
(4,14),-1.5718 # DEPENDENCYPART_ARC
(4,15),-2.34987 # DEPENDENCYPART_ARC
(4,16),-2.19054 # DEPENDENCYPART_ARC
(4,17),-2.13745 # DEPENDENCYPART_ARC
(4,18),-2.5658 # DEPENDENCYPART_ARC
(4,19),-2.27691 # DEPENDENCYPART_ARC
(4,20),-2.33405 # DEPENDENCYPART_ARC
(4,21),-2.21333 # DEPENDENCYPART_ARC
(4,22),-2.55146 # DEPENDENCYPART_ARC
(4,23),-2.61141 # DEPENDENCYPART_ARC
(4,24),-1.79773 # DEPENDENCYPART_ARC
(5,1),-0.303646 # DEPENDENCYPART_ARC
(5,2),-0.685318 # DEPENDENCYPART_ARC
(5,3),0.431955 # DEPENDENCYPART_ARC
(5,4),3.88173 # DEPENDENCYPART_ARC
(5,6),3.18462 # DEPENDENCYPART_ARC
