# _root_ Among rail and highway accounts , the agreement provides $ 615 million for Amtrak , including $ 85 million for capital improvements .
#goldHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,16,22,20,9,
#predictedHeads=9,1,2,5,3,9,8,9,0,9,10,10,9,13,9,10,16,17,17,17,22,20,9,
(0,1),-6.52581 # DEPENDENCYPART_ARC
(0,2),-6.02965 # DEPENDENCYPART_ARC
(0,3),-7.04946 # DEPENDENCYPART_ARC
(0,4),-6.16918 # DEPENDENCYPART_ARC
(0,5),-6.55714 # DEPENDENCYPART_ARC
(0,6),-6.64527 # DEPENDENCYPART_ARC
(0,7),-7.44031 # DEPENDENCYPART_ARC
(0,8),-6.21704 # DEPENDENCYPART_ARC
(0,9),-3.34093 # DEPENDENCYPART_ARC
(0,10),-7.92174 # DEPENDENCYPART_ARC
(0,11),-8.08668 # DEPENDENCYPART_ARC
(0,12),-8.39955 # DEPENDENCYPART_ARC
(0,13),-6.43364 # DEPENDENCYPART_ARC
(0,14),-7.23685 # DEPENDENCYPART_ARC
(0,15),-7.7402 # DEPENDENCYPART_ARC
(0,16),-6.76693 # DEPENDENCYPART_ARC
(0,17),-8.67834 # DEPENDENCYPART_ARC
(0,18),-8.99083 # DEPENDENCYPART_ARC
(0,19),-9.26847 # DEPENDENCYPART_ARC
(0,20),-7.42096 # DEPENDENCYPART_ARC
(0,21),-6.8372 # DEPENDENCYPART_ARC
(0,22),-6.73262 # DEPENDENCYPART_ARC
(0,23),-5.83272 # DEPENDENCYPART_ARC
(1,2),2.24887 # DEPENDENCYPART_ARC
(1,3),0.921144 # DEPENDENCYPART_ARC
(1,4),-0.298532 # DEPENDENCYPART_ARC
(1,5),2.48224 # DEPENDENCYPART_ARC
(1,6),0.341435 # DEPENDENCYPART_ARC
(1,7),-1.94556 # DEPENDENCYPART_ARC
(1,8),-2.43429 # DEPENDENCYPART_ARC
(1,9),-0.165696 # DEPENDENCYPART_ARC
(1,10),-2.74611 # DEPENDENCYPART_ARC
(1,11),-2.37752 # DEPENDENCYPART_ARC
(1,12),-2.34735 # DEPENDENCYPART_ARC
(1,13),-0.28915 # DEPENDENCYPART_ARC
(1,14),-4.3007 # DEPENDENCYPART_ARC
(1,15),-0.631534 # DEPENDENCYPART_ARC
(1,16),-2.29796 # DEPENDENCYPART_ARC
(1,17),-4.88272 # DEPENDENCYPART_ARC
(1,18),-3.65237 # DEPENDENCYPART_ARC
(1,19),-3.68214 # DEPENDENCYPART_ARC
(1,20),-1.3615 # DEPENDENCYPART_ARC
(1,21),-6.83139 # DEPENDENCYPART_ARC
(1,22),-6.70169 # DEPENDENCYPART_ARC
(1,23),1.2981 # DEPENDENCYPART_ARC
(2,1),1.09127 # DEPENDENCYPART_ARC
(2,3),3.6924 # DEPENDENCYPART_ARC
(2,4),0.551777 # DEPENDENCYPART_ARC
(2,5),0.930656 # DEPENDENCYPART_ARC
(2,6),0.90048 # DEPENDENCYPART_ARC
(2,7),-0.612523 # DEPENDENCYPART_ARC
(2,8),-0.475656 # DEPENDENCYPART_ARC
(2,9),-0.44687 # DEPENDENCYPART_ARC
(2,10),-1.16979 # DEPENDENCYPART_ARC
(2,11),-0.0936901 # DEPENDENCYPART_ARC
(2,12),-0.599656 # DEPENDENCYPART_ARC
(2,13),-0.266224 # DEPENDENCYPART_ARC
(2,14),-1.35984 # DEPENDENCYPART_ARC
(2,15),-0.267462 # DEPENDENCYPART_ARC
(2,16),0.29558 # DEPENDENCYPART_ARC
(2,17),-1.86293 # DEPENDENCYPART_ARC
(2,18),-1.03918 # DEPENDENCYPART_ARC
(2,19),-1.57101 # DEPENDENCYPART_ARC
(2,20),-1.49273 # DEPENDENCYPART_ARC
(2,21),-2.06144 # DEPENDENCYPART_ARC
(2,22),-1.88991 # DEPENDENCYPART_ARC
(2,23),-0.550504 # DEPENDENCYPART_ARC
(3,1),-0.322429 # DEPENDENCYPART_ARC
(3,2),0.358338 # DEPENDENCYPART_ARC
(3,4),2.52268 # DEPENDENCYPART_ARC
(3,5),3.426 # DEPENDENCYPART_ARC
(3,6),1.03192 # DEPENDENCYPART_ARC
(3,7),-1.12091 # DEPENDENCYPART_ARC
(3,8),0.337145 # DEPENDENCYPART_ARC
(3,9),0.104982 # DEPENDENCYPART_ARC
(3,10),-1.09066 # DEPENDENCYPART_ARC
(3,11),-1.19097 # DEPENDENCYPART_ARC
(3,12),-1.08358 # DEPENDENCYPART_ARC
(3,13),0.105032 # DEPENDENCYPART_ARC
(3,14),-2.21369 # DEPENDENCYPART_ARC
(3,15),-0.174836 # DEPENDENCYPART_ARC
(3,16),-1.05997 # DEPENDENCYPART_ARC
(3,17),-1.81817 # DEPENDENCYPART_ARC
(3,18),-1.92143 # DEPENDENCYPART_ARC
(3,19),-1.67309 # DEPENDENCYPART_ARC
(3,20),-0.967061 # DEPENDENCYPART_ARC
(3,21),-3.03538 # DEPENDENCYPART_ARC
(3,22),-3.82774 # DEPENDENCYPART_ARC
(3,23),-0.888346 # DEPENDENCYPART_ARC
(4,1),-2.01698 # DEPENDENCYPART_ARC
(4,2),-1.25854 # DEPENDENCYPART_ARC
(4,3),-1.30889 # DEPENDENCYPART_ARC
(4,5),1.14452 # DEPENDENCYPART_ARC
(4,6),-0.288813 # DEPENDENCYPART_ARC
(4,7),-1.38246 # DEPENDENCYPART_ARC
(4,8),-0.869826 # DEPENDENCYPART_ARC
(4,9),-1.28152 # DEPENDENCYPART_ARC
(4,10),-1.93397 # DEPENDENCYPART_ARC
(4,11),-1.19546 # DEPENDENCYPART_ARC
(4,12),-1.77494 # DEPENDENCYPART_ARC
(4,13),-1.47801 # DEPENDENCYPART_ARC
(4,14),-1.83868 # DEPENDENCYPART_ARC
(4,15),-1.2691 # DEPENDENCYPART_ARC
(4,16),-0.975083 # DEPENDENCYPART_ARC
(4,17),-2.69498 # DEPENDENCYPART_ARC
(4,18),-2.18163 # DEPENDENCYPART_ARC
(4,19),-2.70074 # DEPENDENCYPART_ARC
(4,20),-2.76227 # DEPENDENCYPART_ARC
(4,21),-2.57842 # DEPENDENCYPART_ARC
(4,22),-2.62158 # DEPENDENCYPART_ARC
(4,23),-1.24773 # DEPENDENCYPART_ARC
(5,1),-0.303673 # DEPENDENCYPART_ARC
(5,2),2.43539 # DEPENDENCYPART_ARC
(5,3),0.553658 # DEPENDENCYPART_ARC
(5,4),4.26065 # DEPENDENCYPART_ARC
(5,6),0.757776 # DEPENDENCYPART_ARC
(5,7),-0.84698 # DEPENDENCYPART_ARC
(5,8),-0.58782 # DEPENDENCYPART_ARC
(5,9),-0.512071 # DEPENDENCYPART_ARC
(5,10),-1.28971 # DEPENDENCYPART_ARC
(5,11),-1.4481 # DEPENDENCYPART_ARC
(5,12),-1.53343 # DEPENDENCYPART_ARC
(5,13),-1.08561 # DEPENDENCYPART_ARC
(5,14),-0.951205 # DEPENDENCYPART_ARC
(5,15),-0.0668347 # DEPENDENCYPART_ARC
(5,16),-0.503301 # DEPENDENCYPART_ARC
(5,17),-2.64121 # DEPENDENCYPART_ARC
(5,18),-1.94409 # DEPENDENCYPART_ARC
(5,19),-2.14924 # DEPENDENCYPART_ARC
(5,20),-2.35047 # DEPENDENCYPART_ARC
