# _root_ In Merrill Lynch & Co. 's Tokyo trading room , some 40 traders and assistants sat quietly , with few orders to process .
#goldHeads=16,3,9,3,4,5,9,9,1,16,13,11,16,13,14,0,16,16,16,21,19,21,22,16,
#predictedHeads=16,3,1,3,4,5,9,9,4,16,13,11,16,13,14,0,16,16,16,21,19,21,22,16,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.66064 # DEPENDENCYPART_ARC
(0,3),-5.47137 # DEPENDENCYPART_ARC
(0,4),-7.20077 # DEPENDENCYPART_ARC
(0,5),-6.49272 # DEPENDENCYPART_ARC
(0,6),-8.22108 # DEPENDENCYPART_ARC
(0,7),-7.17752 # DEPENDENCYPART_ARC
(0,8),-7.5488 # DEPENDENCYPART_ARC
(0,9),-7.30544 # DEPENDENCYPART_ARC
(0,10),-7.35143 # DEPENDENCYPART_ARC
(0,11),-7.53751 # DEPENDENCYPART_ARC
(0,12),-8.17718 # DEPENDENCYPART_ARC
(0,13),-6.85519 # DEPENDENCYPART_ARC
(0,14),-8.16499 # DEPENDENCYPART_ARC
(0,15),-6.70606 # DEPENDENCYPART_ARC
(0,16),-3.45735 # DEPENDENCYPART_ARC
(0,17),-7.77835 # DEPENDENCYPART_ARC
(0,18),-8.23213 # DEPENDENCYPART_ARC
(0,19),-8.57616 # DEPENDENCYPART_ARC
(0,20),-6.35294 # DEPENDENCYPART_ARC
(0,21),-7.31827 # DEPENDENCYPART_ARC
(0,22),-8.5549 # DEPENDENCYPART_ARC
(0,23),-7.68978 # DEPENDENCYPART_ARC
(0,24),-7.03807 # DEPENDENCYPART_ARC
(1,2),2.91234 # DEPENDENCYPART_ARC
(1,3),2.47213 # DEPENDENCYPART_ARC
(1,4),0.790208 # DEPENDENCYPART_ARC
(1,5),-1.22797 # DEPENDENCYPART_ARC
(1,6),-0.543271 # DEPENDENCYPART_ARC
(1,7),0.997631 # DEPENDENCYPART_ARC
(1,8),3.4482 # DEPENDENCYPART_ARC
(1,9),1.68849 # DEPENDENCYPART_ARC
(1,10),0.959675 # DEPENDENCYPART_ARC
(1,11),-1.51117 # DEPENDENCYPART_ARC
(1,12),-3.36335 # DEPENDENCYPART_ARC
(1,13),-2.73677 # DEPENDENCYPART_ARC
(1,14),-0.670262 # DEPENDENCYPART_ARC
(1,15),-4.71813 # DEPENDENCYPART_ARC
(1,16),-0.114245 # DEPENDENCYPART_ARC
(1,17),-1.31952 # DEPENDENCYPART_ARC
(1,18),-0.054782 # DEPENDENCYPART_ARC
(1,19),-2.44494 # DEPENDENCYPART_ARC
(1,20),-3.31658 # DEPENDENCYPART_ARC
(1,21),-9.3178 # DEPENDENCYPART_ARC
(1,22),-6.55752 # DEPENDENCYPART_ARC
(1,23),-8.38286 # DEPENDENCYPART_ARC
(1,24),1.00457 # DEPENDENCYPART_ARC
(2,1),-1.67604 # DEPENDENCYPART_ARC
(2,3),0.980522 # DEPENDENCYPART_ARC
(2,4),1.26068 # DEPENDENCYPART_ARC
(2,5),-1.43404 # DEPENDENCYPART_ARC
(2,6),-0.948693 # DEPENDENCYPART_ARC
(2,7),-1.90537 # DEPENDENCYPART_ARC
(2,8),-1.44779 # DEPENDENCYPART_ARC
(2,9),-0.876548 # DEPENDENCYPART_ARC
(2,10),0.12754 # DEPENDENCYPART_ARC
(2,11),-2.08698 # DEPENDENCYPART_ARC
(2,12),-2.94282 # DEPENDENCYPART_ARC
(2,13),-2.39356 # DEPENDENCYPART_ARC
(2,14),-3.33601 # DEPENDENCYPART_ARC
(2,15),-2.73063 # DEPENDENCYPART_ARC
(2,16),-2.59639 # DEPENDENCYPART_ARC
(2,17),-3.27779 # DEPENDENCYPART_ARC
(2,18),-1.6153 # DEPENDENCYPART_ARC
(2,19),-3.55971 # DEPENDENCYPART_ARC
(2,20),-3.44478 # DEPENDENCYPART_ARC
(2,21),-3.72989 # DEPENDENCYPART_ARC
(2,22),-2.9934 # DEPENDENCYPART_ARC
(2,23),-5.40004 # DEPENDENCYPART_ARC
(2,24),-2.2868 # DEPENDENCYPART_ARC
(3,1),0.131761 # DEPENDENCYPART_ARC
(3,2),5.15943 # DEPENDENCYPART_ARC
(3,4),4.14958 # DEPENDENCYPART_ARC
(3,5),1.57147 # DEPENDENCYPART_ARC
(3,6),1.93278 # DEPENDENCYPART_ARC
(3,7),0.496796 # DEPENDENCYPART_ARC
(3,8),1.0708 # DEPENDENCYPART_ARC
