# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,16,19,24,12,22,20,24,0,29,27,28,24,28,24,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-6.06959 # DEPENDENCYPART_ARC
(0,3),-6.17363 # DEPENDENCYPART_ARC
(0,4),-6.5609 # DEPENDENCYPART_ARC
(0,5),-6.08099 # DEPENDENCYPART_ARC
(0,6),-7.1433 # DEPENDENCYPART_ARC
(0,7),-6.30285 # DEPENDENCYPART_ARC
(0,8),-3.27069 # DEPENDENCYPART_ARC
(0,9),-4.55791 # DEPENDENCYPART_ARC
(0,10),-6.75187 # DEPENDENCYPART_ARC
(0,11),-7.44805 # DEPENDENCYPART_ARC
(0,12),-6.50071 # DEPENDENCYPART_ARC
(0,13),-7.97999 # DEPENDENCYPART_ARC
(0,14),-6.09204 # DEPENDENCYPART_ARC
(0,15),-8.13478 # DEPENDENCYPART_ARC
(0,16),-7.95526 # DEPENDENCYPART_ARC
(0,17),-8.20753 # DEPENDENCYPART_ARC
(0,18),-5.2126 # DEPENDENCYPART_ARC
(0,19),-6.99756 # DEPENDENCYPART_ARC
(0,20),-8.65794 # DEPENDENCYPART_ARC
(0,21),-6.5587 # DEPENDENCYPART_ARC
(0,22),-7.32317 # DEPENDENCYPART_ARC
(0,23),-9.0868 # DEPENDENCYPART_ARC
(0,24),-2.91963 # DEPENDENCYPART_ARC
(0,25),-6.40482 # DEPENDENCYPART_ARC
(0,26),-9.76279 # DEPENDENCYPART_ARC
(0,27),-8.02862 # DEPENDENCYPART_ARC
(0,28),-5.85333 # DEPENDENCYPART_ARC
(0,29),-5.03329 # DEPENDENCYPART_ARC
(0,30),-5.47556 # DEPENDENCYPART_ARC
(1,2),-0.472409 # DEPENDENCYPART_ARC
(1,3),-0.961659 # DEPENDENCYPART_ARC
(1,4),-0.848121 # DEPENDENCYPART_ARC
(1,5),-2.13889 # DEPENDENCYPART_ARC
(1,6),-2.5379 # DEPENDENCYPART_ARC
(1,7),-1.96481 # DEPENDENCYPART_ARC
(1,8),-1.66707 # DEPENDENCYPART_ARC
(1,9),-2.3446 # DEPENDENCYPART_ARC
(1,10),-2.27201 # DEPENDENCYPART_ARC
(1,11),-2.9345 # DEPENDENCYPART_ARC
(1,12),-2.67561 # DEPENDENCYPART_ARC
(1,13),-2.53901 # DEPENDENCYPART_ARC
(1,14),-2.96199 # DEPENDENCYPART_ARC
(1,15),-2.40686 # DEPENDENCYPART_ARC
(1,16),-2.36059 # DEPENDENCYPART_ARC
(1,17),-2.33905 # DEPENDENCYPART_ARC
(1,18),-3.12496 # DEPENDENCYPART_ARC
(1,19),-3.47707 # DEPENDENCYPART_ARC
(1,20),-3.68757 # DEPENDENCYPART_ARC
(1,21),-3.57463 # DEPENDENCYPART_ARC
(1,22),-3.64409 # DEPENDENCYPART_ARC
(1,23),-2.80366 # DEPENDENCYPART_ARC
(1,24),-5.14228 # DEPENDENCYPART_ARC
(1,25),-4.205 # DEPENDENCYPART_ARC
(1,26),-4.74115 # DEPENDENCYPART_ARC
(1,27),-4.21572 # DEPENDENCYPART_ARC
(1,28),-6.28585 # DEPENDENCYPART_ARC
(1,29),-4.44131 # DEPENDENCYPART_ARC
(1,30),-1.55347 # DEPENDENCYPART_ARC
(2,1),1.87627 # DEPENDENCYPART_ARC
(2,3),0.654309 # DEPENDENCYPART_ARC
(2,4),-0.0555194 # DEPENDENCYPART_ARC
(2,5),-1.06718 # DEPENDENCYPART_ARC
(2,6),-1.25533 # DEPENDENCYPART_ARC
(2,7),-0.820657 # DEPENDENCYPART_ARC
(2,8),-0.668783 # DEPENDENCYPART_ARC
(2,9),-1.48735 # DEPENDENCYPART_ARC
(2,10),-1.23767 # DEPENDENCYPART_ARC
(2,11),-1.64474 # DEPENDENCYPART_ARC
(2,12),-1.60396 # DEPENDENCYPART_ARC
(2,13),-1.57087 # DEPENDENCYPART_ARC
(2,14),-1.67683 # DEPENDENCYPART_ARC
(2,15),-1.31738 # DEPENDENCYPART_ARC
(2,16),-1.75269 # DEPENDENCYPART_ARC
(2,17),-2.1292 # DEPENDENCYPART_ARC
(2,18),-2.54494 # DEPENDENCYPART_ARC
(2,19),-2.53063 # DEPENDENCYPART_ARC
(2,20),-2.47694 # DEPENDENCYPART_ARC
(2,21),-2.5197 # DEPENDENCYPART_ARC
(2,22),-2.65104 # DEPENDENCYPART_ARC
(2,23),-1.02268 # DEPENDENCYPART_ARC
(2,24),-2.01048 # DEPENDENCYPART_ARC
(2,25),-3.10657 # DEPENDENCYPART_ARC
(2,26),-3.85381 # DEPENDENCYPART_ARC
(2,27),-3.33464 # DEPENDENCYPART_ARC
(2,28),-1.89095 # DEPENDENCYPART_ARC
(2,29),-2.65718 # DEPENDENCYPART_ARC
(2,30),-1.58227 # DEPENDENCYPART_ARC
(3,1),4.13378 # DEPENDENCYPART_ARC
(3,2),4.10431 # DEPENDENCYPART_ARC
(3,4),2.83244 # DEPENDENCYPART_ARC
(3,5),0.478121 # DEPENDENCYPART_ARC
(3,6),0.891237 # DEPENDENCYPART_ARC
(3,7),0.728776 # DEPENDENCYPART_ARC
(3,8),1.23083 # DEPENDENCYPART_ARC
(3,9),0.790034 # DEPENDENCYPART_ARC
(3,10),0.296501 # DEPENDENCYPART_ARC
(3,11),0.586546 # DEPENDENCYPART_ARC
(3,12),0.0178806 # DEPENDENCYPART_ARC
(3,13),0.0476017 # DEPENDENCYPART_ARC
(3,14),0.870422 # DEPENDENCYPART_ARC
(3,15),-0.109429 # DEPENDENCYPART_ARC
(3,16),-0.407456 # DEPENDENCYPART_ARC
(3,17),0.327069 # DEPENDENCYPART_ARC
(3,18),-0.70057 # DEPENDENCYPART_ARC
(3,19),-1.3268 # DEPENDENCYPART_ARC
(3,20),0.419042 # DEPENDENCYPART_ARC
(3,21),-0.912351 # DEPENDENCYPART_ARC
(3,22),-0.30779 # DEPENDENCYPART_ARC
(3,23),1.41908 # DEPENDENCYPART_ARC
(3,24),-0.269977 # DEPENDENCYPART_ARC
(3,25),-1.78905 # DEPENDENCYPART_ARC
(3,26),-1.23905 # DEPENDENCYPART_ARC
(3,27),-2.23707 # DEPENDENCYPART_ARC
(3,28),-0.815683 # DEPENDENCYPART_ARC
(3,29),-1.93886 # DEPENDENCYPART_ARC
(3,30),0.333893 # DEPENDENCYPART_ARC
(4,1),-0.335605 # DEPENDENCYPART_ARC
(4,2),-0.955902 # DEPENDENCYPART_ARC
(4,3),-0.835879 # DEPENDENCYPART_ARC
(4,5),0.0674873 # DEPENDENCYPART_ARC
(4,6),-0.281145 # DEPENDENCYPART_ARC
(4,7),-0.618825 # DEPENDENCYPART_ARC
(4,8),-0.421151 # DEPENDENCYPART_ARC
(4,9),-0.455621 # DEPENDENCYPART_ARC
(4,10),-1.02583 # DEPENDENCYPART_ARC
(4,11),-1.15056 # DEPENDENCYPART_ARC
(4,12),-1.71756 # DEPENDENCYPART_ARC
(4,13),-0.862452 # DEPENDENCYPART_ARC
(4,14),-1.72387 # DEPENDENCYPART_ARC
(4,15),-1.18157 # DEPENDENCYPART_ARC
(4,16),-1.15876 # DEPENDENCYPART_ARC
(4,17),-1.32583 # DEPENDENCYPART_ARC
(4,18),-2.20108 # DEPENDENCYPART_ARC
(4,19),-2.23501 # DEPENDENCYPART_ARC
(4,20),-1.57428 # DEPENDENCYPART_ARC
(4,21),-2.32599 # DEPENDENCYPART_ARC
(4,22),-2.69506 # DEPENDENCYPART_ARC
(4,23),-0.88851 # DEPENDENCYPART_ARC
(4,24),-1.94424 # DEPENDENCYPART_ARC
(4,25),-2.50754 # DEPENDENCYPART_ARC
(4,26),-2.72511 # DEPENDENCYPART_ARC
(4,27),-3.21873 # DEPENDENCYPART_ARC
(4,28),-2.31002 # DEPENDENCYPART_ARC
(4,29),-2.8594 # DEPENDENCYPART_ARC
(4,30),-2.41105 # DEPENDENCYPART_ARC
(5,1),-0.40064 # DEPENDENCYPART_ARC
(5,2),-0.451229 # DEPENDENCYPART_ARC
(5,3),-0.786782 # DEPENDENCYPART_ARC
(5,4),0.744214 # DEPENDENCYPART_ARC
(5,6),0.323592 # DEPENDENCYPART_ARC
(5,7),0.704368 # DEPENDENCYPART_ARC
(5,8),-0.378566 # DEPENDENCYPART_ARC
(5,9),-0.0562621 # DEPENDENCYPART_ARC
(5,10),-0.611277 # DEPENDENCYPART_ARC
(5,11),-1.2577 # DEPENDENCYPART_ARC
(5,12),-0.698894 # DEPENDENCYPART_ARC
(5,13),-0.769166 # DEPENDENCYPART_ARC
(5,14),-1.51834 # DEPENDENCYPART_ARC
(5,15),-0.367704 # DEPENDENCYPART_ARC
(5,16),-0.576104 # DEPENDENCYPART_ARC
(5,17),-0.830517 # DEPENDENCYPART_ARC
(5,18),-1.05382 # DEPENDENCYPART_ARC
(5,19),-2.06917 # DEPENDENCYPART_ARC
(5,20),-1.549 # DEPENDENCYPART_ARC
(5,21),-2.25101 # DEPENDENCYPART_ARC
(5,22),-1.17714 # DEPENDENCYPART_ARC
(5,23),-1.65764 # DEPENDENCYPART_ARC
(5,24),-1.87166 # DEPENDENCYPART_ARC
(5,25),-2.32349 # DEPENDENCYPART_ARC
(5,26),-2.80644 # DEPENDENCYPART_ARC
(5,27),-1.67714 # DEPENDENCYPART_ARC
(5,28),-2.22448 # DEPENDENCYPART_ARC
(5,29),-2.76979 # DEPENDENCYPART_ARC
(5,30),-1.35746 # DEPENDENCYPART_ARC
(6,1),-1.78691 # DEPENDENCYPART_ARC
(6,2),-2.09713 # DEPENDENCYPART_ARC
(6,3),-2.03225 # DEPENDENCYPART_ARC
(6,4),-1.57631 # DEPENDENCYPART_ARC
(6,5),-0.180276 # DEPENDENCYPART_ARC
(6,7),-0.255094 # DEPENDENCYPART_ARC
(6,8),-0.365582 # DEPENDENCYPART_ARC
(6,9),-1.41168 # DEPENDENCYPART_ARC
(6,10),-1.61799 # DEPENDENCYPART_ARC
(6,11),-2.65543 # DEPENDENCYPART_ARC
(6,12),-1.98131 # DEPENDENCYPART_ARC
(6,13),-1.70482 # DEPENDENCYPART_ARC
(6,14),-2.4821 # DEPENDENCYPART_ARC
(6,15),-1.61891 # DEPENDENCYPART_ARC
(6,16),-1.72575 # DEPENDENCYPART_ARC
(6,17),-1.97223 # DEPENDENCYPART_ARC
(6,18),-2.65775 # DEPENDENCYPART_ARC
(6,19),-3.12006 # DEPENDENCYPART_ARC
(6,20),-3.26952 # DEPENDENCYPART_ARC
(6,21),-3.19031 # DEPENDENCYPART_ARC
(6,22),-3.1284 # DEPENDENCYPART_ARC
(6,23),-2.4918 # DEPENDENCYPART_ARC
(6,24),-3.98019 # DEPENDENCYPART_ARC
(6,25),-3.79689 # DEPENDENCYPART_ARC
(6,26),-4.31711 # DEPENDENCYPART_ARC
(6,27),-3.53486 # DEPENDENCYPART_ARC
(6,28),-5.12671 # DEPENDENCYPART_ARC
(6,29),-4.06369 # DEPENDENCYPART_ARC
(6,30),-1.49632 # DEPENDENCYPART_ARC
(7,1),0.422781 # DEPENDENCYPART_ARC
(7,2),0.167941 # DEPENDENCYPART_ARC
(7,3),-0.753356 # DEPENDENCYPART_ARC
(7,4),0.0376508 # DEPENDENCYPART_ARC
(7,5),0.849316 # DEPENDENCYPART_ARC
(7,6),4.15843 # DEPENDENCYPART_ARC
(7,8),0.31446 # DEPENDENCYPART_ARC
(7,9),0.520062 # DEPENDENCYPART_ARC
(7,10),0.00572832 # DEPENDENCYPART_ARC
(7,11),-0.396009 # DEPENDENCYPART_ARC
(7,12),-0.0980851 # DEPENDENCYPART_ARC
(7,13),0.115693 # DEPENDENCYPART_ARC
(7,14),-0.779099 # DEPENDENCYPART_ARC
(7,15),-0.09768 # DEPENDENCYPART_ARC
(7,16),-0.585761 # DEPENDENCYPART_ARC
(7,17),-0.488698 # DEPENDENCYPART_ARC
(7,18),-1.80184 # DEPENDENCYPART_ARC
(7,19),-1.68315 # DEPENDENCYPART_ARC
(7,20),-0.983488 # DEPENDENCYPART_ARC
(7,21),-1.8637 # DEPENDENCYPART_ARC
(7,22),-1.84084 # DEPENDENCYPART_ARC
(7,23),-0.388768 # DEPENDENCYPART_ARC
(7,24),-0.683577 # DEPENDENCYPART_ARC
(7,25),-2.7852 # DEPENDENCYPART_ARC
(7,26),-1.83835 # DEPENDENCYPART_ARC
(7,27),-3.32236 # DEPENDENCYPART_ARC
(7,28),-1.35236 # DEPENDENCYPART_ARC
(7,29),-2.25583 # DEPENDENCYPART_ARC
(7,30),0.79824 # DEPENDENCYPART_ARC
(8,1),0.220542 # DEPENDENCYPART_ARC
(8,2),0.671769 # DEPENDENCYPART_ARC
(8,3),0.207526 # DEPENDENCYPART_ARC
(8,4),2.00209 # DEPENDENCYPART_ARC
(8,5),1.79352 # DEPENDENCYPART_ARC
(8,6),0.67835 # DEPENDENCYPART_ARC
(8,7),3.19916 # DEPENDENCYPART_ARC
(8,9),3.81902 # DEPENDENCYPART_ARC
(8,10),1.02009 # DEPENDENCYPART_ARC
(8,11),-0.172351 # DEPENDENCYPART_ARC
(8,12),0.0959058 # DEPENDENCYPART_ARC
(8,13),0.146284 # DEPENDENCYPART_ARC
(8,14),-0.228276 # DEPENDENCYPART_ARC
(8,15),1.8827 # DEPENDENCYPART_ARC
(8,16),1.21134 # DEPENDENCYPART_ARC
(8,17),0.98358 # DEPENDENCYPART_ARC
(8,18),-0.569694 # DEPENDENCYPART_ARC
(8,19),-0.696478 # DEPENDENCYPART_ARC
