# _root_ In Big Board composite trading yesterday , NCNB jumped $ 3.50 a share , to $ 51 .
#goldHeads=9,5,5,5,1,9,9,9,0,9,10,13,10,9,9,15,16,9,
#predictedHeads=9,5,5,5,1,9,9,9,0,9,10,13,10,9,9,15,16,9,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.66112 # DEPENDENCYPART_ARC
(0,3),-5.10834 # DEPENDENCYPART_ARC
(0,4),-6.35689 # DEPENDENCYPART_ARC
(0,5),-6.4518 # DEPENDENCYPART_ARC
(0,6),-6.03082 # DEPENDENCYPART_ARC
(0,7),-7.07706 # DEPENDENCYPART_ARC
(0,8),-6.81006 # DEPENDENCYPART_ARC
(0,9),-2.22767 # DEPENDENCYPART_ARC
(0,10),-8.34017 # DEPENDENCYPART_ARC
(0,11),-8.14369 # DEPENDENCYPART_ARC
(0,12),-7.73199 # DEPENDENCYPART_ARC
(0,13),-7.24663 # DEPENDENCYPART_ARC
(0,14),-7.87176 # DEPENDENCYPART_ARC
(0,15),-7.80328 # DEPENDENCYPART_ARC
(0,16),-8.85519 # DEPENDENCYPART_ARC
(0,17),-8.90792 # DEPENDENCYPART_ARC
(0,18),-6.25361 # DEPENDENCYPART_ARC
(1,2),2.86227 # DEPENDENCYPART_ARC
(1,3),2.18183 # DEPENDENCYPART_ARC
(1,4),2.25612 # DEPENDENCYPART_ARC
(1,5),2.33181 # DEPENDENCYPART_ARC
(1,6),-1.68427 # DEPENDENCYPART_ARC
(1,7),0.689867 # DEPENDENCYPART_ARC
(1,8),-1.55881 # DEPENDENCYPART_ARC
(1,9),-0.32589 # DEPENDENCYPART_ARC
(1,10),-3.46593 # DEPENDENCYPART_ARC
(1,11),-2.28826 # DEPENDENCYPART_ARC
(1,12),-2.58958 # DEPENDENCYPART_ARC
(1,13),-4.80881 # DEPENDENCYPART_ARC
(1,14),0.210629 # DEPENDENCYPART_ARC
(1,15),-3.18767 # DEPENDENCYPART_ARC
(1,16),-5.58251 # DEPENDENCYPART_ARC
(1,17),-3.31204 # DEPENDENCYPART_ARC
(1,18),-0.318091 # DEPENDENCYPART_ARC
(2,1),-2.74146 # DEPENDENCYPART_ARC
(2,3),-0.443392 # DEPENDENCYPART_ARC
(2,4),-1.21779 # DEPENDENCYPART_ARC
(2,5),-1.45992 # DEPENDENCYPART_ARC
(2,6),-1.82513 # DEPENDENCYPART_ARC
(2,7),-0.440663 # DEPENDENCYPART_ARC
(2,8),-1.8409 # DEPENDENCYPART_ARC
(2,9),-2.70899 # DEPENDENCYPART_ARC
(2,10),-3.33815 # DEPENDENCYPART_ARC
(2,11),-3.03723 # DEPENDENCYPART_ARC
(2,12),-3.1457 # DEPENDENCYPART_ARC
(2,13),-4.74538 # DEPENDENCYPART_ARC
(2,14),-1.53329 # DEPENDENCYPART_ARC
(2,15),-4.27383 # DEPENDENCYPART_ARC
(2,16),-4.31214 # DEPENDENCYPART_ARC
(2,17),-3.62449 # DEPENDENCYPART_ARC
(2,18),-3.25568 # DEPENDENCYPART_ARC
(3,1),-1.32036 # DEPENDENCYPART_ARC
(3,2),2.85778 # DEPENDENCYPART_ARC
(3,4),0.551937 # DEPENDENCYPART_ARC
(3,5),0.100171 # DEPENDENCYPART_ARC
(3,6),-0.542095 # DEPENDENCYPART_ARC
(3,7),0.277519 # DEPENDENCYPART_ARC
(3,8),-0.989279 # DEPENDENCYPART_ARC
(3,9),-1.01637 # DEPENDENCYPART_ARC
(3,10),-1.88275 # DEPENDENCYPART_ARC
(3,11),-1.77996 # DEPENDENCYPART_ARC
(3,12),-1.88349 # DEPENDENCYPART_ARC
(3,13),-2.79152 # DEPENDENCYPART_ARC
(3,14),-0.140372 # DEPENDENCYPART_ARC
(3,15),-2.93312 # DEPENDENCYPART_ARC
(3,16),-2.87198 # DEPENDENCYPART_ARC
(3,17),-2.4151 # DEPENDENCYPART_ARC
(3,18),-1.48749 # DEPENDENCYPART_ARC
(4,1),-0.453977 # DEPENDENCYPART_ARC
(4,2),2.78643 # DEPENDENCYPART_ARC
(4,3),2.44144 # DEPENDENCYPART_ARC
(4,5),1.21276 # DEPENDENCYPART_ARC
(4,6),0.420324 # DEPENDENCYPART_ARC
(4,7),0.639492 # DEPENDENCYPART_ARC
(4,8),-0.351161 # DEPENDENCYPART_ARC
(4,9),-0.277678 # DEPENDENCYPART_ARC
(4,10),-1.48554 # DEPENDENCYPART_ARC
(4,11),-0.714581 # DEPENDENCYPART_ARC
(4,12),-1.12935 # DEPENDENCYPART_ARC
(4,13),-1.26679 # DEPENDENCYPART_ARC
(4,14),-0.192715 # DEPENDENCYPART_ARC
(4,15),-1.76933 # DEPENDENCYPART_ARC
(4,16),-2.01265 # DEPENDENCYPART_ARC
(4,17),-1.23225 # DEPENDENCYPART_ARC
(4,18),-1.02406 # DEPENDENCYPART_ARC
(5,1),0.150239 # DEPENDENCYPART_ARC
(5,2),4.04659 # DEPENDENCYPART_ARC
(5,3),3.75454 # DEPENDENCYPART_ARC
(5,4),3.67911 # DEPENDENCYPART_ARC
(5,6),0.684911 # DEPENDENCYPART_ARC
(5,7),-0.180407 # DEPENDENCYPART_ARC
(5,8),-0.508386 # DEPENDENCYPART_ARC
(5,9),-0.515989 # DEPENDENCYPART_ARC
(5,10),-1.51292 # DEPENDENCYPART_ARC
(5,11),-0.852477 # DEPENDENCYPART_ARC
(5,12),-1.46955 # DEPENDENCYPART_ARC
