# _root_ The average discount rate was 7.42 % on new six-month bills , the lowest since the average of 7.35 % at the auction on July 31 , 1989 .
#goldHeads=4,4,4,5,0,7,5,7,11,11,8,7,14,7,14,17,15,17,20,18,20,23,21,23,24,25,25,25,5,
#predictedHeads=4,4,4,5,0,7,5,5,11,11,8,11,14,11,14,17,15,17,20,18,17,23,21,23,24,25,25,25,5,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-5.94239 # DEPENDENCYPART_ARC
(0,3),-6.08133 # DEPENDENCYPART_ARC
(0,4),-5.6962 # DEPENDENCYPART_ARC
(0,5),-2.66765 # DEPENDENCYPART_ARC
(0,6),-7.67415 # DEPENDENCYPART_ARC
(0,7),-7.63438 # DEPENDENCYPART_ARC
(0,8),-7.37544 # DEPENDENCYPART_ARC
(0,9),-6.22389 # DEPENDENCYPART_ARC
(0,10),-5.94345 # DEPENDENCYPART_ARC
(0,11),-6.78327 # DEPENDENCYPART_ARC
(0,12),-7.56033 # DEPENDENCYPART_ARC
(0,13),-8.10949 # DEPENDENCYPART_ARC
(0,14),-8.0159 # DEPENDENCYPART_ARC
(0,15),-7.72837 # DEPENDENCYPART_ARC
(0,16),-8.52561 # DEPENDENCYPART_ARC
(0,17),-7.67896 # DEPENDENCYPART_ARC
(0,18),-8.87835 # DEPENDENCYPART_ARC
(0,19),-9.16143 # DEPENDENCYPART_ARC
(0,20),-8.28426 # DEPENDENCYPART_ARC
(0,21),-9.33344 # DEPENDENCYPART_ARC
(0,22),-9.40749 # DEPENDENCYPART_ARC
(0,23),-7.76719 # DEPENDENCYPART_ARC
(0,24),-10.1238 # DEPENDENCYPART_ARC
(0,25),-6.75163 # DEPENDENCYPART_ARC
(0,26),-10.0247 # DEPENDENCYPART_ARC
(0,27),-10.1086 # DEPENDENCYPART_ARC
(0,28),-10.2468 # DEPENDENCYPART_ARC
(0,29),-5.65978 # DEPENDENCYPART_ARC
(1,2),-0.600552 # DEPENDENCYPART_ARC
(1,3),-1.17673 # DEPENDENCYPART_ARC
(1,4),-1.42128 # DEPENDENCYPART_ARC
(1,5),-0.998763 # DEPENDENCYPART_ARC
(1,6),-1.45544 # DEPENDENCYPART_ARC
(1,7),-2.28059 # DEPENDENCYPART_ARC
(1,8),-2.36445 # DEPENDENCYPART_ARC
(1,9),-2.54785 # DEPENDENCYPART_ARC
(1,10),-2.59289 # DEPENDENCYPART_ARC
(1,11),-2.58827 # DEPENDENCYPART_ARC
(1,12),-2.1956 # DEPENDENCYPART_ARC
(1,13),-3.5561 # DEPENDENCYPART_ARC
(1,14),-3.61642 # DEPENDENCYPART_ARC
(1,15),-3.41961 # DEPENDENCYPART_ARC
(1,16),-3.81347 # DEPENDENCYPART_ARC
(1,17),-3.41235 # DEPENDENCYPART_ARC
(1,18),-3.6445 # DEPENDENCYPART_ARC
(1,19),-3.40316 # DEPENDENCYPART_ARC
(1,20),-3.86689 # DEPENDENCYPART_ARC
(1,21),-4.60345 # DEPENDENCYPART_ARC
(1,22),-4.4444 # DEPENDENCYPART_ARC
(1,23),-4.10104 # DEPENDENCYPART_ARC
(1,24),-5.13489 # DEPENDENCYPART_ARC
(1,25),-4.631 # DEPENDENCYPART_ARC
(1,26),-4.55801 # DEPENDENCYPART_ARC
(1,27),-3.83354 # DEPENDENCYPART_ARC
(1,28),-4.92004 # DEPENDENCYPART_ARC
(1,29),-3.08632 # DEPENDENCYPART_ARC
(2,1),1.36689 # DEPENDENCYPART_ARC
(2,3),0.951593 # DEPENDENCYPART_ARC
(2,4),-0.0277115 # DEPENDENCYPART_ARC
(2,5),-0.051786 # DEPENDENCYPART_ARC
(2,6),-0.88143 # DEPENDENCYPART_ARC
(2,7),-0.795114 # DEPENDENCYPART_ARC
(2,8),-1.06465 # DEPENDENCYPART_ARC
(2,9),-1.10578 # DEPENDENCYPART_ARC
(2,10),-1.21215 # DEPENDENCYPART_ARC
(2,11),-1.44742 # DEPENDENCYPART_ARC
(2,12),-2.13654 # DEPENDENCYPART_ARC
(2,13),-2.29671 # DEPENDENCYPART_ARC
(2,14),-1.8207 # DEPENDENCYPART_ARC
(2,15),-1.73182 # DEPENDENCYPART_ARC
(2,16),-2.62326 # DEPENDENCYPART_ARC
(2,17),-1.97658 # DEPENDENCYPART_ARC
(2,18),-3.29919 # DEPENDENCYPART_ARC
(2,19),-3.47027 # DEPENDENCYPART_ARC
(2,20),-2.50025 # DEPENDENCYPART_ARC
(2,21),-2.22801 # DEPENDENCYPART_ARC
