# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(0,1),-5.84843 # DEPENDENCYPART_ARC
(0,2),-5.70443 # DEPENDENCYPART_ARC
(0,3),-3.27415 # DEPENDENCYPART_ARC
(0,4),-6.00135 # DEPENDENCYPART_ARC
(0,5),-6.41641 # DEPENDENCYPART_ARC
(0,6),-7.24798 # DEPENDENCYPART_ARC
(0,7),-6.47657 # DEPENDENCYPART_ARC
(0,8),-6.30305 # DEPENDENCYPART_ARC
(0,9),-7.04352 # DEPENDENCYPART_ARC
(0,10),-7.74577 # DEPENDENCYPART_ARC
(0,11),-7.03897 # DEPENDENCYPART_ARC
(0,12),-6.91022 # DEPENDENCYPART_ARC
(0,13),-6.58333 # DEPENDENCYPART_ARC
(0,14),-6.87211 # DEPENDENCYPART_ARC
(0,15),-7.82294 # DEPENDENCYPART_ARC
(0,16),-7.08825 # DEPENDENCYPART_ARC
(0,17),-8.44951 # DEPENDENCYPART_ARC
(0,18),-6.45908 # DEPENDENCYPART_ARC
(0,19),-7.99834 # DEPENDENCYPART_ARC
(0,20),-6.30152 # DEPENDENCYPART_ARC
(0,21),-7.20506 # DEPENDENCYPART_ARC
(0,22),-6.44889 # DEPENDENCYPART_ARC
(0,23),-5.95058 # DEPENDENCYPART_ARC
(1,2),0.87173 # DEPENDENCYPART_ARC
(1,3),0.668223 # DEPENDENCYPART_ARC
(1,4),-0.26464 # DEPENDENCYPART_ARC
(1,5),0.0885035 # DEPENDENCYPART_ARC
(1,6),0.0617809 # DEPENDENCYPART_ARC
(1,7),-0.240179 # DEPENDENCYPART_ARC
(1,8),-0.604437 # DEPENDENCYPART_ARC
(1,9),-0.0359762 # DEPENDENCYPART_ARC
(1,10),-0.666842 # DEPENDENCYPART_ARC
(1,11),-0.709696 # DEPENDENCYPART_ARC
(1,12),-0.764011 # DEPENDENCYPART_ARC
(1,13),-1.02532 # DEPENDENCYPART_ARC
(1,14),-0.788331 # DEPENDENCYPART_ARC
(1,15),-0.479302 # DEPENDENCYPART_ARC
(1,16),-0.975927 # DEPENDENCYPART_ARC
(1,17),-1.93211 # DEPENDENCYPART_ARC
(1,18),-1.92515 # DEPENDENCYPART_ARC
(1,19),-2.40145 # DEPENDENCYPART_ARC
(1,20),-2.5323 # DEPENDENCYPART_ARC
(1,21),-1.1501 # DEPENDENCYPART_ARC
(1,22),-2.30906 # DEPENDENCYPART_ARC
(1,23),-1.23477 # DEPENDENCYPART_ARC
(2,1),0.504819 # DEPENDENCYPART_ARC
(2,3),0.559615 # DEPENDENCYPART_ARC
(2,4),-0.263743 # DEPENDENCYPART_ARC
(2,5),-0.507787 # DEPENDENCYPART_ARC
(2,6),-0.538701 # DEPENDENCYPART_ARC
(2,7),-1.00938 # DEPENDENCYPART_ARC
(2,8),-1.90283 # DEPENDENCYPART_ARC
(2,9),-0.240037 # DEPENDENCYPART_ARC
(2,10),-1.38587 # DEPENDENCYPART_ARC
(2,11),-1.81978 # DEPENDENCYPART_ARC
(2,12),-2.58363 # DEPENDENCYPART_ARC
(2,13),-1.68494 # DEPENDENCYPART_ARC
(2,14),-2.92713 # DEPENDENCYPART_ARC
(2,15),-0.915685 # DEPENDENCYPART_ARC
(2,16),-3.50415 # DEPENDENCYPART_ARC
(2,17),-2.1415 # DEPENDENCYPART_ARC
(2,18),-3.81949 # DEPENDENCYPART_ARC
(2,19),-2.79396 # DEPENDENCYPART_ARC
(2,20),-2.54564 # DEPENDENCYPART_ARC
(2,21),-4.31421 # DEPENDENCYPART_ARC
(2,22),-4.32191 # DEPENDENCYPART_ARC
(2,23),-0.286736 # DEPENDENCYPART_ARC
(3,1),3.34165 # DEPENDENCYPART_ARC
(3,2),3.36482 # DEPENDENCYPART_ARC
(3,4),2.23789 # DEPENDENCYPART_ARC
(3,5),2.72582 # DEPENDENCYPART_ARC
(3,6),2.49829 # DEPENDENCYPART_ARC
(3,7),1.83361 # DEPENDENCYPART_ARC
(3,8),2.15963 # DEPENDENCYPART_ARC
(3,9),3.00788 # DEPENDENCYPART_ARC
(3,10),2.54062 # DEPENDENCYPART_ARC
