# _root_ When he came to Applied , `` I did n't have the power to execute as I do today , '' he says .
#goldHeads=3,3,9,3,4,9,9,9,23,9,9,13,11,13,14,15,18,16,18,9,9,23,0,23,
#predictedHeads=3,3,9,3,4,5,23,9,23,9,9,13,11,13,14,15,18,16,18,23,23,23,0,23,
(0,1),-5.508 # DEPENDENCYPART_ARC
(0,2),-5.24749 # DEPENDENCYPART_ARC
(0,3),-4.28569 # DEPENDENCYPART_ARC
(0,4),-6.35601 # DEPENDENCYPART_ARC
(0,5),-6.71782 # DEPENDENCYPART_ARC
(0,6),-6.47676 # DEPENDENCYPART_ARC
(0,7),-7.11527 # DEPENDENCYPART_ARC
(0,8),-5.80678 # DEPENDENCYPART_ARC
(0,9),-4.90032 # DEPENDENCYPART_ARC
(0,10),-7.03634 # DEPENDENCYPART_ARC
(0,11),-5.00512 # DEPENDENCYPART_ARC
(0,12),-7.81539 # DEPENDENCYPART_ARC
(0,13),-6.26732 # DEPENDENCYPART_ARC
(0,14),-7.17876 # DEPENDENCYPART_ARC
(0,15),-6.20057 # DEPENDENCYPART_ARC
(0,16),-6.88058 # DEPENDENCYPART_ARC
(0,17),-6.27928 # DEPENDENCYPART_ARC
(0,18),-6.08394 # DEPENDENCYPART_ARC
(0,19),-6.05129 # DEPENDENCYPART_ARC
(0,20),-8.26199 # DEPENDENCYPART_ARC
(0,21),-7.206 # DEPENDENCYPART_ARC
(0,22),-4.59738 # DEPENDENCYPART_ARC
(0,23),-0.266332 # DEPENDENCYPART_ARC
(0,24),-3.9882 # DEPENDENCYPART_ARC
(1,2),-0.0514106 # DEPENDENCYPART_ARC
(1,3),0.228202 # DEPENDENCYPART_ARC
(1,4),-0.720816 # DEPENDENCYPART_ARC
(1,5),-0.888323 # DEPENDENCYPART_ARC
(1,6),-0.826875 # DEPENDENCYPART_ARC
(1,7),-0.844858 # DEPENDENCYPART_ARC
(1,8),-1.64916 # DEPENDENCYPART_ARC
(1,9),-1.04649 # DEPENDENCYPART_ARC
(1,10),-1.35265 # DEPENDENCYPART_ARC
(1,11),-1.06136 # DEPENDENCYPART_ARC
(1,12),-2.1224 # DEPENDENCYPART_ARC
(1,13),-1.8659 # DEPENDENCYPART_ARC
(1,14),-2.01495 # DEPENDENCYPART_ARC
(1,15),-1.47401 # DEPENDENCYPART_ARC
(1,16),-1.77709 # DEPENDENCYPART_ARC
(1,17),-2.47748 # DEPENDENCYPART_ARC
(1,18),-2.64333 # DEPENDENCYPART_ARC
(1,19),-2.4177 # DEPENDENCYPART_ARC
(1,20),-2.10492 # DEPENDENCYPART_ARC
(1,21),-1.54512 # DEPENDENCYPART_ARC
(1,22),-2.96414 # DEPENDENCYPART_ARC
(1,23),-2.84339 # DEPENDENCYPART_ARC
(1,24),-0.978822 # DEPENDENCYPART_ARC
(2,1),0.155199 # DEPENDENCYPART_ARC
(2,3),0.718293 # DEPENDENCYPART_ARC
(2,4),-0.0874714 # DEPENDENCYPART_ARC
(2,5),-0.252208 # DEPENDENCYPART_ARC
(2,6),0.237438 # DEPENDENCYPART_ARC
(2,7),-1.05239 # DEPENDENCYPART_ARC
(2,8),-0.513937 # DEPENDENCYPART_ARC
(2,9),-0.927739 # DEPENDENCYPART_ARC
(2,10),-1.26598 # DEPENDENCYPART_ARC
(2,11),-1.98193 # DEPENDENCYPART_ARC
(2,12),-1.25872 # DEPENDENCYPART_ARC
(2,13),-1.74465 # DEPENDENCYPART_ARC
(2,14),-1.57891 # DEPENDENCYPART_ARC
(2,15),-2.30895 # DEPENDENCYPART_ARC
(2,16),-1.68175 # DEPENDENCYPART_ARC
(2,17),-1.51607 # DEPENDENCYPART_ARC
(2,18),-1.96069 # DEPENDENCYPART_ARC
(2,19),-2.32809 # DEPENDENCYPART_ARC
(2,20),-1.0687 # DEPENDENCYPART_ARC
(2,21),-1.73311 # DEPENDENCYPART_ARC
(2,22),-2.1089 # DEPENDENCYPART_ARC
(2,23),-1.81712 # DEPENDENCYPART_ARC
(2,24),-1.73938 # DEPENDENCYPART_ARC
(3,1),3.13041 # DEPENDENCYPART_ARC
(3,2),3.81974 # DEPENDENCYPART_ARC
(3,4),3.33452 # DEPENDENCYPART_ARC
(3,5),1.16881 # DEPENDENCYPART_ARC
(3,6),1.7716 # DEPENDENCYPART_ARC
(3,7),0.650718 # DEPENDENCYPART_ARC
(3,8),-0.0696798 # DEPENDENCYPART_ARC
(3,9),0.44449 # DEPENDENCYPART_ARC
(3,10),0.577213 # DEPENDENCYPART_ARC
(3,11),0.202825 # DEPENDENCYPART_ARC
(3,12),-1.84723 # DEPENDENCYPART_ARC
(3,13),-0.766305 # DEPENDENCYPART_ARC
(3,14),-1.17024 # DEPENDENCYPART_ARC
(3,15),-1.14175 # DEPENDENCYPART_ARC
(3,16),-0.301118 # DEPENDENCYPART_ARC
(3,17),-1.09096 # DEPENDENCYPART_ARC
(3,18),-0.538989 # DEPENDENCYPART_ARC
(3,19),-2.01427 # DEPENDENCYPART_ARC
(3,20),-0.0806926 # DEPENDENCYPART_ARC
(3,21),0.836206 # DEPENDENCYPART_ARC
(3,22),-2.09118 # DEPENDENCYPART_ARC
(3,23),-0.159132 # DEPENDENCYPART_ARC
(3,24),1.39627 # DEPENDENCYPART_ARC
(4,1),0.680907 # DEPENDENCYPART_ARC
(4,2),0.00537437 # DEPENDENCYPART_ARC
(4,3),0.468566 # DEPENDENCYPART_ARC
(4,5),3.31103 # DEPENDENCYPART_ARC
(4,6),0.56314 # DEPENDENCYPART_ARC
(4,7),0.617802 # DEPENDENCYPART_ARC
(4,8),0.227066 # DEPENDENCYPART_ARC
(4,9),0.0277359 # DEPENDENCYPART_ARC
(4,10),-0.356102 # DEPENDENCYPART_ARC
(4,11),0.519187 # DEPENDENCYPART_ARC
(4,12),-1.781 # DEPENDENCYPART_ARC
(4,13),-2.32144 # DEPENDENCYPART_ARC
(4,14),-0.463639 # DEPENDENCYPART_ARC
(4,15),-0.357309 # DEPENDENCYPART_ARC
(4,16),-0.308394 # DEPENDENCYPART_ARC
(4,17),-1.10565 # DEPENDENCYPART_ARC
(4,18),-1.13902 # DEPENDENCYPART_ARC
(4,19),-4.53351 # DEPENDENCYPART_ARC
(4,20),-0.0642189 # DEPENDENCYPART_ARC
(4,21),-0.0532835 # DEPENDENCYPART_ARC
(4,22),-1.89475 # DEPENDENCYPART_ARC
(4,23),-1.60803 # DEPENDENCYPART_ARC
(4,24),-0.180407 # DEPENDENCYPART_ARC
(5,1),-0.239643 # DEPENDENCYPART_ARC
(5,2),-0.0812531 # DEPENDENCYPART_ARC
(5,3),-0.173988 # DEPENDENCYPART_ARC
(5,4),0.494144 # DEPENDENCYPART_ARC
(5,6),1.96525 # DEPENDENCYPART_ARC
(5,7),1.24281 # DEPENDENCYPART_ARC
(5,8),0.805069 # DEPENDENCYPART_ARC
(5,9),0.428254 # DEPENDENCYPART_ARC
(5,10),-0.204797 # DEPENDENCYPART_ARC
(5,11),-0.707431 # DEPENDENCYPART_ARC
(5,12),-0.175207 # DEPENDENCYPART_ARC
(5,13),-0.698166 # DEPENDENCYPART_ARC
(5,14),-0.341228 # DEPENDENCYPART_ARC
(5,15),-1.066 # DEPENDENCYPART_ARC
(5,16),-1.08302 # DEPENDENCYPART_ARC
(5,17),-0.523189 # DEPENDENCYPART_ARC
(5,18),-0.940459 # DEPENDENCYPART_ARC
(5,19),-2.3759 # DEPENDENCYPART_ARC
(5,20),-0.423559 # DEPENDENCYPART_ARC
(5,21),0.293996 # DEPENDENCYPART_ARC
(5,22),-1.42393 # DEPENDENCYPART_ARC
(5,23),-1.11009 # DEPENDENCYPART_ARC
(5,24),0.461042 # DEPENDENCYPART_ARC
(6,1),-0.793118 # DEPENDENCYPART_ARC
(6,2),-1.61408 # DEPENDENCYPART_ARC
(6,3),-1.17957 # DEPENDENCYPART_ARC
(6,4),-0.916388 # DEPENDENCYPART_ARC
(6,5),-0.994651 # DEPENDENCYPART_ARC
(6,7),0.0386635 # DEPENDENCYPART_ARC
(6,8),-1.0132 # DEPENDENCYPART_ARC
(6,9),-0.849098 # DEPENDENCYPART_ARC
(6,10),-1.55049 # DEPENDENCYPART_ARC
(6,11),-1.31535 # DEPENDENCYPART_ARC
(6,12),-1.89085 # DEPENDENCYPART_ARC
(6,13),-2.32186 # DEPENDENCYPART_ARC
(6,14),-1.88756 # DEPENDENCYPART_ARC
(6,15),-1.83795 # DEPENDENCYPART_ARC
(6,16),-1.75012 # DEPENDENCYPART_ARC
(6,17),-2.22712 # DEPENDENCYPART_ARC
(6,18),-2.27372 # DEPENDENCYPART_ARC
(6,19),-2.88046 # DEPENDENCYPART_ARC
(6,20),-0.601031 # DEPENDENCYPART_ARC
(6,21),-1.81533 # DEPENDENCYPART_ARC
(6,22),-2.75474 # DEPENDENCYPART_ARC
(6,23),-2.57327 # DEPENDENCYPART_ARC
(6,24),-2.33596 # DEPENDENCYPART_ARC
(7,1),-1.25475 # DEPENDENCYPART_ARC
(7,2),-2.18414 # DEPENDENCYPART_ARC
(7,3),-1.8575 # DEPENDENCYPART_ARC
(7,4),-1.41948 # DEPENDENCYPART_ARC
(7,5),-1.31359 # DEPENDENCYPART_ARC
(7,6),-0.40651 # DEPENDENCYPART_ARC
(7,8),-0.584381 # DEPENDENCYPART_ARC
(7,9),-0.787833 # DEPENDENCYPART_ARC
(7,10),-1.20814 # DEPENDENCYPART_ARC
(7,11),-1.62709 # DEPENDENCYPART_ARC
(7,12),-2.28378 # DEPENDENCYPART_ARC
(7,13),-2.02248 # DEPENDENCYPART_ARC
(7,14),-1.91761 # DEPENDENCYPART_ARC
(7,15),-2.21373 # DEPENDENCYPART_ARC
(7,16),-1.97387 # DEPENDENCYPART_ARC
(7,17),-2.33257 # DEPENDENCYPART_ARC
(7,18),-2.75384 # DEPENDENCYPART_ARC
(7,19),-2.43594 # DEPENDENCYPART_ARC
(7,20),-1.87311 # DEPENDENCYPART_ARC
(7,21),-0.881919 # DEPENDENCYPART_ARC
(7,22),-2.76371 # DEPENDENCYPART_ARC
(7,23),-2.82888 # DEPENDENCYPART_ARC
(7,24),-2.07198 # DEPENDENCYPART_ARC
(8,1),-1.24119 # DEPENDENCYPART_ARC
(8,2),-1.89473 # DEPENDENCYPART_ARC
(8,3),-1.46952 # DEPENDENCYPART_ARC
(8,4),-1.50232 # DEPENDENCYPART_ARC
(8,5),-1.32301 # DEPENDENCYPART_ARC
(8,6),0.079317 # DEPENDENCYPART_ARC
(8,7),-0.140507 # DEPENDENCYPART_ARC
(8,9),1.16028 # DEPENDENCYPART_ARC
(8,10),0.0895233 # DEPENDENCYPART_ARC
(8,11),-0.677577 # DEPENDENCYPART_ARC
(8,12),-0.358128 # DEPENDENCYPART_ARC
(8,13),-0.317183 # DEPENDENCYPART_ARC
(8,14),0.292464 # DEPENDENCYPART_ARC
(8,15),-1.32187 # DEPENDENCYPART_ARC
(8,16),-0.147303 # DEPENDENCYPART_ARC
(8,17),-0.539124 # DEPENDENCYPART_ARC
(8,18),-0.941422 # DEPENDENCYPART_ARC
(8,19),-1.0928 # DEPENDENCYPART_ARC
(8,20),-0.693734 # DEPENDENCYPART_ARC
(8,21),-0.710752 # DEPENDENCYPART_ARC
(8,22),-1.06349 # DEPENDENCYPART_ARC
(8,23),-0.967022 # DEPENDENCYPART_ARC
(8,24),-0.899153 # DEPENDENCYPART_ARC
(9,1),0.352507 # DEPENDENCYPART_ARC
(9,2),1.46828 # DEPENDENCYPART_ARC
(9,3),1.86075 # DEPENDENCYPART_ARC
(9,4),0.0893652 # DEPENDENCYPART_ARC
(9,5),0.176936 # DEPENDENCYPART_ARC
(9,6),1.77186 # DEPENDENCYPART_ARC
(9,7),1.61576 # DEPENDENCYPART_ARC
(9,8),3.58519 # DEPENDENCYPART_ARC
(9,10),4.37914 # DEPENDENCYPART_ARC
(9,11),3.65953 # DEPENDENCYPART_ARC
(9,12),-0.226765 # DEPENDENCYPART_ARC
(9,13),1.40818 # DEPENDENCYPART_ARC
(9,14),1.00925 # DEPENDENCYPART_ARC
(9,15),0.944609 # DEPENDENCYPART_ARC
(9,16),0.376356 # DEPENDENCYPART_ARC
(9,17),0.381493 # DEPENDENCYPART_ARC
(9,18),0.435944 # DEPENDENCYPART_ARC
(9,19),-0.291719 # DEPENDENCYPART_ARC
(9,20),1.2728 # DEPENDENCYPART_ARC
(9,21),2.18339 # DEPENDENCYPART_ARC
