# _root_ And the chain is testing products that are n't fried , such as `` char-grilled '' chicken , to try to win health-conscious consumers .
#goldHeads=4,3,4,0,4,5,8,6,8,8,6,13,6,17,17,17,13,6,5,19,20,21,24,22,4,
#predictedHeads=4,3,4,0,4,5,8,6,8,8,10,13,6,17,17,17,13,17,15,19,20,21,24,22,4,
(0,1),-6.84766 # DEPENDENCYPART_ARC
(0,2),-6.69251 # DEPENDENCYPART_ARC
(0,3),-5.68878 # DEPENDENCYPART_ARC
(0,4),-3.05437 # DEPENDENCYPART_ARC
(0,5),-6.54754 # DEPENDENCYPART_ARC
(0,6),-6.19761 # DEPENDENCYPART_ARC
(0,7),-6.74198 # DEPENDENCYPART_ARC
(0,8),-3.55376 # DEPENDENCYPART_ARC
(0,9),-6.9568 # DEPENDENCYPART_ARC
(0,10),-5.11962 # DEPENDENCYPART_ARC
(0,11),-6.8309 # DEPENDENCYPART_ARC
(0,12),-7.05476 # DEPENDENCYPART_ARC
(0,13),-6.23765 # DEPENDENCYPART_ARC
(0,14),-7.3014 # DEPENDENCYPART_ARC
(0,15),-6.90401 # DEPENDENCYPART_ARC
(0,16),-6.74267 # DEPENDENCYPART_ARC
(0,17),-7.08126 # DEPENDENCYPART_ARC
(0,18),-8.02152 # DEPENDENCYPART_ARC
(0,19),-7.84926 # DEPENDENCYPART_ARC
(0,20),-6.55474 # DEPENDENCYPART_ARC
(0,21),-8.0599 # DEPENDENCYPART_ARC
(0,22),-6.40542 # DEPENDENCYPART_ARC
(0,23),-7.17943 # DEPENDENCYPART_ARC
(0,24),-5.86496 # DEPENDENCYPART_ARC
(0,25),-6.03516 # DEPENDENCYPART_ARC
(1,2),-1.16587 # DEPENDENCYPART_ARC
(1,3),-1.14777 # DEPENDENCYPART_ARC
(1,4),-0.278884 # DEPENDENCYPART_ARC
(1,5),-1.73923 # DEPENDENCYPART_ARC
(1,6),-2.11765 # DEPENDENCYPART_ARC
(1,7),-4.0197 # DEPENDENCYPART_ARC
(1,8),-2.15081 # DEPENDENCYPART_ARC
(1,9),-2.81237 # DEPENDENCYPART_ARC
(1,10),-1.82377 # DEPENDENCYPART_ARC
(1,11),-1.86894 # DEPENDENCYPART_ARC
(1,12),-3.34499 # DEPENDENCYPART_ARC
(1,13),-3.3036 # DEPENDENCYPART_ARC
(1,14),-2.67128 # DEPENDENCYPART_ARC
(1,15),-3.52387 # DEPENDENCYPART_ARC
(1,16),-2.56998 # DEPENDENCYPART_ARC
(1,17),-4.985 # DEPENDENCYPART_ARC
(1,18),-3.45804 # DEPENDENCYPART_ARC
