# _root_ The broader Tokyo Stock Price Index sank 45.66 , or 1.7 % , to 2600.88 .
#goldHeads=6,6,6,6,6,7,0,7,8,8,12,10,8,7,14,7,
#predictedHeads=6,6,6,6,6,7,0,7,7,8,12,10,7,7,14,7,
(0,1),-6.14577 # DEPENDENCYPART_ARC
(0,2),-5.97251 # DEPENDENCYPART_ARC
(0,3),-5.59355 # DEPENDENCYPART_ARC
(0,4),-5.59309 # DEPENDENCYPART_ARC
(0,5),-6.19206 # DEPENDENCYPART_ARC
(0,6),-6.0349 # DEPENDENCYPART_ARC
(0,7),-2.91935 # DEPENDENCYPART_ARC
(0,8),-7.89274 # DEPENDENCYPART_ARC
(0,9),-6.84902 # DEPENDENCYPART_ARC
(0,10),-7.61761 # DEPENDENCYPART_ARC
(0,11),-7.99208 # DEPENDENCYPART_ARC
(0,12),-8.22442 # DEPENDENCYPART_ARC
(0,13),-7.29 # DEPENDENCYPART_ARC
(0,14),-7.45209 # DEPENDENCYPART_ARC
(0,15),-8.55766 # DEPENDENCYPART_ARC
(0,16),-5.51099 # DEPENDENCYPART_ARC
(1,2),-0.342275 # DEPENDENCYPART_ARC
(1,3),-0.776725 # DEPENDENCYPART_ARC
(1,4),-0.91411 # DEPENDENCYPART_ARC
(1,5),-1.13528 # DEPENDENCYPART_ARC
(1,6),-1.266 # DEPENDENCYPART_ARC
(1,7),-0.88982 # DEPENDENCYPART_ARC
(1,8),-1.21551 # DEPENDENCYPART_ARC
(1,9),-0.636083 # DEPENDENCYPART_ARC
(1,10),-1.42518 # DEPENDENCYPART_ARC
(1,11),-1.14497 # DEPENDENCYPART_ARC
(1,12),-2.22912 # DEPENDENCYPART_ARC
(1,13),-0.950585 # DEPENDENCYPART_ARC
(1,14),-1.68852 # DEPENDENCYPART_ARC
(1,15),-2.14642 # DEPENDENCYPART_ARC
(1,16),-1.99857 # DEPENDENCYPART_ARC
(2,1),1.9715 # DEPENDENCYPART_ARC
(2,3),0.965358 # DEPENDENCYPART_ARC
(2,4),0.320809 # DEPENDENCYPART_ARC
(2,5),0.114432 # DEPENDENCYPART_ARC
(2,6),-0.178957 # DEPENDENCYPART_ARC
(2,7),-0.095268 # DEPENDENCYPART_ARC
(2,8),-0.651634 # DEPENDENCYPART_ARC
(2,9),0.404561 # DEPENDENCYPART_ARC
(2,10),0.0741658 # DEPENDENCYPART_ARC
(2,11),-1.00448 # DEPENDENCYPART_ARC
(2,12),-1.21614 # DEPENDENCYPART_ARC
(2,13),0.0505395 # DEPENDENCYPART_ARC
(2,14),-0.715721 # DEPENDENCYPART_ARC
(2,15),-1.38023 # DEPENDENCYPART_ARC
(2,16),0.10626 # DEPENDENCYPART_ARC
(3,1),1.15534 # DEPENDENCYPART_ARC
(3,2),0.153263 # DEPENDENCYPART_ARC
(3,4),0.94243 # DEPENDENCYPART_ARC
(3,5),0.666387 # DEPENDENCYPART_ARC
(3,6),0.33608 # DEPENDENCYPART_ARC
(3,7),-1.05719 # DEPENDENCYPART_ARC
(3,8),-0.776031 # DEPENDENCYPART_ARC
(3,9),-0.741802 # DEPENDENCYPART_ARC
(3,10),-1.76615 # DEPENDENCYPART_ARC
(3,11),-2.32951 # DEPENDENCYPART_ARC
(3,12),-2.33041 # DEPENDENCYPART_ARC
(3,13),-0.986803 # DEPENDENCYPART_ARC
(3,14),-2.53174 # DEPENDENCYPART_ARC
(3,15),-2.6342 # DEPENDENCYPART_ARC
(3,16),-0.748932 # DEPENDENCYPART_ARC
(4,1),0.466329 # DEPENDENCYPART_ARC
(4,2),-0.465865 # DEPENDENCYPART_ARC
(4,3),1.40046 # DEPENDENCYPART_ARC
(4,5),0.198094 # DEPENDENCYPART_ARC
(4,6),0.764301 # DEPENDENCYPART_ARC
(4,7),-1.23312 # DEPENDENCYPART_ARC
(4,8),-1.29796 # DEPENDENCYPART_ARC
(4,9),-1.18501 # DEPENDENCYPART_ARC
(4,10),-2.14509 # DEPENDENCYPART_ARC
(4,11),-3.03372 # DEPENDENCYPART_ARC
(4,12),-2.80923 # DEPENDENCYPART_ARC
(4,13),-1.11802 # DEPENDENCYPART_ARC
(4,14),-3.46997 # DEPENDENCYPART_ARC
(4,15),-3.16635 # DEPENDENCYPART_ARC
(4,16),-1.37299 # DEPENDENCYPART_ARC
(5,1),1.58373 # DEPENDENCYPART_ARC
(5,2),0.0697005 # DEPENDENCYPART_ARC
(5,3),2.25318 # DEPENDENCYPART_ARC
(5,4),2.76146 # DEPENDENCYPART_ARC
(5,6),1.93526 # DEPENDENCYPART_ARC
(5,7),-1.07776 # DEPENDENCYPART_ARC
(5,8),-0.983953 # DEPENDENCYPART_ARC
(5,9),-1.10077 # DEPENDENCYPART_ARC
(5,10),-1.80658 # DEPENDENCYPART_ARC
(5,11),-2.87408 # DEPENDENCYPART_ARC
(5,12),-2.62035 # DEPENDENCYPART_ARC
(5,13),-0.865221 # DEPENDENCYPART_ARC
(5,14),-2.9419 # DEPENDENCYPART_ARC
(5,15),-2.96626 # DEPENDENCYPART_ARC
(5,16),-1.34103 # DEPENDENCYPART_ARC
(6,1),3.76706 # DEPENDENCYPART_ARC
(6,2),0.926114 # DEPENDENCYPART_ARC
(6,3),4.16518 # DEPENDENCYPART_ARC
(6,4),4.66732 # DEPENDENCYPART_ARC
(6,5),4.50782 # DEPENDENCYPART_ARC
(6,7),0.882881 # DEPENDENCYPART_ARC
(6,8),0.667454 # DEPENDENCYPART_ARC
(6,9),0.396787 # DEPENDENCYPART_ARC
(6,10),-0.249537 # DEPENDENCYPART_ARC
(6,11),-1.10453 # DEPENDENCYPART_ARC
(6,12),-1.32234 # DEPENDENCYPART_ARC
(6,13),-0.586853 # DEPENDENCYPART_ARC
(6,14),-1.55146 # DEPENDENCYPART_ARC
(6,15),-1.64959 # DEPENDENCYPART_ARC
(6,16),0.110725 # DEPENDENCYPART_ARC
(7,1),-0.361456 # DEPENDENCYPART_ARC
(7,2),0.379976 # DEPENDENCYPART_ARC
(7,3),1.52096 # DEPENDENCYPART_ARC
(7,4),2.01306 # DEPENDENCYPART_ARC
(7,5),1.84695 # DEPENDENCYPART_ARC
(7,6),3.27714 # DEPENDENCYPART_ARC
(7,8),2.01724 # DEPENDENCYPART_ARC
(7,9),2.5891 # DEPENDENCYPART_ARC
(7,10),0.539887 # DEPENDENCYPART_ARC
(7,11),-0.238591 # DEPENDENCYPART_ARC
(7,12),1.302 # DEPENDENCYPART_ARC
(7,13),2.19109 # DEPENDENCYPART_ARC
(7,14),2.90316 # DEPENDENCYPART_ARC
(7,15),-0.777334 # DEPENDENCYPART_ARC
(7,16),3.4305 # DEPENDENCYPART_ARC
(8,1),-0.37236 # DEPENDENCYPART_ARC
(8,2),-0.85228 # DEPENDENCYPART_ARC
(8,3),-0.608874 # DEPENDENCYPART_ARC
(8,4),-0.429761 # DEPENDENCYPART_ARC
(8,5),-0.0665416 # DEPENDENCYPART_ARC
(8,6),0.471081 # DEPENDENCYPART_ARC
(8,7),0.801964 # DEPENDENCYPART_ARC
(8,9),2.23142 # DEPENDENCYPART_ARC
(8,10),2.00675 # DEPENDENCYPART_ARC
(8,11),0.400826 # DEPENDENCYPART_ARC
(8,12),0.156646 # DEPENDENCYPART_ARC
(8,13),1.76021 # DEPENDENCYPART_ARC
(8,14),0.301445 # DEPENDENCYPART_ARC
(8,15),-0.261419 # DEPENDENCYPART_ARC
(8,16),0.682086 # DEPENDENCYPART_ARC
(9,1),-1.40152 # DEPENDENCYPART_ARC
(9,2),-1.8388 # DEPENDENCYPART_ARC
(9,3),-1.78559 # DEPENDENCYPART_ARC
(9,4),-1.89688 # DEPENDENCYPART_ARC
(9,5),-1.66536 # DEPENDENCYPART_ARC
(9,6),-1.32146 # DEPENDENCYPART_ARC
(9,7),-1.21863 # DEPENDENCYPART_ARC
(9,8),-0.428751 # DEPENDENCYPART_ARC
(9,10),0.0571876 # DEPENDENCYPART_ARC
(9,11),-0.473075 # DEPENDENCYPART_ARC
(9,12),-0.944774 # DEPENDENCYPART_ARC
(9,13),0.5401 # DEPENDENCYPART_ARC
(9,14),-1.22063 # DEPENDENCYPART_ARC
(9,15),-1.80898 # DEPENDENCYPART_ARC
(9,16),-0.892918 # DEPENDENCYPART_ARC
(10,1),-1.4244 # DEPENDENCYPART_ARC
(10,2),-1.84432 # DEPENDENCYPART_ARC
(10,3),-1.01117 # DEPENDENCYPART_ARC
(10,4),-0.966435 # DEPENDENCYPART_ARC
(10,5),-0.953535 # DEPENDENCYPART_ARC
(10,6),-0.745596 # DEPENDENCYPART_ARC
(10,7),-0.254074 # DEPENDENCYPART_ARC
(10,8),-0.869927 # DEPENDENCYPART_ARC
(10,9),-0.436117 # DEPENDENCYPART_ARC
(10,11),1.57056 # DEPENDENCYPART_ARC
(10,12),3.33613 # DEPENDENCYPART_ARC
(10,13),0.518733 # DEPENDENCYPART_ARC
(10,14),0.638033 # DEPENDENCYPART_ARC
(10,15),0.381111 # DEPENDENCYPART_ARC
(10,16),0.474043 # DEPENDENCYPART_ARC
(11,1),-1.49391 # DEPENDENCYPART_ARC
(11,2),-1.32028 # DEPENDENCYPART_ARC
(11,3),-1.48877 # DEPENDENCYPART_ARC
(11,4),-1.39216 # DEPENDENCYPART_ARC
(11,5),-1.23157 # DEPENDENCYPART_ARC
(11,6),-0.892862 # DEPENDENCYPART_ARC
(11,7),-1.02844 # DEPENDENCYPART_ARC
(11,8),0.931708 # DEPENDENCYPART_ARC
(11,9),0.910108 # DEPENDENCYPART_ARC
(11,10),0.689127 # DEPENDENCYPART_ARC
(11,12),1.74743 # DEPENDENCYPART_ARC
(11,13),0.118722 # DEPENDENCYPART_ARC
(11,14),-0.375091 # DEPENDENCYPART_ARC
(11,15),-0.562056 # DEPENDENCYPART_ARC
(11,16),-0.76148 # DEPENDENCYPART_ARC
(12,1),-0.739895 # DEPENDENCYPART_ARC
(12,2),-0.191527 # DEPENDENCYPART_ARC
(12,3),-1.73448 # DEPENDENCYPART_ARC
(12,4),-1.96898 # DEPENDENCYPART_ARC
(12,5),-2.21394 # DEPENDENCYPART_ARC
(12,6),-2.88418 # DEPENDENCYPART_ARC
(12,7),-0.244954 # DEPENDENCYPART_ARC
(12,8),1.17318 # DEPENDENCYPART_ARC
(12,9),1.3934 # DEPENDENCYPART_ARC
(12,10),1.57548 # DEPENDENCYPART_ARC
(12,11),4.52109 # DEPENDENCYPART_ARC
(12,13),1.39153 # DEPENDENCYPART_ARC
(12,14),0.412999 # DEPENDENCYPART_ARC
(12,15),0.639325 # DEPENDENCYPART_ARC
(12,16),-0.218976 # DEPENDENCYPART_ARC
(13,1),-2.33967 # DEPENDENCYPART_ARC
(13,2),-2.61621 # DEPENDENCYPART_ARC
(13,3),-2.58516 # DEPENDENCYPART_ARC
(13,4),-2.51737 # DEPENDENCYPART_ARC
(13,5),-2.42799 # DEPENDENCYPART_ARC
(13,6),-2.28329 # DEPENDENCYPART_ARC
(13,7),-1.7414 # DEPENDENCYPART_ARC
(13,8),-1.91622 # DEPENDENCYPART_ARC
(13,9),-0.614998 # DEPENDENCYPART_ARC
(13,10),-1.67619 # DEPENDENCYPART_ARC
(13,11),-1.43168 # DEPENDENCYPART_ARC
(13,12),-0.964794 # DEPENDENCYPART_ARC
(13,14),-0.298676 # DEPENDENCYPART_ARC
(13,15),-0.786827 # DEPENDENCYPART_ARC
(13,16),-0.853947 # DEPENDENCYPART_ARC
(14,1),-1.01492 # DEPENDENCYPART_ARC
(14,2),-1.87238 # DEPENDENCYPART_ARC
(14,3),-0.86008 # DEPENDENCYPART_ARC
(14,4),-0.4565 # DEPENDENCYPART_ARC
(14,5),-0.397024 # DEPENDENCYPART_ARC
(14,6),-0.369221 # DEPENDENCYPART_ARC
(14,7),-0.467705 # DEPENDENCYPART_ARC
(14,8),-0.274332 # DEPENDENCYPART_ARC
(14,9),0.312968 # DEPENDENCYPART_ARC
(14,10),-0.0903721 # DEPENDENCYPART_ARC
(14,11),0.645345 # DEPENDENCYPART_ARC
(14,12),-0.251226 # DEPENDENCYPART_ARC
(14,13),1.01056 # DEPENDENCYPART_ARC
(14,15),3.26092 # DEPENDENCYPART_ARC
(14,16),0.860385 # DEPENDENCYPART_ARC
(15,1),-1.52458 # DEPENDENCYPART_ARC
(15,2),-1.56461 # DEPENDENCYPART_ARC
(15,3),-1.90987 # DEPENDENCYPART_ARC
(15,4),-1.8548 # DEPENDENCYPART_ARC
(15,5),-1.53398 # DEPENDENCYPART_ARC
(15,6),-1.40482 # DEPENDENCYPART_ARC
(15,7),-1.24706 # DEPENDENCYPART_ARC
(15,8),-0.235457 # DEPENDENCYPART_ARC
(15,9),0.0229055 # DEPENDENCYPART_ARC
(15,10),-0.302822 # DEPENDENCYPART_ARC
(15,11),0.185243 # DEPENDENCYPART_ARC
(15,12),-0.317779 # DEPENDENCYPART_ARC
(15,13),0.518258 # DEPENDENCYPART_ARC
(15,14),1.27326 # DEPENDENCYPART_ARC
(15,16),0.283549 # DEPENDENCYPART_ARC
(16,1),-1.92314 # DEPENDENCYPART_ARC
(16,2),-1.88978 # DEPENDENCYPART_ARC
(16,3),-1.80718 # DEPENDENCYPART_ARC
(16,4),-1.82839 # DEPENDENCYPART_ARC
(16,5),-1.79139 # DEPENDENCYPART_ARC
(16,6),-1.75419 # DEPENDENCYPART_ARC
(16,7),-1.18817 # DEPENDENCYPART_ARC
(16,8),-1.82836 # DEPENDENCYPART_ARC
(16,9),-0.83004 # DEPENDENCYPART_ARC
(16,10),-0.91507 # DEPENDENCYPART_ARC
(16,11),-1.68557 # DEPENDENCYPART_ARC
(16,12),-1.43212 # DEPENDENCYPART_ARC
(16,13),-0.136863 # DEPENDENCYPART_ARC
(16,14),-1.15182 # DEPENDENCYPART_ARC
(16,15),-1.01365 # DEPENDENCYPART_ARC
