# _root_ Grinned Griffith Peck , a trader in Shearson Lehman Hutton Inc. 's OTC department : `` I tell you , this market acts healthy . ''
#goldHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
#predictedHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,14,18,23,22,23,18,23,1,1,
(0,1),-3.50252 # DEPENDENCYPART_ARC
(0,2),-6.29931 # DEPENDENCYPART_ARC
(0,3),-5.97645 # DEPENDENCYPART_ARC
(0,4),-6.99717 # DEPENDENCYPART_ARC
(0,5),-7.61321 # DEPENDENCYPART_ARC
(0,6),-7.25739 # DEPENDENCYPART_ARC
(0,7),-8.02802 # DEPENDENCYPART_ARC
(0,8),-7.4635 # DEPENDENCYPART_ARC
(0,9),-7.19872 # DEPENDENCYPART_ARC
(0,10),-8.43055 # DEPENDENCYPART_ARC
(0,11),-7.06164 # DEPENDENCYPART_ARC
(0,12),-10.9479 # DEPENDENCYPART_ARC
(0,13),-9.05026 # DEPENDENCYPART_ARC
(0,14),-7.41721 # DEPENDENCYPART_ARC
(0,15),-6.17111 # DEPENDENCYPART_ARC
(0,16),-8.09541 # DEPENDENCYPART_ARC
(0,17),-7.69606 # DEPENDENCYPART_ARC
(0,18),-4.21137 # DEPENDENCYPART_ARC
(0,19),-7.77089 # DEPENDENCYPART_ARC
(0,20),-8.79466 # DEPENDENCYPART_ARC
(0,21),-9.01504 # DEPENDENCYPART_ARC
(0,22),-8.54075 # DEPENDENCYPART_ARC
(0,23),-4.24854 # DEPENDENCYPART_ARC
(0,24),-7.11283 # DEPENDENCYPART_ARC
(0,25),-5.47714 # DEPENDENCYPART_ARC
(0,26),-8.36639 # DEPENDENCYPART_ARC
(1,2),2.43485 # DEPENDENCYPART_ARC
(1,3),3.1333 # DEPENDENCYPART_ARC
(1,4),1.38 # DEPENDENCYPART_ARC
(1,5),0.0591304 # DEPENDENCYPART_ARC
(1,6),1.47326 # DEPENDENCYPART_ARC
(1,7),1.6782 # DEPENDENCYPART_ARC
(1,8),-0.143864 # DEPENDENCYPART_ARC
(1,9),0.258442 # DEPENDENCYPART_ARC
(1,10),0.294418 # DEPENDENCYPART_ARC
(1,11),0.0539451 # DEPENDENCYPART_ARC
(1,12),-0.228023 # DEPENDENCYPART_ARC
(1,13),0.367493 # DEPENDENCYPART_ARC
