# _root_ Copper inventories in New York 's Commodity Exchange warehouses rose yesterday by 516 tons , to 10,004 tons .
#goldHeads=2,10,2,5,9,5,9,9,3,0,10,10,14,12,10,10,18,16,10,
#predictedHeads=2,10,2,5,9,5,9,9,10,0,10,10,14,12,10,10,18,16,10,
(0,1),-6.24968 # DEPENDENCYPART_ARC
(0,2),-7.36404 # DEPENDENCYPART_ARC
(0,3),-7.18868 # DEPENDENCYPART_ARC
(0,4),-6.291 # DEPENDENCYPART_ARC
(0,5),-6.53299 # DEPENDENCYPART_ARC
(0,6),-8.21782 # DEPENDENCYPART_ARC
(0,7),-7.33367 # DEPENDENCYPART_ARC
(0,8),-7.43628 # DEPENDENCYPART_ARC
(0,9),-6.69476 # DEPENDENCYPART_ARC
(0,10),-4.06604 # DEPENDENCYPART_ARC
(0,11),-7.5764 # DEPENDENCYPART_ARC
(0,12),-9.578 # DEPENDENCYPART_ARC
(0,13),-8.99234 # DEPENDENCYPART_ARC
(0,14),-7.63539 # DEPENDENCYPART_ARC
(0,15),-8.21047 # DEPENDENCYPART_ARC
(0,16),-8.36982 # DEPENDENCYPART_ARC
(0,17),-9.48231 # DEPENDENCYPART_ARC
(0,18),-7.44673 # DEPENDENCYPART_ARC
(0,19),-7.41559 # DEPENDENCYPART_ARC
(1,2),0.984534 # DEPENDENCYPART_ARC
(1,3),-0.348964 # DEPENDENCYPART_ARC
(1,4),-0.448892 # DEPENDENCYPART_ARC
(1,5),-0.675934 # DEPENDENCYPART_ARC
(1,6),-0.195796 # DEPENDENCYPART_ARC
(1,7),-0.931499 # DEPENDENCYPART_ARC
(1,8),-1.00517 # DEPENDENCYPART_ARC
(1,9),-1.2435 # DEPENDENCYPART_ARC
(1,10),-0.262988 # DEPENDENCYPART_ARC
(1,11),-1.06605 # DEPENDENCYPART_ARC
(1,12),-1.43206 # DEPENDENCYPART_ARC
(1,13),-1.67114 # DEPENDENCYPART_ARC
(1,14),-1.6887 # DEPENDENCYPART_ARC
(1,15),-1.15089 # DEPENDENCYPART_ARC
(1,16),-1.8355 # DEPENDENCYPART_ARC
(1,17),-1.90674 # DEPENDENCYPART_ARC
(1,18),-2.27341 # DEPENDENCYPART_ARC
(1,19),0.0665652 # DEPENDENCYPART_ARC
