# _root_ Around Wall Street , trading desks were relieved that they could at least play the market yesterday , in contrast to Friday 's gridlock .
#goldHeads=7,3,1,7,6,7,0,7,8,11,9,11,12,11,16,14,14,14,14,19,20,24,22,21,7,
#predictedHeads=7,3,1,7,6,7,0,7,8,11,9,14,12,11,16,14,14,14,14,19,20,24,22,21,7,
(0,1),-6.4166 # DEPENDENCYPART_ARC
(0,2),-5.70329 # DEPENDENCYPART_ARC
(0,3),-5.33674 # DEPENDENCYPART_ARC
(0,4),-6.66456 # DEPENDENCYPART_ARC
(0,5),-6.59645 # DEPENDENCYPART_ARC
(0,6),-5.64231 # DEPENDENCYPART_ARC
(0,7),-2.64266 # DEPENDENCYPART_ARC
(0,8),-4.6553 # DEPENDENCYPART_ARC
(0,9),-7.30597 # DEPENDENCYPART_ARC
(0,10),-6.22817 # DEPENDENCYPART_ARC
(0,11),-3.75456 # DEPENDENCYPART_ARC
(0,12),-8.4792 # DEPENDENCYPART_ARC
(0,13),-8.01482 # DEPENDENCYPART_ARC
(0,14),-5.47128 # DEPENDENCYPART_ARC
(0,15),-8.21696 # DEPENDENCYPART_ARC
(0,16),-6.20122 # DEPENDENCYPART_ARC
(0,17),-5.30037 # DEPENDENCYPART_ARC
(0,18),-8.30522 # DEPENDENCYPART_ARC
(0,19),-8.84519 # DEPENDENCYPART_ARC
(0,20),-6.43299 # DEPENDENCYPART_ARC
(0,21),-8.28332 # DEPENDENCYPART_ARC
(0,22),-7.59192 # DEPENDENCYPART_ARC
(0,23),-9.4418 # DEPENDENCYPART_ARC
(0,24),-6.85607 # DEPENDENCYPART_ARC
(0,25),-6.50062 # DEPENDENCYPART_ARC
(1,2),2.40777 # DEPENDENCYPART_ARC
(1,3),2.20692 # DEPENDENCYPART_ARC
(1,4),1.08548 # DEPENDENCYPART_ARC
(1,5),0.403705 # DEPENDENCYPART_ARC
(1,6),-0.0294369 # DEPENDENCYPART_ARC
(1,7),1.75687 # DEPENDENCYPART_ARC
(1,8),0.402496 # DEPENDENCYPART_ARC
(1,9),-0.232565 # DEPENDENCYPART_ARC
(1,10),-1.13844 # DEPENDENCYPART_ARC
(1,11),-0.0521157 # DEPENDENCYPART_ARC
(1,12),-1.09033 # DEPENDENCYPART_ARC
