# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
(0,1),-5.92885 # DEPENDENCYPART_ARC
(0,2),-6.18414 # DEPENDENCYPART_ARC
(0,3),-2.98621 # DEPENDENCYPART_ARC
(0,4),-5.05151 # DEPENDENCYPART_ARC
(0,5),-5.17762 # DEPENDENCYPART_ARC
(0,6),-6.53055 # DEPENDENCYPART_ARC
(0,7),-6.69987 # DEPENDENCYPART_ARC
(0,8),-7.67265 # DEPENDENCYPART_ARC
(0,9),-5.87281 # DEPENDENCYPART_ARC
(0,10),-3.43991 # DEPENDENCYPART_ARC
(0,11),-5.94939 # DEPENDENCYPART_ARC
(0,12),-7.30163 # DEPENDENCYPART_ARC
(0,13),-7.16227 # DEPENDENCYPART_ARC
(0,14),-8.2326 # DEPENDENCYPART_ARC
(0,15),-7.14887 # DEPENDENCYPART_ARC
(0,16),-6.66549 # DEPENDENCYPART_ARC
(0,17),-7.50565 # DEPENDENCYPART_ARC
(0,18),-8.83896 # DEPENDENCYPART_ARC
(0,19),-6.81837 # DEPENDENCYPART_ARC
(0,20),-9.24972 # DEPENDENCYPART_ARC
(0,21),-9.35203 # DEPENDENCYPART_ARC
(0,22),-9.44498 # DEPENDENCYPART_ARC
(0,23),-9.60113 # DEPENDENCYPART_ARC
(0,24),-9.19687 # DEPENDENCYPART_ARC
(0,25),-9.37294 # DEPENDENCYPART_ARC
(0,26),-10.0921 # DEPENDENCYPART_ARC
(0,27),-10.0819 # DEPENDENCYPART_ARC
(0,28),-10.1823 # DEPENDENCYPART_ARC
(0,29),-8.4612 # DEPENDENCYPART_ARC
(0,30),-7.14527 # DEPENDENCYPART_ARC
(0,31),-10.4622 # DEPENDENCYPART_ARC
(0,32),-10.8504 # DEPENDENCYPART_ARC
(0,33),-7.65493 # DEPENDENCYPART_ARC
(0,34),-5.73124 # DEPENDENCYPART_ARC
(1,2),-0.257715 # DEPENDENCYPART_ARC
(1,3),2.34172 # DEPENDENCYPART_ARC
(1,4),0.795598 # DEPENDENCYPART_ARC
(1,5),-0.118482 # DEPENDENCYPART_ARC
(1,6),-0.815635 # DEPENDENCYPART_ARC
(1,7),-0.765366 # DEPENDENCYPART_ARC
(1,8),-2.10461 # DEPENDENCYPART_ARC
(1,9),-2.32992 # DEPENDENCYPART_ARC
(1,10),-0.311468 # DEPENDENCYPART_ARC
(1,11),-0.997788 # DEPENDENCYPART_ARC
(1,12),0.234179 # DEPENDENCYPART_ARC
(1,13),-1.44965 # DEPENDENCYPART_ARC
(1,14),-2.97026 # DEPENDENCYPART_ARC
(1,15),-1.9532 # DEPENDENCYPART_ARC
(1,16),-3.00923 # DEPENDENCYPART_ARC
(1,17),-1.09299 # DEPENDENCYPART_ARC
(1,18),-3.37475 # DEPENDENCYPART_ARC
(1,19),-3.22183 # DEPENDENCYPART_ARC
(1,20),-2.10885 # DEPENDENCYPART_ARC
(1,21),-3.02148 # DEPENDENCYPART_ARC
(1,22),-2.9732 # DEPENDENCYPART_ARC
(1,23),-3.2183 # DEPENDENCYPART_ARC
(1,24),-1.41982 # DEPENDENCYPART_ARC
(1,25),-1.18701 # DEPENDENCYPART_ARC
(1,26),-3.53262 # DEPENDENCYPART_ARC
(1,27),-3.62073 # DEPENDENCYPART_ARC
(1,28),-3.69107 # DEPENDENCYPART_ARC
(1,29),-2.32575 # DEPENDENCYPART_ARC
(1,30),-4.38131 # DEPENDENCYPART_ARC
(1,31),-2.79295 # DEPENDENCYPART_ARC
