# _root_ Suddenly , after about 45 minutes , the U.S. markets rallied .
#goldHeads=11,11,11,6,4,3,11,10,10,11,0,11,
#predictedHeads=11,11,11,6,4,3,11,10,10,11,0,11,
(0,1),-5.39576 # DEPENDENCYPART_ARC
(0,2),-6.78108 # DEPENDENCYPART_ARC
(0,3),-6.20554 # DEPENDENCYPART_ARC
(0,4),-6.66452 # DEPENDENCYPART_ARC
(0,5),-7.69528 # DEPENDENCYPART_ARC
(0,6),-6.01666 # DEPENDENCYPART_ARC
(0,7),-6.87585 # DEPENDENCYPART_ARC
(0,8),-7.57942 # DEPENDENCYPART_ARC
(0,9),-6.37933 # DEPENDENCYPART_ARC
(0,10),-5.50495 # DEPENDENCYPART_ARC
(0,11),-1.46215 # DEPENDENCYPART_ARC
(0,12),-5.74982 # DEPENDENCYPART_ARC
(1,2),-0.326927 # DEPENDENCYPART_ARC
(1,3),-0.711323 # DEPENDENCYPART_ARC
(1,4),-0.707307 # DEPENDENCYPART_ARC
(1,5),0.109893 # DEPENDENCYPART_ARC
(1,6),-1.19174 # DEPENDENCYPART_ARC
(1,7),-0.387159 # DEPENDENCYPART_ARC
(1,8),-1.44574 # DEPENDENCYPART_ARC
(1,9),-1.97632 # DEPENDENCYPART_ARC
(1,10),-2.32989 # DEPENDENCYPART_ARC
(1,11),-0.957875 # DEPENDENCYPART_ARC
(1,12),0.0380555 # DEPENDENCYPART_ARC
(2,1),-0.942025 # DEPENDENCYPART_ARC
(2,3),-0.946299 # DEPENDENCYPART_ARC
(2,4),-1.47426 # DEPENDENCYPART_ARC
(2,5),-1.79277 # DEPENDENCYPART_ARC
(2,6),-1.93207 # DEPENDENCYPART_ARC
(2,7),-0.577232 # DEPENDENCYPART_ARC
(2,8),-2.25247 # DEPENDENCYPART_ARC
(2,9),-2.38911 # DEPENDENCYPART_ARC
(2,10),-2.7091 # DEPENDENCYPART_ARC
(2,11),-2.08205 # DEPENDENCYPART_ARC
(2,12),-2.00931 # DEPENDENCYPART_ARC
(3,1),0.216866 # DEPENDENCYPART_ARC
(3,2),0.219097 # DEPENDENCYPART_ARC
(3,4),1.18969 # DEPENDENCYPART_ARC
(3,5),1.70511 # DEPENDENCYPART_ARC
(3,6),2.40817 # DEPENDENCYPART_ARC
(3,7),1.38501 # DEPENDENCYPART_ARC
(3,8),-1.21297 # DEPENDENCYPART_ARC
(3,9),-2.67203 # DEPENDENCYPART_ARC
(3,10),-1.12773 # DEPENDENCYPART_ARC
(3,11),2.2604 # DEPENDENCYPART_ARC
(3,12),0.736752 # DEPENDENCYPART_ARC
(4,1),0.300433 # DEPENDENCYPART_ARC
(4,2),-0.0731907 # DEPENDENCYPART_ARC
(4,3),1.16912 # DEPENDENCYPART_ARC
(4,5),5.11435 # DEPENDENCYPART_ARC
(4,6),1.08791 # DEPENDENCYPART_ARC
(4,7),1.11209 # DEPENDENCYPART_ARC
(4,8),0.531625 # DEPENDENCYPART_ARC
(4,9),0.282899 # DEPENDENCYPART_ARC
(4,10),-0.849274 # DEPENDENCYPART_ARC
(4,11),0.0361875 # DEPENDENCYPART_ARC
(4,12),0.222318 # DEPENDENCYPART_ARC
(5,1),-0.666123 # DEPENDENCYPART_ARC
(5,2),-0.278409 # DEPENDENCYPART_ARC
(5,3),0.885249 # DEPENDENCYPART_ARC
(5,4),2.41057 # DEPENDENCYPART_ARC
(5,6),0.508504 # DEPENDENCYPART_ARC
(5,7),0.0375654 # DEPENDENCYPART_ARC
(5,8),-0.875792 # DEPENDENCYPART_ARC
(5,9),-0.563757 # DEPENDENCYPART_ARC
(5,10),-0.909944 # DEPENDENCYPART_ARC
(5,11),-0.479399 # DEPENDENCYPART_ARC
(5,12),-0.837663 # DEPENDENCYPART_ARC
(6,1),-0.24238 # DEPENDENCYPART_ARC
(6,2),-0.427911 # DEPENDENCYPART_ARC
(6,3),0.577086 # DEPENDENCYPART_ARC
(6,4),3.90577 # DEPENDENCYPART_ARC
(6,5),3.52043 # DEPENDENCYPART_ARC
(6,7),1.66794 # DEPENDENCYPART_ARC
(6,8),0.468142 # DEPENDENCYPART_ARC
(6,9),0.701708 # DEPENDENCYPART_ARC
(6,10),0.520811 # DEPENDENCYPART_ARC
(6,11),0.643867 # DEPENDENCYPART_ARC
(6,12),0.38479 # DEPENDENCYPART_ARC
(7,1),-2.41161 # DEPENDENCYPART_ARC
(7,2),-0.555003 # DEPENDENCYPART_ARC
(7,3),-1.5183 # DEPENDENCYPART_ARC
(7,4),-1.64553 # DEPENDENCYPART_ARC
(7,5),-1.3222 # DEPENDENCYPART_ARC
(7,6),-1.22188 # DEPENDENCYPART_ARC
(7,8),-0.317945 # DEPENDENCYPART_ARC
(7,9),-0.610592 # DEPENDENCYPART_ARC
(7,10),-1.17356 # DEPENDENCYPART_ARC
(7,11),-0.929804 # DEPENDENCYPART_ARC
(7,12),-1.28417 # DEPENDENCYPART_ARC
(8,1),-2.94374 # DEPENDENCYPART_ARC
(8,2),-2.48225 # DEPENDENCYPART_ARC
(8,3),-2.16206 # DEPENDENCYPART_ARC
(8,4),-1.90037 # DEPENDENCYPART_ARC
(8,5),-1.46003 # DEPENDENCYPART_ARC
(8,6),-1.83094 # DEPENDENCYPART_ARC
(8,7),-0.811158 # DEPENDENCYPART_ARC
(8,9),-0.270167 # DEPENDENCYPART_ARC
(8,10),-0.339925 # DEPENDENCYPART_ARC
(8,11),0.0652829 # DEPENDENCYPART_ARC
(8,12),-1.04665 # DEPENDENCYPART_ARC
(9,1),-3.98503 # DEPENDENCYPART_ARC
(9,2),-3.20837 # DEPENDENCYPART_ARC
(9,3),-2.43748 # DEPENDENCYPART_ARC
(9,4),-1.93802 # DEPENDENCYPART_ARC
(9,5),-1.53285 # DEPENDENCYPART_ARC
(9,6),-2.24113 # DEPENDENCYPART_ARC
(9,7),-1.13406 # DEPENDENCYPART_ARC
(9,8),2.17633 # DEPENDENCYPART_ARC
(9,10),-0.170274 # DEPENDENCYPART_ARC
(9,11),-0.330968 # DEPENDENCYPART_ARC
(9,12),-0.696049 # DEPENDENCYPART_ARC
(10,1),-2.258 # DEPENDENCYPART_ARC
(10,2),-0.703735 # DEPENDENCYPART_ARC
(10,3),-0.244094 # DEPENDENCYPART_ARC
(10,4),1.12624 # DEPENDENCYPART_ARC
(10,5),1.11501 # DEPENDENCYPART_ARC
(10,6),0.220725 # DEPENDENCYPART_ARC
(10,7),0.614582 # DEPENDENCYPART_ARC
(10,8),4.1899 # DEPENDENCYPART_ARC
(10,9),4.80771 # DEPENDENCYPART_ARC
(10,11),0.91109 # DEPENDENCYPART_ARC
(10,12),0.266641 # DEPENDENCYPART_ARC
(11,1),1.49985 # DEPENDENCYPART_ARC
(11,2),1.62229 # DEPENDENCYPART_ARC
(11,3),1.47399 # DEPENDENCYPART_ARC
(11,4),0.0855739 # DEPENDENCYPART_ARC
(11,5),0.91071 # DEPENDENCYPART_ARC
(11,6),0.406651 # DEPENDENCYPART_ARC
(11,7),3.88212 # DEPENDENCYPART_ARC
(11,8),1.21419 # DEPENDENCYPART_ARC
(11,9),0.990278 # DEPENDENCYPART_ARC
(11,10),3.31083 # DEPENDENCYPART_ARC
(11,12),5.15269 # DEPENDENCYPART_ARC
(12,1),-1.47314 # DEPENDENCYPART_ARC
(12,2),-1.00272 # DEPENDENCYPART_ARC
(12,3),-1.82972 # DEPENDENCYPART_ARC
(12,4),-1.60872 # DEPENDENCYPART_ARC
(12,5),-1.97067 # DEPENDENCYPART_ARC
(12,6),-1.74608 # DEPENDENCYPART_ARC
(12,7),-0.685862 # DEPENDENCYPART_ARC
(12,8),-1.04146 # DEPENDENCYPART_ARC
(12,9),-1.3187 # DEPENDENCYPART_ARC
(12,10),-1.9625 # DEPENDENCYPART_ARC
(12,11),-0.893963 # DEPENDENCYPART_ARC
