# _root_ At Donaldson , Lufkin & Jenrette Inc. , head equity trader Dudley Eppel said : `` I think the opening was constructive .
#goldHeads=14,1,2,2,4,5,6,14,13,13,13,13,14,0,14,14,18,14,20,21,18,21,14,
#predictedHeads=14,1,2,2,4,5,6,14,13,13,13,13,14,0,14,14,18,14,20,21,18,21,14,
(0,1),-6.8619 # DEPENDENCYPART_ARC
(0,2),-5.95388 # DEPENDENCYPART_ARC
(0,3),-6.34444 # DEPENDENCYPART_ARC
(0,4),-6.80003 # DEPENDENCYPART_ARC
(0,5),-7.39488 # DEPENDENCYPART_ARC
(0,6),-6.80782 # DEPENDENCYPART_ARC
(0,7),-6.30982 # DEPENDENCYPART_ARC
(0,8),-6.8734 # DEPENDENCYPART_ARC
(0,9),-6.86133 # DEPENDENCYPART_ARC
(0,10),-6.72356 # DEPENDENCYPART_ARC
(0,11),-6.80819 # DEPENDENCYPART_ARC
(0,12),-7.76223 # DEPENDENCYPART_ARC
(0,13),-6.55404 # DEPENDENCYPART_ARC
(0,14),-1.43357 # DEPENDENCYPART_ARC
(0,15),-5.66916 # DEPENDENCYPART_ARC
(0,16),-7.6722 # DEPENDENCYPART_ARC
(0,17),-7.31784 # DEPENDENCYPART_ARC
(0,18),-3.85083 # DEPENDENCYPART_ARC
(0,19),-8.84068 # DEPENDENCYPART_ARC
(0,20),-8.06865 # DEPENDENCYPART_ARC
(0,21),-4.73544 # DEPENDENCYPART_ARC
(0,22),-6.35891 # DEPENDENCYPART_ARC
(0,23),-6.31901 # DEPENDENCYPART_ARC
(1,2),3.7445 # DEPENDENCYPART_ARC
(1,3),0.6511 # DEPENDENCYPART_ARC
(1,4),0.685981 # DEPENDENCYPART_ARC
(1,5),0.0981452 # DEPENDENCYPART_ARC
(1,6),-0.590074 # DEPENDENCYPART_ARC
(1,7),-0.385555 # DEPENDENCYPART_ARC
(1,8),0.646613 # DEPENDENCYPART_ARC
(1,9),-1.26956 # DEPENDENCYPART_ARC
(1,10),-1.09736 # DEPENDENCYPART_ARC
(1,11),-1.78006 # DEPENDENCYPART_ARC
(1,12),-2.84563 # DEPENDENCYPART_ARC
(1,13),-2.65486 # DEPENDENCYPART_ARC
(1,14),-1.83092 # DEPENDENCYPART_ARC
(1,15),0.238752 # DEPENDENCYPART_ARC
(1,16),-0.43318 # DEPENDENCYPART_ARC
(1,17),-3.0144 # DEPENDENCYPART_ARC
(1,18),-2.77629 # DEPENDENCYPART_ARC
(1,19),-3.67257 # DEPENDENCYPART_ARC
(1,20),-6.25096 # DEPENDENCYPART_ARC
(1,21),-4.57507 # DEPENDENCYPART_ARC
(1,22),-3.34056 # DEPENDENCYPART_ARC
(1,23),0.408983 # DEPENDENCYPART_ARC
(2,1),-0.564566 # DEPENDENCYPART_ARC
(2,3),3.50358 # DEPENDENCYPART_ARC
(2,4),2.7454 # DEPENDENCYPART_ARC
(2,5),1.66437 # DEPENDENCYPART_ARC
(2,6),-0.652096 # DEPENDENCYPART_ARC
(2,7),1.60084 # DEPENDENCYPART_ARC
(2,8),1.32508 # DEPENDENCYPART_ARC
(2,9),0.34139 # DEPENDENCYPART_ARC
(2,10),0.227357 # DEPENDENCYPART_ARC
(2,11),0.248507 # DEPENDENCYPART_ARC
(2,12),-2.01666 # DEPENDENCYPART_ARC
(2,13),-1.33971 # DEPENDENCYPART_ARC
(2,14),-0.374987 # DEPENDENCYPART_ARC
(2,15),-0.23163 # DEPENDENCYPART_ARC
(2,16),0.098966 # DEPENDENCYPART_ARC
(2,17),-1.54111 # DEPENDENCYPART_ARC
(2,18),-0.279687 # DEPENDENCYPART_ARC
(2,19),-1.06666 # DEPENDENCYPART_ARC
