# _root_ Then , nine minutes later , Wall Street suddenly rebounded to a gain on the day .
#goldHeads=10,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
#predictedHeads=10,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
(0,1),-5.43544 # DEPENDENCYPART_ARC
(0,2),-6.66073 # DEPENDENCYPART_ARC
(0,3),-7.11032 # DEPENDENCYPART_ARC
(0,4),-5.94539 # DEPENDENCYPART_ARC
(0,5),-5.61668 # DEPENDENCYPART_ARC
(0,6),-6.52423 # DEPENDENCYPART_ARC
(0,7),-6.75378 # DEPENDENCYPART_ARC
(0,8),-5.9071 # DEPENDENCYPART_ARC
(0,9),-7.12289 # DEPENDENCYPART_ARC
(0,10),-3.87972 # DEPENDENCYPART_ARC
(0,11),-6.96299 # DEPENDENCYPART_ARC
(0,12),-7.56887 # DEPENDENCYPART_ARC
(0,13),-6.72122 # DEPENDENCYPART_ARC
(0,14),-7.60361 # DEPENDENCYPART_ARC
(0,15),-8.19819 # DEPENDENCYPART_ARC
(0,16),-6.37115 # DEPENDENCYPART_ARC
(0,17),-5.51943 # DEPENDENCYPART_ARC
(1,2),0.635811 # DEPENDENCYPART_ARC
(1,3),0.99465 # DEPENDENCYPART_ARC
(1,4),-0.601125 # DEPENDENCYPART_ARC
(1,5),-0.179395 # DEPENDENCYPART_ARC
(1,6),-0.124909 # DEPENDENCYPART_ARC
(1,7),-1.67094 # DEPENDENCYPART_ARC
(1,8),-1.73855 # DEPENDENCYPART_ARC
(1,9),-1.723 # DEPENDENCYPART_ARC
(1,10),-0.373208 # DEPENDENCYPART_ARC
(1,11),-1.34034 # DEPENDENCYPART_ARC
(1,12),-1.09328 # DEPENDENCYPART_ARC
(1,13),-3.3642 # DEPENDENCYPART_ARC
(1,14),-1.56049 # DEPENDENCYPART_ARC
(1,15),-1.80165 # DEPENDENCYPART_ARC
(1,16),-3.57238 # DEPENDENCYPART_ARC
(1,17),-0.0208596 # DEPENDENCYPART_ARC
(2,1),-1.88071 # DEPENDENCYPART_ARC
(2,3),-0.528871 # DEPENDENCYPART_ARC
(2,4),-1.07092 # DEPENDENCYPART_ARC
(2,5),-1.16489 # DEPENDENCYPART_ARC
(2,6),-0.0863931 # DEPENDENCYPART_ARC
(2,7),-1.65716 # DEPENDENCYPART_ARC
(2,8),-2.09422 # DEPENDENCYPART_ARC
(2,9),-2.05783 # DEPENDENCYPART_ARC
(2,10),-1.80947 # DEPENDENCYPART_ARC
(2,11),-2.11153 # DEPENDENCYPART_ARC
(2,12),-2.47861 # DEPENDENCYPART_ARC
(2,13),-2.97854 # DEPENDENCYPART_ARC
(2,14),-2.15203 # DEPENDENCYPART_ARC
(2,15),-2.84993 # DEPENDENCYPART_ARC
(2,16),-3.34618 # DEPENDENCYPART_ARC
(2,17),-2.21224 # DEPENDENCYPART_ARC
(3,1),-0.178243 # DEPENDENCYPART_ARC
(3,2),0.216125 # DEPENDENCYPART_ARC
(3,4),0.457201 # DEPENDENCYPART_ARC
(3,5),-0.265366 # DEPENDENCYPART_ARC
(3,6),0.320428 # DEPENDENCYPART_ARC
(3,7),-0.595874 # DEPENDENCYPART_ARC
(3,8),-0.695282 # DEPENDENCYPART_ARC
(3,9),-0.777159 # DEPENDENCYPART_ARC
(3,10),-0.453395 # DEPENDENCYPART_ARC
(3,11),-1.06787 # DEPENDENCYPART_ARC
(3,12),-1.3429 # DEPENDENCYPART_ARC
(3,13),-1.06878 # DEPENDENCYPART_ARC
(3,14),-1.21315 # DEPENDENCYPART_ARC
(3,15),-1.90173 # DEPENDENCYPART_ARC
(3,16),-1.0094 # DEPENDENCYPART_ARC
(3,17),-1.13235 # DEPENDENCYPART_ARC
(4,1),0.612475 # DEPENDENCYPART_ARC
(4,2),0.879503 # DEPENDENCYPART_ARC
(4,3),3.95939 # DEPENDENCYPART_ARC
(4,5),0.479549 # DEPENDENCYPART_ARC
(4,6),0.0473357 # DEPENDENCYPART_ARC
(4,7),0.377288 # DEPENDENCYPART_ARC
(4,8),0.320215 # DEPENDENCYPART_ARC
(4,9),0.0493188 # DEPENDENCYPART_ARC
(4,10),0.376829 # DEPENDENCYPART_ARC
(4,11),-0.218174 # DEPENDENCYPART_ARC
(4,12),-0.346196 # DEPENDENCYPART_ARC
(4,13),0.169012 # DEPENDENCYPART_ARC
(4,14),0.41588 # DEPENDENCYPART_ARC
(4,15),-0.984378 # DEPENDENCYPART_ARC
(4,16),0.0986287 # DEPENDENCYPART_ARC
(4,17),0.231937 # DEPENDENCYPART_ARC
(5,1),0.400206 # DEPENDENCYPART_ARC
(5,2),0.811147 # DEPENDENCYPART_ARC
(5,3),1.41339 # DEPENDENCYPART_ARC
(5,4),3.17426 # DEPENDENCYPART_ARC
(5,6),1.52689 # DEPENDENCYPART_ARC
(5,7),1.54647 # DEPENDENCYPART_ARC
(5,8),1.21713 # DEPENDENCYPART_ARC
(5,9),0.561523 # DEPENDENCYPART_ARC
(5,10),1.21782 # DEPENDENCYPART_ARC
(5,11),0.768973 # DEPENDENCYPART_ARC
(5,12),-0.154532 # DEPENDENCYPART_ARC
(5,13),-0.245092 # DEPENDENCYPART_ARC
(5,14),0.406556 # DEPENDENCYPART_ARC
(5,15),-0.4671 # DEPENDENCYPART_ARC
(5,16),-0.560084 # DEPENDENCYPART_ARC
(5,17),2.37259 # DEPENDENCYPART_ARC
(6,1),-2.52161 # DEPENDENCYPART_ARC
(6,2),-0.392337 # DEPENDENCYPART_ARC
(6,3),-1.43328 # DEPENDENCYPART_ARC
(6,4),-1.81837 # DEPENDENCYPART_ARC
(6,5),-0.686148 # DEPENDENCYPART_ARC
