# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(0,1),-6.4546 # DEPENDENCYPART_ARC
(0,2),-6.46747 # DEPENDENCYPART_ARC
(0,3),-6.47947 # DEPENDENCYPART_ARC
(0,4),-6.95177 # DEPENDENCYPART_ARC
(0,5),-7.43659 # DEPENDENCYPART_ARC
(0,6),-7.73308 # DEPENDENCYPART_ARC
(0,7),-7.91267 # DEPENDENCYPART_ARC
(0,8),-7.48188 # DEPENDENCYPART_ARC
(0,9),-4.66249 # DEPENDENCYPART_ARC
(0,10),-7.81592 # DEPENDENCYPART_ARC
(0,11),-8.03771 # DEPENDENCYPART_ARC
(0,12),-6.87997 # DEPENDENCYPART_ARC
(0,13),-7.41596 # DEPENDENCYPART_ARC
(0,14),-8.35723 # DEPENDENCYPART_ARC
(0,15),-8.93158 # DEPENDENCYPART_ARC
(0,16),-9.28834 # DEPENDENCYPART_ARC
(0,17),-9.47499 # DEPENDENCYPART_ARC
(0,18),-8.82061 # DEPENDENCYPART_ARC
(0,19),-9.03492 # DEPENDENCYPART_ARC
(0,20),-9.73155 # DEPENDENCYPART_ARC
(0,21),-7.41587 # DEPENDENCYPART_ARC
(0,22),-9.29583 # DEPENDENCYPART_ARC
(0,23),-7.3338 # DEPENDENCYPART_ARC
(0,24),-9.83703 # DEPENDENCYPART_ARC
(0,25),-9.79189 # DEPENDENCYPART_ARC
(0,26),-10.341 # DEPENDENCYPART_ARC
(0,27),-7.80921 # DEPENDENCYPART_ARC
(0,28),-7.37938 # DEPENDENCYPART_ARC
(0,29),-6.58353 # DEPENDENCYPART_ARC
(1,2),3.57737 # DEPENDENCYPART_ARC
(1,3),1.00907 # DEPENDENCYPART_ARC
(1,4),0.578006 # DEPENDENCYPART_ARC
(1,5),0.847165 # DEPENDENCYPART_ARC
(1,6),-0.320624 # DEPENDENCYPART_ARC
(1,7),-0.0622697 # DEPENDENCYPART_ARC
(1,8),0.0766422 # DEPENDENCYPART_ARC
(1,9),0.425982 # DEPENDENCYPART_ARC
(1,10),0.350664 # DEPENDENCYPART_ARC
(1,11),-0.523554 # DEPENDENCYPART_ARC
(1,12),-0.568546 # DEPENDENCYPART_ARC
(1,13),-0.489225 # DEPENDENCYPART_ARC
(1,14),-2.06821 # DEPENDENCYPART_ARC
(1,15),-2.53734 # DEPENDENCYPART_ARC
(1,16),-0.908951 # DEPENDENCYPART_ARC
(1,17),-0.903401 # DEPENDENCYPART_ARC
(1,18),0.344855 # DEPENDENCYPART_ARC
(1,19),-0.44709 # DEPENDENCYPART_ARC
(1,20),-1.16752 # DEPENDENCYPART_ARC
(1,21),-1.79771 # DEPENDENCYPART_ARC
(1,22),-1.30943 # DEPENDENCYPART_ARC
(1,23),-1.95879 # DEPENDENCYPART_ARC
