# _root_ The average discount rate on new three-month Treasury bills was 7.37 % , the lowest since the average of 7.36 % at the auction on Oct. 17 , 1988 .
#goldHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
#predictedHeads=4,4,4,10,4,9,9,9,5,0,12,10,10,15,10,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-5.94239 # DEPENDENCYPART_ARC
(0,3),-6.08133 # DEPENDENCYPART_ARC
(0,4),-6.15769 # DEPENDENCYPART_ARC
(0,5),-7.00095 # DEPENDENCYPART_ARC
(0,6),-6.08919 # DEPENDENCYPART_ARC
(0,7),-6.03769 # DEPENDENCYPART_ARC
(0,8),-6.12108 # DEPENDENCYPART_ARC
(0,9),-5.80439 # DEPENDENCYPART_ARC
(0,10),-2.69599 # DEPENDENCYPART_ARC
(0,11),-8.17537 # DEPENDENCYPART_ARC
(0,12),-8.08674 # DEPENDENCYPART_ARC
(0,13),-7.73126 # DEPENDENCYPART_ARC
(0,14),-8.24574 # DEPENDENCYPART_ARC
(0,15),-8.0828 # DEPENDENCYPART_ARC
(0,16),-8.12819 # DEPENDENCYPART_ARC
(0,17),-8.65327 # DEPENDENCYPART_ARC
(0,18),-8.13624 # DEPENDENCYPART_ARC
(0,19),-9.32103 # DEPENDENCYPART_ARC
(0,20),-9.23504 # DEPENDENCYPART_ARC
(0,21),-8.55466 # DEPENDENCYPART_ARC
(0,22),-9.78411 # DEPENDENCYPART_ARC
(0,23),-9.52768 # DEPENDENCYPART_ARC
(0,24),-8.08096 # DEPENDENCYPART_ARC
(0,25),-10.4765 # DEPENDENCYPART_ARC
(0,26),-7.24699 # DEPENDENCYPART_ARC
(0,27),-10.0763 # DEPENDENCYPART_ARC
(0,28),-10.2102 # DEPENDENCYPART_ARC
(0,29),-10.3574 # DEPENDENCYPART_ARC
(0,30),-5.71573 # DEPENDENCYPART_ARC
(1,2),-0.600552 # DEPENDENCYPART_ARC
(1,3),-1.17673 # DEPENDENCYPART_ARC
(1,4),-1.5014 # DEPENDENCYPART_ARC
(1,5),-1.88166 # DEPENDENCYPART_ARC
(1,6),-2.06152 # DEPENDENCYPART_ARC
(1,7),-2.24089 # DEPENDENCYPART_ARC
(1,8),-2.52915 # DEPENDENCYPART_ARC
(1,9),-2.36275 # DEPENDENCYPART_ARC
(1,10),-1.92924 # DEPENDENCYPART_ARC
(1,11),-2.34717 # DEPENDENCYPART_ARC
(1,12),-2.91667 # DEPENDENCYPART_ARC
(1,13),-2.37374 # DEPENDENCYPART_ARC
(1,14),-3.62724 # DEPENDENCYPART_ARC
(1,15),-3.73575 # DEPENDENCYPART_ARC
(1,16),-3.57596 # DEPENDENCYPART_ARC
(1,17),-3.921 # DEPENDENCYPART_ARC
(1,18),-3.51297 # DEPENDENCYPART_ARC
(1,19),-3.9267 # DEPENDENCYPART_ARC
(1,20),-3.5216 # DEPENDENCYPART_ARC
(1,21),-3.91711 # DEPENDENCYPART_ARC
(1,22),-4.97447 # DEPENDENCYPART_ARC
(1,23),-4.602 # DEPENDENCYPART_ARC
(1,24),-4.19419 # DEPENDENCYPART_ARC
(1,25),-5.33227 # DEPENDENCYPART_ARC
(1,26),-4.62873 # DEPENDENCYPART_ARC
(1,27),-4.72329 # DEPENDENCYPART_ARC
(1,28),-3.88469 # DEPENDENCYPART_ARC
(1,29),-5.03063 # DEPENDENCYPART_ARC
(1,30),-3.30741 # DEPENDENCYPART_ARC
(2,1),1.36689 # DEPENDENCYPART_ARC
(2,3),0.951593 # DEPENDENCYPART_ARC
(2,4),0.0799403 # DEPENDENCYPART_ARC
(2,5),-0.374391 # DEPENDENCYPART_ARC
(2,6),-0.788549 # DEPENDENCYPART_ARC
(2,7),-1.04315 # DEPENDENCYPART_ARC
(2,8),-1.45685 # DEPENDENCYPART_ARC
(2,9),-0.99349 # DEPENDENCYPART_ARC
(2,10),-0.764692 # DEPENDENCYPART_ARC
(2,11),-2.3797 # DEPENDENCYPART_ARC
(2,12),-1.54331 # DEPENDENCYPART_ARC
(2,13),-2.16985 # DEPENDENCYPART_ARC
(2,14),-2.43724 # DEPENDENCYPART_ARC
(2,15),-1.90088 # DEPENDENCYPART_ARC
(2,16),-1.83649 # DEPENDENCYPART_ARC
(2,17),-2.69017 # DEPENDENCYPART_ARC
(2,18),-2.01531 # DEPENDENCYPART_ARC
(2,19),-3.49453 # DEPENDENCYPART_ARC
