# _root_ A Fidelity spokesman says the 800-line , which already was operating but which many clients did n't know about , received about double the usual volume of calls over the weekend .
#goldHeads=3,3,4,0,6,21,6,10,10,6,10,10,19,15,16,12,16,16,18,6,4,23,26,26,26,21,26,27,21,31,29,4,
#predictedHeads=3,3,4,0,6,4,6,10,10,6,10,11,16,15,16,12,16,16,18,6,19,23,26,26,26,21,26,27,26,31,29,4,
(0,1),-6.0979 # DEPENDENCYPART_ARC
(0,2),-5.88547 # DEPENDENCYPART_ARC
(0,3),-6.1418 # DEPENDENCYPART_ARC
(0,4),-1.48884 # DEPENDENCYPART_ARC
(0,5),-7.44136 # DEPENDENCYPART_ARC
(0,6),-6.941 # DEPENDENCYPART_ARC
(0,7),-6.86678 # DEPENDENCYPART_ARC
(0,8),-7.16382 # DEPENDENCYPART_ARC
(0,9),-7.13422 # DEPENDENCYPART_ARC
(0,10),-3.28527 # DEPENDENCYPART_ARC
(0,11),-6.34726 # DEPENDENCYPART_ARC
(0,12),-7.85685 # DEPENDENCYPART_ARC
(0,13),-7.39463 # DEPENDENCYPART_ARC
(0,14),-7.14545 # DEPENDENCYPART_ARC
(0,15),-6.36081 # DEPENDENCYPART_ARC
(0,16),-3.9873 # DEPENDENCYPART_ARC
(0,17),-7.7863 # DEPENDENCYPART_ARC
(0,18),-5.72953 # DEPENDENCYPART_ARC
(0,19),-7.39694 # DEPENDENCYPART_ARC
(0,20),-8.31329 # DEPENDENCYPART_ARC
(0,21),-4.75479 # DEPENDENCYPART_ARC
(0,22),-8.22751 # DEPENDENCYPART_ARC
(0,23),-8.01049 # DEPENDENCYPART_ARC
(0,24),-9.18978 # DEPENDENCYPART_ARC
(0,25),-7.86011 # DEPENDENCYPART_ARC
(0,26),-8.34187 # DEPENDENCYPART_ARC
(0,27),-8.9649 # DEPENDENCYPART_ARC
(0,28),-6.55247 # DEPENDENCYPART_ARC
(0,29),-8.46983 # DEPENDENCYPART_ARC
(0,30),-10.0108 # DEPENDENCYPART_ARC
(0,31),-7.74172 # DEPENDENCYPART_ARC
(0,32),-5.38498 # DEPENDENCYPART_ARC
(1,2),0.301355 # DEPENDENCYPART_ARC
(1,3),0.190885 # DEPENDENCYPART_ARC
(1,4),0.438282 # DEPENDENCYPART_ARC
(1,5),-1.33117 # DEPENDENCYPART_ARC
(1,6),-0.676455 # DEPENDENCYPART_ARC
(1,7),0.257099 # DEPENDENCYPART_ARC
(1,8),-1.70284 # DEPENDENCYPART_ARC
(1,9),-1.07474 # DEPENDENCYPART_ARC
(1,10),-1.26672 # DEPENDENCYPART_ARC
(1,11),-1.16295 # DEPENDENCYPART_ARC
(1,12),-1.0257 # DEPENDENCYPART_ARC
(1,13),-2.37792 # DEPENDENCYPART_ARC
(1,14),-1.98649 # DEPENDENCYPART_ARC
(1,15),-1.93152 # DEPENDENCYPART_ARC
(1,16),-2.37621 # DEPENDENCYPART_ARC
(1,17),-2.09657 # DEPENDENCYPART_ARC
(1,18),-2.47088 # DEPENDENCYPART_ARC
(1,19),-2.62827 # DEPENDENCYPART_ARC
(1,20),-0.786216 # DEPENDENCYPART_ARC
(1,21),-2.47073 # DEPENDENCYPART_ARC
(1,22),-2.72605 # DEPENDENCYPART_ARC
(1,23),-2.6824 # DEPENDENCYPART_ARC
(1,24),-3.52975 # DEPENDENCYPART_ARC
