# _root_ UAL , the takeover stock at the center of Friday 's 190.58-point market plunge , fell 56 7\/8 to 222 7\/8 on nearly 2.3 million shares .
#goldHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
#predictedHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
(0,1),-6.44592 # DEPENDENCYPART_ARC
(0,2),-6.82648 # DEPENDENCYPART_ARC
(0,3),-7.12966 # DEPENDENCYPART_ARC
(0,4),-6.25122 # DEPENDENCYPART_ARC
(0,5),-6.7072 # DEPENDENCYPART_ARC
(0,6),-7.72602 # DEPENDENCYPART_ARC
(0,7),-7.74229 # DEPENDENCYPART_ARC
(0,8),-6.74316 # DEPENDENCYPART_ARC
(0,9),-7.7953 # DEPENDENCYPART_ARC
(0,10),-6.96825 # DEPENDENCYPART_ARC
(0,11),-8.07805 # DEPENDENCYPART_ARC
(0,12),-6.35165 # DEPENDENCYPART_ARC
(0,13),-7.03192 # DEPENDENCYPART_ARC
(0,14),-7.14396 # DEPENDENCYPART_ARC
(0,15),-8.4433 # DEPENDENCYPART_ARC
(0,16),-1.39798 # DEPENDENCYPART_ARC
(0,17),-9.07844 # DEPENDENCYPART_ARC
(0,18),-9.29672 # DEPENDENCYPART_ARC
(0,19),-8.7278 # DEPENDENCYPART_ARC
(0,20),-9.46673 # DEPENDENCYPART_ARC
(0,21),-9.69227 # DEPENDENCYPART_ARC
(0,22),-9.98006 # DEPENDENCYPART_ARC
(0,23),-9.2662 # DEPENDENCYPART_ARC
(0,24),-9.95766 # DEPENDENCYPART_ARC
(0,25),-10.0889 # DEPENDENCYPART_ARC
(0,26),-9.89382 # DEPENDENCYPART_ARC
(0,27),-6.14092 # DEPENDENCYPART_ARC
(1,2),3.56569 # DEPENDENCYPART_ARC
(1,3),1.18725 # DEPENDENCYPART_ARC
(1,4),2.14681 # DEPENDENCYPART_ARC
(1,5),2.37867 # DEPENDENCYPART_ARC
(1,6),-0.151228 # DEPENDENCYPART_ARC
(1,7),0.570844 # DEPENDENCYPART_ARC
(1,8),0.965168 # DEPENDENCYPART_ARC
(1,9),-0.123912 # DEPENDENCYPART_ARC
(1,10),-1.47791 # DEPENDENCYPART_ARC
(1,11),0.392948 # DEPENDENCYPART_ARC
(1,12),-0.0924055 # DEPENDENCYPART_ARC
(1,13),0.0459801 # DEPENDENCYPART_ARC
(1,14),0.05088 # DEPENDENCYPART_ARC
(1,15),5.26664 # DEPENDENCYPART_ARC
(1,16),-0.287195 # DEPENDENCYPART_ARC
(1,17),-1.7659 # DEPENDENCYPART_ARC
(1,18),-2.06308 # DEPENDENCYPART_ARC
(1,19),-1.12144 # DEPENDENCYPART_ARC
(1,20),-2.38972 # DEPENDENCYPART_ARC
(1,21),-2.81094 # DEPENDENCYPART_ARC
(1,22),-1.59635 # DEPENDENCYPART_ARC
(1,23),-1.15865 # DEPENDENCYPART_ARC
(1,24),-3.13179 # DEPENDENCYPART_ARC
(1,25),-4.1294 # DEPENDENCYPART_ARC
(1,26),-1.45654 # DEPENDENCYPART_ARC
(1,27),1.3464 # DEPENDENCYPART_ARC
(2,1),-1.14864 # DEPENDENCYPART_ARC
(2,3),-0.494638 # DEPENDENCYPART_ARC
(2,4),-1.14137 # DEPENDENCYPART_ARC
(2,5),-1.6316 # DEPENDENCYPART_ARC
(2,6),-1.22245 # DEPENDENCYPART_ARC
(2,7),-1.89657 # DEPENDENCYPART_ARC
(2,8),-2.4509 # DEPENDENCYPART_ARC
(2,9),-1.43127 # DEPENDENCYPART_ARC
(2,10),-2.14267 # DEPENDENCYPART_ARC
(2,11),-2.20563 # DEPENDENCYPART_ARC
(2,12),-2.3772 # DEPENDENCYPART_ARC
(2,13),-2.88154 # DEPENDENCYPART_ARC
