# _root_ Burmah , which owns the Castrol brand of lubricant oils , reported a 17 % rise in net income to # 43.5 million ( $ 68.3 million ) in the first half .
#goldHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
#predictedHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,20,32,32,29,12,
(0,1),-6.53562 # DEPENDENCYPART_ARC
(0,2),-6.96227 # DEPENDENCYPART_ARC
(0,3),-7.04822 # DEPENDENCYPART_ARC
(0,4),-4.8131 # DEPENDENCYPART_ARC
(0,5),-7.71484 # DEPENDENCYPART_ARC
(0,6),-7.03637 # DEPENDENCYPART_ARC
(0,7),-7.38491 # DEPENDENCYPART_ARC
(0,8),-7.48642 # DEPENDENCYPART_ARC
(0,9),-6.71206 # DEPENDENCYPART_ARC
(0,10),-6.65928 # DEPENDENCYPART_ARC
(0,11),-7.53672 # DEPENDENCYPART_ARC
(0,12),-1.29711 # DEPENDENCYPART_ARC
(0,13),-8.08699 # DEPENDENCYPART_ARC
(0,14),-8.8374 # DEPENDENCYPART_ARC
(0,15),-7.5031 # DEPENDENCYPART_ARC
(0,16),-7.38818 # DEPENDENCYPART_ARC
(0,17),-9.07101 # DEPENDENCYPART_ARC
(0,18),-6.89563 # DEPENDENCYPART_ARC
(0,19),-7.98104 # DEPENDENCYPART_ARC
(0,20),-8.76626 # DEPENDENCYPART_ARC
(0,21),-8.50079 # DEPENDENCYPART_ARC
(0,22),-9.80193 # DEPENDENCYPART_ARC
(0,23),-9.95964 # DEPENDENCYPART_ARC
(0,24),-8.91926 # DEPENDENCYPART_ARC
(0,25),-10.3084 # DEPENDENCYPART_ARC
(0,26),-10.3777 # DEPENDENCYPART_ARC
(0,27),-10.5249 # DEPENDENCYPART_ARC
(0,28),-8.91891 # DEPENDENCYPART_ARC
(0,29),-11.1018 # DEPENDENCYPART_ARC
(0,30),-10.5354 # DEPENDENCYPART_ARC
(0,31),-8.15799 # DEPENDENCYPART_ARC
(0,32),-9.1606 # DEPENDENCYPART_ARC
(0,33),-6.4831 # DEPENDENCYPART_ARC
(1,2),3.46507 # DEPENDENCYPART_ARC
(1,3),0.43413 # DEPENDENCYPART_ARC
(1,4),2.93773 # DEPENDENCYPART_ARC
(1,5),0.747407 # DEPENDENCYPART_ARC
(1,6),0.567828 # DEPENDENCYPART_ARC
(1,7),0.957402 # DEPENDENCYPART_ARC
(1,8),0.438728 # DEPENDENCYPART_ARC
(1,9),0.220553 # DEPENDENCYPART_ARC
(1,10),0.559483 # DEPENDENCYPART_ARC
(1,11),3.90758 # DEPENDENCYPART_ARC
(1,12),1.10776 # DEPENDENCYPART_ARC
(1,13),-0.477624 # DEPENDENCYPART_ARC
(1,14),-1.26533 # DEPENDENCYPART_ARC
(1,15),-1.88574 # DEPENDENCYPART_ARC
(1,16),-1.80549 # DEPENDENCYPART_ARC
(1,17),-1.75036 # DEPENDENCYPART_ARC
(1,18),-0.823472 # DEPENDENCYPART_ARC
(1,19),-3.58918 # DEPENDENCYPART_ARC
(1,20),-0.969785 # DEPENDENCYPART_ARC
(1,21),-0.946065 # DEPENDENCYPART_ARC
(1,22),-2.39361 # DEPENDENCYPART_ARC
(1,23),-2.93522 # DEPENDENCYPART_ARC
(1,24),-0.511072 # DEPENDENCYPART_ARC
(1,25),-2.44107 # DEPENDENCYPART_ARC
(1,26),-2.92159 # DEPENDENCYPART_ARC
(1,27),-3.64133 # DEPENDENCYPART_ARC
(1,28),-0.347972 # DEPENDENCYPART_ARC
(1,29),-1.73927 # DEPENDENCYPART_ARC
(1,30),-2.0107 # DEPENDENCYPART_ARC
(1,31),-1.81965 # DEPENDENCYPART_ARC
(1,32),-5.25461 # DEPENDENCYPART_ARC
(1,33),1.68028 # DEPENDENCYPART_ARC
(2,1),-1.0672 # DEPENDENCYPART_ARC
(2,3),-0.989497 # DEPENDENCYPART_ARC
(2,4),-0.729021 # DEPENDENCYPART_ARC
(2,5),-1.71037 # DEPENDENCYPART_ARC
(2,6),-1.54054 # DEPENDENCYPART_ARC
(2,7),-2.22552 # DEPENDENCYPART_ARC
(2,8),-1.6733 # DEPENDENCYPART_ARC
(2,9),-2.30709 # DEPENDENCYPART_ARC
(2,10),-2.61582 # DEPENDENCYPART_ARC
(2,11),-0.60302 # DEPENDENCYPART_ARC
(2,12),-2.0708 # DEPENDENCYPART_ARC
(2,13),-2.70826 # DEPENDENCYPART_ARC
(2,14),-3.13019 # DEPENDENCYPART_ARC
(2,15),-3.24218 # DEPENDENCYPART_ARC
(2,16),-3.43622 # DEPENDENCYPART_ARC
(2,17),-2.47023 # DEPENDENCYPART_ARC
(2,18),-3.3044 # DEPENDENCYPART_ARC
(2,19),-3.72735 # DEPENDENCYPART_ARC
(2,20),-3.20037 # DEPENDENCYPART_ARC
(2,21),-3.40498 # DEPENDENCYPART_ARC
(2,22),-3.89914 # DEPENDENCYPART_ARC
(2,23),-3.92171 # DEPENDENCYPART_ARC
(2,24),-3.48718 # DEPENDENCYPART_ARC
(2,25),-4.12645 # DEPENDENCYPART_ARC
