# _root_ The plan had been to make one of Shearson 's easy-to-film , black-and-white `` Where We Stand '' commercials , which have been running occasionally in response to news events since 1985 .
#goldHeads=2,3,0,3,4,5,6,7,19,9,19,19,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,19,9,19,11,19,19,17,17,6,19,17,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.68878 # DEPENDENCYPART_ARC
(0,3),-2.96918 # DEPENDENCYPART_ARC
(0,4),-4.32431 # DEPENDENCYPART_ARC
(0,5),-6.78597 # DEPENDENCYPART_ARC
(0,6),-5.19235 # DEPENDENCYPART_ARC
(0,7),-7.93706 # DEPENDENCYPART_ARC
(0,8),-6.8858 # DEPENDENCYPART_ARC
(0,9),-7.12943 # DEPENDENCYPART_ARC
(0,10),-7.96651 # DEPENDENCYPART_ARC
(0,11),-6.80772 # DEPENDENCYPART_ARC
(0,12),-7.14743 # DEPENDENCYPART_ARC
(0,13),-7.03216 # DEPENDENCYPART_ARC
(0,14),-7.39178 # DEPENDENCYPART_ARC
(0,15),-5.85217 # DEPENDENCYPART_ARC
(0,16),-6.86099 # DEPENDENCYPART_ARC
(0,17),-5.09378 # DEPENDENCYPART_ARC
(0,18),-7.09148 # DEPENDENCYPART_ARC
(0,19),-6.31335 # DEPENDENCYPART_ARC
(0,20),-8.09301 # DEPENDENCYPART_ARC
(0,21),-8.0726 # DEPENDENCYPART_ARC
(0,22),-5.99442 # DEPENDENCYPART_ARC
(0,23),-4.73123 # DEPENDENCYPART_ARC
(0,24),-7.67973 # DEPENDENCYPART_ARC
(0,25),-8.89689 # DEPENDENCYPART_ARC
(0,26),-8.82939 # DEPENDENCYPART_ARC
(0,27),-7.15398 # DEPENDENCYPART_ARC
(0,28),-8.93944 # DEPENDENCYPART_ARC
(0,29),-6.31976 # DEPENDENCYPART_ARC
(0,30),-6.83156 # DEPENDENCYPART_ARC
(0,31),-9.83595 # DEPENDENCYPART_ARC
(0,32),-10.7387 # DEPENDENCYPART_ARC
(0,33),-6.54064 # DEPENDENCYPART_ARC
(1,2),-0.753545 # DEPENDENCYPART_ARC
(1,3),-1.06979 # DEPENDENCYPART_ARC
(1,4),-1.80039 # DEPENDENCYPART_ARC
(1,5),-2.08414 # DEPENDENCYPART_ARC
(1,6),-2.3213 # DEPENDENCYPART_ARC
(1,7),-3.12062 # DEPENDENCYPART_ARC
(1,8),-1.60833 # DEPENDENCYPART_ARC
(1,9),-3.13678 # DEPENDENCYPART_ARC
(1,10),-3.1893 # DEPENDENCYPART_ARC
(1,11),-2.9687 # DEPENDENCYPART_ARC
(1,12),-1.83871 # DEPENDENCYPART_ARC
(1,13),-3.39878 # DEPENDENCYPART_ARC
(1,14),-3.11063 # DEPENDENCYPART_ARC
(1,15),-3.666 # DEPENDENCYPART_ARC
(1,16),-3.35991 # DEPENDENCYPART_ARC
(1,17),-3.41748 # DEPENDENCYPART_ARC
(1,18),-2.46808 # DEPENDENCYPART_ARC
(1,19),-3.76774 # DEPENDENCYPART_ARC
(1,20),-2.49247 # DEPENDENCYPART_ARC
(1,21),-4.69607 # DEPENDENCYPART_ARC
(1,22),-4.37244 # DEPENDENCYPART_ARC
(1,23),-4.43614 # DEPENDENCYPART_ARC
(1,24),-4.2653 # DEPENDENCYPART_ARC
