# _root_ Many investors , trying to outperform the market 's major indexes , have flocked to these small issues in recent weeks .
#goldHeads=2,13,2,2,4,5,8,11,8,11,6,13,0,13,14,18,18,15,14,21,19,13,
#predictedHeads=2,13,2,13,4,5,8,11,8,11,6,2,0,13,14,18,18,15,18,21,19,13,
(0,1),-6.31804 # DEPENDENCYPART_ARC
(0,2),-6.73922 # DEPENDENCYPART_ARC
(0,3),-6.5746 # DEPENDENCYPART_ARC
(0,4),-6.66691 # DEPENDENCYPART_ARC
(0,5),-6.91358 # DEPENDENCYPART_ARC
(0,6),-4.9912 # DEPENDENCYPART_ARC
(0,7),-7.45536 # DEPENDENCYPART_ARC
(0,8),-6.50432 # DEPENDENCYPART_ARC
(0,9),-7.73603 # DEPENDENCYPART_ARC
(0,10),-6.70133 # DEPENDENCYPART_ARC
(0,11),-6.10285 # DEPENDENCYPART_ARC
(0,12),-7.46832 # DEPENDENCYPART_ARC
(0,13),-1.42349 # DEPENDENCYPART_ARC
(0,14),-4.75 # DEPENDENCYPART_ARC
(0,15),-7.98944 # DEPENDENCYPART_ARC
(0,16),-8.22174 # DEPENDENCYPART_ARC
(0,17),-6.99915 # DEPENDENCYPART_ARC
(0,18),-6.30425 # DEPENDENCYPART_ARC
(0,19),-8.59224 # DEPENDENCYPART_ARC
(0,20),-6.82185 # DEPENDENCYPART_ARC
(0,21),-5.82663 # DEPENDENCYPART_ARC
(0,22),-6.81327 # DEPENDENCYPART_ARC
(1,2),0.889019 # DEPENDENCYPART_ARC
(1,3),0.712661 # DEPENDENCYPART_ARC
(1,4),0.206765 # DEPENDENCYPART_ARC
(1,5),-0.355096 # DEPENDENCYPART_ARC
(1,6),-0.713029 # DEPENDENCYPART_ARC
(1,7),-1.06044 # DEPENDENCYPART_ARC
(1,8),-0.823303 # DEPENDENCYPART_ARC
(1,9),-0.556674 # DEPENDENCYPART_ARC
(1,10),-0.836144 # DEPENDENCYPART_ARC
(1,11),-1.01227 # DEPENDENCYPART_ARC
(1,12),0.677633 # DEPENDENCYPART_ARC
(1,13),-0.60568 # DEPENDENCYPART_ARC
(1,14),-1.15751 # DEPENDENCYPART_ARC
(1,15),-2.41093 # DEPENDENCYPART_ARC
(1,16),-2.20429 # DEPENDENCYPART_ARC
(1,17),-1.69003 # DEPENDENCYPART_ARC
(1,18),-1.98083 # DEPENDENCYPART_ARC
(1,19),-2.48618 # DEPENDENCYPART_ARC
(1,20),-2.21519 # DEPENDENCYPART_ARC
(1,21),-2.06358 # DEPENDENCYPART_ARC
(1,22),0.119369 # DEPENDENCYPART_ARC
(2,1),3.99959 # DEPENDENCYPART_ARC
(2,3),2.46452 # DEPENDENCYPART_ARC
(2,4),0.876319 # DEPENDENCYPART_ARC
(2,5),0.615286 # DEPENDENCYPART_ARC
(2,6),0.900389 # DEPENDENCYPART_ARC
(2,7),0.217212 # DEPENDENCYPART_ARC
(2,8),0.687506 # DEPENDENCYPART_ARC
(2,9),0.832003 # DEPENDENCYPART_ARC
(2,10),0.461994 # DEPENDENCYPART_ARC
(2,11),1.40674 # DEPENDENCYPART_ARC
(2,12),2.61052 # DEPENDENCYPART_ARC
(2,13),-0.21432 # DEPENDENCYPART_ARC
(2,14),-0.280075 # DEPENDENCYPART_ARC
(2,15),-1.16648 # DEPENDENCYPART_ARC
(2,16),-0.343527 # DEPENDENCYPART_ARC
(2,17),-0.23898 # DEPENDENCYPART_ARC
(2,18),-0.349949 # DEPENDENCYPART_ARC
(2,19),-0.744384 # DEPENDENCYPART_ARC
(2,20),-0.427108 # DEPENDENCYPART_ARC
(2,21),-0.743507 # DEPENDENCYPART_ARC
(2,22),-0.631891 # DEPENDENCYPART_ARC
(3,1),-1.18174 # DEPENDENCYPART_ARC
(3,2),-1.11894 # DEPENDENCYPART_ARC
(3,4),-0.270035 # DEPENDENCYPART_ARC
(3,5),-1.00692 # DEPENDENCYPART_ARC
(3,6),-0.892934 # DEPENDENCYPART_ARC
(3,7),-1.75266 # DEPENDENCYPART_ARC
(3,8),-1.93128 # DEPENDENCYPART_ARC
(3,9),-1.90067 # DEPENDENCYPART_ARC
(3,10),-2.08914 # DEPENDENCYPART_ARC
(3,11),-2.43102 # DEPENDENCYPART_ARC
(3,12),-0.236299 # DEPENDENCYPART_ARC
(3,13),-2.0262 # DEPENDENCYPART_ARC
