# _root_ The index slid 647.33 points , or 1.8 % , on Monday .
#goldHeads=2,3,0,5,3,5,5,9,7,5,3,11,3,
#predictedHeads=2,3,0,5,3,5,5,9,7,5,3,11,3,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.85962 # DEPENDENCYPART_ARC
(0,3),-2.86057 # DEPENDENCYPART_ARC
(0,4),-7.28677 # DEPENDENCYPART_ARC
(0,5),-6.09003 # DEPENDENCYPART_ARC
(0,6),-6.51533 # DEPENDENCYPART_ARC
(0,7),-7.29872 # DEPENDENCYPART_ARC
(0,8),-7.98923 # DEPENDENCYPART_ARC
(0,9),-7.32676 # DEPENDENCYPART_ARC
(0,10),-7.17823 # DEPENDENCYPART_ARC
(0,11),-7.04251 # DEPENDENCYPART_ARC
(0,12),-6.77761 # DEPENDENCYPART_ARC
(0,13),-5.62088 # DEPENDENCYPART_ARC
(1,2),-0.485915 # DEPENDENCYPART_ARC
(1,3),-0.406027 # DEPENDENCYPART_ARC
(1,4),-1.14991 # DEPENDENCYPART_ARC
(1,5),-1.8689 # DEPENDENCYPART_ARC
(1,6),-1.41095 # DEPENDENCYPART_ARC
(1,7),-1.48649 # DEPENDENCYPART_ARC
(1,8),-2.0305 # DEPENDENCYPART_ARC
(1,9),-2.55494 # DEPENDENCYPART_ARC
(1,10),-1.40005 # DEPENDENCYPART_ARC
(1,11),-2.35505 # DEPENDENCYPART_ARC
(1,12),-3.24071 # DEPENDENCYPART_ARC
(1,13),-1.94223 # DEPENDENCYPART_ARC
(2,1),4.827 # DEPENDENCYPART_ARC
(2,3),1.28097 # DEPENDENCYPART_ARC
(2,4),0.667887 # DEPENDENCYPART_ARC
(2,5),0.180419 # DEPENDENCYPART_ARC
(2,6),0.00276659 # DEPENDENCYPART_ARC
(2,7),-0.0467002 # DEPENDENCYPART_ARC
(2,8),-0.653304 # DEPENDENCYPART_ARC
(2,9),-1.73369 # DEPENDENCYPART_ARC
(2,10),-0.741476 # DEPENDENCYPART_ARC
(2,11),0.0945896 # DEPENDENCYPART_ARC
(2,12),-0.741042 # DEPENDENCYPART_ARC
(2,13),0.275178 # DEPENDENCYPART_ARC
(3,1),1.05606 # DEPENDENCYPART_ARC
(3,2),3.22803 # DEPENDENCYPART_ARC
(3,4),1.89931 # DEPENDENCYPART_ARC
(3,5),2.78779 # DEPENDENCYPART_ARC
(3,6),2.17922 # DEPENDENCYPART_ARC
(3,7),0.613115 # DEPENDENCYPART_ARC
(3,8),-0.0424008 # DEPENDENCYPART_ARC
(3,9),1.6431 # DEPENDENCYPART_ARC
(3,10),2.12368 # DEPENDENCYPART_ARC
(3,11),2.35909 # DEPENDENCYPART_ARC
(3,12),-0.363682 # DEPENDENCYPART_ARC
(3,13),3.33896 # DEPENDENCYPART_ARC
(4,1),1.01714 # DEPENDENCYPART_ARC
(4,2),0.0391782 # DEPENDENCYPART_ARC
(4,3),1.01428 # DEPENDENCYPART_ARC
(4,5),0.271359 # DEPENDENCYPART_ARC
(4,6),0.0504791 # DEPENDENCYPART_ARC
(4,7),0.576773 # DEPENDENCYPART_ARC
(4,8),-1.04698 # DEPENDENCYPART_ARC
(4,9),-1.09974 # DEPENDENCYPART_ARC
(4,10),0.583496 # DEPENDENCYPART_ARC
(4,11),-0.774298 # DEPENDENCYPART_ARC
(4,12),-1.47784 # DEPENDENCYPART_ARC
(4,13),-0.729778 # DEPENDENCYPART_ARC
(5,1),2.20179 # DEPENDENCYPART_ARC
(5,2),1.08628 # DEPENDENCYPART_ARC
