# _root_ Yet on matters close to , er , home ...
#goldHeads=2,0,2,3,4,5,5,5,5,2,
#predictedHeads=2,0,2,3,4,4,5,4,5,4,
(0,1),-6.44546 # DEPENDENCYPART_ARC
(0,2),-6.10648 # DEPENDENCYPART_ARC
(0,3),-6.17759 # DEPENDENCYPART_ARC
(0,4),-6.17257 # DEPENDENCYPART_ARC
(0,5),-6.71767 # DEPENDENCYPART_ARC
(0,6),-6.73789 # DEPENDENCYPART_ARC
(0,7),-6.6081 # DEPENDENCYPART_ARC
(0,8),-7.00123 # DEPENDENCYPART_ARC
(0,9),-5.38994 # DEPENDENCYPART_ARC
(0,10),-6.91248 # DEPENDENCYPART_ARC
(1,2),0.504826 # DEPENDENCYPART_ARC
(1,3),0.348782 # DEPENDENCYPART_ARC
(1,4),0.404815 # DEPENDENCYPART_ARC
(1,5),-0.0353643 # DEPENDENCYPART_ARC
(1,6),-0.243178 # DEPENDENCYPART_ARC
(1,7),-0.917418 # DEPENDENCYPART_ARC
(1,8),-0.166972 # DEPENDENCYPART_ARC
(1,9),-2.4176 # DEPENDENCYPART_ARC
(1,10),0.35888 # DEPENDENCYPART_ARC
(2,1),0.595301 # DEPENDENCYPART_ARC
(2,3),3.25998 # DEPENDENCYPART_ARC
(2,4),0.698478 # DEPENDENCYPART_ARC
(2,5),-0.00391923 # DEPENDENCYPART_ARC
(2,6),0.542184 # DEPENDENCYPART_ARC
(2,7),0.0331599 # DEPENDENCYPART_ARC
(2,8),0.324495 # DEPENDENCYPART_ARC
(2,9),-1.59685 # DEPENDENCYPART_ARC
(2,10),0.864392 # DEPENDENCYPART_ARC
(3,1),-0.434222 # DEPENDENCYPART_ARC
(3,2),0.27877 # DEPENDENCYPART_ARC
(3,4),2.76472 # DEPENDENCYPART_ARC
(3,5),1.59891 # DEPENDENCYPART_ARC
(3,6),1.25322 # DEPENDENCYPART_ARC
(3,7),0.422991 # DEPENDENCYPART_ARC
(3,8),0.645267 # DEPENDENCYPART_ARC
(3,9),0.412211 # DEPENDENCYPART_ARC
(3,10),0.769885 # DEPENDENCYPART_ARC
(4,1),0.0644367 # DEPENDENCYPART_ARC
(4,2),0.876495 # DEPENDENCYPART_ARC
(4,3),1.03189 # DEPENDENCYPART_ARC
(4,5),3.93236 # DEPENDENCYPART_ARC
(4,6),1.657 # DEPENDENCYPART_ARC
(4,7),1.31831 # DEPENDENCYPART_ARC
(4,8),1.64291 # DEPENDENCYPART_ARC
(4,9),0.874882 # DEPENDENCYPART_ARC
(4,10),1.35389 # DEPENDENCYPART_ARC
(5,1),-0.0464358 # DEPENDENCYPART_ARC
(5,2),0.560752 # DEPENDENCYPART_ARC
(5,3),0.523633 # DEPENDENCYPART_ARC
(5,4),0.920698 # DEPENDENCYPART_ARC
(5,6),1.44505 # DEPENDENCYPART_ARC
(5,7),1.50581 # DEPENDENCYPART_ARC
(5,8),0.767524 # DEPENDENCYPART_ARC
(5,9),1.32215 # DEPENDENCYPART_ARC
(5,10),0.973882 # DEPENDENCYPART_ARC
(6,1),-2.50629 # DEPENDENCYPART_ARC
(6,2),-1.82054 # DEPENDENCYPART_ARC
(6,3),-1.75588 # DEPENDENCYPART_ARC
(6,4),-1.67445 # DEPENDENCYPART_ARC
(6,5),-0.662407 # DEPENDENCYPART_ARC
(6,7),0.704082 # DEPENDENCYPART_ARC
(6,8),1.37435 # DEPENDENCYPART_ARC
(6,9),-0.767092 # DEPENDENCYPART_ARC
(6,10),-0.272629 # DEPENDENCYPART_ARC
(7,1),-1.02167 # DEPENDENCYPART_ARC
(7,2),-0.597181 # DEPENDENCYPART_ARC
(7,3),-0.562877 # DEPENDENCYPART_ARC
(7,4),-0.0851522 # DEPENDENCYPART_ARC
(7,5),-0.125392 # DEPENDENCYPART_ARC
(7,6),0.458341 # DEPENDENCYPART_ARC
(7,8),1.02114 # DEPENDENCYPART_ARC
(7,9),0.259513 # DEPENDENCYPART_ARC
(7,10),0.50283 # DEPENDENCYPART_ARC
(8,1),-2.47762 # DEPENDENCYPART_ARC
(8,2),-1.63262 # DEPENDENCYPART_ARC
(8,3),-2.09557 # DEPENDENCYPART_ARC
(8,4),-1.61626 # DEPENDENCYPART_ARC
(8,5),-1.22604 # DEPENDENCYPART_ARC
(8,6),-0.374008 # DEPENDENCYPART_ARC
(8,7),-0.288014 # DEPENDENCYPART_ARC
(8,9),-0.530393 # DEPENDENCYPART_ARC
(8,10),-0.869925 # DEPENDENCYPART_ARC
(9,1),-2.45394 # DEPENDENCYPART_ARC
(9,2),-0.815238 # DEPENDENCYPART_ARC
(9,3),-0.688248 # DEPENDENCYPART_ARC
(9,4),0.2092 # DEPENDENCYPART_ARC
(9,5),-0.466703 # DEPENDENCYPART_ARC
(9,6),1.01479 # DEPENDENCYPART_ARC
(9,7),1.30258 # DEPENDENCYPART_ARC
(9,8),1.28594 # DEPENDENCYPART_ARC
(9,10),0.831517 # DEPENDENCYPART_ARC
(10,1),-1.63064 # DEPENDENCYPART_ARC
(10,2),-1.11014 # DEPENDENCYPART_ARC
(10,3),-1.76607 # DEPENDENCYPART_ARC
(10,4),-1.08537 # DEPENDENCYPART_ARC
(10,5),-1.13106 # DEPENDENCYPART_ARC
(10,6),-0.269427 # DEPENDENCYPART_ARC
(10,7),0.00169326 # DEPENDENCYPART_ARC
(10,8),0.0608484 # DEPENDENCYPART_ARC
(10,9),-0.473666 # DEPENDENCYPART_ARC
