# _root_ Typical , perhaps , was Batterymarch 's Dean LeBaron .
#goldHeads=5,5,5,5,0,9,6,9,5,5,
#predictedHeads=5,5,5,5,0,9,6,9,5,5,
(0,1),-6.22724 # DEPENDENCYPART_ARC
(0,2),-6.8448 # DEPENDENCYPART_ARC
(0,3),-6.32405 # DEPENDENCYPART_ARC
(0,4),-6.88929 # DEPENDENCYPART_ARC
(0,5),-1.82222 # DEPENDENCYPART_ARC
(0,6),-6.1352 # DEPENDENCYPART_ARC
(0,7),-8.19861 # DEPENDENCYPART_ARC
(0,8),-6.43472 # DEPENDENCYPART_ARC
(0,9),-5.9262 # DEPENDENCYPART_ARC
(0,10),-6.70937 # DEPENDENCYPART_ARC
(1,2),1.30022 # DEPENDENCYPART_ARC
(1,3),0.806175 # DEPENDENCYPART_ARC
(1,4),1.19084 # DEPENDENCYPART_ARC
(1,5),0.17945 # DEPENDENCYPART_ARC
(1,6),0.151584 # DEPENDENCYPART_ARC
(1,7),0.292704 # DEPENDENCYPART_ARC
(1,8),-0.19712 # DEPENDENCYPART_ARC
(1,9),-0.51457 # DEPENDENCYPART_ARC
(1,10),0.403504 # DEPENDENCYPART_ARC
(2,1),-0.712718 # DEPENDENCYPART_ARC
(2,3),0.0642258 # DEPENDENCYPART_ARC
(2,4),0.944394 # DEPENDENCYPART_ARC
(2,5),-0.351744 # DEPENDENCYPART_ARC
(2,6),-0.811786 # DEPENDENCYPART_ARC
(2,7),-1.22757 # DEPENDENCYPART_ARC
(2,8),-1.4144 # DEPENDENCYPART_ARC
(2,9),-1.55797 # DEPENDENCYPART_ARC
(2,10),-0.933123 # DEPENDENCYPART_ARC
(3,1),0.313907 # DEPENDENCYPART_ARC
(3,2),1.14283 # DEPENDENCYPART_ARC
(3,4),1.79418 # DEPENDENCYPART_ARC
(3,5),0.605597 # DEPENDENCYPART_ARC
(3,6),-0.395123 # DEPENDENCYPART_ARC
(3,7),-0.55298 # DEPENDENCYPART_ARC
(3,8),-0.834234 # DEPENDENCYPART_ARC
(3,9),-1.42468 # DEPENDENCYPART_ARC
(3,10),-0.422312 # DEPENDENCYPART_ARC
(4,1),-0.945774 # DEPENDENCYPART_ARC
(4,2),0.00983857 # DEPENDENCYPART_ARC
(4,3),-0.57861 # DEPENDENCYPART_ARC
(4,5),-0.554586 # DEPENDENCYPART_ARC
(4,6),-1.49834 # DEPENDENCYPART_ARC
(4,7),-1.9901 # DEPENDENCYPART_ARC
(4,8),-2.02351 # DEPENDENCYPART_ARC
(4,9),-2.22959 # DEPENDENCYPART_ARC
(4,10),-1.87969 # DEPENDENCYPART_ARC
(5,1),1.38602 # DEPENDENCYPART_ARC
(5,2),2.70402 # DEPENDENCYPART_ARC
(5,3),1.97523 # DEPENDENCYPART_ARC
(5,4),3.59786 # DEPENDENCYPART_ARC
(5,6),2.11142 # DEPENDENCYPART_ARC
(5,7),1.80571 # DEPENDENCYPART_ARC
(5,8),1.41038 # DEPENDENCYPART_ARC
(5,9),2.07409 # DEPENDENCYPART_ARC
(5,10),4.83599 # DEPENDENCYPART_ARC
(6,1),-0.809547 # DEPENDENCYPART_ARC
(6,2),-0.216092 # DEPENDENCYPART_ARC
(6,3),-0.808689 # DEPENDENCYPART_ARC
(6,4),0.217809 # DEPENDENCYPART_ARC
(6,5),0.421566 # DEPENDENCYPART_ARC
(6,7),4.46638 # DEPENDENCYPART_ARC
(6,8),1.18559 # DEPENDENCYPART_ARC
(6,9),0.923471 # DEPENDENCYPART_ARC
(6,10),0.100097 # DEPENDENCYPART_ARC
(7,1),-1.02254 # DEPENDENCYPART_ARC
(7,2),-0.390816 # DEPENDENCYPART_ARC
(7,3),-1.10704 # DEPENDENCYPART_ARC
(7,4),-0.249352 # DEPENDENCYPART_ARC
(7,5),-0.303304 # DEPENDENCYPART_ARC
(7,6),0.953928 # DEPENDENCYPART_ARC
(7,8),-0.195394 # DEPENDENCYPART_ARC
(7,9),-0.765392 # DEPENDENCYPART_ARC
(7,10),-1.14655 # DEPENDENCYPART_ARC
(8,1),-1.18814 # DEPENDENCYPART_ARC
(8,2),-0.947199 # DEPENDENCYPART_ARC
(8,3),-0.575363 # DEPENDENCYPART_ARC
(8,4),-0.606443 # DEPENDENCYPART_ARC
(8,5),-0.249171 # DEPENDENCYPART_ARC
(8,6),2.85255 # DEPENDENCYPART_ARC
(8,7),0.720221 # DEPENDENCYPART_ARC
(8,9),1.95635 # DEPENDENCYPART_ARC
(8,10),0.032017 # DEPENDENCYPART_ARC
(9,1),-0.232538 # DEPENDENCYPART_ARC
(9,2),0.42233 # DEPENDENCYPART_ARC
(9,3),-0.437937 # DEPENDENCYPART_ARC
(9,4),0.498361 # DEPENDENCYPART_ARC
(9,5),0.559517 # DEPENDENCYPART_ARC
(9,6),4.66171 # DEPENDENCYPART_ARC
(9,7),1.81349 # DEPENDENCYPART_ARC
(9,8),4.20545 # DEPENDENCYPART_ARC
(9,10),0.875554 # DEPENDENCYPART_ARC
(10,1),-1.72108 # DEPENDENCYPART_ARC
(10,2),-0.842231 # DEPENDENCYPART_ARC
(10,3),-1.47307 # DEPENDENCYPART_ARC
(10,4),-0.466999 # DEPENDENCYPART_ARC
(10,5),-1.62044 # DEPENDENCYPART_ARC
(10,6),-1.18823 # DEPENDENCYPART_ARC
(10,7),-0.784817 # DEPENDENCYPART_ARC
(10,8),-1.24631 # DEPENDENCYPART_ARC
(10,9),-1.18384 # DEPENDENCYPART_ARC
