# _root_ Thomas G. Dahlen , Big Bear 's executive vice president , said the chain is still reviewing its product list to avoid such problems .
#goldHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
#predictedHeads=3,3,12,3,6,10,6,10,10,3,3,0,14,15,12,15,15,20,20,17,17,21,24,22,12,
(0,1),-6.00189 # DEPENDENCYPART_ARC
(0,2),-5.93383 # DEPENDENCYPART_ARC
(0,3),-6.80372 # DEPENDENCYPART_ARC
(0,4),-7.00595 # DEPENDENCYPART_ARC
(0,5),-8.0867 # DEPENDENCYPART_ARC
(0,6),-7.38835 # DEPENDENCYPART_ARC
(0,7),-10.2166 # DEPENDENCYPART_ARC
(0,8),-6.50823 # DEPENDENCYPART_ARC
(0,9),-8.15859 # DEPENDENCYPART_ARC
(0,10),-8.82331 # DEPENDENCYPART_ARC
(0,11),-7.69983 # DEPENDENCYPART_ARC
(0,12),0.0490069 # DEPENDENCYPART_ARC
(0,13),-8.37518 # DEPENDENCYPART_ARC
(0,14),-8.14671 # DEPENDENCYPART_ARC
(0,15),-3.58458 # DEPENDENCYPART_ARC
(0,16),-8.14207 # DEPENDENCYPART_ARC
(0,17),-6.43368 # DEPENDENCYPART_ARC
(0,18),-8.09909 # DEPENDENCYPART_ARC
(0,19),-8.83678 # DEPENDENCYPART_ARC
(0,20),-8.85126 # DEPENDENCYPART_ARC
(0,21),-8.58084 # DEPENDENCYPART_ARC
(0,22),-6.86096 # DEPENDENCYPART_ARC
(0,23),-6.29247 # DEPENDENCYPART_ARC
(0,24),-6.89419 # DEPENDENCYPART_ARC
(0,25),-6.48689 # DEPENDENCYPART_ARC
(1,2),0.318293 # DEPENDENCYPART_ARC
(1,3),0.880701 # DEPENDENCYPART_ARC
(1,4),1.24426 # DEPENDENCYPART_ARC
(1,5),-0.0227348 # DEPENDENCYPART_ARC
(1,6),-1.33356 # DEPENDENCYPART_ARC
(1,7),-1.29606 # DEPENDENCYPART_ARC
(1,8),-1.27299 # DEPENDENCYPART_ARC
(1,9),-0.151131 # DEPENDENCYPART_ARC
(1,10),0.237415 # DEPENDENCYPART_ARC
(1,11),1.17883 # DEPENDENCYPART_ARC
(1,12),-1.67165 # DEPENDENCYPART_ARC
(1,13),-1.72313 # DEPENDENCYPART_ARC
(1,14),-2.26335 # DEPENDENCYPART_ARC
(1,15),-1.87224 # DEPENDENCYPART_ARC
(1,16),-2.7356 # DEPENDENCYPART_ARC
(1,17),-2.42521 # DEPENDENCYPART_ARC
(1,18),-3.05232 # DEPENDENCYPART_ARC
(1,19),-4.32408 # DEPENDENCYPART_ARC
(1,20),-4.47775 # DEPENDENCYPART_ARC
(1,21),-2.96624 # DEPENDENCYPART_ARC
(1,22),-3.39729 # DEPENDENCYPART_ARC
(1,23),-3.23019 # DEPENDENCYPART_ARC
(1,24),-2.65271 # DEPENDENCYPART_ARC
(1,25),-2.00207 # DEPENDENCYPART_ARC
(2,1),2.76076 # DEPENDENCYPART_ARC
(2,3),2.2977 # DEPENDENCYPART_ARC
(2,4),1.96808 # DEPENDENCYPART_ARC
(2,5),1.20099 # DEPENDENCYPART_ARC
(2,6),-0.101345 # DEPENDENCYPART_ARC
(2,7),0.260051 # DEPENDENCYPART_ARC
(2,8),-0.290597 # DEPENDENCYPART_ARC
(2,9),0.657017 # DEPENDENCYPART_ARC
(2,10),1.48641 # DEPENDENCYPART_ARC
(2,11),2.21515 # DEPENDENCYPART_ARC
(2,12),-0.992189 # DEPENDENCYPART_ARC
(2,13),-0.902396 # DEPENDENCYPART_ARC
(2,14),-1.69448 # DEPENDENCYPART_ARC
(2,15),-0.649831 # DEPENDENCYPART_ARC
(2,16),-1.69002 # DEPENDENCYPART_ARC
(2,17),-1.33506 # DEPENDENCYPART_ARC
(2,18),-2.04932 # DEPENDENCYPART_ARC
(2,19),-3.47421 # DEPENDENCYPART_ARC
(2,20),-3.3851 # DEPENDENCYPART_ARC
(2,21),-2.07327 # DEPENDENCYPART_ARC
(2,22),-2.44607 # DEPENDENCYPART_ARC
(2,23),-2.23885 # DEPENDENCYPART_ARC
(2,24),-1.73964 # DEPENDENCYPART_ARC
(2,25),-1.18518 # DEPENDENCYPART_ARC
(3,1),3.50503 # DEPENDENCYPART_ARC
(3,2),3.82934 # DEPENDENCYPART_ARC
(3,4),3.75531 # DEPENDENCYPART_ARC
(3,5),2.28757 # DEPENDENCYPART_ARC
(3,6),1.55483 # DEPENDENCYPART_ARC
(3,7),1.84953 # DEPENDENCYPART_ARC
(3,8),1.02514 # DEPENDENCYPART_ARC
(3,9),1.88418 # DEPENDENCYPART_ARC
(3,10),2.93552 # DEPENDENCYPART_ARC
(3,11),3.85905 # DEPENDENCYPART_ARC
(3,12),0.235804 # DEPENDENCYPART_ARC
(3,13),0.206685 # DEPENDENCYPART_ARC
(3,14),-0.724217 # DEPENDENCYPART_ARC
(3,15),0.420104 # DEPENDENCYPART_ARC
(3,16),-0.524763 # DEPENDENCYPART_ARC
(3,17),-0.128269 # DEPENDENCYPART_ARC
(3,18),-0.927105 # DEPENDENCYPART_ARC
(3,19),-2.29065 # DEPENDENCYPART_ARC
(3,20),-2.01576 # DEPENDENCYPART_ARC
(3,21),-0.992853 # DEPENDENCYPART_ARC
(3,22),-1.44277 # DEPENDENCYPART_ARC
(3,23),-1.14166 # DEPENDENCYPART_ARC
(3,24),-0.893582 # DEPENDENCYPART_ARC
(3,25),-0.284498 # DEPENDENCYPART_ARC
(4,1),-1.5753 # DEPENDENCYPART_ARC
(4,2),-1.71643 # DEPENDENCYPART_ARC
(4,3),-1.14293 # DEPENDENCYPART_ARC
(4,5),-0.363495 # DEPENDENCYPART_ARC
(4,6),-1.00276 # DEPENDENCYPART_ARC
(4,7),-1.47776 # DEPENDENCYPART_ARC
(4,8),-1.74376 # DEPENDENCYPART_ARC
(4,9),-2.10795 # DEPENDENCYPART_ARC
(4,10),-2.3932 # DEPENDENCYPART_ARC
(4,11),-0.701776 # DEPENDENCYPART_ARC
(4,12),-1.86106 # DEPENDENCYPART_ARC
(4,13),-2.41909 # DEPENDENCYPART_ARC
(4,14),-2.87306 # DEPENDENCYPART_ARC
(4,15),-2.11933 # DEPENDENCYPART_ARC
(4,16),-2.64958 # DEPENDENCYPART_ARC
(4,17),-2.40253 # DEPENDENCYPART_ARC
(4,18),-3.14363 # DEPENDENCYPART_ARC
(4,19),-3.31891 # DEPENDENCYPART_ARC
(4,20),-3.42644 # DEPENDENCYPART_ARC
(4,21),-3.04291 # DEPENDENCYPART_ARC
(4,22),-2.91613 # DEPENDENCYPART_ARC
(4,23),-3.61694 # DEPENDENCYPART_ARC
(4,24),-3.78567 # DEPENDENCYPART_ARC
(4,25),-2.73572 # DEPENDENCYPART_ARC
(5,1),-2.206 # DEPENDENCYPART_ARC
(5,2),-1.62194 # DEPENDENCYPART_ARC
(5,3),-1.34852 # DEPENDENCYPART_ARC
(5,4),-0.784724 # DEPENDENCYPART_ARC
(5,6),-0.662843 # DEPENDENCYPART_ARC
(5,7),0.385504 # DEPENDENCYPART_ARC
(5,8),-1.46654 # DEPENDENCYPART_ARC
(5,9),-1.44496 # DEPENDENCYPART_ARC
(5,10),-1.13007 # DEPENDENCYPART_ARC
(5,11),-0.694604 # DEPENDENCYPART_ARC
(5,12),-2.86532 # DEPENDENCYPART_ARC
(5,13),-2.59318 # DEPENDENCYPART_ARC
(5,14),-3.44599 # DEPENDENCYPART_ARC
(5,15),-2.76115 # DEPENDENCYPART_ARC
(5,16),-3.47613 # DEPENDENCYPART_ARC
(5,17),-3.0225 # DEPENDENCYPART_ARC
(5,18),-3.8189 # DEPENDENCYPART_ARC
(5,19),-5.71287 # DEPENDENCYPART_ARC
(5,20),-5.9862 # DEPENDENCYPART_ARC
(5,21),-3.68976 # DEPENDENCYPART_ARC
(5,22),-4.18337 # DEPENDENCYPART_ARC
(5,23),-3.968 # DEPENDENCYPART_ARC
(5,24),-4.03043 # DEPENDENCYPART_ARC
(5,25),-3.21613 # DEPENDENCYPART_ARC
(6,1),2.81215 # DEPENDENCYPART_ARC
(6,2),3.03851 # DEPENDENCYPART_ARC
(6,3),0.872191 # DEPENDENCYPART_ARC
(6,4),0.985655 # DEPENDENCYPART_ARC
(6,5),6.55815 # DEPENDENCYPART_ARC
(6,7),4.89559 # DEPENDENCYPART_ARC
(6,8),1.31192 # DEPENDENCYPART_ARC
(6,9),0.413255 # DEPENDENCYPART_ARC
(6,10),0.999197 # DEPENDENCYPART_ARC
(6,11),1.2266 # DEPENDENCYPART_ARC
