# _root_ `` They were absolutely killed , slaughtered , '' said one Chicago-based options trader .
#goldHeads=3,3,10,5,3,5,5,3,3,0,14,14,14,10,10,
#predictedHeads=10,3,10,5,3,5,5,10,10,0,14,14,14,10,10,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.46025 # DEPENDENCYPART_ARC
(0,3),-3.17072 # DEPENDENCYPART_ARC
(0,4),-6.49752 # DEPENDENCYPART_ARC
(0,5),-5.32183 # DEPENDENCYPART_ARC
(0,6),-6.39474 # DEPENDENCYPART_ARC
(0,7),-4.64979 # DEPENDENCYPART_ARC
(0,8),-6.66577 # DEPENDENCYPART_ARC
(0,9),-6.46341 # DEPENDENCYPART_ARC
(0,10),0.392171 # DEPENDENCYPART_ARC
(0,11),-8.06755 # DEPENDENCYPART_ARC
(0,12),-7.21846 # DEPENDENCYPART_ARC
(0,13),-5.64564 # DEPENDENCYPART_ARC
(0,14),-6.24813 # DEPENDENCYPART_ARC
(0,15),-6.60426 # DEPENDENCYPART_ARC
(1,2),-1.36865 # DEPENDENCYPART_ARC
(1,3),-1.59698 # DEPENDENCYPART_ARC
(1,4),-1.99485 # DEPENDENCYPART_ARC
(1,5),-2.21468 # DEPENDENCYPART_ARC
(1,6),-2.0622 # DEPENDENCYPART_ARC
(1,7),-2.42007 # DEPENDENCYPART_ARC
(1,8),-2.01288 # DEPENDENCYPART_ARC
(1,9),-1.34869 # DEPENDENCYPART_ARC
(1,10),-2.74527 # DEPENDENCYPART_ARC
(1,11),-3.45185 # DEPENDENCYPART_ARC
(1,12),-2.87723 # DEPENDENCYPART_ARC
(1,13),-3.7655 # DEPENDENCYPART_ARC
(1,14),-3.20214 # DEPENDENCYPART_ARC
(1,15),-2.54671 # DEPENDENCYPART_ARC
(2,1),-0.128602 # DEPENDENCYPART_ARC
(2,3),0.897406 # DEPENDENCYPART_ARC
(2,4),-0.178098 # DEPENDENCYPART_ARC
(2,5),-0.601277 # DEPENDENCYPART_ARC
(2,6),0.207975 # DEPENDENCYPART_ARC
(2,7),-1.024 # DEPENDENCYPART_ARC
(2,8),0.20754 # DEPENDENCYPART_ARC
(2,9),-0.435007 # DEPENDENCYPART_ARC
(2,10),-0.748614 # DEPENDENCYPART_ARC
(2,11),-1.6958 # DEPENDENCYPART_ARC
(2,12),-1.69965 # DEPENDENCYPART_ARC
(2,13),-1.34396 # DEPENDENCYPART_ARC
(2,14),-1.47366 # DEPENDENCYPART_ARC
(2,15),-0.826613 # DEPENDENCYPART_ARC
(3,1),2.43352 # DEPENDENCYPART_ARC
(3,2),4.08912 # DEPENDENCYPART_ARC
(3,4),2.63603 # DEPENDENCYPART_ARC
(3,5),3.12302 # DEPENDENCYPART_ARC
(3,6),1.21778 # DEPENDENCYPART_ARC
(3,7),1.33782 # DEPENDENCYPART_ARC
(3,8),0.00976095 # DEPENDENCYPART_ARC
(3,9),0.442846 # DEPENDENCYPART_ARC
(3,10),0.155659 # DEPENDENCYPART_ARC
(3,11),-0.585761 # DEPENDENCYPART_ARC
(3,12),-0.283901 # DEPENDENCYPART_ARC
(3,13),-0.0271665 # DEPENDENCYPART_ARC
(3,14),-1.46546 # DEPENDENCYPART_ARC
(3,15),1.96031 # DEPENDENCYPART_ARC
(4,1),-0.686423 # DEPENDENCYPART_ARC
(4,2),-0.260089 # DEPENDENCYPART_ARC
(4,3),-0.0751739 # DEPENDENCYPART_ARC
(4,5),1.37998 # DEPENDENCYPART_ARC
(4,6),0.735664 # DEPENDENCYPART_ARC
(4,7),0.249093 # DEPENDENCYPART_ARC
(4,8),0.619376 # DEPENDENCYPART_ARC
(4,9),0.149928 # DEPENDENCYPART_ARC
(4,10),-0.433628 # DEPENDENCYPART_ARC
(4,11),-1.70238 # DEPENDENCYPART_ARC
(4,12),-0.499938 # DEPENDENCYPART_ARC
(4,13),-1.39786 # DEPENDENCYPART_ARC
(4,14),-1.64962 # DEPENDENCYPART_ARC
(4,15),-0.0425969 # DEPENDENCYPART_ARC
(5,1),0.866022 # DEPENDENCYPART_ARC
(5,2),1.10975 # DEPENDENCYPART_ARC
(5,3),0.254081 # DEPENDENCYPART_ARC
(5,4),2.82294 # DEPENDENCYPART_ARC
(5,6),2.62921 # DEPENDENCYPART_ARC
(5,7),2.21443 # DEPENDENCYPART_ARC
(5,8),1.07052 # DEPENDENCYPART_ARC
(5,9),0.944949 # DEPENDENCYPART_ARC
(5,10),0.155326 # DEPENDENCYPART_ARC
(5,11),-0.41186 # DEPENDENCYPART_ARC
(5,12),-0.082587 # DEPENDENCYPART_ARC
(5,13),-0.0913473 # DEPENDENCYPART_ARC
(5,14),-0.685402 # DEPENDENCYPART_ARC
(5,15),0.634663 # DEPENDENCYPART_ARC
(6,1),-1.45826 # DEPENDENCYPART_ARC
(6,2),-1.67521 # DEPENDENCYPART_ARC
(6,3),-1.28173 # DEPENDENCYPART_ARC
(6,4),-1.42616 # DEPENDENCYPART_ARC
(6,5),-0.445373 # DEPENDENCYPART_ARC
(6,7),-0.220046 # DEPENDENCYPART_ARC
(6,8),0.585669 # DEPENDENCYPART_ARC
(6,9),-0.777203 # DEPENDENCYPART_ARC
(6,10),-1.10836 # DEPENDENCYPART_ARC
(6,11),-1.93276 # DEPENDENCYPART_ARC
(6,12),-1.96312 # DEPENDENCYPART_ARC
(6,13),-2.20458 # DEPENDENCYPART_ARC
(6,14),-2.41866 # DEPENDENCYPART_ARC
(6,15),-1.56234 # DEPENDENCYPART_ARC
(7,1),0.411161 # DEPENDENCYPART_ARC
(7,2),0.452621 # DEPENDENCYPART_ARC
(7,3),0.0495901 # DEPENDENCYPART_ARC
(7,4),1.10478 # DEPENDENCYPART_ARC
(7,5),0.535238 # DEPENDENCYPART_ARC
(7,6),1.06441 # DEPENDENCYPART_ARC
(7,8),1.24174 # DEPENDENCYPART_ARC
(7,9),1.1627 # DEPENDENCYPART_ARC
(7,10),0.339382 # DEPENDENCYPART_ARC
(7,11),-0.198964 # DEPENDENCYPART_ARC
(7,12),0.00990081 # DEPENDENCYPART_ARC
(7,13),-0.135309 # DEPENDENCYPART_ARC
(7,14),-0.355265 # DEPENDENCYPART_ARC
(7,15),0.860509 # DEPENDENCYPART_ARC
(8,1),-1.32688 # DEPENDENCYPART_ARC
(8,2),-1.67805 # DEPENDENCYPART_ARC
(8,3),-1.60822 # DEPENDENCYPART_ARC
(8,4),-1.7093 # DEPENDENCYPART_ARC
(8,5),-0.94916 # DEPENDENCYPART_ARC
(8,6),0.114603 # DEPENDENCYPART_ARC
(8,7),-0.124716 # DEPENDENCYPART_ARC
(8,9),0.388581 # DEPENDENCYPART_ARC
(8,10),-0.0184355 # DEPENDENCYPART_ARC
(8,11),-1.07055 # DEPENDENCYPART_ARC
(8,12),-1.13409 # DEPENDENCYPART_ARC
(8,13),-1.34004 # DEPENDENCYPART_ARC
(8,14),-1.74049 # DEPENDENCYPART_ARC
(8,15),-0.923161 # DEPENDENCYPART_ARC
(9,1),0.678617 # DEPENDENCYPART_ARC
(9,2),-1.61685 # DEPENDENCYPART_ARC
(9,3),-1.30054 # DEPENDENCYPART_ARC
(9,4),-1.47488 # DEPENDENCYPART_ARC
(9,5),-1.15129 # DEPENDENCYPART_ARC
(9,6),-0.210127 # DEPENDENCYPART_ARC
(9,7),-0.653263 # DEPENDENCYPART_ARC
(9,8),0.52978 # DEPENDENCYPART_ARC
(9,10),0.131313 # DEPENDENCYPART_ARC
(9,11),-1.02379 # DEPENDENCYPART_ARC
(9,12),-1.50652 # DEPENDENCYPART_ARC
