# _root_ But then it suddenly burst upward 7.5 as Goldman , Sachs & Co. stepped in and bought almost every share offer , traders said .
#goldHeads=5,5,5,5,24,5,5,5,14,9,9,11,12,8,14,14,16,21,21,21,17,24,24,0,24,
#predictedHeads=5,5,5,5,24,5,6,5,8,9,9,11,12,12,14,14,16,17,21,21,17,24,24,0,24,
(0,1),-7.13184 # DEPENDENCYPART_ARC
(0,2),-6.24568 # DEPENDENCYPART_ARC
(0,3),-5.8073 # DEPENDENCYPART_ARC
(0,4),-6.354 # DEPENDENCYPART_ARC
(0,5),-3.63025 # DEPENDENCYPART_ARC
(0,6),-6.41448 # DEPENDENCYPART_ARC
(0,7),-7.91395 # DEPENDENCYPART_ARC
(0,8),-5.44734 # DEPENDENCYPART_ARC
(0,9),-6.58874 # DEPENDENCYPART_ARC
(0,10),-7.19138 # DEPENDENCYPART_ARC
(0,11),-7.43999 # DEPENDENCYPART_ARC
(0,12),-7.72268 # DEPENDENCYPART_ARC
(0,13),-6.37143 # DEPENDENCYPART_ARC
(0,14),-4.00985 # DEPENDENCYPART_ARC
(0,15),-7.54179 # DEPENDENCYPART_ARC
(0,16),-8.29435 # DEPENDENCYPART_ARC
(0,17),-6.23045 # DEPENDENCYPART_ARC
(0,18),-7.41976 # DEPENDENCYPART_ARC
(0,19),-8.43268 # DEPENDENCYPART_ARC
(0,20),-7.79025 # DEPENDENCYPART_ARC
(0,21),-7.88746 # DEPENDENCYPART_ARC
(0,22),-8.98814 # DEPENDENCYPART_ARC
(0,23),-7.28177 # DEPENDENCYPART_ARC
(0,24),-1.99013 # DEPENDENCYPART_ARC
(0,25),-5.65569 # DEPENDENCYPART_ARC
(1,2),-1.32069 # DEPENDENCYPART_ARC
(1,3),-1.79928 # DEPENDENCYPART_ARC
(1,4),-2.13039 # DEPENDENCYPART_ARC
(1,5),-0.951534 # DEPENDENCYPART_ARC
(1,6),-2.53779 # DEPENDENCYPART_ARC
(1,7),-2.0119 # DEPENDENCYPART_ARC
(1,8),-2.14402 # DEPENDENCYPART_ARC
(1,9),-3.73458 # DEPENDENCYPART_ARC
(1,10),-1.20574 # DEPENDENCYPART_ARC
(1,11),-5.01459 # DEPENDENCYPART_ARC
(1,12),-2.75002 # DEPENDENCYPART_ARC
(1,13),-6.00583 # DEPENDENCYPART_ARC
(1,14),-2.84408 # DEPENDENCYPART_ARC
(1,15),-3.25447 # DEPENDENCYPART_ARC
(1,16),-3.09741 # DEPENDENCYPART_ARC
(1,17),-3.5398 # DEPENDENCYPART_ARC
(1,18),-4.14563 # DEPENDENCYPART_ARC
(1,19),-4.66301 # DEPENDENCYPART_ARC
(1,20),-5.68846 # DEPENDENCYPART_ARC
(1,21),-4.95067 # DEPENDENCYPART_ARC
(1,22),-2.4911 # DEPENDENCYPART_ARC
(1,23),-8.07458 # DEPENDENCYPART_ARC
(1,24),-3.61756 # DEPENDENCYPART_ARC
(1,25),-2.03241 # DEPENDENCYPART_ARC
(2,1),-0.560677 # DEPENDENCYPART_ARC
(2,3),1.19061 # DEPENDENCYPART_ARC
(2,4),0.0881127 # DEPENDENCYPART_ARC
(2,5),1.41645 # DEPENDENCYPART_ARC
(2,6),-0.882612 # DEPENDENCYPART_ARC
(2,7),-0.734944 # DEPENDENCYPART_ARC
(2,8),0.0840353 # DEPENDENCYPART_ARC
(2,9),-1.0676 # DEPENDENCYPART_ARC
(2,10),0.149189 # DEPENDENCYPART_ARC
(2,11),-1.35655 # DEPENDENCYPART_ARC
(2,12),-0.114808 # DEPENDENCYPART_ARC
(2,13),-1.52267 # DEPENDENCYPART_ARC
(2,14),0.0624614 # DEPENDENCYPART_ARC
(2,15),-1.8842 # DEPENDENCYPART_ARC
(2,16),-0.384221 # DEPENDENCYPART_ARC
(2,17),0.0150524 # DEPENDENCYPART_ARC
(2,18),-2.55297 # DEPENDENCYPART_ARC
(2,19),-2.00326 # DEPENDENCYPART_ARC
(2,20),-2.4011 # DEPENDENCYPART_ARC
(2,21),-2.53188 # DEPENDENCYPART_ARC
(2,22),-0.846862 # DEPENDENCYPART_ARC
(2,23),-2.87299 # DEPENDENCYPART_ARC
(2,24),-0.971072 # DEPENDENCYPART_ARC
(2,25),2.60161 # DEPENDENCYPART_ARC
(3,1),-1.14551 # DEPENDENCYPART_ARC
(3,2),-0.686442 # DEPENDENCYPART_ARC
(3,4),0.322183 # DEPENDENCYPART_ARC
(3,5),0.29535 # DEPENDENCYPART_ARC
(3,6),-0.431662 # DEPENDENCYPART_ARC
(3,7),-0.931654 # DEPENDENCYPART_ARC
(3,8),-0.0779403 # DEPENDENCYPART_ARC
(3,9),-0.91649 # DEPENDENCYPART_ARC
(3,10),-0.49258 # DEPENDENCYPART_ARC
(3,11),-1.19927 # DEPENDENCYPART_ARC
(3,12),-0.968551 # DEPENDENCYPART_ARC
(3,13),-1.32975 # DEPENDENCYPART_ARC
(3,14),-1.22508 # DEPENDENCYPART_ARC
(3,15),-1.6624 # DEPENDENCYPART_ARC
(3,16),-1.91498 # DEPENDENCYPART_ARC
(3,17),-1.5958 # DEPENDENCYPART_ARC
(3,18),-1.83926 # DEPENDENCYPART_ARC
(3,19),-1.82842 # DEPENDENCYPART_ARC
(3,20),-2.13639 # DEPENDENCYPART_ARC
(3,21),-2.18994 # DEPENDENCYPART_ARC
(3,22),-1.5622 # DEPENDENCYPART_ARC
(3,23),-2.64546 # DEPENDENCYPART_ARC
(3,24),-1.86432 # DEPENDENCYPART_ARC
(3,25),-1.66953 # DEPENDENCYPART_ARC
(4,1),-0.94428 # DEPENDENCYPART_ARC
(4,2),0.12423 # DEPENDENCYPART_ARC
(4,3),0.329023 # DEPENDENCYPART_ARC
(4,5),0.723831 # DEPENDENCYPART_ARC
(4,6),-0.30558 # DEPENDENCYPART_ARC
(4,7),-0.37052 # DEPENDENCYPART_ARC
(4,8),-0.13743 # DEPENDENCYPART_ARC
(4,9),-1.1177 # DEPENDENCYPART_ARC
(4,10),-0.301162 # DEPENDENCYPART_ARC
(4,11),-1.85197 # DEPENDENCYPART_ARC
(4,12),-0.528337 # DEPENDENCYPART_ARC
(4,13),-2.0586 # DEPENDENCYPART_ARC
(4,14),-1.28241 # DEPENDENCYPART_ARC
(4,15),-1.87915 # DEPENDENCYPART_ARC
(4,16),-0.827342 # DEPENDENCYPART_ARC
(4,17),-1.33939 # DEPENDENCYPART_ARC
(4,18),-2.45579 # DEPENDENCYPART_ARC
(4,19),-1.86774 # DEPENDENCYPART_ARC
(4,20),-2.34316 # DEPENDENCYPART_ARC
(4,21),-2.48825 # DEPENDENCYPART_ARC
(4,22),-1.37961 # DEPENDENCYPART_ARC
(4,23),-3.3386 # DEPENDENCYPART_ARC
(4,24),-2.40564 # DEPENDENCYPART_ARC
(4,25),2.02326 # DEPENDENCYPART_ARC
(5,1),1.42386 # DEPENDENCYPART_ARC
(5,2),1.79771 # DEPENDENCYPART_ARC
(5,3),3.17249 # DEPENDENCYPART_ARC
(5,4),3.63135 # DEPENDENCYPART_ARC
(5,6),2.35757 # DEPENDENCYPART_ARC
(5,7),1.00847 # DEPENDENCYPART_ARC
(5,8),2.46915 # DEPENDENCYPART_ARC
(5,9),0.907014 # DEPENDENCYPART_ARC
(5,10),1.25839 # DEPENDENCYPART_ARC
(5,11),-0.261931 # DEPENDENCYPART_ARC
(5,12),0.440141 # DEPENDENCYPART_ARC
(5,13),-0.811766 # DEPENDENCYPART_ARC
(5,14),-0.0423262 # DEPENDENCYPART_ARC
(5,15),0.525318 # DEPENDENCYPART_ARC
(5,16),2.39397 # DEPENDENCYPART_ARC
(5,17),-1.45524 # DEPENDENCYPART_ARC
(5,18),-0.524696 # DEPENDENCYPART_ARC
(5,19),-1.24585 # DEPENDENCYPART_ARC
(5,20),-1.18768 # DEPENDENCYPART_ARC
(5,21),-0.142709 # DEPENDENCYPART_ARC
(5,22),-0.494086 # DEPENDENCYPART_ARC
(5,23),-1.74169 # DEPENDENCYPART_ARC
(5,24),-2.52231 # DEPENDENCYPART_ARC
(5,25),6.6937 # DEPENDENCYPART_ARC
(6,1),-1.00774 # DEPENDENCYPART_ARC
(6,2),-0.0475446 # DEPENDENCYPART_ARC
(6,3),-0.866042 # DEPENDENCYPART_ARC
(6,4),0.661077 # DEPENDENCYPART_ARC
(6,5),0.128233 # DEPENDENCYPART_ARC
(6,7),1.84457 # DEPENDENCYPART_ARC
(6,8),1.0283 # DEPENDENCYPART_ARC
(6,9),-0.0752705 # DEPENDENCYPART_ARC
(6,10),0.399308 # DEPENDENCYPART_ARC
(6,11),-0.618836 # DEPENDENCYPART_ARC
(6,12),0.35858 # DEPENDENCYPART_ARC
(6,13),-1.25982 # DEPENDENCYPART_ARC
(6,14),-0.554481 # DEPENDENCYPART_ARC
(6,15),-1.29543 # DEPENDENCYPART_ARC
(6,16),-0.258726 # DEPENDENCYPART_ARC
(6,17),-0.600907 # DEPENDENCYPART_ARC
(6,18),-1.83024 # DEPENDENCYPART_ARC
(6,19),-1.24528 # DEPENDENCYPART_ARC
(6,20),-1.58134 # DEPENDENCYPART_ARC
(6,21),-1.75479 # DEPENDENCYPART_ARC
(6,22),-0.559058 # DEPENDENCYPART_ARC
(6,23),-2.49655 # DEPENDENCYPART_ARC
(6,24),-1.63917 # DEPENDENCYPART_ARC
(6,25),1.53587 # DEPENDENCYPART_ARC
(7,1),-1.69466 # DEPENDENCYPART_ARC
(7,2),0.0332922 # DEPENDENCYPART_ARC
(7,3),-0.732722 # DEPENDENCYPART_ARC
(7,4),0.382947 # DEPENDENCYPART_ARC
(7,5),0.175151 # DEPENDENCYPART_ARC
(7,6),2.14864 # DEPENDENCYPART_ARC
(7,8),1.48909 # DEPENDENCYPART_ARC
(7,9),0.828256 # DEPENDENCYPART_ARC
(7,10),1.40718 # DEPENDENCYPART_ARC
(7,11),0.315995 # DEPENDENCYPART_ARC
(7,12),0.347259 # DEPENDENCYPART_ARC
(7,13),-0.153405 # DEPENDENCYPART_ARC
(7,14),0.466899 # DEPENDENCYPART_ARC
(7,15),-0.275026 # DEPENDENCYPART_ARC
(7,16),0.015942 # DEPENDENCYPART_ARC
(7,17),0.15982 # DEPENDENCYPART_ARC
(7,18),-0.579995 # DEPENDENCYPART_ARC
(7,19),-1.06413 # DEPENDENCYPART_ARC
(7,20),-0.636577 # DEPENDENCYPART_ARC
(7,21),-1.15639 # DEPENDENCYPART_ARC
(7,22),0.623038 # DEPENDENCYPART_ARC
(7,23),-1.25091 # DEPENDENCYPART_ARC
(7,24),-1.12509 # DEPENDENCYPART_ARC
(7,25),-0.335677 # DEPENDENCYPART_ARC
(8,1),-0.246714 # DEPENDENCYPART_ARC
(8,2),-0.669011 # DEPENDENCYPART_ARC
(8,3),-0.895347 # DEPENDENCYPART_ARC
(8,4),-0.478602 # DEPENDENCYPART_ARC
(8,5),-0.50529 # DEPENDENCYPART_ARC
(8,6),0.127455 # DEPENDENCYPART_ARC
(8,7),0.262757 # DEPENDENCYPART_ARC
(8,9),2.17105 # DEPENDENCYPART_ARC
(8,10),-0.0158729 # DEPENDENCYPART_ARC
(8,11),-0.294541 # DEPENDENCYPART_ARC
(8,12),-1.15107 # DEPENDENCYPART_ARC
(8,13),-2.2791 # DEPENDENCYPART_ARC
(8,14),1.21626 # DEPENDENCYPART_ARC
(8,15),-1.48652 # DEPENDENCYPART_ARC
(8,16),-1.91692 # DEPENDENCYPART_ARC
(8,17),-1.48182 # DEPENDENCYPART_ARC
(8,18),-1.77875 # DEPENDENCYPART_ARC
(8,19),-2.53782 # DEPENDENCYPART_ARC
(8,20),-5.31691 # DEPENDENCYPART_ARC
(8,21),-3.00162 # DEPENDENCYPART_ARC
(8,22),-1.27862 # DEPENDENCYPART_ARC
(8,23),-5.23447 # DEPENDENCYPART_ARC
(8,24),-4.187 # DEPENDENCYPART_ARC
(8,25),1.44347 # DEPENDENCYPART_ARC
(9,1),-2.73708 # DEPENDENCYPART_ARC
(9,2),-1.93367 # DEPENDENCYPART_ARC
(9,3),-1.95203 # DEPENDENCYPART_ARC
(9,4),-1.07053 # DEPENDENCYPART_ARC
(9,5),-1.4561 # DEPENDENCYPART_ARC
(9,6),-0.364886 # DEPENDENCYPART_ARC
(9,7),0.371205 # DEPENDENCYPART_ARC
(9,8),0.564315 # DEPENDENCYPART_ARC
(9,10),4.37961 # DEPENDENCYPART_ARC
(9,11),2.96605 # DEPENDENCYPART_ARC
(9,12),2.72242 # DEPENDENCYPART_ARC
(9,13),0.938004 # DEPENDENCYPART_ARC
(9,14),1.25426 # DEPENDENCYPART_ARC
(9,15),0.334901 # DEPENDENCYPART_ARC
(9,16),-0.663216 # DEPENDENCYPART_ARC
(9,17),0.39255 # DEPENDENCYPART_ARC
(9,18),0.0101754 # DEPENDENCYPART_ARC
(9,19),0.0941833 # DEPENDENCYPART_ARC
(9,20),-2.22406 # DEPENDENCYPART_ARC
(9,21),-1.14548 # DEPENDENCYPART_ARC
(9,22),0.846493 # DEPENDENCYPART_ARC
(9,23),-0.755895 # DEPENDENCYPART_ARC
(9,24),-1.09387 # DEPENDENCYPART_ARC
(9,25),-0.136638 # DEPENDENCYPART_ARC
(10,1),-2.199 # DEPENDENCYPART_ARC
(10,2),-2.35895 # DEPENDENCYPART_ARC
(10,3),-1.89216 # DEPENDENCYPART_ARC
(10,4),-2.0703 # DEPENDENCYPART_ARC
(10,5),-1.65826 # DEPENDENCYPART_ARC
(10,6),-1.75858 # DEPENDENCYPART_ARC
(10,7),-0.991516 # DEPENDENCYPART_ARC
(10,8),-1.01995 # DEPENDENCYPART_ARC
(10,9),-0.876694 # DEPENDENCYPART_ARC
(10,11),-0.262028 # DEPENDENCYPART_ARC
