# _root_ John Verret , the agency 's president and chief executive , will retain the title of president .
#goldHeads=2,12,2,5,7,5,2,7,10,8,2,0,12,15,13,15,16,12,
#predictedHeads=2,12,2,5,7,5,2,7,10,8,2,0,12,15,13,15,16,12,
(0,1),-5.96641 # DEPENDENCYPART_ARC
(0,2),-6.59875 # DEPENDENCYPART_ARC
(0,3),-6.57274 # DEPENDENCYPART_ARC
(0,4),-7.42525 # DEPENDENCYPART_ARC
(0,5),-6.94853 # DEPENDENCYPART_ARC
(0,6),-8.25689 # DEPENDENCYPART_ARC
(0,7),-7.50405 # DEPENDENCYPART_ARC
(0,8),-7.89315 # DEPENDENCYPART_ARC
(0,9),-6.51761 # DEPENDENCYPART_ARC
(0,10),-7.76554 # DEPENDENCYPART_ARC
(0,11),-7.63113 # DEPENDENCYPART_ARC
(0,12),-2.68647 # DEPENDENCYPART_ARC
(0,13),-4.83326 # DEPENDENCYPART_ARC
(0,14),-8.4772 # DEPENDENCYPART_ARC
(0,15),-7.38305 # DEPENDENCYPART_ARC
(0,16),-8.42465 # DEPENDENCYPART_ARC
(0,17),-7.44927 # DEPENDENCYPART_ARC
(0,18),-5.97984 # DEPENDENCYPART_ARC
(1,2),1.10192 # DEPENDENCYPART_ARC
(1,3),1.84112 # DEPENDENCYPART_ARC
(1,4),-0.0864078 # DEPENDENCYPART_ARC
(1,5),1.09874 # DEPENDENCYPART_ARC
(1,6),-0.100277 # DEPENDENCYPART_ARC
(1,7),0.879714 # DEPENDENCYPART_ARC
(1,8),-0.131341 # DEPENDENCYPART_ARC
(1,9),-0.692224 # DEPENDENCYPART_ARC
(1,10),0.171876 # DEPENDENCYPART_ARC
(1,11),1.4325 # DEPENDENCYPART_ARC
(1,12),-1.09404 # DEPENDENCYPART_ARC
(1,13),-1.87304 # DEPENDENCYPART_ARC
(1,14),-1.27384 # DEPENDENCYPART_ARC
(1,15),-1.80035 # DEPENDENCYPART_ARC
(1,16),-2.31785 # DEPENDENCYPART_ARC
(1,17),-2.52026 # DEPENDENCYPART_ARC
(1,18),-0.553929 # DEPENDENCYPART_ARC
(2,1),4.79799 # DEPENDENCYPART_ARC
(2,3),3.95011 # DEPENDENCYPART_ARC
(2,4),1.43909 # DEPENDENCYPART_ARC
(2,5),2.51013 # DEPENDENCYPART_ARC
(2,6),2.04269 # DEPENDENCYPART_ARC
(2,7),3.13885 # DEPENDENCYPART_ARC
(2,8),1.40608 # DEPENDENCYPART_ARC
(2,9),0.89858 # DEPENDENCYPART_ARC
(2,10),2.1559 # DEPENDENCYPART_ARC
(2,11),3.8838 # DEPENDENCYPART_ARC
(2,12),0.867781 # DEPENDENCYPART_ARC
(2,13),-0.214909 # DEPENDENCYPART_ARC
(2,14),0.124914 # DEPENDENCYPART_ARC
(2,15),-0.185284 # DEPENDENCYPART_ARC
(2,16),-0.514746 # DEPENDENCYPART_ARC
(2,17),-0.871123 # DEPENDENCYPART_ARC
(2,18),1.14517 # DEPENDENCYPART_ARC
(3,1),-1.72438 # DEPENDENCYPART_ARC
(3,2),-1.16366 # DEPENDENCYPART_ARC
(3,4),-0.381456 # DEPENDENCYPART_ARC
(3,5),-1.04066 # DEPENDENCYPART_ARC
(3,6),-1.16634 # DEPENDENCYPART_ARC
(3,7),-1.70828 # DEPENDENCYPART_ARC
(3,8),-1.4653 # DEPENDENCYPART_ARC
(3,9),-1.83721 # DEPENDENCYPART_ARC
(3,10),-2.32385 # DEPENDENCYPART_ARC
(3,11),-0.401883 # DEPENDENCYPART_ARC
(3,12),-1.7716 # DEPENDENCYPART_ARC
(3,13),-1.82511 # DEPENDENCYPART_ARC
(3,14),-2.35317 # DEPENDENCYPART_ARC
(3,15),-3.01181 # DEPENDENCYPART_ARC
(3,16),-1.87727 # DEPENDENCYPART_ARC
(3,17),-3.13028 # DEPENDENCYPART_ARC
(3,18),-2.08236 # DEPENDENCYPART_ARC
(4,1),-1.90769 # DEPENDENCYPART_ARC
(4,2),-1.76684 # DEPENDENCYPART_ARC
(4,3),-0.881875 # DEPENDENCYPART_ARC
(4,5),-0.0838277 # DEPENDENCYPART_ARC
(4,6),-0.912813 # DEPENDENCYPART_ARC
(4,7),-0.858533 # DEPENDENCYPART_ARC
(4,8),-0.7765 # DEPENDENCYPART_ARC
(4,9),-1.57761 # DEPENDENCYPART_ARC
(4,10),-1.79988 # DEPENDENCYPART_ARC
(4,11),-1.28874 # DEPENDENCYPART_ARC
(4,12),-1.86022 # DEPENDENCYPART_ARC
(4,13),-2.36811 # DEPENDENCYPART_ARC
(4,14),-2.80586 # DEPENDENCYPART_ARC
(4,15),-2.41814 # DEPENDENCYPART_ARC
(4,16),-2.33967 # DEPENDENCYPART_ARC
(4,17),-2.64086 # DEPENDENCYPART_ARC
(4,18),-1.88316 # DEPENDENCYPART_ARC
(5,1),0.492699 # DEPENDENCYPART_ARC
(5,2),0.124347 # DEPENDENCYPART_ARC
(5,3),0.906232 # DEPENDENCYPART_ARC
(5,4),4.97089 # DEPENDENCYPART_ARC
(5,6),4.49726 # DEPENDENCYPART_ARC
(5,7),0.810378 # DEPENDENCYPART_ARC
(5,8),0.928975 # DEPENDENCYPART_ARC
(5,9),0.254321 # DEPENDENCYPART_ARC
(5,10),-0.114955 # DEPENDENCYPART_ARC
(5,11),1.17911 # DEPENDENCYPART_ARC
(5,12),0.226618 # DEPENDENCYPART_ARC
(5,13),-0.56931 # DEPENDENCYPART_ARC
(5,14),-0.687989 # DEPENDENCYPART_ARC
(5,15),-0.714676 # DEPENDENCYPART_ARC
(5,16),-0.335397 # DEPENDENCYPART_ARC
(5,17),-1.62038 # DEPENDENCYPART_ARC
(5,18),-0.0761221 # DEPENDENCYPART_ARC
(6,1),-0.256487 # DEPENDENCYPART_ARC
(6,2),-0.129092 # DEPENDENCYPART_ARC
(6,3),0.391377 # DEPENDENCYPART_ARC
(6,4),1.41701 # DEPENDENCYPART_ARC
(6,5),0.365034 # DEPENDENCYPART_ARC
(6,7),-0.0914317 # DEPENDENCYPART_ARC
(6,8),0.259509 # DEPENDENCYPART_ARC
(6,9),-1.08365 # DEPENDENCYPART_ARC
(6,10),-1.55709 # DEPENDENCYPART_ARC
(6,11),-0.815647 # DEPENDENCYPART_ARC
(6,12),-1.22207 # DEPENDENCYPART_ARC
(6,13),-1.40796 # DEPENDENCYPART_ARC
(6,14),-1.79998 # DEPENDENCYPART_ARC
(6,15),-2.21917 # DEPENDENCYPART_ARC
(6,16),-1.81734 # DEPENDENCYPART_ARC
(6,17),-2.32954 # DEPENDENCYPART_ARC
(6,18),-1.3111 # DEPENDENCYPART_ARC
(7,1),-0.738447 # DEPENDENCYPART_ARC
(7,2),-0.651049 # DEPENDENCYPART_ARC
(7,3),-0.0328591 # DEPENDENCYPART_ARC
(7,4),2.51975 # DEPENDENCYPART_ARC
(7,5),4.47508 # DEPENDENCYPART_ARC
(7,6),1.81555 # DEPENDENCYPART_ARC
(7,8),3.77357 # DEPENDENCYPART_ARC
(7,9),1.16265 # DEPENDENCYPART_ARC
(7,10),1.3072 # DEPENDENCYPART_ARC
(7,11),2.25843 # DEPENDENCYPART_ARC
(7,12),0.635054 # DEPENDENCYPART_ARC
(7,13),0.219572 # DEPENDENCYPART_ARC
(7,14),-0.120062 # DEPENDENCYPART_ARC
(7,15),0.165934 # DEPENDENCYPART_ARC
(7,16),2.02971 # DEPENDENCYPART_ARC
(7,17),-0.389678 # DEPENDENCYPART_ARC
(7,18),0.389824 # DEPENDENCYPART_ARC
(8,1),-0.824128 # DEPENDENCYPART_ARC
(8,2),-0.704339 # DEPENDENCYPART_ARC
(8,3),-1.40999 # DEPENDENCYPART_ARC
(8,4),-0.671346 # DEPENDENCYPART_ARC
(8,5),-0.410841 # DEPENDENCYPART_ARC
(8,6),-0.689415 # DEPENDENCYPART_ARC
(8,7),0.0317936 # DEPENDENCYPART_ARC
(8,9),1.96861 # DEPENDENCYPART_ARC
(8,10),3.57401 # DEPENDENCYPART_ARC
(8,11),0.945677 # DEPENDENCYPART_ARC
(8,12),1.27998 # DEPENDENCYPART_ARC
(8,13),0.877191 # DEPENDENCYPART_ARC
(8,14),-0.863889 # DEPENDENCYPART_ARC
(8,15),0.0580485 # DEPENDENCYPART_ARC
(8,16),-0.585375 # DEPENDENCYPART_ARC
(8,17),-0.799985 # DEPENDENCYPART_ARC
(8,18),0.393071 # DEPENDENCYPART_ARC
(9,1),-2.30686 # DEPENDENCYPART_ARC
(9,2),-2.84123 # DEPENDENCYPART_ARC
(9,3),-2.46798 # DEPENDENCYPART_ARC
(9,4),-1.02818 # DEPENDENCYPART_ARC
(9,5),-1.49772 # DEPENDENCYPART_ARC
(9,6),-1.62837 # DEPENDENCYPART_ARC
(9,7),-1.27147 # DEPENDENCYPART_ARC
(9,8),-0.473929 # DEPENDENCYPART_ARC
(9,10),0.938991 # DEPENDENCYPART_ARC
(9,11),-0.373366 # DEPENDENCYPART_ARC
(9,12),-0.33255 # DEPENDENCYPART_ARC
(9,13),-1.06966 # DEPENDENCYPART_ARC
(9,14),-1.55065 # DEPENDENCYPART_ARC
(9,15),-1.15224 # DEPENDENCYPART_ARC
(9,16),-1.21899 # DEPENDENCYPART_ARC
(9,17),-1.68505 # DEPENDENCYPART_ARC
(9,18),-0.81994 # DEPENDENCYPART_ARC
(10,1),-0.708093 # DEPENDENCYPART_ARC
(10,2),-1.72238 # DEPENDENCYPART_ARC
(10,3),-0.563863 # DEPENDENCYPART_ARC
(10,4),0.977031 # DEPENDENCYPART_ARC
(10,5),4.05677 # DEPENDENCYPART_ARC
(10,6),0.383859 # DEPENDENCYPART_ARC
(10,7),1.26825 # DEPENDENCYPART_ARC
(10,8),0.557356 # DEPENDENCYPART_ARC
(10,9),4.14684 # DEPENDENCYPART_ARC
(10,11),1.31057 # DEPENDENCYPART_ARC
(10,12),-0.131209 # DEPENDENCYPART_ARC
(10,13),-0.586283 # DEPENDENCYPART_ARC
(10,14),-1.09146 # DEPENDENCYPART_ARC
(10,15),-0.900382 # DEPENDENCYPART_ARC
(10,16),-0.818253 # DEPENDENCYPART_ARC
(10,17),-1.16726 # DEPENDENCYPART_ARC
(10,18),-0.566512 # DEPENDENCYPART_ARC
(11,1),-2.33343 # DEPENDENCYPART_ARC
(11,2),-2.31821 # DEPENDENCYPART_ARC
(11,3),-0.681496 # DEPENDENCYPART_ARC
(11,4),-1.34147 # DEPENDENCYPART_ARC
(11,5),-1.69212 # DEPENDENCYPART_ARC
(11,6),-1.71376 # DEPENDENCYPART_ARC
(11,7),-1.41725 # DEPENDENCYPART_ARC
(11,8),-1.43092 # DEPENDENCYPART_ARC
(11,9),-1.24479 # DEPENDENCYPART_ARC
(11,10),-0.961349 # DEPENDENCYPART_ARC
(11,12),-0.456567 # DEPENDENCYPART_ARC
(11,13),-0.793804 # DEPENDENCYPART_ARC
(11,14),-1.81745 # DEPENDENCYPART_ARC
(11,15),-2.14452 # DEPENDENCYPART_ARC
(11,16),-1.82284 # DEPENDENCYPART_ARC
(11,17),-2.58671 # DEPENDENCYPART_ARC
(11,18),-1.83384 # DEPENDENCYPART_ARC
(12,1),2.04243 # DEPENDENCYPART_ARC
(12,2),2.10727 # DEPENDENCYPART_ARC
(12,3),1.07972 # DEPENDENCYPART_ARC
(12,4),-0.268139 # DEPENDENCYPART_ARC
(12,5),1.528 # DEPENDENCYPART_ARC
(12,6),0.380968 # DEPENDENCYPART_ARC
(12,7),1.28735 # DEPENDENCYPART_ARC
(12,8),0.818736 # DEPENDENCYPART_ARC
(12,9),1.03544 # DEPENDENCYPART_ARC
(12,10),1.65944 # DEPENDENCYPART_ARC
(12,11),2.14302 # DEPENDENCYPART_ARC
(12,13),3.97017 # DEPENDENCYPART_ARC
(12,14),0.474522 # DEPENDENCYPART_ARC
(12,15),0.603904 # DEPENDENCYPART_ARC
(12,16),0.25095 # DEPENDENCYPART_ARC
(12,17),0.33252 # DEPENDENCYPART_ARC
(12,18),4.23595 # DEPENDENCYPART_ARC
(13,1),-1.07705 # DEPENDENCYPART_ARC
(13,2),-1.38468 # DEPENDENCYPART_ARC
(13,3),-0.000534511 # DEPENDENCYPART_ARC
(13,4),-0.362645 # DEPENDENCYPART_ARC
(13,5),-0.665361 # DEPENDENCYPART_ARC
(13,6),-0.876591 # DEPENDENCYPART_ARC
(13,7),-0.396182 # DEPENDENCYPART_ARC
