# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,23,23,31,31,28,31,34,32,34,37,35,3,
(0,1),-5.96689 # DEPENDENCYPART_ARC
(0,2),-5.66495 # DEPENDENCYPART_ARC
(0,3),-2.70428 # DEPENDENCYPART_ARC
(0,4),-5.71136 # DEPENDENCYPART_ARC
(0,5),-6.94723 # DEPENDENCYPART_ARC
(0,6),-6.19067 # DEPENDENCYPART_ARC
(0,7),-6.43396 # DEPENDENCYPART_ARC
(0,8),-7.80438 # DEPENDENCYPART_ARC
(0,9),-5.05559 # DEPENDENCYPART_ARC
(0,10),-7.87152 # DEPENDENCYPART_ARC
(0,11),-7.9296 # DEPENDENCYPART_ARC
(0,12),-7.57512 # DEPENDENCYPART_ARC
(0,13),-7.55063 # DEPENDENCYPART_ARC
(0,14),-8.17991 # DEPENDENCYPART_ARC
(0,15),-7.21704 # DEPENDENCYPART_ARC
(0,16),-4.19959 # DEPENDENCYPART_ARC
(0,17),-6.3983 # DEPENDENCYPART_ARC
(0,18),-8.84014 # DEPENDENCYPART_ARC
(0,19),-8.37372 # DEPENDENCYPART_ARC
(0,20),-9.02301 # DEPENDENCYPART_ARC
(0,21),-8.67828 # DEPENDENCYPART_ARC
(0,22),-8.29525 # DEPENDENCYPART_ARC
(0,23),-5.54231 # DEPENDENCYPART_ARC
(0,24),-6.64605 # DEPENDENCYPART_ARC
(0,25),-9.76641 # DEPENDENCYPART_ARC
(0,26),-6.97955 # DEPENDENCYPART_ARC
(0,27),-9.26207 # DEPENDENCYPART_ARC
