# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.526 # DEPENDENCYPART_ARC
(0,3),-6.44603 # DEPENDENCYPART_ARC
(0,4),-5.96316 # DEPENDENCYPART_ARC
(0,5),-5.8719 # DEPENDENCYPART_ARC
(0,6),-6.45045 # DEPENDENCYPART_ARC
(0,7),-2.5762 # DEPENDENCYPART_ARC
(0,8),-7.14014 # DEPENDENCYPART_ARC
(0,9),-8.16863 # DEPENDENCYPART_ARC
(0,10),-7.82328 # DEPENDENCYPART_ARC
(0,11),-7.88215 # DEPENDENCYPART_ARC
(0,12),-8.01181 # DEPENDENCYPART_ARC
(0,13),-8.36781 # DEPENDENCYPART_ARC
(0,14),-7.06378 # DEPENDENCYPART_ARC
(0,15),-6.62359 # DEPENDENCYPART_ARC
(0,16),-7.00853 # DEPENDENCYPART_ARC
(0,17),-9.01901 # DEPENDENCYPART_ARC
(0,18),-8.25268 # DEPENDENCYPART_ARC
(0,19),-8.85813 # DEPENDENCYPART_ARC
(0,20),-6.87871 # DEPENDENCYPART_ARC
(0,21),-8.84534 # DEPENDENCYPART_ARC
(0,22),-9.4828 # DEPENDENCYPART_ARC
(0,23),-8.77348 # DEPENDENCYPART_ARC
(0,24),-10.122 # DEPENDENCYPART_ARC
(0,25),-8.25712 # DEPENDENCYPART_ARC
(0,26),-9.6298 # DEPENDENCYPART_ARC
(0,27),0.323401 # DEPENDENCYPART_ARC
(0,28),-8.52668 # DEPENDENCYPART_ARC
(0,29),-8.27358 # DEPENDENCYPART_ARC
(0,30),-11.8311 # DEPENDENCYPART_ARC
(0,31),-9.25689 # DEPENDENCYPART_ARC
(0,32),-8.89269 # DEPENDENCYPART_ARC
(0,33),-5.98703 # DEPENDENCYPART_ARC
(1,2),-0.60862 # DEPENDENCYPART_ARC
(1,3),-0.706713 # DEPENDENCYPART_ARC
(1,4),-1.80234 # DEPENDENCYPART_ARC
(1,5),-1.8284 # DEPENDENCYPART_ARC
(1,6),-1.93004 # DEPENDENCYPART_ARC
(1,7),-1.76674 # DEPENDENCYPART_ARC
(1,8),-2.33922 # DEPENDENCYPART_ARC
(1,9),-2.19063 # DEPENDENCYPART_ARC
(1,10),-2.6494 # DEPENDENCYPART_ARC
(1,11),-2.91057 # DEPENDENCYPART_ARC
(1,12),-3.48737 # DEPENDENCYPART_ARC
(1,13),-2.79806 # DEPENDENCYPART_ARC
(1,14),-3.03519 # DEPENDENCYPART_ARC
(1,15),-2.74677 # DEPENDENCYPART_ARC
(1,16),-3.61044 # DEPENDENCYPART_ARC
(1,17),-3.43729 # DEPENDENCYPART_ARC
(1,18),-2.18908 # DEPENDENCYPART_ARC
(1,19),-4.44245 # DEPENDENCYPART_ARC
(1,20),-3.33271 # DEPENDENCYPART_ARC
(1,21),-3.60404 # DEPENDENCYPART_ARC
(1,22),-3.54088 # DEPENDENCYPART_ARC
(1,23),-4.31778 # DEPENDENCYPART_ARC
(1,24),-5.18423 # DEPENDENCYPART_ARC
(1,25),-4.53079 # DEPENDENCYPART_ARC
(1,26),-2.99116 # DEPENDENCYPART_ARC
(1,27),-5.96084 # DEPENDENCYPART_ARC
(1,28),-4.81376 # DEPENDENCYPART_ARC
(1,29),-4.80831 # DEPENDENCYPART_ARC
(1,30),-5.25101 # DEPENDENCYPART_ARC
(1,31),-4.92909 # DEPENDENCYPART_ARC
(1,32),-5.0285 # DEPENDENCYPART_ARC
(1,33),-4.19099 # DEPENDENCYPART_ARC
(2,1),4.45158 # DEPENDENCYPART_ARC
(2,3),4.03868 # DEPENDENCYPART_ARC
(2,4),1.05323 # DEPENDENCYPART_ARC
(2,5),1.30508 # DEPENDENCYPART_ARC
(2,6),0.80527 # DEPENDENCYPART_ARC
(2,7),1.14958 # DEPENDENCYPART_ARC
(2,8),0.195659 # DEPENDENCYPART_ARC
(2,9),0.63182 # DEPENDENCYPART_ARC
(2,10),0.122113 # DEPENDENCYPART_ARC
(2,11),1.28752 # DEPENDENCYPART_ARC
(2,12),0.0299132 # DEPENDENCYPART_ARC
(2,13),0.101906 # DEPENDENCYPART_ARC
(2,14),0.0289765 # DEPENDENCYPART_ARC
(2,15),1.32886 # DEPENDENCYPART_ARC
(2,16),-0.628316 # DEPENDENCYPART_ARC
(2,17),-0.582965 # DEPENDENCYPART_ARC
(2,18),0.470776 # DEPENDENCYPART_ARC
(2,19),-2.00219 # DEPENDENCYPART_ARC
(2,20),0.255871 # DEPENDENCYPART_ARC
(2,21),-0.928726 # DEPENDENCYPART_ARC
(2,22),-1.08323 # DEPENDENCYPART_ARC
(2,23),-1.74538 # DEPENDENCYPART_ARC
(2,24),-1.95949 # DEPENDENCYPART_ARC
(2,25),-1.91268 # DEPENDENCYPART_ARC
(2,26),-0.304136 # DEPENDENCYPART_ARC
(2,27),-0.496985 # DEPENDENCYPART_ARC
(2,28),-2.94779 # DEPENDENCYPART_ARC
(2,29),-2.72844 # DEPENDENCYPART_ARC
(2,30),-3.98957 # DEPENDENCYPART_ARC
(2,31),-2.90872 # DEPENDENCYPART_ARC
(2,32),-2.76229 # DEPENDENCYPART_ARC
(2,33),1.5478 # DEPENDENCYPART_ARC
(3,1),-0.710071 # DEPENDENCYPART_ARC
(3,2),0.340115 # DEPENDENCYPART_ARC
(3,4),2.10608 # DEPENDENCYPART_ARC
(3,5),0.926515 # DEPENDENCYPART_ARC
(3,6),3.56882 # DEPENDENCYPART_ARC
(3,7),0.654979 # DEPENDENCYPART_ARC
(3,8),-0.429177 # DEPENDENCYPART_ARC
(3,9),-0.558849 # DEPENDENCYPART_ARC
(3,10),-1.39397 # DEPENDENCYPART_ARC
(3,11),-0.0872353 # DEPENDENCYPART_ARC
(3,12),-2.22718 # DEPENDENCYPART_ARC
(3,13),-1.98227 # DEPENDENCYPART_ARC
(3,14),-3.1931 # DEPENDENCYPART_ARC
(3,15),-0.507313 # DEPENDENCYPART_ARC
(3,16),-3.50529 # DEPENDENCYPART_ARC
(3,17),-1.89996 # DEPENDENCYPART_ARC
(3,18),0.117904 # DEPENDENCYPART_ARC
(3,19),-0.995281 # DEPENDENCYPART_ARC
(3,20),-1.04246 # DEPENDENCYPART_ARC
(3,21),-1.42976 # DEPENDENCYPART_ARC
(3,22),-2.9853 # DEPENDENCYPART_ARC
(3,23),-6.72354 # DEPENDENCYPART_ARC
(3,24),-2.97397 # DEPENDENCYPART_ARC
