# _root_ Richard Chenevix-Trench , a director at Hong Kong-based Baring International Fund Managers Ltd. , said the market probably has n't hit bottom yet but is close .
#goldHeads=2,15,2,5,2,5,8,12,12,12,12,6,12,2,0,17,19,19,15,19,19,21,21,19,24,25,15,
#predictedHeads=2,15,2,5,2,5,8,12,12,12,12,6,12,2,0,17,19,19,15,19,19,21,21,19,24,25,15,
(0,1),-5.99963 # DEPENDENCYPART_ARC
(0,2),-6.63713 # DEPENDENCYPART_ARC
(0,3),-6.61112 # DEPENDENCYPART_ARC
(0,4),-7.29938 # DEPENDENCYPART_ARC
(0,5),-7.40902 # DEPENDENCYPART_ARC
(0,6),-8.00992 # DEPENDENCYPART_ARC
(0,7),-7.24537 # DEPENDENCYPART_ARC
(0,8),-6.3828 # DEPENDENCYPART_ARC
(0,9),-7.59033 # DEPENDENCYPART_ARC
(0,10),-6.60887 # DEPENDENCYPART_ARC
(0,11),-6.81082 # DEPENDENCYPART_ARC
(0,12),-7.97247 # DEPENDENCYPART_ARC
(0,13),-9.03203 # DEPENDENCYPART_ARC
(0,14),-8.0633 # DEPENDENCYPART_ARC
(0,15),0.448386 # DEPENDENCYPART_ARC
(0,16),-8.6326 # DEPENDENCYPART_ARC
(0,17),-8.87301 # DEPENDENCYPART_ARC
(0,18),-8.2759 # DEPENDENCYPART_ARC
(0,19),-3.12624 # DEPENDENCYPART_ARC
(0,20),-8.28655 # DEPENDENCYPART_ARC
(0,21),-4.38179 # DEPENDENCYPART_ARC
(0,22),-9.31179 # DEPENDENCYPART_ARC
(0,23),-8.76191 # DEPENDENCYPART_ARC
(0,24),-9.71699 # DEPENDENCYPART_ARC
(0,25),-4.79072 # DEPENDENCYPART_ARC
(0,26),-5.6789 # DEPENDENCYPART_ARC
(0,27),-5.79673 # DEPENDENCYPART_ARC
(1,2),1.17287 # DEPENDENCYPART_ARC
(1,3),1.80639 # DEPENDENCYPART_ARC
(1,4),-0.341624 # DEPENDENCYPART_ARC
(1,5),1.24564 # DEPENDENCYPART_ARC
(1,6),-0.429668 # DEPENDENCYPART_ARC
(1,7),-1.50069 # DEPENDENCYPART_ARC
(1,8),-0.80725 # DEPENDENCYPART_ARC
(1,9),-1.39044 # DEPENDENCYPART_ARC
(1,10),-1.29639 # DEPENDENCYPART_ARC
(1,11),-1.30269 # DEPENDENCYPART_ARC
(1,12),-1.2897 # DEPENDENCYPART_ARC
(1,13),-1.38538 # DEPENDENCYPART_ARC
(1,14),1.54269 # DEPENDENCYPART_ARC
(1,15),-1.16469 # DEPENDENCYPART_ARC
(1,16),-0.991246 # DEPENDENCYPART_ARC
(1,17),-1.20273 # DEPENDENCYPART_ARC
(1,18),-2.16249 # DEPENDENCYPART_ARC
(1,19),-2.6258 # DEPENDENCYPART_ARC
(1,20),-2.36887 # DEPENDENCYPART_ARC
(1,21),-2.54384 # DEPENDENCYPART_ARC
(1,22),-3.95339 # DEPENDENCYPART_ARC
(1,23),-2.74964 # DEPENDENCYPART_ARC
(1,24),-4.09397 # DEPENDENCYPART_ARC
(1,25),-3.28197 # DEPENDENCYPART_ARC
(1,26),-2.70919 # DEPENDENCYPART_ARC
(1,27),-0.192819 # DEPENDENCYPART_ARC
(2,1),4.69075 # DEPENDENCYPART_ARC
(2,3),3.85026 # DEPENDENCYPART_ARC
(2,4),1.07063 # DEPENDENCYPART_ARC
(2,5),2.9297 # DEPENDENCYPART_ARC
(2,6),0.777388 # DEPENDENCYPART_ARC
(2,7),0.323659 # DEPENDENCYPART_ARC
(2,8),0.556805 # DEPENDENCYPART_ARC
(2,9),0.202903 # DEPENDENCYPART_ARC
(2,10),0.334381 # DEPENDENCYPART_ARC
(2,11),0.336213 # DEPENDENCYPART_ARC
(2,12),0.303925 # DEPENDENCYPART_ARC
(2,13),1.01991 # DEPENDENCYPART_ARC
(2,14),4.03132 # DEPENDENCYPART_ARC
(2,15),0.218522 # DEPENDENCYPART_ARC
(2,16),0.286264 # DEPENDENCYPART_ARC
(2,17),-0.00666873 # DEPENDENCYPART_ARC
(2,18),-0.458119 # DEPENDENCYPART_ARC
(2,19),-0.739851 # DEPENDENCYPART_ARC
(2,20),-0.645327 # DEPENDENCYPART_ARC
(2,21),-0.631865 # DEPENDENCYPART_ARC
(2,22),-2.59799 # DEPENDENCYPART_ARC
(2,23),-1.02986 # DEPENDENCYPART_ARC
(2,24),-2.6213 # DEPENDENCYPART_ARC
(2,25),-1.70068 # DEPENDENCYPART_ARC
(2,26),-1.39157 # DEPENDENCYPART_ARC
(2,27),1.12648 # DEPENDENCYPART_ARC
(3,1),-1.78286 # DEPENDENCYPART_ARC
(3,2),-1.22214 # DEPENDENCYPART_ARC
(3,4),-0.413738 # DEPENDENCYPART_ARC
(3,5),-1.22026 # DEPENDENCYPART_ARC
(3,6),-0.920925 # DEPENDENCYPART_ARC
(3,7),-1.22349 # DEPENDENCYPART_ARC
(3,8),-1.64238 # DEPENDENCYPART_ARC
(3,9),-1.82525 # DEPENDENCYPART_ARC
(3,10),-1.95568 # DEPENDENCYPART_ARC
(3,11),-2.10938 # DEPENDENCYPART_ARC
(3,12),-2.19276 # DEPENDENCYPART_ARC
(3,13),-2.31842 # DEPENDENCYPART_ARC
(3,14),-1.06203 # DEPENDENCYPART_ARC
(3,15),-1.98668 # DEPENDENCYPART_ARC
(3,16),-2.60343 # DEPENDENCYPART_ARC
(3,17),-3.12021 # DEPENDENCYPART_ARC
(3,18),-2.63403 # DEPENDENCYPART_ARC
(3,19),-2.36876 # DEPENDENCYPART_ARC
(3,20),-2.85229 # DEPENDENCYPART_ARC
(3,21),-2.57442 # DEPENDENCYPART_ARC
(3,22),-3.63455 # DEPENDENCYPART_ARC
(3,23),-3.1456 # DEPENDENCYPART_ARC
(3,24),-2.72499 # DEPENDENCYPART_ARC
(3,25),-2.8933 # DEPENDENCYPART_ARC
(3,26),-3.69596 # DEPENDENCYPART_ARC
(3,27),-2.80414 # DEPENDENCYPART_ARC
(4,1),-1.27239 # DEPENDENCYPART_ARC
(4,2),-1.23174 # DEPENDENCYPART_ARC
(4,3),-0.321952 # DEPENDENCYPART_ARC
(4,5),0.335563 # DEPENDENCYPART_ARC
(4,6),-0.864561 # DEPENDENCYPART_ARC
(4,7),-0.688345 # DEPENDENCYPART_ARC
(4,8),-1.0609 # DEPENDENCYPART_ARC
(4,9),-0.966995 # DEPENDENCYPART_ARC
(4,10),-1.20534 # DEPENDENCYPART_ARC
(4,11),-1.19373 # DEPENDENCYPART_ARC
(4,12),-1.20776 # DEPENDENCYPART_ARC
(4,13),-1.07516 # DEPENDENCYPART_ARC
(4,14),-0.294412 # DEPENDENCYPART_ARC
(4,15),-1.93278 # DEPENDENCYPART_ARC
(4,16),-2.77572 # DEPENDENCYPART_ARC
(4,17),-1.99974 # DEPENDENCYPART_ARC
(4,18),-2.27136 # DEPENDENCYPART_ARC
(4,19),-2.93833 # DEPENDENCYPART_ARC
(4,20),-2.42032 # DEPENDENCYPART_ARC
(4,21),-3.40788 # DEPENDENCYPART_ARC
(4,22),-2.58496 # DEPENDENCYPART_ARC
(4,23),-2.69109 # DEPENDENCYPART_ARC
(4,24),-2.68425 # DEPENDENCYPART_ARC
(4,25),-4.41375 # DEPENDENCYPART_ARC
(4,26),-3.2574 # DEPENDENCYPART_ARC
(4,27),-2.3731 # DEPENDENCYPART_ARC
(5,1),-0.529081 # DEPENDENCYPART_ARC
(5,2),-0.83502 # DEPENDENCYPART_ARC
(5,3),0.313547 # DEPENDENCYPART_ARC
(5,4),4.08677 # DEPENDENCYPART_ARC
(5,6),3.20435 # DEPENDENCYPART_ARC
(5,7),1.08011 # DEPENDENCYPART_ARC
(5,8),1.17491 # DEPENDENCYPART_ARC
(5,9),0.838136 # DEPENDENCYPART_ARC
(5,10),0.639819 # DEPENDENCYPART_ARC
(5,11),0.52346 # DEPENDENCYPART_ARC
(5,12),0.397663 # DEPENDENCYPART_ARC
(5,13),0.607631 # DEPENDENCYPART_ARC
(5,14),1.93857 # DEPENDENCYPART_ARC
(5,15),1.44325 # DEPENDENCYPART_ARC
(5,16),-0.933488 # DEPENDENCYPART_ARC
(5,17),-0.242853 # DEPENDENCYPART_ARC
(5,18),-0.198253 # DEPENDENCYPART_ARC
(5,19),-0.520973 # DEPENDENCYPART_ARC
(5,20),-0.809315 # DEPENDENCYPART_ARC
(5,21),-0.551914 # DEPENDENCYPART_ARC
(5,22),-1.07095 # DEPENDENCYPART_ARC
(5,23),-1.09272 # DEPENDENCYPART_ARC
(5,24),-0.696161 # DEPENDENCYPART_ARC
(5,25),-2.12152 # DEPENDENCYPART_ARC
(5,26),-1.75738 # DEPENDENCYPART_ARC
(5,27),1.72634 # DEPENDENCYPART_ARC
(6,1),-1.41011 # DEPENDENCYPART_ARC
(6,2),-1.42976 # DEPENDENCYPART_ARC
(6,3),-0.304249 # DEPENDENCYPART_ARC
(6,4),-0.179883 # DEPENDENCYPART_ARC
(6,5),0.30658 # DEPENDENCYPART_ARC
(6,7),2.13534 # DEPENDENCYPART_ARC
(6,8),0.887716 # DEPENDENCYPART_ARC
(6,9),1.88811 # DEPENDENCYPART_ARC
(6,10),2.54026 # DEPENDENCYPART_ARC
(6,11),2.8264 # DEPENDENCYPART_ARC
(6,12),1.80115 # DEPENDENCYPART_ARC
(6,13),0.621018 # DEPENDENCYPART_ARC
(6,14),0.4298 # DEPENDENCYPART_ARC
(6,15),-0.695866 # DEPENDENCYPART_ARC
(6,16),-2.45144 # DEPENDENCYPART_ARC
(6,17),-1.35248 # DEPENDENCYPART_ARC
(6,18),-0.948643 # DEPENDENCYPART_ARC
(6,19),-3.17532 # DEPENDENCYPART_ARC
(6,20),-1.26787 # DEPENDENCYPART_ARC
(6,21),-3.2571 # DEPENDENCYPART_ARC
(6,22),-3.20337 # DEPENDENCYPART_ARC
(6,23),-1.7349 # DEPENDENCYPART_ARC
(6,24),-1.73104 # DEPENDENCYPART_ARC
(6,25),-6.31858 # DEPENDENCYPART_ARC
(6,26),-2.48226 # DEPENDENCYPART_ARC
(6,27),0.668935 # DEPENDENCYPART_ARC
(7,1),-2.96744 # DEPENDENCYPART_ARC
(7,2),-2.81576 # DEPENDENCYPART_ARC
(7,3),-1.7115 # DEPENDENCYPART_ARC
(7,4),-0.540926 # DEPENDENCYPART_ARC
(7,5),-1.55102 # DEPENDENCYPART_ARC
(7,6),-0.243277 # DEPENDENCYPART_ARC
(7,8),1.54625 # DEPENDENCYPART_ARC
(7,9),0.500305 # DEPENDENCYPART_ARC
(7,10),0.251655 # DEPENDENCYPART_ARC
