# _root_ MRA Staffing Systems signs up nurses for paid travel , promising annual income up to $ 50,000 and free or subsidized housing .
#goldHeads=3,3,4,0,4,4,4,9,7,4,4,13,11,13,14,15,16,13,22,19,20,18,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,4,4,13,11,16,16,11,16,11,18,19,20,20,4,
(0,1),-6.03779 # DEPENDENCYPART_ARC
(0,2),-5.949 # DEPENDENCYPART_ARC
(0,3),-5.40051 # DEPENDENCYPART_ARC
(0,4),-3.46168 # DEPENDENCYPART_ARC
(0,5),-6.67229 # DEPENDENCYPART_ARC
(0,6),-6.88271 # DEPENDENCYPART_ARC
(0,7),-8.51649 # DEPENDENCYPART_ARC
(0,8),-6.07858 # DEPENDENCYPART_ARC
(0,9),-7.58736 # DEPENDENCYPART_ARC
(0,10),-7.57399 # DEPENDENCYPART_ARC
(0,11),-6.34378 # DEPENDENCYPART_ARC
(0,12),-6.43967 # DEPENDENCYPART_ARC
(0,13),-8.13915 # DEPENDENCYPART_ARC
(0,14),-8.49919 # DEPENDENCYPART_ARC
(0,15),-7.79164 # DEPENDENCYPART_ARC
(0,16),-9.21981 # DEPENDENCYPART_ARC
(0,17),-9.25819 # DEPENDENCYPART_ARC
(0,18),-8.96688 # DEPENDENCYPART_ARC
(0,19),-7.03561 # DEPENDENCYPART_ARC
(0,20),-8.96021 # DEPENDENCYPART_ARC
(0,21),-5.46495 # DEPENDENCYPART_ARC
(0,22),-8.6356 # DEPENDENCYPART_ARC
(0,23),-7.10528 # DEPENDENCYPART_ARC
(1,2),0.384641 # DEPENDENCYPART_ARC
(1,3),1.10876 # DEPENDENCYPART_ARC
(1,4),-0.38231 # DEPENDENCYPART_ARC
(1,5),-0.982587 # DEPENDENCYPART_ARC
(1,6),-1.03902 # DEPENDENCYPART_ARC
(1,7),-1.54523 # DEPENDENCYPART_ARC
(1,8),-1.37359 # DEPENDENCYPART_ARC
(1,9),-1.50503 # DEPENDENCYPART_ARC
(1,10),-1.32054 # DEPENDENCYPART_ARC
(1,11),-1.70579 # DEPENDENCYPART_ARC
(1,12),-1.92536 # DEPENDENCYPART_ARC
(1,13),-3.21505 # DEPENDENCYPART_ARC
(1,14),-2.60023 # DEPENDENCYPART_ARC
(1,15),-2.19127 # DEPENDENCYPART_ARC
(1,16),-2.72526 # DEPENDENCYPART_ARC
(1,17),-2.80117 # DEPENDENCYPART_ARC
(1,18),-1.203 # DEPENDENCYPART_ARC
(1,19),-2.64369 # DEPENDENCYPART_ARC
(1,20),-2.86688 # DEPENDENCYPART_ARC
(1,21),-2.38186 # DEPENDENCYPART_ARC
(1,22),-5.9759 # DEPENDENCYPART_ARC
(1,23),-0.620868 # DEPENDENCYPART_ARC
(2,1),2.43848 # DEPENDENCYPART_ARC
(2,3),2.54621 # DEPENDENCYPART_ARC
(2,4),-0.244616 # DEPENDENCYPART_ARC
(2,5),-0.729779 # DEPENDENCYPART_ARC
