# _root_ Paris , which has been the center of speculation fever in recent weeks , also was hard hit .
#goldHeads=16,1,4,1,4,7,5,7,10,8,5,13,11,1,16,0,18,16,16,
#predictedHeads=16,1,4,1,4,7,5,7,10,8,7,13,11,1,16,0,16,16,16,
(0,1),-6.41992 # DEPENDENCYPART_ARC
(0,2),-6.84658 # DEPENDENCYPART_ARC
(0,3),-6.93252 # DEPENDENCYPART_ARC
(0,4),-4.67081 # DEPENDENCYPART_ARC
(0,5),-4.2539 # DEPENDENCYPART_ARC
(0,6),-7.40023 # DEPENDENCYPART_ARC
(0,7),-6.95113 # DEPENDENCYPART_ARC
(0,8),-7.18387 # DEPENDENCYPART_ARC
(0,9),-6.80049 # DEPENDENCYPART_ARC
(0,10),-7.02877 # DEPENDENCYPART_ARC
(0,11),-7.51699 # DEPENDENCYPART_ARC
(0,12),-6.30822 # DEPENDENCYPART_ARC
(0,13),-6.30202 # DEPENDENCYPART_ARC
(0,14),-8.05252 # DEPENDENCYPART_ARC
(0,15),-7.52615 # DEPENDENCYPART_ARC
(0,16),-3.15385 # DEPENDENCYPART_ARC
(0,17),-8.12976 # DEPENDENCYPART_ARC
(0,18),-6.51599 # DEPENDENCYPART_ARC
(0,19),-6.19867 # DEPENDENCYPART_ARC
(1,2),3.20697 # DEPENDENCYPART_ARC
(1,3),0.293851 # DEPENDENCYPART_ARC
(1,4),3.26858 # DEPENDENCYPART_ARC
(1,5),0.819202 # DEPENDENCYPART_ARC
(1,6),0.446209 # DEPENDENCYPART_ARC
(1,7),0.854987 # DEPENDENCYPART_ARC
(1,8),-0.0849412 # DEPENDENCYPART_ARC
(1,9),-0.633264 # DEPENDENCYPART_ARC
(1,10),-0.392229 # DEPENDENCYPART_ARC
(1,11),-1.06779 # DEPENDENCYPART_ARC
(1,12),-0.478664 # DEPENDENCYPART_ARC
(1,13),-0.37124 # DEPENDENCYPART_ARC
(1,14),2.87902 # DEPENDENCYPART_ARC
(1,15),-1.00345 # DEPENDENCYPART_ARC
(1,16),1.2437 # DEPENDENCYPART_ARC
(1,17),-1.09126 # DEPENDENCYPART_ARC
(1,18),-0.751025 # DEPENDENCYPART_ARC
(1,19),0.905552 # DEPENDENCYPART_ARC
(2,1),-1.03493 # DEPENDENCYPART_ARC
(2,3),-1.0125 # DEPENDENCYPART_ARC
(2,4),-0.769644 # DEPENDENCYPART_ARC
(2,5),-1.45273 # DEPENDENCYPART_ARC
(2,6),-1.99568 # DEPENDENCYPART_ARC
(2,7),-2.26758 # DEPENDENCYPART_ARC
(2,8),-1.73402 # DEPENDENCYPART_ARC
(2,9),-2.55477 # DEPENDENCYPART_ARC
(2,10),-2.76935 # DEPENDENCYPART_ARC
(2,11),-1.97722 # DEPENDENCYPART_ARC
(2,12),-2.64266 # DEPENDENCYPART_ARC
(2,13),-2.92443 # DEPENDENCYPART_ARC
(2,14),-1.19233 # DEPENDENCYPART_ARC
(2,15),-2.81402 # DEPENDENCYPART_ARC
(2,16),-2.47502 # DEPENDENCYPART_ARC
(2,17),-2.97881 # DEPENDENCYPART_ARC
(2,18),-2.97411 # DEPENDENCYPART_ARC
(2,19),-2.51528 # DEPENDENCYPART_ARC
(3,1),-0.616787 # DEPENDENCYPART_ARC
(3,2),0.203253 # DEPENDENCYPART_ARC
(3,4),0.233595 # DEPENDENCYPART_ARC
