# _root_ Hertz Equipment is a major supplier of rental equipment in the U.S. , France , Spain and the U.K .
#goldHeads=2,3,0,6,6,3,6,9,7,3,12,10,12,12,14,14,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,12,14,14,16,19,17,3,
(0,1),-5.93938 # DEPENDENCYPART_ARC
(0,2),-5.45053 # DEPENDENCYPART_ARC
(0,3),-2.54649 # DEPENDENCYPART_ARC
(0,4),-7.3596 # DEPENDENCYPART_ARC
(0,5),-6.72366 # DEPENDENCYPART_ARC
(0,6),-7.56396 # DEPENDENCYPART_ARC
(0,7),-7.48126 # DEPENDENCYPART_ARC
(0,8),-6.57729 # DEPENDENCYPART_ARC
(0,9),-8.0212 # DEPENDENCYPART_ARC
(0,10),-8.2146 # DEPENDENCYPART_ARC
(0,11),-8.22549 # DEPENDENCYPART_ARC
(0,12),-8.22463 # DEPENDENCYPART_ARC
(0,13),-8.08119 # DEPENDENCYPART_ARC
(0,14),-8.36677 # DEPENDENCYPART_ARC
(0,15),-8.33222 # DEPENDENCYPART_ARC
(0,16),-8.87949 # DEPENDENCYPART_ARC
(0,17),-9.00919 # DEPENDENCYPART_ARC
(0,18),-9.09239 # DEPENDENCYPART_ARC
(0,19),-7.79685 # DEPENDENCYPART_ARC
(0,20),-5.30785 # DEPENDENCYPART_ARC
(1,2),1.88429 # DEPENDENCYPART_ARC
(1,3),-0.372414 # DEPENDENCYPART_ARC
(1,4),-0.656658 # DEPENDENCYPART_ARC
(1,5),-0.692177 # DEPENDENCYPART_ARC
(1,6),-0.350246 # DEPENDENCYPART_ARC
(1,7),-1.21475 # DEPENDENCYPART_ARC
(1,8),-1.33253 # DEPENDENCYPART_ARC
(1,9),-1.5308 # DEPENDENCYPART_ARC
(1,10),-2.16331 # DEPENDENCYPART_ARC
(1,11),-1.50124 # DEPENDENCYPART_ARC
(1,12),-1.95354 # DEPENDENCYPART_ARC
(1,13),-0.0404029 # DEPENDENCYPART_ARC
(1,14),-1.56697 # DEPENDENCYPART_ARC
(1,15),-0.314583 # DEPENDENCYPART_ARC
(1,16),-2.06136 # DEPENDENCYPART_ARC
(1,17),0.0784411 # DEPENDENCYPART_ARC
(1,18),-2.0978 # DEPENDENCYPART_ARC
(1,19),-3.70739 # DEPENDENCYPART_ARC
(1,20),0.0696606 # DEPENDENCYPART_ARC
(2,1),4.5094 # DEPENDENCYPART_ARC
(2,3),0.516813 # DEPENDENCYPART_ARC
(2,4),-0.300928 # DEPENDENCYPART_ARC
(2,5),-0.25183 # DEPENDENCYPART_ARC
(2,6),-0.230583 # DEPENDENCYPART_ARC
(2,7),-0.726675 # DEPENDENCYPART_ARC
(2,8),-0.979708 # DEPENDENCYPART_ARC
(2,9),-1.50941 # DEPENDENCYPART_ARC
(2,10),-1.62621 # DEPENDENCYPART_ARC
(2,11),-1.32749 # DEPENDENCYPART_ARC
(2,12),-1.77816 # DEPENDENCYPART_ARC
(2,13),0.209332 # DEPENDENCYPART_ARC
(2,14),-1.84664 # DEPENDENCYPART_ARC
(2,15),0.0996737 # DEPENDENCYPART_ARC
(2,16),-2.5641 # DEPENDENCYPART_ARC
(2,17),0.0583186 # DEPENDENCYPART_ARC
(2,18),-1.9252 # DEPENDENCYPART_ARC
(2,19),-3.71786 # DEPENDENCYPART_ARC
(2,20),-0.306251 # DEPENDENCYPART_ARC
(3,1),2.09332 # DEPENDENCYPART_ARC
(3,2),2.72116 # DEPENDENCYPART_ARC
(3,4),0.902232 # DEPENDENCYPART_ARC
(3,5),1.6042 # DEPENDENCYPART_ARC
(3,6),2.84282 # DEPENDENCYPART_ARC
(3,7),0.254282 # DEPENDENCYPART_ARC
(3,8),0.175739 # DEPENDENCYPART_ARC
(3,9),1.50512 # DEPENDENCYPART_ARC
(3,10),1.35676 # DEPENDENCYPART_ARC
(3,11),-0.938075 # DEPENDENCYPART_ARC
(3,12),-0.630143 # DEPENDENCYPART_ARC
(3,13),0.680368 # DEPENDENCYPART_ARC
(3,14),-1.2456 # DEPENDENCYPART_ARC
(3,15),0.223836 # DEPENDENCYPART_ARC
(3,16),-1.70017 # DEPENDENCYPART_ARC
(3,17),0.297906 # DEPENDENCYPART_ARC
