# _root_ Consider Gap Inc. , whose latest ad campaign features black-and-white shots of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .
#goldHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,19,20,17,14,23,25,23,21,25,26,1,
#predictedHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,2,14,16,20,20,17,20,23,25,23,21,25,26,9,
(0,1),-3.5856 # DEPENDENCYPART_ARC
(0,2),-6.21889 # DEPENDENCYPART_ARC
(0,3),-5.78888 # DEPENDENCYPART_ARC
(0,4),-6.80161 # DEPENDENCYPART_ARC
(0,5),-6.6608 # DEPENDENCYPART_ARC
(0,6),-7.45065 # DEPENDENCYPART_ARC
(0,7),-6.74425 # DEPENDENCYPART_ARC
(0,8),-6.2949 # DEPENDENCYPART_ARC
(0,9),-3.48758 # DEPENDENCYPART_ARC
(0,10),-6.34515 # DEPENDENCYPART_ARC
(0,11),-6.59506 # DEPENDENCYPART_ARC
(0,12),-8.07889 # DEPENDENCYPART_ARC
(0,13),-7.29821 # DEPENDENCYPART_ARC
(0,14),-5.99557 # DEPENDENCYPART_ARC
(0,15),-7.97801 # DEPENDENCYPART_ARC
(0,16),-6.08236 # DEPENDENCYPART_ARC
(0,17),-8.752 # DEPENDENCYPART_ARC
(0,18),-6.23985 # DEPENDENCYPART_ARC
(0,19),-6.00829 # DEPENDENCYPART_ARC
(0,20),-6.73394 # DEPENDENCYPART_ARC
(0,21),-7.80726 # DEPENDENCYPART_ARC
(0,22),-9.26987 # DEPENDENCYPART_ARC
(0,23),-8.16105 # DEPENDENCYPART_ARC
(0,24),-10.4556 # DEPENDENCYPART_ARC
(0,25),-6.97966 # DEPENDENCYPART_ARC
(0,26),-10.103 # DEPENDENCYPART_ARC
(0,27),-6.98837 # DEPENDENCYPART_ARC
(0,28),-7.40835 # DEPENDENCYPART_ARC
(1,2),2.75969 # DEPENDENCYPART_ARC
(1,3),3.00783 # DEPENDENCYPART_ARC
(1,4),1.97025 # DEPENDENCYPART_ARC
(1,5),1.35381 # DEPENDENCYPART_ARC
(1,6),1.0805 # DEPENDENCYPART_ARC
(1,7),1.3104 # DEPENDENCYPART_ARC
(1,8),1.49073 # DEPENDENCYPART_ARC
(1,9),1.30489 # DEPENDENCYPART_ARC
(1,10),1.2516 # DEPENDENCYPART_ARC
(1,11),1.24289 # DEPENDENCYPART_ARC
(1,12),-0.0127654 # DEPENDENCYPART_ARC
(1,13),-0.353206 # DEPENDENCYPART_ARC
(1,14),-0.0777803 # DEPENDENCYPART_ARC
(1,15),0.806162 # DEPENDENCYPART_ARC
(1,16),-1.57172 # DEPENDENCYPART_ARC
(1,17),-0.104936 # DEPENDENCYPART_ARC
(1,18),0.240524 # DEPENDENCYPART_ARC
(1,19),0.511161 # DEPENDENCYPART_ARC
(1,20),-2.15891 # DEPENDENCYPART_ARC
(1,21),0.807699 # DEPENDENCYPART_ARC
