# _root_ Dollar : 141.85 yen , off 0.25 ; 1.8685 marks , off 0.0055 .
#goldHeads=0,1,4,1,4,4,6,4,10,4,10,10,12,1,
#predictedHeads=0,1,4,1,4,4,6,4,10,4,10,10,12,1,
(0,1),-5.24029 # DEPENDENCYPART_ARC
(0,2),-7.05232 # DEPENDENCYPART_ARC
(0,3),-7.68759 # DEPENDENCYPART_ARC
(0,4),-7.23738 # DEPENDENCYPART_ARC
(0,5),-7.44622 # DEPENDENCYPART_ARC
(0,6),-7.55294 # DEPENDENCYPART_ARC
(0,7),-8.60049 # DEPENDENCYPART_ARC
(0,8),-7.04128 # DEPENDENCYPART_ARC
(0,9),-8.86024 # DEPENDENCYPART_ARC
(0,10),-7.68077 # DEPENDENCYPART_ARC
(0,11),-7.61435 # DEPENDENCYPART_ARC
(0,12),-8.44785 # DEPENDENCYPART_ARC
(0,13),-9.35548 # DEPENDENCYPART_ARC
(0,14),-6.1543 # DEPENDENCYPART_ARC
(1,2),2.06629 # DEPENDENCYPART_ARC
(1,3),1.11972 # DEPENDENCYPART_ARC
(1,4),0.931645 # DEPENDENCYPART_ARC
(1,5),0.458268 # DEPENDENCYPART_ARC
(1,6),-0.470922 # DEPENDENCYPART_ARC
(1,7),-0.304956 # DEPENDENCYPART_ARC
(1,8),1.32718 # DEPENDENCYPART_ARC
(1,9),-0.785158 # DEPENDENCYPART_ARC
(1,10),1.16254 # DEPENDENCYPART_ARC
(1,11),-0.497688 # DEPENDENCYPART_ARC
(1,12),-1.77333 # DEPENDENCYPART_ARC
(1,13),-1.44275 # DEPENDENCYPART_ARC
(1,14),3.26003 # DEPENDENCYPART_ARC
(2,1),-0.989187 # DEPENDENCYPART_ARC
(2,3),-0.0991505 # DEPENDENCYPART_ARC
(2,4),-0.805995 # DEPENDENCYPART_ARC
(2,5),-0.280713 # DEPENDENCYPART_ARC
(2,6),-1.15134 # DEPENDENCYPART_ARC
(2,7),-1.53319 # DEPENDENCYPART_ARC
(2,8),0.111988 # DEPENDENCYPART_ARC
(2,9),-2.03658 # DEPENDENCYPART_ARC
(2,10),-2.11911 # DEPENDENCYPART_ARC
(2,11),-0.874915 # DEPENDENCYPART_ARC
(2,12),-1.72234 # DEPENDENCYPART_ARC
(2,13),-2.37286 # DEPENDENCYPART_ARC
(2,14),0.0598729 # DEPENDENCYPART_ARC
(3,1),-1.0009 # DEPENDENCYPART_ARC
(3,2),0.0736609 # DEPENDENCYPART_ARC
(3,4),0.310174 # DEPENDENCYPART_ARC
(3,5),-0.243033 # DEPENDENCYPART_ARC
(3,6),-0.466546 # DEPENDENCYPART_ARC
(3,7),-0.861572 # DEPENDENCYPART_ARC
(3,8),-0.405724 # DEPENDENCYPART_ARC
(3,9),-1.00627 # DEPENDENCYPART_ARC
(3,10),-1.21483 # DEPENDENCYPART_ARC
(3,11),-0.887624 # DEPENDENCYPART_ARC
(3,12),-1.27215 # DEPENDENCYPART_ARC
(3,13),-1.5432 # DEPENDENCYPART_ARC
(3,14),-0.337395 # DEPENDENCYPART_ARC
(4,1),1.01293 # DEPENDENCYPART_ARC
(4,2),1.1725 # DEPENDENCYPART_ARC
(4,3),3.90436 # DEPENDENCYPART_ARC
(4,5),1.67325 # DEPENDENCYPART_ARC
(4,6),0.353659 # DEPENDENCYPART_ARC
(4,7),0.428994 # DEPENDENCYPART_ARC
(4,8),2.01882 # DEPENDENCYPART_ARC
(4,9),0.288906 # DEPENDENCYPART_ARC
(4,10),1.5337 # DEPENDENCYPART_ARC
(4,11),0.585981 # DEPENDENCYPART_ARC
(4,12),-0.835468 # DEPENDENCYPART_ARC
(4,13),-0.602701 # DEPENDENCYPART_ARC
(4,14),1.64931 # DEPENDENCYPART_ARC
(5,1),-1.46835 # DEPENDENCYPART_ARC
(5,2),-0.923245 # DEPENDENCYPART_ARC
(5,3),-1.31306 # DEPENDENCYPART_ARC
(5,4),-1.18545 # DEPENDENCYPART_ARC
(5,6),-0.37117 # DEPENDENCYPART_ARC
(5,7),-0.71216 # DEPENDENCYPART_ARC
(5,8),-0.439206 # DEPENDENCYPART_ARC
(5,9),-1.49451 # DEPENDENCYPART_ARC
(5,10),-1.56361 # DEPENDENCYPART_ARC
(5,11),-0.00889624 # DEPENDENCYPART_ARC
(5,12),-1.45091 # DEPENDENCYPART_ARC
