# _root_ For the moment , at least , euphoria has replaced anxiety on Wall Street .
#goldHeads=9,3,1,9,9,5,9,9,0,9,10,10,14,12,9,
#predictedHeads=9,3,1,9,9,5,9,9,0,9,10,11,14,12,9,
(0,1),-6.76442 # DEPENDENCYPART_ARC
(0,2),-6.93869 # DEPENDENCYPART_ARC
(0,3),-5.79969 # DEPENDENCYPART_ARC
(0,4),-6.88746 # DEPENDENCYPART_ARC
(0,5),-7.49606 # DEPENDENCYPART_ARC
(0,6),-7.5669 # DEPENDENCYPART_ARC
(0,7),-6.89696 # DEPENDENCYPART_ARC
(0,8),-5.96001 # DEPENDENCYPART_ARC
(0,9),-3.04922 # DEPENDENCYPART_ARC
(0,10),-4.60137 # DEPENDENCYPART_ARC
(0,11),-6.16107 # DEPENDENCYPART_ARC
(0,12),-7.32063 # DEPENDENCYPART_ARC
(0,13),-6.30127 # DEPENDENCYPART_ARC
(0,14),-5.63295 # DEPENDENCYPART_ARC
(0,15),-5.67651 # DEPENDENCYPART_ARC
(1,2),0.563861 # DEPENDENCYPART_ARC
(1,3),3.94014 # DEPENDENCYPART_ARC
(1,4),0.589453 # DEPENDENCYPART_ARC
(1,5),0.159072 # DEPENDENCYPART_ARC
(1,6),0.632397 # DEPENDENCYPART_ARC
(1,7),0.801245 # DEPENDENCYPART_ARC
(1,8),-0.570843 # DEPENDENCYPART_ARC
(1,9),-0.137451 # DEPENDENCYPART_ARC
(1,10),-0.660413 # DEPENDENCYPART_ARC
(1,11),-1.82422 # DEPENDENCYPART_ARC
(1,12),-0.549077 # DEPENDENCYPART_ARC
(1,13),-5.43337 # DEPENDENCYPART_ARC
(1,14),-4.81211 # DEPENDENCYPART_ARC
(1,15),0.219069 # DEPENDENCYPART_ARC
(2,1),-0.988001 # DEPENDENCYPART_ARC
(2,3),-0.206057 # DEPENDENCYPART_ARC
(2,4),-1.92132 # DEPENDENCYPART_ARC
(2,5),-2.14962 # DEPENDENCYPART_ARC
(2,6),-2.76462 # DEPENDENCYPART_ARC
(2,7),-1.99612 # DEPENDENCYPART_ARC
(2,8),-2.18892 # DEPENDENCYPART_ARC
(2,9),-2.57816 # DEPENDENCYPART_ARC
(2,10),-2.47423 # DEPENDENCYPART_ARC
(2,11),-2.64087 # DEPENDENCYPART_ARC
(2,12),-2.89306 # DEPENDENCYPART_ARC
(2,13),-3.50499 # DEPENDENCYPART_ARC
(2,14),-3.56419 # DEPENDENCYPART_ARC
(2,15),-2.58248 # DEPENDENCYPART_ARC
(3,1),-0.13208 # DEPENDENCYPART_ARC
(3,2),4.97164 # DEPENDENCYPART_ARC
(3,4),0.850105 # DEPENDENCYPART_ARC
(3,5),-0.0871005 # DEPENDENCYPART_ARC
(3,6),-0.121184 # DEPENDENCYPART_ARC
