# _root_ That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and good sense .
#goldHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
#predictedHeads=2,0,2,5,3,5,6,2,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
(0,1),-5.85007 # DEPENDENCYPART_ARC
(0,2),-3.55498 # DEPENDENCYPART_ARC
(0,3),-4.5299 # DEPENDENCYPART_ARC
(0,4),-7.16489 # DEPENDENCYPART_ARC
(0,5),-6.46902 # DEPENDENCYPART_ARC
(0,6),-7.02636 # DEPENDENCYPART_ARC
(0,7),-6.33429 # DEPENDENCYPART_ARC
(0,8),-7.16285 # DEPENDENCYPART_ARC
(0,9),-7.69132 # DEPENDENCYPART_ARC
(0,10),-5.38452 # DEPENDENCYPART_ARC
(0,11),-7.71355 # DEPENDENCYPART_ARC
(0,12),-6.12466 # DEPENDENCYPART_ARC
(0,13),-6.46018 # DEPENDENCYPART_ARC
(0,14),-5.2763 # DEPENDENCYPART_ARC
(0,15),-7.87503 # DEPENDENCYPART_ARC
(0,16),-7.93286 # DEPENDENCYPART_ARC
(0,17),-6.80248 # DEPENDENCYPART_ARC
(0,18),-6.92943 # DEPENDENCYPART_ARC
(0,19),-8.80424 # DEPENDENCYPART_ARC
(0,20),-6.81512 # DEPENDENCYPART_ARC
(0,21),-7.19063 # DEPENDENCYPART_ARC
(0,22),-9.43482 # DEPENDENCYPART_ARC
(0,23),-6.62156 # DEPENDENCYPART_ARC
(0,24),-7.5661 # DEPENDENCYPART_ARC
(0,25),-6.19092 # DEPENDENCYPART_ARC
(1,2),1.17528 # DEPENDENCYPART_ARC
(1,3),0.208523 # DEPENDENCYPART_ARC
(1,4),-1.7868 # DEPENDENCYPART_ARC
(1,5),-1.99714 # DEPENDENCYPART_ARC
(1,6),-0.369321 # DEPENDENCYPART_ARC
(1,7),-2.17194 # DEPENDENCYPART_ARC
(1,8),-0.392195 # DEPENDENCYPART_ARC
(1,9),-0.198515 # DEPENDENCYPART_ARC
(1,10),-0.969409 # DEPENDENCYPART_ARC
(1,11),-2.62899 # DEPENDENCYPART_ARC
(1,12),-2.87424 # DEPENDENCYPART_ARC
(1,13),-2.92711 # DEPENDENCYPART_ARC
(1,14),-0.956749 # DEPENDENCYPART_ARC
(1,15),-2.42862 # DEPENDENCYPART_ARC
(1,16),-1.64439 # DEPENDENCYPART_ARC
(1,17),-1.93777 # DEPENDENCYPART_ARC
(1,18),-3.43372 # DEPENDENCYPART_ARC
(1,19),-1.1775 # DEPENDENCYPART_ARC
(1,20),-1.96017 # DEPENDENCYPART_ARC
(1,21),-3.28265 # DEPENDENCYPART_ARC
(1,22),-0.463962 # DEPENDENCYPART_ARC
(1,23),-1.95829 # DEPENDENCYPART_ARC
(1,24),-4.19351 # DEPENDENCYPART_ARC
(1,25),0.768808 # DEPENDENCYPART_ARC
(2,1),3.26189 # DEPENDENCYPART_ARC
(2,3),4.10122 # DEPENDENCYPART_ARC
(2,4),0.48844 # DEPENDENCYPART_ARC
(2,5),0.533945 # DEPENDENCYPART_ARC
(2,6),0.589724 # DEPENDENCYPART_ARC
(2,7),0.311693 # DEPENDENCYPART_ARC
(2,8),2.12165 # DEPENDENCYPART_ARC
(2,9),1.14843 # DEPENDENCYPART_ARC
(2,10),0.402792 # DEPENDENCYPART_ARC
(2,11),-0.86281 # DEPENDENCYPART_ARC
(2,12),-0.689685 # DEPENDENCYPART_ARC
(2,13),-0.493061 # DEPENDENCYPART_ARC
(2,14),0.289816 # DEPENDENCYPART_ARC
(2,15),-0.573984 # DEPENDENCYPART_ARC
(2,16),0.0279202 # DEPENDENCYPART_ARC
(2,17),-1.4851 # DEPENDENCYPART_ARC
(2,18),-0.861677 # DEPENDENCYPART_ARC
(2,19),-0.23294 # DEPENDENCYPART_ARC
(2,20),-1.88921 # DEPENDENCYPART_ARC
(2,21),-1.2005 # DEPENDENCYPART_ARC
(2,22),-1.66658 # DEPENDENCYPART_ARC
(2,23),-2.11996 # DEPENDENCYPART_ARC
(2,24),-1.19971 # DEPENDENCYPART_ARC
(2,25),4.59793 # DEPENDENCYPART_ARC
(3,1),0.426654 # DEPENDENCYPART_ARC
(3,2),0.306595 # DEPENDENCYPART_ARC
(3,4),1.29218 # DEPENDENCYPART_ARC
(3,5),3.24065 # DEPENDENCYPART_ARC
(3,6),1.57214 # DEPENDENCYPART_ARC
(3,7),1.45164 # DEPENDENCYPART_ARC
(3,8),1.66374 # DEPENDENCYPART_ARC
(3,9),3.31324 # DEPENDENCYPART_ARC
(3,10),0.442719 # DEPENDENCYPART_ARC
(3,11),-0.406313 # DEPENDENCYPART_ARC
(3,12),-0.594344 # DEPENDENCYPART_ARC
(3,13),-0.529334 # DEPENDENCYPART_ARC
(3,14),0.336499 # DEPENDENCYPART_ARC
(3,15),-0.163441 # DEPENDENCYPART_ARC
(3,16),0.799624 # DEPENDENCYPART_ARC
(3,17),-1.30659 # DEPENDENCYPART_ARC
(3,18),-1.04224 # DEPENDENCYPART_ARC
(3,19),0.807639 # DEPENDENCYPART_ARC
(3,20),-1.32851 # DEPENDENCYPART_ARC
(3,21),-2.83639 # DEPENDENCYPART_ARC
(3,22),-0.26329 # DEPENDENCYPART_ARC
(3,23),-1.28086 # DEPENDENCYPART_ARC
(3,24),-2.86573 # DEPENDENCYPART_ARC
(3,25),1.28705 # DEPENDENCYPART_ARC
(4,1),-0.0985051 # DEPENDENCYPART_ARC
(4,2),-0.445484 # DEPENDENCYPART_ARC
(4,3),0.755723 # DEPENDENCYPART_ARC
(4,5),0.445397 # DEPENDENCYPART_ARC
(4,6),-0.0187144 # DEPENDENCYPART_ARC
(4,7),-0.527099 # DEPENDENCYPART_ARC
(4,8),-0.655829 # DEPENDENCYPART_ARC
(4,9),-1.13485 # DEPENDENCYPART_ARC
(4,10),-1.42672 # DEPENDENCYPART_ARC
(4,11),-1.93307 # DEPENDENCYPART_ARC
(4,12),-1.34905 # DEPENDENCYPART_ARC
(4,13),-1.39876 # DEPENDENCYPART_ARC
(4,14),-1.48748 # DEPENDENCYPART_ARC
(4,15),-1.81738 # DEPENDENCYPART_ARC
(4,16),-2.22325 # DEPENDENCYPART_ARC
(4,17),-2.38392 # DEPENDENCYPART_ARC
(4,18),-2.23177 # DEPENDENCYPART_ARC
(4,19),-1.68946 # DEPENDENCYPART_ARC
(4,20),-2.65061 # DEPENDENCYPART_ARC
(4,21),-2.391 # DEPENDENCYPART_ARC
(4,22),-2.65745 # DEPENDENCYPART_ARC
(4,23),-2.9825 # DEPENDENCYPART_ARC
(4,24),-2.88221 # DEPENDENCYPART_ARC
(4,25),-1.52444 # DEPENDENCYPART_ARC
(5,1),-0.388561 # DEPENDENCYPART_ARC
(5,2),-0.273339 # DEPENDENCYPART_ARC
(5,3),0.294801 # DEPENDENCYPART_ARC
(5,4),4.87408 # DEPENDENCYPART_ARC
(5,6),3.69478 # DEPENDENCYPART_ARC
(5,7),1.38206 # DEPENDENCYPART_ARC
(5,8),1.22897 # DEPENDENCYPART_ARC
(5,9),0.462038 # DEPENDENCYPART_ARC
(5,10),0.0758625 # DEPENDENCYPART_ARC
(5,11),0.397552 # DEPENDENCYPART_ARC
(5,12),0.190697 # DEPENDENCYPART_ARC
(5,13),0.416548 # DEPENDENCYPART_ARC
(5,14),1.26016 # DEPENDENCYPART_ARC
(5,15),-0.077634 # DEPENDENCYPART_ARC
(5,16),-0.189988 # DEPENDENCYPART_ARC
(5,17),-1.01296 # DEPENDENCYPART_ARC
(5,18),-0.111169 # DEPENDENCYPART_ARC
(5,19),0.833302 # DEPENDENCYPART_ARC
(5,20),-0.57457 # DEPENDENCYPART_ARC
(5,21),-0.0116015 # DEPENDENCYPART_ARC
(5,22),0.440461 # DEPENDENCYPART_ARC
(5,23),-1.17587 # DEPENDENCYPART_ARC
(5,24),-0.928977 # DEPENDENCYPART_ARC
(5,25),0.984692 # DEPENDENCYPART_ARC
(6,1),-0.683365 # DEPENDENCYPART_ARC
(6,2),-1.0931 # DEPENDENCYPART_ARC
(6,3),-0.127897 # DEPENDENCYPART_ARC
(6,4),-0.0409219 # DEPENDENCYPART_ARC
(6,5),0.894114 # DEPENDENCYPART_ARC
(6,7),4.30742 # DEPENDENCYPART_ARC
(6,8),1.09869 # DEPENDENCYPART_ARC
(6,9),-0.173548 # DEPENDENCYPART_ARC
(6,10),0.152394 # DEPENDENCYPART_ARC
(6,11),-1.43612 # DEPENDENCYPART_ARC
(6,12),-2.35772 # DEPENDENCYPART_ARC
(6,13),-0.383194 # DEPENDENCYPART_ARC
(6,14),-0.434201 # DEPENDENCYPART_ARC
(6,15),-0.808851 # DEPENDENCYPART_ARC
(6,16),-0.0288674 # DEPENDENCYPART_ARC
(6,17),-2.31658 # DEPENDENCYPART_ARC
(6,18),-2.37005 # DEPENDENCYPART_ARC
(6,19),-0.378113 # DEPENDENCYPART_ARC
(6,20),-3.41947 # DEPENDENCYPART_ARC
(6,21),-4.25471 # DEPENDENCYPART_ARC
(6,22),-1.78917 # DEPENDENCYPART_ARC
(6,23),-4.1366 # DEPENDENCYPART_ARC
(6,24),-5.96668 # DEPENDENCYPART_ARC
(6,25),0.0257509 # DEPENDENCYPART_ARC
(7,1),-2.6187 # DEPENDENCYPART_ARC
(7,2),-1.14393 # DEPENDENCYPART_ARC
(7,3),-0.711759 # DEPENDENCYPART_ARC
(7,4),2.02889 # DEPENDENCYPART_ARC
(7,5),0.446982 # DEPENDENCYPART_ARC
(7,6),1.3296 # DEPENDENCYPART_ARC
(7,8),0.881598 # DEPENDENCYPART_ARC
(7,9),0.318763 # DEPENDENCYPART_ARC
(7,10),-0.286267 # DEPENDENCYPART_ARC
(7,11),-0.553858 # DEPENDENCYPART_ARC
(7,12),-0.330202 # DEPENDENCYPART_ARC
(7,13),0.0795563 # DEPENDENCYPART_ARC
(7,14),-0.16703 # DEPENDENCYPART_ARC
(7,15),-1.08593 # DEPENDENCYPART_ARC
(7,16),-0.748333 # DEPENDENCYPART_ARC
(7,17),-1.00791 # DEPENDENCYPART_ARC
(7,18),-0.167682 # DEPENDENCYPART_ARC
(7,19),0.705688 # DEPENDENCYPART_ARC
(7,20),-1.23898 # DEPENDENCYPART_ARC
(7,21),0.119295 # DEPENDENCYPART_ARC
(7,22),-0.783657 # DEPENDENCYPART_ARC
(7,23),-1.64067 # DEPENDENCYPART_ARC
(7,24),-1.45856 # DEPENDENCYPART_ARC
(7,25),-0.699188 # DEPENDENCYPART_ARC
(8,1),-1.09052 # DEPENDENCYPART_ARC
(8,2),-1.62859 # DEPENDENCYPART_ARC
(8,3),-1.48502 # DEPENDENCYPART_ARC
(8,4),-0.698359 # DEPENDENCYPART_ARC
(8,5),-0.956099 # DEPENDENCYPART_ARC
(8,6),-0.843516 # DEPENDENCYPART_ARC
(8,7),-0.546839 # DEPENDENCYPART_ARC
(8,9),-0.26406 # DEPENDENCYPART_ARC
(8,10),-0.0527536 # DEPENDENCYPART_ARC
(8,11),-1.07008 # DEPENDENCYPART_ARC
(8,12),-1.33306 # DEPENDENCYPART_ARC
(8,13),-1.51409 # DEPENDENCYPART_ARC
(8,14),-1.34652 # DEPENDENCYPART_ARC
(8,15),-1.53495 # DEPENDENCYPART_ARC
(8,16),-1.21546 # DEPENDENCYPART_ARC
(8,17),-1.9253 # DEPENDENCYPART_ARC
(8,18),-2.30279 # DEPENDENCYPART_ARC
(8,19),-0.108483 # DEPENDENCYPART_ARC
(8,20),-2.3599 # DEPENDENCYPART_ARC
(8,21),-2.62077 # DEPENDENCYPART_ARC
(8,22),-2.07218 # DEPENDENCYPART_ARC
(8,23),-2.59995 # DEPENDENCYPART_ARC
(8,24),-2.9882 # DEPENDENCYPART_ARC
(8,25),-2.01835 # DEPENDENCYPART_ARC
(9,1),-0.791583 # DEPENDENCYPART_ARC
(9,2),-1.09541 # DEPENDENCYPART_ARC
(9,3),-0.771123 # DEPENDENCYPART_ARC
(9,4),-0.380001 # DEPENDENCYPART_ARC
(9,5),-0.138864 # DEPENDENCYPART_ARC
(9,6),0.328969 # DEPENDENCYPART_ARC
(9,7),0.367151 # DEPENDENCYPART_ARC
(9,8),0.0656935 # DEPENDENCYPART_ARC
(9,10),2.7518 # DEPENDENCYPART_ARC
(9,11),0.521528 # DEPENDENCYPART_ARC
(9,12),-1.03439 # DEPENDENCYPART_ARC
(9,13),-0.270677 # DEPENDENCYPART_ARC
(9,14),0.702208 # DEPENDENCYPART_ARC
(9,15),-1.16601 # DEPENDENCYPART_ARC
(9,16),-0.458978 # DEPENDENCYPART_ARC
(9,17),-1.25409 # DEPENDENCYPART_ARC
(9,18),-0.797883 # DEPENDENCYPART_ARC
(9,19),-0.206851 # DEPENDENCYPART_ARC
(9,20),-1.40891 # DEPENDENCYPART_ARC
(9,21),-3.01303 # DEPENDENCYPART_ARC
(9,22),-0.658175 # DEPENDENCYPART_ARC
(9,23),-1.91514 # DEPENDENCYPART_ARC
(9,24),-2.6753 # DEPENDENCYPART_ARC
(9,25),-0.437283 # DEPENDENCYPART_ARC
(10,1),-1.27138 # DEPENDENCYPART_ARC
(10,2),-1.63242 # DEPENDENCYPART_ARC
(10,3),-1.16427 # DEPENDENCYPART_ARC
(10,4),-0.741498 # DEPENDENCYPART_ARC
(10,5),-0.567316 # DEPENDENCYPART_ARC
(10,6),-0.973894 # DEPENDENCYPART_ARC
(10,7),-0.11311 # DEPENDENCYPART_ARC
(10,8),-0.112222 # DEPENDENCYPART_ARC
(10,9),0.516496 # DEPENDENCYPART_ARC
(10,11),1.31631 # DEPENDENCYPART_ARC
(10,12),2.37875 # DEPENDENCYPART_ARC
(10,13),2.24741 # DEPENDENCYPART_ARC
(10,14),0.942621 # DEPENDENCYPART_ARC
(10,15),0.850277 # DEPENDENCYPART_ARC
(10,16),2.49292 # DEPENDENCYPART_ARC
(10,17),-0.31138 # DEPENDENCYPART_ARC
(10,18),0.69071 # DEPENDENCYPART_ARC
(10,19),0.858051 # DEPENDENCYPART_ARC
(10,20),-0.492562 # DEPENDENCYPART_ARC
(10,21),-0.838249 # DEPENDENCYPART_ARC
(10,22),1.01692 # DEPENDENCYPART_ARC
(10,23),-0.700336 # DEPENDENCYPART_ARC
(10,24),-1.13466 # DEPENDENCYPART_ARC
(10,25),2.30949 # DEPENDENCYPART_ARC
(11,1),-1.96349 # DEPENDENCYPART_ARC
(11,2),-2.44562 # DEPENDENCYPART_ARC
(11,3),-1.76098 # DEPENDENCYPART_ARC
(11,4),-1.38562 # DEPENDENCYPART_ARC
(11,5),-2.18849 # DEPENDENCYPART_ARC
(11,6),-0.978743 # DEPENDENCYPART_ARC
(11,7),-1.66088 # DEPENDENCYPART_ARC
(11,8),-0.963909 # DEPENDENCYPART_ARC
(11,9),-1.03595 # DEPENDENCYPART_ARC
(11,10),0.454295 # DEPENDENCYPART_ARC
(11,12),0.648329 # DEPENDENCYPART_ARC
(11,13),0.0624869 # DEPENDENCYPART_ARC
(11,14),-0.404768 # DEPENDENCYPART_ARC
