# _root_ `` All the things that we set up to slow down the process , to let people know that the market was in an extreme position , worked extremely well . ''
#goldHeads=28,4,4,28,7,7,4,7,7,9,10,13,10,9,9,15,16,16,18,21,22,19,22,26,26,23,28,0,28,29,28,28,
#predictedHeads=22,4,4,7,10,7,0,7,7,9,10,13,10,10,10,15,16,16,18,21,22,19,22,26,26,23,22,19,28,28,22,28,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74003 # DEPENDENCYPART_ARC
(0,3),-6.84654 # DEPENDENCYPART_ARC
(0,4),-6.38338 # DEPENDENCYPART_ARC
(0,5),-6.72218 # DEPENDENCYPART_ARC
(0,6),-4.90496 # DEPENDENCYPART_ARC
(0,7),-4.14365 # DEPENDENCYPART_ARC
(0,8),-6.62503 # DEPENDENCYPART_ARC
(0,9),-7.06171 # DEPENDENCYPART_ARC
(0,10),-5.8301 # DEPENDENCYPART_ARC
(0,11),-6.8027 # DEPENDENCYPART_ARC
(0,12),-7.76033 # DEPENDENCYPART_ARC
(0,13),-5.70478 # DEPENDENCYPART_ARC
(0,14),-7.3849 # DEPENDENCYPART_ARC
(0,15),-7.7346 # DEPENDENCYPART_ARC
(0,16),-6.2324 # DEPENDENCYPART_ARC
(0,17),-5.73621 # DEPENDENCYPART_ARC
(0,18),-5.68054 # DEPENDENCYPART_ARC
(0,19),-7.78182 # DEPENDENCYPART_ARC
(0,20),-8.72813 # DEPENDENCYPART_ARC
(0,21),-4.97132 # DEPENDENCYPART_ARC
(0,22),-3.03866 # DEPENDENCYPART_ARC
(0,23),-9.10858 # DEPENDENCYPART_ARC
(0,24),-8.90803 # DEPENDENCYPART_ARC
(0,25),-7.5173 # DEPENDENCYPART_ARC
(0,26),-5.52366 # DEPENDENCYPART_ARC
(0,27),-9.48355 # DEPENDENCYPART_ARC
(0,28),-3.11457 # DEPENDENCYPART_ARC
(0,29),-9.90714 # DEPENDENCYPART_ARC
(0,30),-9.641 # DEPENDENCYPART_ARC
(0,31),-4.51385 # DEPENDENCYPART_ARC
(0,32),-8.48777 # DEPENDENCYPART_ARC
(1,2),-1.83041 # DEPENDENCYPART_ARC
(1,3),-2.36757 # DEPENDENCYPART_ARC
(1,4),-2.67086 # DEPENDENCYPART_ARC
(1,5),-2.46596 # DEPENDENCYPART_ARC
(1,6),-2.77558 # DEPENDENCYPART_ARC
(1,7),-2.49104 # DEPENDENCYPART_ARC
(1,8),-2.81165 # DEPENDENCYPART_ARC
(1,9),-2.93135 # DEPENDENCYPART_ARC
(1,10),-3.11617 # DEPENDENCYPART_ARC
(1,11),-3.1217 # DEPENDENCYPART_ARC
(1,12),-3.65418 # DEPENDENCYPART_ARC
(1,13),-3.74244 # DEPENDENCYPART_ARC
(1,14),-2.69744 # DEPENDENCYPART_ARC
(1,15),-3.59274 # DEPENDENCYPART_ARC
(1,16),-3.64919 # DEPENDENCYPART_ARC
(1,17),-4.35519 # DEPENDENCYPART_ARC
(1,18),-3.86762 # DEPENDENCYPART_ARC
(1,19),-3.93592 # DEPENDENCYPART_ARC
(1,20),-4.50332 # DEPENDENCYPART_ARC
(1,21),-4.41928 # DEPENDENCYPART_ARC
(1,22),-3.87324 # DEPENDENCYPART_ARC
(1,23),-4.4418 # DEPENDENCYPART_ARC
(1,24),-4.84815 # DEPENDENCYPART_ARC
(1,25),-4.49833 # DEPENDENCYPART_ARC
(1,26),-4.66681 # DEPENDENCYPART_ARC
(1,27),-4.22317 # DEPENDENCYPART_ARC
(1,28),-4.60293 # DEPENDENCYPART_ARC
(1,29),-4.78516 # DEPENDENCYPART_ARC
(1,30),-4.6536 # DEPENDENCYPART_ARC
(1,31),-4.01888 # DEPENDENCYPART_ARC
(1,32),-2.20644 # DEPENDENCYPART_ARC
(2,1),0.111239 # DEPENDENCYPART_ARC
(2,3),0.682317 # DEPENDENCYPART_ARC
(2,4),0.924691 # DEPENDENCYPART_ARC
(2,5),0.142373 # DEPENDENCYPART_ARC
(2,6),0.137539 # DEPENDENCYPART_ARC
(2,7),0.756186 # DEPENDENCYPART_ARC
(2,8),0.0179574 # DEPENDENCYPART_ARC
(2,9),0.316396 # DEPENDENCYPART_ARC
(2,10),-0.341737 # DEPENDENCYPART_ARC
(2,11),-0.273111 # DEPENDENCYPART_ARC
(2,12),-1.01461 # DEPENDENCYPART_ARC
(2,13),-0.516129 # DEPENDENCYPART_ARC
(2,14),0.0225958 # DEPENDENCYPART_ARC
(2,15),-0.584005 # DEPENDENCYPART_ARC
(2,16),-1.26764 # DEPENDENCYPART_ARC
(2,17),-1.36732 # DEPENDENCYPART_ARC
(2,18),-1.49314 # DEPENDENCYPART_ARC
(2,19),-1.98292 # DEPENDENCYPART_ARC
(2,20),-2.06522 # DEPENDENCYPART_ARC
(2,21),-1.16231 # DEPENDENCYPART_ARC
(2,22),-1.83372 # DEPENDENCYPART_ARC
(2,23),-2.53756 # DEPENDENCYPART_ARC
(2,24),-2.48125 # DEPENDENCYPART_ARC
(2,25),-1.87524 # DEPENDENCYPART_ARC
(2,26),-1.59182 # DEPENDENCYPART_ARC
(2,27),-1.34508 # DEPENDENCYPART_ARC
(2,28),-3.06178 # DEPENDENCYPART_ARC
(2,29),-2.42688 # DEPENDENCYPART_ARC
(2,30),-2.33587 # DEPENDENCYPART_ARC
(2,31),0.296533 # DEPENDENCYPART_ARC
(2,32),-0.355747 # DEPENDENCYPART_ARC
(3,1),-1.63161 # DEPENDENCYPART_ARC
(3,2),0.401712 # DEPENDENCYPART_ARC
(3,4),-0.0708393 # DEPENDENCYPART_ARC
(3,5),-1.48257 # DEPENDENCYPART_ARC
(3,6),-1.39662 # DEPENDENCYPART_ARC
(3,7),-1.06725 # DEPENDENCYPART_ARC
(3,8),-1.55581 # DEPENDENCYPART_ARC
(3,9),-1.62946 # DEPENDENCYPART_ARC
(3,10),-2.02871 # DEPENDENCYPART_ARC
(3,11),-2.069 # DEPENDENCYPART_ARC
(3,12),-2.72613 # DEPENDENCYPART_ARC
(3,13),-2.17319 # DEPENDENCYPART_ARC
(3,14),-1.9215 # DEPENDENCYPART_ARC
(3,15),-2.63572 # DEPENDENCYPART_ARC
(3,16),-2.97516 # DEPENDENCYPART_ARC
(3,17),-2.93735 # DEPENDENCYPART_ARC
(3,18),-3.24638 # DEPENDENCYPART_ARC
(3,19),-3.64189 # DEPENDENCYPART_ARC
(3,20),-3.77305 # DEPENDENCYPART_ARC
(3,21),-3.06781 # DEPENDENCYPART_ARC
(3,22),-4.17835 # DEPENDENCYPART_ARC
(3,23),-4.00374 # DEPENDENCYPART_ARC
(3,24),-4.18572 # DEPENDENCYPART_ARC
(3,25),-3.95426 # DEPENDENCYPART_ARC
(3,26),-3.66374 # DEPENDENCYPART_ARC
(3,27),-3.36071 # DEPENDENCYPART_ARC
(3,28),-5.36037 # DEPENDENCYPART_ARC
(3,29),-4.11614 # DEPENDENCYPART_ARC
(3,30),-4.14334 # DEPENDENCYPART_ARC
(3,31),-1.49348 # DEPENDENCYPART_ARC
(3,32),-1.94149 # DEPENDENCYPART_ARC
(4,1),-0.5888 # DEPENDENCYPART_ARC
(4,2),2.88361 # DEPENDENCYPART_ARC
(4,3),4.04401 # DEPENDENCYPART_ARC
(4,5),1.37514 # DEPENDENCYPART_ARC
(4,6),0.497435 # DEPENDENCYPART_ARC
(4,7),1.88588 # DEPENDENCYPART_ARC
(4,8),0.252228 # DEPENDENCYPART_ARC
(4,9),0.988355 # DEPENDENCYPART_ARC
(4,10),0.339504 # DEPENDENCYPART_ARC
(4,11),-0.15556 # DEPENDENCYPART_ARC
(4,12),-0.467787 # DEPENDENCYPART_ARC
(4,13),-0.416196 # DEPENDENCYPART_ARC
(4,14),-0.476237 # DEPENDENCYPART_ARC
(4,15),-0.420371 # DEPENDENCYPART_ARC
(4,16),-0.294443 # DEPENDENCYPART_ARC
(4,17),-0.822112 # DEPENDENCYPART_ARC
(4,18),-0.0577597 # DEPENDENCYPART_ARC
(4,19),-0.937115 # DEPENDENCYPART_ARC
(4,20),-1.36046 # DEPENDENCYPART_ARC
(4,21),-1.09591 # DEPENDENCYPART_ARC
(4,22),-1.71743 # DEPENDENCYPART_ARC
(4,23),-2.15508 # DEPENDENCYPART_ARC
(4,24),-1.58469 # DEPENDENCYPART_ARC
(4,25),-2.00153 # DEPENDENCYPART_ARC
(4,26),-2.43731 # DEPENDENCYPART_ARC
(4,27),-1.63556 # DEPENDENCYPART_ARC
(4,28),-2.3603 # DEPENDENCYPART_ARC
(4,29),-2.32511 # DEPENDENCYPART_ARC
(4,30),-1.85348 # DEPENDENCYPART_ARC
