# _root_ At Shearson Lehman , executives created potential new commercials Friday night and throughout the weekend , then had to regroup yesterday afternoon .
#goldHeads=6,3,1,6,6,0,9,9,6,11,6,11,12,15,13,6,18,6,18,19,22,20,6,
#predictedHeads=6,3,1,6,6,0,9,9,6,11,6,6,12,15,13,18,18,12,18,19,22,20,6,
(0,1),-6.8619 # DEPENDENCYPART_ARC
(0,2),-5.72168 # DEPENDENCYPART_ARC
(0,3),-5.35812 # DEPENDENCYPART_ARC
(0,4),-6.63632 # DEPENDENCYPART_ARC
(0,5),-6.01272 # DEPENDENCYPART_ARC
(0,6),-3.34801 # DEPENDENCYPART_ARC
(0,7),-6.23308 # DEPENDENCYPART_ARC
(0,8),-6.03314 # DEPENDENCYPART_ARC
(0,9),-6.64218 # DEPENDENCYPART_ARC
(0,10),-6.45661 # DEPENDENCYPART_ARC
(0,11),-7.53103 # DEPENDENCYPART_ARC
(0,12),-8.05545 # DEPENDENCYPART_ARC
(0,13),-8.4084 # DEPENDENCYPART_ARC
(0,14),-8.20314 # DEPENDENCYPART_ARC
(0,15),-7.3813 # DEPENDENCYPART_ARC
(0,16),-8.09795 # DEPENDENCYPART_ARC
(0,17),-8.32672 # DEPENDENCYPART_ARC
(0,18),-3.99808 # DEPENDENCYPART_ARC
(0,19),-7.83965 # DEPENDENCYPART_ARC
(0,20),-6.72749 # DEPENDENCYPART_ARC
(0,21),-6.44092 # DEPENDENCYPART_ARC
(0,22),-7.24154 # DEPENDENCYPART_ARC
(0,23),-7.07264 # DEPENDENCYPART_ARC
(1,2),2.7139 # DEPENDENCYPART_ARC
(1,3),2.76711 # DEPENDENCYPART_ARC
(1,4),0.918452 # DEPENDENCYPART_ARC
(1,5),0.501729 # DEPENDENCYPART_ARC
(1,6),1.32939 # DEPENDENCYPART_ARC
(1,7),-0.321844 # DEPENDENCYPART_ARC
(1,8),-0.581529 # DEPENDENCYPART_ARC
(1,9),-1.11781 # DEPENDENCYPART_ARC
(1,10),-2.7905 # DEPENDENCYPART_ARC
(1,11),-2.76598 # DEPENDENCYPART_ARC
(1,12),1.29236 # DEPENDENCYPART_ARC
(1,13),-0.602727 # DEPENDENCYPART_ARC
(1,14),-2.78797 # DEPENDENCYPART_ARC
(1,15),-3.46389 # DEPENDENCYPART_ARC
(1,16),-0.0333635 # DEPENDENCYPART_ARC
(1,17),-0.948877 # DEPENDENCYPART_ARC
(1,18),-3.3817 # DEPENDENCYPART_ARC
(1,19),-4.57563 # DEPENDENCYPART_ARC
(1,20),-1.67515 # DEPENDENCYPART_ARC
(1,21),-10.5901 # DEPENDENCYPART_ARC
(1,22),-8.23834 # DEPENDENCYPART_ARC
(1,23),0.321642 # DEPENDENCYPART_ARC
(2,1),-1.39348 # DEPENDENCYPART_ARC
(2,3),1.49857 # DEPENDENCYPART_ARC
(2,4),-0.191838 # DEPENDENCYPART_ARC
(2,5),-0.876578 # DEPENDENCYPART_ARC
(2,6),-0.547643 # DEPENDENCYPART_ARC
(2,7),-1.25389 # DEPENDENCYPART_ARC
(2,8),-1.51799 # DEPENDENCYPART_ARC
(2,9),-1.7271 # DEPENDENCYPART_ARC
(2,10),-2.65198 # DEPENDENCYPART_ARC
(2,11),-2.27187 # DEPENDENCYPART_ARC
(2,12),-2.77429 # DEPENDENCYPART_ARC
(2,13),-2.58034 # DEPENDENCYPART_ARC
(2,14),-2.2386 # DEPENDENCYPART_ARC
(2,15),-3.65143 # DEPENDENCYPART_ARC
(2,16),-1.70303 # DEPENDENCYPART_ARC
(2,17),-3.13545 # DEPENDENCYPART_ARC
(2,18),-2.88154 # DEPENDENCYPART_ARC
(2,19),-2.53489 # DEPENDENCYPART_ARC
(2,20),-3.32055 # DEPENDENCYPART_ARC
(2,21),-6.05573 # DEPENDENCYPART_ARC
(2,22),-5.56932 # DEPENDENCYPART_ARC
(2,23),-1.59282 # DEPENDENCYPART_ARC
(3,1),0.220401 # DEPENDENCYPART_ARC
(3,2),5.35992 # DEPENDENCYPART_ARC
(3,4),2.02266 # DEPENDENCYPART_ARC
(3,5),0.715473 # DEPENDENCYPART_ARC
(3,6),0.911933 # DEPENDENCYPART_ARC
(3,7),0.135728 # DEPENDENCYPART_ARC
(3,8),0.154963 # DEPENDENCYPART_ARC
(3,9),-0.274548 # DEPENDENCYPART_ARC
(3,10),-1.15651 # DEPENDENCYPART_ARC
(3,11),-0.395648 # DEPENDENCYPART_ARC
(3,12),-1.02266 # DEPENDENCYPART_ARC
(3,13),-0.615823 # DEPENDENCYPART_ARC
(3,14),-0.941619 # DEPENDENCYPART_ARC
(3,15),-1.79009 # DEPENDENCYPART_ARC
(3,16),1.14135 # DEPENDENCYPART_ARC
(3,17),-1.38438 # DEPENDENCYPART_ARC
(3,18),-1.23668 # DEPENDENCYPART_ARC
(3,19),-1.07898 # DEPENDENCYPART_ARC
(3,20),-1.84322 # DEPENDENCYPART_ARC
(3,21),-4.71545 # DEPENDENCYPART_ARC
(3,22),-4.15388 # DEPENDENCYPART_ARC
(3,23),0.0702015 # DEPENDENCYPART_ARC
(4,1),-1.55396 # DEPENDENCYPART_ARC
(4,2),-2.06529 # DEPENDENCYPART_ARC
(4,3),-1.51199 # DEPENDENCYPART_ARC
(4,5),-1.03532 # DEPENDENCYPART_ARC
(4,6),-1.14471 # DEPENDENCYPART_ARC
(4,7),-1.98799 # DEPENDENCYPART_ARC
(4,8),-2.2546 # DEPENDENCYPART_ARC
(4,9),-2.50174 # DEPENDENCYPART_ARC
(4,10),-2.59775 # DEPENDENCYPART_ARC
(4,11),-3.02665 # DEPENDENCYPART_ARC
(4,12),-2.48372 # DEPENDENCYPART_ARC
(4,13),-2.5069 # DEPENDENCYPART_ARC
(4,14),-3.02737 # DEPENDENCYPART_ARC
(4,15),-3.49112 # DEPENDENCYPART_ARC
(4,16),-1.89076 # DEPENDENCYPART_ARC
(4,17),-3.25774 # DEPENDENCYPART_ARC
(4,18),-2.94003 # DEPENDENCYPART_ARC
(4,19),-3.33549 # DEPENDENCYPART_ARC
(4,20),-3.20558 # DEPENDENCYPART_ARC
(4,21),-4.1018 # DEPENDENCYPART_ARC
(4,22),-4.24936 # DEPENDENCYPART_ARC
(4,23),-3.24322 # DEPENDENCYPART_ARC
(5,1),0.202863 # DEPENDENCYPART_ARC
(5,2),2.27266 # DEPENDENCYPART_ARC
(5,3),1.6095 # DEPENDENCYPART_ARC
(5,4),1.1888 # DEPENDENCYPART_ARC
(5,6),1.75015 # DEPENDENCYPART_ARC
(5,7),0.885305 # DEPENDENCYPART_ARC
(5,8),0.585768 # DEPENDENCYPART_ARC
(5,9),0.633326 # DEPENDENCYPART_ARC
(5,10),0.4257 # DEPENDENCYPART_ARC
(5,11),0.244173 # DEPENDENCYPART_ARC
(5,12),0.565673 # DEPENDENCYPART_ARC
(5,13),0.272947 # DEPENDENCYPART_ARC
(5,14),-0.606742 # DEPENDENCYPART_ARC
(5,15),-0.38892 # DEPENDENCYPART_ARC
(5,16),0.601001 # DEPENDENCYPART_ARC
(5,17),-0.428976 # DEPENDENCYPART_ARC
(5,18),-0.791442 # DEPENDENCYPART_ARC
(5,19),-0.878878 # DEPENDENCYPART_ARC
