# _root_ The setback , in which Treasury bond prices plummeted , reflected a rebound in the stock market and profit-taking .
#goldHeads=2,11,2,9,4,8,8,9,2,2,0,13,11,13,17,17,14,13,18,11,
#predictedHeads=2,11,2,11,4,8,8,9,0,9,9,13,11,13,17,17,14,17,18,11,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.27328 # DEPENDENCYPART_ARC
(0,3),-6.40487 # DEPENDENCYPART_ARC
(0,4),-6.48839 # DEPENDENCYPART_ARC
(0,5),-7.0382 # DEPENDENCYPART_ARC
(0,6),-6.34172 # DEPENDENCYPART_ARC
(0,7),-6.74059 # DEPENDENCYPART_ARC
(0,8),-5.83149 # DEPENDENCYPART_ARC
(0,9),-3.19653 # DEPENDENCYPART_ARC
(0,10),-7.16199 # DEPENDENCYPART_ARC
(0,11),-1.56435 # DEPENDENCYPART_ARC
(0,12),-7.68351 # DEPENDENCYPART_ARC
(0,13),-7.05183 # DEPENDENCYPART_ARC
(0,14),-8.20739 # DEPENDENCYPART_ARC
(0,15),-8.39572 # DEPENDENCYPART_ARC
(0,16),-6.82193 # DEPENDENCYPART_ARC
(0,17),-7.02621 # DEPENDENCYPART_ARC
(0,18),-8.64889 # DEPENDENCYPART_ARC
(0,19),-6.8435 # DEPENDENCYPART_ARC
(0,20),-5.68589 # DEPENDENCYPART_ARC
(1,2),-0.809856 # DEPENDENCYPART_ARC
(1,3),-1.64357 # DEPENDENCYPART_ARC
(1,4),-1.83447 # DEPENDENCYPART_ARC
(1,5),-2.86292 # DEPENDENCYPART_ARC
(1,6),-2.37258 # DEPENDENCYPART_ARC
(1,7),-2.29629 # DEPENDENCYPART_ARC
(1,8),-2.62254 # DEPENDENCYPART_ARC
(1,9),-2.408 # DEPENDENCYPART_ARC
(1,10),-1.53251 # DEPENDENCYPART_ARC
(1,11),-2.98137 # DEPENDENCYPART_ARC
(1,12),-3.72061 # DEPENDENCYPART_ARC
(1,13),-3.16674 # DEPENDENCYPART_ARC
(1,14),-3.72992 # DEPENDENCYPART_ARC
(1,15),-4.0516 # DEPENDENCYPART_ARC
(1,16),-3.31952 # DEPENDENCYPART_ARC
(1,17),-3.18052 # DEPENDENCYPART_ARC
(1,18),-3.50976 # DEPENDENCYPART_ARC
(1,19),-3.67296 # DEPENDENCYPART_ARC
(1,20),-2.80118 # DEPENDENCYPART_ARC
(2,1),4.51742 # DEPENDENCYPART_ARC
(2,3),1.36569 # DEPENDENCYPART_ARC
(2,4),0.23469 # DEPENDENCYPART_ARC
(2,5),-0.428863 # DEPENDENCYPART_ARC
(2,6),-0.0352214 # DEPENDENCYPART_ARC
(2,7),0.0609116 # DEPENDENCYPART_ARC
(2,8),-0.446122 # DEPENDENCYPART_ARC
(2,9),1.33755 # DEPENDENCYPART_ARC
(2,10),2.20923 # DEPENDENCYPART_ARC
(2,11),0.882718 # DEPENDENCYPART_ARC
(2,12),-0.495114 # DEPENDENCYPART_ARC
(2,13),-1.1412 # DEPENDENCYPART_ARC
(2,14),-1.86676 # DEPENDENCYPART_ARC
(2,15),-1.05201 # DEPENDENCYPART_ARC
(2,16),-1.8552 # DEPENDENCYPART_ARC
(2,17),-0.777754 # DEPENDENCYPART_ARC
(2,18),-0.769803 # DEPENDENCYPART_ARC
(2,19),-2.32675 # DEPENDENCYPART_ARC
(2,20),0.661254 # DEPENDENCYPART_ARC
(3,1),-0.704041 # DEPENDENCYPART_ARC
(3,2),-1.17915 # DEPENDENCYPART_ARC
(3,4),-0.37882 # DEPENDENCYPART_ARC
(3,5),-1.02626 # DEPENDENCYPART_ARC
(3,6),-0.674007 # DEPENDENCYPART_ARC
