# _root_ Yes , the broader exchanges got caught up in the spiral , but they rode the tiger up all year .
#goldHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,15,20,15,6,
#predictedHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,15,20,18,6,
(0,1),-4.84557 # DEPENDENCYPART_ARC
(0,2),-6.11885 # DEPENDENCYPART_ARC
(0,3),-6.44781 # DEPENDENCYPART_ARC
(0,4),-5.97573 # DEPENDENCYPART_ARC
(0,5),-5.24551 # DEPENDENCYPART_ARC
(0,6),-2.67908 # DEPENDENCYPART_ARC
(0,7),-3.66005 # DEPENDENCYPART_ARC
(0,8),-6.25473 # DEPENDENCYPART_ARC
(0,9),-6.77865 # DEPENDENCYPART_ARC
(0,10),-7.26841 # DEPENDENCYPART_ARC
(0,11),-5.44489 # DEPENDENCYPART_ARC
(0,12),-6.79564 # DEPENDENCYPART_ARC
(0,13),-7.65299 # DEPENDENCYPART_ARC
(0,14),-5.10882 # DEPENDENCYPART_ARC
(0,15),-2.27221 # DEPENDENCYPART_ARC
(0,16),-7.89852 # DEPENDENCYPART_ARC
(0,17),-5.6505 # DEPENDENCYPART_ARC
(0,18),-7.82108 # DEPENDENCYPART_ARC
(0,19),-8.18569 # DEPENDENCYPART_ARC
(0,20),-6.04005 # DEPENDENCYPART_ARC
(0,21),-4.13927 # DEPENDENCYPART_ARC
(1,2),0.467209 # DEPENDENCYPART_ARC
(1,3),0.0483445 # DEPENDENCYPART_ARC
(1,4),-0.0239661 # DEPENDENCYPART_ARC
(1,5),-0.0614698 # DEPENDENCYPART_ARC
(1,6),-0.166308 # DEPENDENCYPART_ARC
(1,7),-0.325021 # DEPENDENCYPART_ARC
(1,8),-0.657666 # DEPENDENCYPART_ARC
(1,9),-0.626891 # DEPENDENCYPART_ARC
(1,10),-1.0901 # DEPENDENCYPART_ARC
(1,11),-1.4653 # DEPENDENCYPART_ARC
(1,12),-0.431752 # DEPENDENCYPART_ARC
(1,13),-0.176045 # DEPENDENCYPART_ARC
(1,14),-0.724665 # DEPENDENCYPART_ARC
(1,15),-1.01043 # DEPENDENCYPART_ARC
(1,16),-1.68048 # DEPENDENCYPART_ARC
(1,17),-1.97625 # DEPENDENCYPART_ARC
(1,18),-1.52023 # DEPENDENCYPART_ARC
(1,19),-2.02642 # DEPENDENCYPART_ARC
(1,20),-2.3452 # DEPENDENCYPART_ARC
(1,21),0.866369 # DEPENDENCYPART_ARC
(2,1),-0.375332 # DEPENDENCYPART_ARC
(2,3),-0.211185 # DEPENDENCYPART_ARC
(2,4),-0.636587 # DEPENDENCYPART_ARC
(2,5),-1.06616 # DEPENDENCYPART_ARC
(2,6),-0.837201 # DEPENDENCYPART_ARC
(2,7),-1.35331 # DEPENDENCYPART_ARC
(2,8),-1.61986 # DEPENDENCYPART_ARC
(2,9),-1.47608 # DEPENDENCYPART_ARC
(2,10),-1.8736 # DEPENDENCYPART_ARC
(2,11),-2.38847 # DEPENDENCYPART_ARC
(2,12),-0.212354 # DEPENDENCYPART_ARC
(2,13),-1.46356 # DEPENDENCYPART_ARC
(2,14),-2.11072 # DEPENDENCYPART_ARC
(2,15),-1.83405 # DEPENDENCYPART_ARC
(2,16),-2.53063 # DEPENDENCYPART_ARC
(2,17),-3.01948 # DEPENDENCYPART_ARC
(2,18),-2.60618 # DEPENDENCYPART_ARC
(2,19),-2.79466 # DEPENDENCYPART_ARC
(2,20),-3.49444 # DEPENDENCYPART_ARC
