# _root_ In New York Stock Exchange composite trading yesterday , Knight-Ridder closed at $ 51.75 , down 37.5 cents .
#goldHeads=11,7,7,7,7,7,1,11,11,11,0,11,12,13,11,11,18,16,11,
#predictedHeads=11,7,7,7,7,7,1,11,11,11,0,11,12,13,11,11,18,16,11,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.66887 # DEPENDENCYPART_ARC
(0,3),-5.26442 # DEPENDENCYPART_ARC
(0,4),-5.63367 # DEPENDENCYPART_ARC
(0,5),-6.09648 # DEPENDENCYPART_ARC
(0,6),-5.72418 # DEPENDENCYPART_ARC
(0,7),-7.63054 # DEPENDENCYPART_ARC
(0,8),-6.80397 # DEPENDENCYPART_ARC
(0,9),-7.3534 # DEPENDENCYPART_ARC
(0,10),-7.35176 # DEPENDENCYPART_ARC
(0,11),-2.02029 # DEPENDENCYPART_ARC
(0,12),-9.20663 # DEPENDENCYPART_ARC
(0,13),-8.84746 # DEPENDENCYPART_ARC
(0,14),-8.55646 # DEPENDENCYPART_ARC
(0,15),-7.83622 # DEPENDENCYPART_ARC
(0,16),-7.87855 # DEPENDENCYPART_ARC
(0,17),-8.91795 # DEPENDENCYPART_ARC
(0,18),-6.75986 # DEPENDENCYPART_ARC
(0,19),-7.25284 # DEPENDENCYPART_ARC
(1,2),2.16105 # DEPENDENCYPART_ARC
(1,3),2.60967 # DEPENDENCYPART_ARC
(1,4),1.70515 # DEPENDENCYPART_ARC
(1,5),1.72133 # DEPENDENCYPART_ARC
(1,6),1.10316 # DEPENDENCYPART_ARC
(1,7),3.03294 # DEPENDENCYPART_ARC
(1,8),-2.02466 # DEPENDENCYPART_ARC
(1,9),0.669989 # DEPENDENCYPART_ARC
(1,10),-1.49932 # DEPENDENCYPART_ARC
(1,11),-0.255316 # DEPENDENCYPART_ARC
(1,12),-1.65275 # DEPENDENCYPART_ARC
(1,13),-3.80174 # DEPENDENCYPART_ARC
(1,14),-2.94503 # DEPENDENCYPART_ARC
(1,15),-0.245105 # DEPENDENCYPART_ARC
(1,16),-1.78323 # DEPENDENCYPART_ARC
(1,17),-3.68812 # DEPENDENCYPART_ARC
(1,18),-6.76008 # DEPENDENCYPART_ARC
(1,19),0.100027 # DEPENDENCYPART_ARC
(2,1),-2.57575 # DEPENDENCYPART_ARC
(2,3),0.223697 # DEPENDENCYPART_ARC
(2,4),-0.475189 # DEPENDENCYPART_ARC
(2,5),-1.13922 # DEPENDENCYPART_ARC
(2,6),-1.93346 # DEPENDENCYPART_ARC
(2,7),-1.50895 # DEPENDENCYPART_ARC
(2,8),-1.17163 # DEPENDENCYPART_ARC
(2,9),-0.399899 # DEPENDENCYPART_ARC
(2,10),-1.84663 # DEPENDENCYPART_ARC
(2,11),-2.83505 # DEPENDENCYPART_ARC
(2,12),-3.55235 # DEPENDENCYPART_ARC
(2,13),-3.22483 # DEPENDENCYPART_ARC
(2,14),-3.21879 # DEPENDENCYPART_ARC
(2,15),-2.38947 # DEPENDENCYPART_ARC
(2,16),-3.5643 # DEPENDENCYPART_ARC
(2,17),-4.281 # DEPENDENCYPART_ARC
(2,18),-3.80815 # DEPENDENCYPART_ARC
(2,19),-2.88293 # DEPENDENCYPART_ARC
(3,1),-2.35622 # DEPENDENCYPART_ARC
(3,2),2.77704 # DEPENDENCYPART_ARC
(3,4),0.184854 # DEPENDENCYPART_ARC
(3,5),-0.253343 # DEPENDENCYPART_ARC
(3,6),-1.51955 # DEPENDENCYPART_ARC
(3,7),-1.36923 # DEPENDENCYPART_ARC
(3,8),-0.959565 # DEPENDENCYPART_ARC
(3,9),-0.503908 # DEPENDENCYPART_ARC
(3,10),-1.31406 # DEPENDENCYPART_ARC
(3,11),-1.95439 # DEPENDENCYPART_ARC
