# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
(0,1),-7.2187 # DEPENDENCYPART_ARC
(0,2),-6.91156 # DEPENDENCYPART_ARC
(0,3),-6.31377 # DEPENDENCYPART_ARC
(0,4),-7.24957 # DEPENDENCYPART_ARC
(0,5),-5.1911 # DEPENDENCYPART_ARC
(0,6),-2.68083 # DEPENDENCYPART_ARC
(0,7),-4.89692 # DEPENDENCYPART_ARC
(0,8),-7.57344 # DEPENDENCYPART_ARC
(0,9),-7.44298 # DEPENDENCYPART_ARC
(0,10),-7.79863 # DEPENDENCYPART_ARC
(0,11),-5.99506 # DEPENDENCYPART_ARC
(0,12),-7.40749 # DEPENDENCYPART_ARC
(0,13),-6.35871 # DEPENDENCYPART_ARC
(0,14),-5.91701 # DEPENDENCYPART_ARC
(0,15),-8.33889 # DEPENDENCYPART_ARC
(0,16),-7.00223 # DEPENDENCYPART_ARC
(0,17),-6.01253 # DEPENDENCYPART_ARC
(0,18),-8.61941 # DEPENDENCYPART_ARC
(0,19),-6.42645 # DEPENDENCYPART_ARC
(0,20),-5.84196 # DEPENDENCYPART_ARC
(0,21),-5.72969 # DEPENDENCYPART_ARC
(1,2),3.01168 # DEPENDENCYPART_ARC
(1,3),0.635629 # DEPENDENCYPART_ARC
(1,4),-1.31236 # DEPENDENCYPART_ARC
(1,5),-0.596557 # DEPENDENCYPART_ARC
(1,6),-0.37442 # DEPENDENCYPART_ARC
(1,7),-0.331692 # DEPENDENCYPART_ARC
(1,8),-0.679245 # DEPENDENCYPART_ARC
(1,9),-0.138681 # DEPENDENCYPART_ARC
(1,10),-2.36355 # DEPENDENCYPART_ARC
(1,11),-3.58478 # DEPENDENCYPART_ARC
(1,12),-0.505531 # DEPENDENCYPART_ARC
(1,13),-2.13547 # DEPENDENCYPART_ARC
(1,14),-5.38708 # DEPENDENCYPART_ARC
(1,15),-1.03043 # DEPENDENCYPART_ARC
(1,16),-2.85448 # DEPENDENCYPART_ARC
(1,17),-7.73241 # DEPENDENCYPART_ARC
(1,18),-0.466407 # DEPENDENCYPART_ARC
(1,19),-9.09482 # DEPENDENCYPART_ARC
(1,20),-9.97837 # DEPENDENCYPART_ARC
(1,21),-0.207166 # DEPENDENCYPART_ARC
(2,1),0.131737 # DEPENDENCYPART_ARC
(2,3),0.908544 # DEPENDENCYPART_ARC
(2,4),0.273494 # DEPENDENCYPART_ARC
(2,5),0.185952 # DEPENDENCYPART_ARC
(2,6),0.462819 # DEPENDENCYPART_ARC
(2,7),-0.216026 # DEPENDENCYPART_ARC
(2,8),-0.167808 # DEPENDENCYPART_ARC
(2,9),-0.298145 # DEPENDENCYPART_ARC
(2,10),-0.782808 # DEPENDENCYPART_ARC
(2,11),-0.0569057 # DEPENDENCYPART_ARC
(2,12),0.74546 # DEPENDENCYPART_ARC
(2,13),-0.398358 # DEPENDENCYPART_ARC
(2,14),-1.08458 # DEPENDENCYPART_ARC
(2,15),-1.2566 # DEPENDENCYPART_ARC
(2,16),-0.696284 # DEPENDENCYPART_ARC
(2,17),-1.04068 # DEPENDENCYPART_ARC
(2,18),-1.33915 # DEPENDENCYPART_ARC
(2,19),-1.16287 # DEPENDENCYPART_ARC
(2,20),-1.40456 # DEPENDENCYPART_ARC
(2,21),-0.414938 # DEPENDENCYPART_ARC
(3,1),-1.262 # DEPENDENCYPART_ARC
(3,2),-0.68123 # DEPENDENCYPART_ARC
(3,4),-0.214457 # DEPENDENCYPART_ARC
(3,5),-0.509298 # DEPENDENCYPART_ARC
(3,6),-0.586957 # DEPENDENCYPART_ARC
(3,7),-1.1865 # DEPENDENCYPART_ARC
(3,8),-1.23062 # DEPENDENCYPART_ARC
(3,9),-1.19984 # DEPENDENCYPART_ARC
(3,10),-1.72589 # DEPENDENCYPART_ARC
(3,11),-2.29076 # DEPENDENCYPART_ARC
(3,12),-0.158381 # DEPENDENCYPART_ARC
(3,13),-1.69282 # DEPENDENCYPART_ARC
(3,14),-2.42139 # DEPENDENCYPART_ARC
(3,15),-1.71238 # DEPENDENCYPART_ARC
(3,16),-1.92181 # DEPENDENCYPART_ARC
(3,17),-2.73521 # DEPENDENCYPART_ARC
(3,18),-2.16612 # DEPENDENCYPART_ARC
(3,19),-2.99342 # DEPENDENCYPART_ARC
(3,20),-3.01636 # DEPENDENCYPART_ARC
(3,21),-2.12715 # DEPENDENCYPART_ARC
(4,1),-1.4487 # DEPENDENCYPART_ARC
(4,2),-1.15205 # DEPENDENCYPART_ARC
(4,3),-0.678636 # DEPENDENCYPART_ARC
(4,5),-0.30359 # DEPENDENCYPART_ARC
(4,6),0.241418 # DEPENDENCYPART_ARC
(4,7),-0.466023 # DEPENDENCYPART_ARC
(4,8),-1.16955 # DEPENDENCYPART_ARC
(4,9),-1.1121 # DEPENDENCYPART_ARC
(4,10),-1.95254 # DEPENDENCYPART_ARC
(4,11),-1.5369 # DEPENDENCYPART_ARC
(4,12),-0.726573 # DEPENDENCYPART_ARC
(4,13),-1.42708 # DEPENDENCYPART_ARC
(4,14),-1.5644 # DEPENDENCYPART_ARC
(4,15),-2.68895 # DEPENDENCYPART_ARC
(4,16),-1.85589 # DEPENDENCYPART_ARC
(4,17),-2.15954 # DEPENDENCYPART_ARC
(4,18),-1.5482 # DEPENDENCYPART_ARC
(4,19),-2.29595 # DEPENDENCYPART_ARC
(4,20),-2.5084 # DEPENDENCYPART_ARC
(4,21),-0.953659 # DEPENDENCYPART_ARC
(5,1),-0.419692 # DEPENDENCYPART_ARC
(5,2),0.380983 # DEPENDENCYPART_ARC
(5,3),0.762514 # DEPENDENCYPART_ARC
(5,4),4.30054 # DEPENDENCYPART_ARC
(5,6),0.466043 # DEPENDENCYPART_ARC
(5,7),0.0241908 # DEPENDENCYPART_ARC
(5,8),-0.432659 # DEPENDENCYPART_ARC
(5,9),-0.284192 # DEPENDENCYPART_ARC
(5,10),-0.908156 # DEPENDENCYPART_ARC
(5,11),-2.24493 # DEPENDENCYPART_ARC
(5,12),-1.43341 # DEPENDENCYPART_ARC
(5,13),-1.25531 # DEPENDENCYPART_ARC
(5,14),-2.0408 # DEPENDENCYPART_ARC
(5,15),-1.92169 # DEPENDENCYPART_ARC
(5,16),-1.07649 # DEPENDENCYPART_ARC
(5,17),-2.71666 # DEPENDENCYPART_ARC
(5,18),-1.0065 # DEPENDENCYPART_ARC
(5,19),-4.87651 # DEPENDENCYPART_ARC
(5,20),-3.1693 # DEPENDENCYPART_ARC
(5,21),-0.63888 # DEPENDENCYPART_ARC
(6,1),2.93407 # DEPENDENCYPART_ARC
(6,2),0.31702 # DEPENDENCYPART_ARC
(6,3),2.67705 # DEPENDENCYPART_ARC
(6,4),0.957523 # DEPENDENCYPART_ARC
(6,5),2.96903 # DEPENDENCYPART_ARC
(6,7),4.1161 # DEPENDENCYPART_ARC
(6,8),0.82981 # DEPENDENCYPART_ARC
(6,9),0.231318 # DEPENDENCYPART_ARC
(6,10),-0.87263 # DEPENDENCYPART_ARC
(6,11),-0.306906 # DEPENDENCYPART_ARC
(6,12),1.85952 # DEPENDENCYPART_ARC
(6,13),0.887539 # DEPENDENCYPART_ARC
(6,14),-1.24008 # DEPENDENCYPART_ARC
(6,15),-1.10169 # DEPENDENCYPART_ARC
(6,16),-1.33426 # DEPENDENCYPART_ARC
(6,17),-2.02961 # DEPENDENCYPART_ARC
(6,18),0.717489 # DEPENDENCYPART_ARC
(6,19),-3.62385 # DEPENDENCYPART_ARC
(6,20),-2.35125 # DEPENDENCYPART_ARC
(6,21),5.30406 # DEPENDENCYPART_ARC
(7,1),-0.0201545 # DEPENDENCYPART_ARC
(7,2),-0.373278 # DEPENDENCYPART_ARC
(7,3),0.675502 # DEPENDENCYPART_ARC
(7,4),1.03115 # DEPENDENCYPART_ARC
(7,5),0.156719 # DEPENDENCYPART_ARC
(7,6),0.573738 # DEPENDENCYPART_ARC
(7,8),3.71601 # DEPENDENCYPART_ARC
(7,9),2.94517 # DEPENDENCYPART_ARC
(7,10),0.560571 # DEPENDENCYPART_ARC
(7,11),1.54162 # DEPENDENCYPART_ARC
(7,12),3.06338 # DEPENDENCYPART_ARC
(7,13),2.22683 # DEPENDENCYPART_ARC
(7,14),-0.382636 # DEPENDENCYPART_ARC
(7,15),2.17486 # DEPENDENCYPART_ARC
(7,16),1.03036 # DEPENDENCYPART_ARC
(7,17),-1.64532 # DEPENDENCYPART_ARC
(7,18),0.0950813 # DEPENDENCYPART_ARC
(7,19),-1.56884 # DEPENDENCYPART_ARC
(7,20),-1.75189 # DEPENDENCYPART_ARC
(7,21),1.99396 # DEPENDENCYPART_ARC
(8,1),-0.407449 # DEPENDENCYPART_ARC
(8,2),-0.354427 # DEPENDENCYPART_ARC
(8,3),-0.504083 # DEPENDENCYPART_ARC
(8,4),0.429637 # DEPENDENCYPART_ARC
(8,5),0.137901 # DEPENDENCYPART_ARC
(8,6),0.186588 # DEPENDENCYPART_ARC
(8,7),1.02497 # DEPENDENCYPART_ARC
(8,9),2.50781 # DEPENDENCYPART_ARC
(8,10),-0.276989 # DEPENDENCYPART_ARC
(8,11),1.05736 # DEPENDENCYPART_ARC
(8,12),0.00933996 # DEPENDENCYPART_ARC
(8,13),-0.483126 # DEPENDENCYPART_ARC
(8,14),-0.889834 # DEPENDENCYPART_ARC
(8,15),0.716947 # DEPENDENCYPART_ARC
(8,16),-1.16622 # DEPENDENCYPART_ARC
(8,17),-3.25995 # DEPENDENCYPART_ARC
(8,18),0.9277 # DEPENDENCYPART_ARC
(8,19),-5.59385 # DEPENDENCYPART_ARC
(8,20),-4.70192 # DEPENDENCYPART_ARC
(8,21),0.0683289 # DEPENDENCYPART_ARC
(9,1),-1.65084 # DEPENDENCYPART_ARC
(9,2),-1.54063 # DEPENDENCYPART_ARC
(9,3),-1.33552 # DEPENDENCYPART_ARC
(9,4),-0.67937 # DEPENDENCYPART_ARC
(9,5),-1.25952 # DEPENDENCYPART_ARC
(9,6),-0.689817 # DEPENDENCYPART_ARC
(9,7),-0.811859 # DEPENDENCYPART_ARC
(9,8),0.705005 # DEPENDENCYPART_ARC
(9,10),0.33161 # DEPENDENCYPART_ARC
(9,11),3.18147 # DEPENDENCYPART_ARC
(9,12),0.181862 # DEPENDENCYPART_ARC
(9,13),-0.358568 # DEPENDENCYPART_ARC
(9,14),0.207839 # DEPENDENCYPART_ARC
(9,15),-0.0212507 # DEPENDENCYPART_ARC
(9,16),-1.19573 # DEPENDENCYPART_ARC
(9,17),-2.07996 # DEPENDENCYPART_ARC
(9,18),0.18501 # DEPENDENCYPART_ARC
(9,19),-4.21929 # DEPENDENCYPART_ARC
(9,20),-3.50278 # DEPENDENCYPART_ARC
(9,21),0.500594 # DEPENDENCYPART_ARC
