# _root_ Security Pacific shares closed at $ 44.625 , down 37.5 cents , in Big Board composite trading .
#goldHeads=3,3,4,0,4,5,6,4,4,11,9,4,4,17,17,17,13,4,
#predictedHeads=3,3,4,0,4,5,6,4,4,11,9,4,4,17,17,17,13,4,
(0,1),-6.06505 # DEPENDENCYPART_ARC
(0,2),-5.82952 # DEPENDENCYPART_ARC
(0,3),-6.23084 # DEPENDENCYPART_ARC
(0,4),-3.16378 # DEPENDENCYPART_ARC
(0,5),-8.45389 # DEPENDENCYPART_ARC
(0,6),-8.20175 # DEPENDENCYPART_ARC
(0,7),-8.2994 # DEPENDENCYPART_ARC
(0,8),-7.16866 # DEPENDENCYPART_ARC
(0,9),-7.79285 # DEPENDENCYPART_ARC
(0,10),-8.68907 # DEPENDENCYPART_ARC
(0,11),-6.94782 # DEPENDENCYPART_ARC
(0,12),-7.55208 # DEPENDENCYPART_ARC
(0,13),-8.68579 # DEPENDENCYPART_ARC
(0,14),-7.73748 # DEPENDENCYPART_ARC
(0,15),-7.47614 # DEPENDENCYPART_ARC
(0,16),-6.72523 # DEPENDENCYPART_ARC
(0,17),-7.94681 # DEPENDENCYPART_ARC
(0,18),-7.40892 # DEPENDENCYPART_ARC
(1,2),0.498005 # DEPENDENCYPART_ARC
(1,3),-0.456435 # DEPENDENCYPART_ARC
(1,4),-0.49406 # DEPENDENCYPART_ARC
(1,5),-1.53709 # DEPENDENCYPART_ARC
(1,6),-1.63242 # DEPENDENCYPART_ARC
(1,7),-1.32173 # DEPENDENCYPART_ARC
(1,8),-0.251734 # DEPENDENCYPART_ARC
(1,9),-1.67748 # DEPENDENCYPART_ARC
(1,10),-2.23366 # DEPENDENCYPART_ARC
(1,11),-2.06512 # DEPENDENCYPART_ARC
(1,12),-0.661973 # DEPENDENCYPART_ARC
(1,13),-2.34029 # DEPENDENCYPART_ARC
(1,14),-2.9023 # DEPENDENCYPART_ARC
(1,15),-2.83285 # DEPENDENCYPART_ARC
(1,16),-2.49505 # DEPENDENCYPART_ARC
(1,17),-3.42879 # DEPENDENCYPART_ARC
(1,18),-0.0531898 # DEPENDENCYPART_ARC
(2,1),2.91961 # DEPENDENCYPART_ARC
(2,3),0.350718 # DEPENDENCYPART_ARC
(2,4),0.274309 # DEPENDENCYPART_ARC
(2,5),-0.614091 # DEPENDENCYPART_ARC
(2,6),-1.05144 # DEPENDENCYPART_ARC
(2,7),-0.129984 # DEPENDENCYPART_ARC
(2,8),-0.345003 # DEPENDENCYPART_ARC
(2,9),-0.670124 # DEPENDENCYPART_ARC
(2,10),-1.67159 # DEPENDENCYPART_ARC
(2,11),-1.57376 # DEPENDENCYPART_ARC
(2,12),-0.78796 # DEPENDENCYPART_ARC
(2,13),-1.52337 # DEPENDENCYPART_ARC
(2,14),-2.64238 # DEPENDENCYPART_ARC
(2,15),-2.40826 # DEPENDENCYPART_ARC
(2,16),-1.96737 # DEPENDENCYPART_ARC
(2,17),-2.80815 # DEPENDENCYPART_ARC
(2,18),0.463313 # DEPENDENCYPART_ARC
(3,1),4.50557 # DEPENDENCYPART_ARC
(3,2),4.58815 # DEPENDENCYPART_ARC
(3,4),1.37347 # DEPENDENCYPART_ARC
(3,5),0.389314 # DEPENDENCYPART_ARC
(3,6),-0.12606 # DEPENDENCYPART_ARC
(3,7),0.219111 # DEPENDENCYPART_ARC
(3,8),0.610785 # DEPENDENCYPART_ARC
(3,9),0.342657 # DEPENDENCYPART_ARC
(3,10),-0.379931 # DEPENDENCYPART_ARC
(3,11),-0.211363 # DEPENDENCYPART_ARC
(3,12),0.66597 # DEPENDENCYPART_ARC
(3,13),-0.343797 # DEPENDENCYPART_ARC
(3,14),-1.12757 # DEPENDENCYPART_ARC
(3,15),-0.941081 # DEPENDENCYPART_ARC
(3,16),-0.804322 # DEPENDENCYPART_ARC
(3,17),-1.61943 # DEPENDENCYPART_ARC
(3,18),0.116494 # DEPENDENCYPART_ARC
(4,1),1.59336 # DEPENDENCYPART_ARC
(4,2),1.55542 # DEPENDENCYPART_ARC
(4,3),2.70581 # DEPENDENCYPART_ARC
(4,5),4.30292 # DEPENDENCYPART_ARC
(4,6),1.08616 # DEPENDENCYPART_ARC
(4,7),0.634009 # DEPENDENCYPART_ARC
(4,8),3.20745 # DEPENDENCYPART_ARC
(4,9),2.7358 # DEPENDENCYPART_ARC
(4,10),-0.742859 # DEPENDENCYPART_ARC
(4,11),-0.845657 # DEPENDENCYPART_ARC
(4,12),3.2406 # DEPENDENCYPART_ARC
(4,13),3.93682 # DEPENDENCYPART_ARC
(4,14),-1.15161 # DEPENDENCYPART_ARC
(4,15),-0.559311 # DEPENDENCYPART_ARC
(4,16),0.983674 # DEPENDENCYPART_ARC
(4,17),-0.241573 # DEPENDENCYPART_ARC
(4,18),5.57869 # DEPENDENCYPART_ARC
(5,1),-1.04708 # DEPENDENCYPART_ARC
(5,2),-0.854125 # DEPENDENCYPART_ARC
(5,3),-1.07419 # DEPENDENCYPART_ARC
(5,4),-0.144072 # DEPENDENCYPART_ARC
(5,6),3.50391 # DEPENDENCYPART_ARC
(5,7),2.03075 # DEPENDENCYPART_ARC
(5,8),1.23417 # DEPENDENCYPART_ARC
(5,9),0.226891 # DEPENDENCYPART_ARC
(5,10),0.00468047 # DEPENDENCYPART_ARC
(5,11),0.241826 # DEPENDENCYPART_ARC
(5,12),1.13161 # DEPENDENCYPART_ARC
(5,13),0.211056 # DEPENDENCYPART_ARC
(5,14),-2.82482 # DEPENDENCYPART_ARC
(5,15),-2.50298 # DEPENDENCYPART_ARC
(5,16),-0.578121 # DEPENDENCYPART_ARC
(5,17),-1.15707 # DEPENDENCYPART_ARC
(5,18),-1.09529 # DEPENDENCYPART_ARC
(6,1),-1.34975 # DEPENDENCYPART_ARC
(6,2),-1.07934 # DEPENDENCYPART_ARC
(6,3),-0.48736 # DEPENDENCYPART_ARC
(6,4),-0.181514 # DEPENDENCYPART_ARC
(6,5),2.02588 # DEPENDENCYPART_ARC
(6,7),4.1506 # DEPENDENCYPART_ARC
(6,8),1.51292 # DEPENDENCYPART_ARC
(6,9),1.25324 # DEPENDENCYPART_ARC
(6,10),0.827717 # DEPENDENCYPART_ARC
(6,11),-0.5498 # DEPENDENCYPART_ARC
(6,12),1.23198 # DEPENDENCYPART_ARC
(6,13),-0.78518 # DEPENDENCYPART_ARC
(6,14),-0.947056 # DEPENDENCYPART_ARC
(6,15),-0.882506 # DEPENDENCYPART_ARC
(6,16),0.164964 # DEPENDENCYPART_ARC
(6,17),-1.2414 # DEPENDENCYPART_ARC
(6,18),-0.218409 # DEPENDENCYPART_ARC
(7,1),-1.08952 # DEPENDENCYPART_ARC
(7,2),-0.779436 # DEPENDENCYPART_ARC
(7,3),-0.706027 # DEPENDENCYPART_ARC
(7,4),-0.489041 # DEPENDENCYPART_ARC
(7,5),0.80685 # DEPENDENCYPART_ARC
(7,6),0.781567 # DEPENDENCYPART_ARC
(7,8),0.434009 # DEPENDENCYPART_ARC
(7,9),0.166297 # DEPENDENCYPART_ARC
(7,10),0.186934 # DEPENDENCYPART_ARC
(7,11),-0.751567 # DEPENDENCYPART_ARC
(7,12),-0.0626388 # DEPENDENCYPART_ARC
(7,13),-0.663735 # DEPENDENCYPART_ARC
(7,14),-1.01626 # DEPENDENCYPART_ARC
(7,15),-1.03937 # DEPENDENCYPART_ARC
(7,16),-0.896482 # DEPENDENCYPART_ARC
(7,17),-1.15996 # DEPENDENCYPART_ARC
(7,18),-0.708712 # DEPENDENCYPART_ARC
(8,1),-1.98243 # DEPENDENCYPART_ARC
(8,2),-1.85631 # DEPENDENCYPART_ARC
(8,3),-1.92584 # DEPENDENCYPART_ARC
(8,4),-1.37395 # DEPENDENCYPART_ARC
(8,5),-0.972824 # DEPENDENCYPART_ARC
(8,6),-0.795135 # DEPENDENCYPART_ARC
(8,7),-0.495141 # DEPENDENCYPART_ARC
(8,9),-0.139169 # DEPENDENCYPART_ARC
(8,10),-0.518607 # DEPENDENCYPART_ARC
(8,11),-0.901555 # DEPENDENCYPART_ARC
(8,12),0.582009 # DEPENDENCYPART_ARC
(8,13),-0.975359 # DEPENDENCYPART_ARC
(8,14),-1.50936 # DEPENDENCYPART_ARC
(8,15),-1.6395 # DEPENDENCYPART_ARC
(8,16),-1.8187 # DEPENDENCYPART_ARC
(8,17),-2.13869 # DEPENDENCYPART_ARC
(8,18),-1.26127 # DEPENDENCYPART_ARC
(9,1),-1.37033 # DEPENDENCYPART_ARC
(9,2),-1.23552 # DEPENDENCYPART_ARC
(9,3),-1.33472 # DEPENDENCYPART_ARC
(9,4),-1.09519 # DEPENDENCYPART_ARC
(9,5),0.214701 # DEPENDENCYPART_ARC
(9,6),0.217651 # DEPENDENCYPART_ARC
(9,7),0.0469884 # DEPENDENCYPART_ARC
(9,8),0.458382 # DEPENDENCYPART_ARC
(9,10),2.18542 # DEPENDENCYPART_ARC
(9,11),3.16964 # DEPENDENCYPART_ARC
(9,12),1.5006 # DEPENDENCYPART_ARC
(9,13),0.776233 # DEPENDENCYPART_ARC
(9,14),-0.152326 # DEPENDENCYPART_ARC
(9,15),-0.48016 # DEPENDENCYPART_ARC
(9,16),0.347499 # DEPENDENCYPART_ARC
(9,17),-0.500803 # DEPENDENCYPART_ARC
(9,18),-1.2356 # DEPENDENCYPART_ARC
(10,1),-2.11436 # DEPENDENCYPART_ARC
(10,2),-2.04577 # DEPENDENCYPART_ARC
(10,3),-1.93937 # DEPENDENCYPART_ARC
(10,4),-1.72177 # DEPENDENCYPART_ARC
(10,5),-0.670946 # DEPENDENCYPART_ARC
(10,6),-1.20844 # DEPENDENCYPART_ARC
(10,7),-0.114297 # DEPENDENCYPART_ARC
(10,8),-0.240531 # DEPENDENCYPART_ARC
(10,9),0.142732 # DEPENDENCYPART_ARC
(10,11),0.24068 # DEPENDENCYPART_ARC
(10,12),-0.4078 # DEPENDENCYPART_ARC
(10,13),-0.424724 # DEPENDENCYPART_ARC
(10,14),-0.948133 # DEPENDENCYPART_ARC
(10,15),-1.0489 # DEPENDENCYPART_ARC
(10,16),-1.14795 # DEPENDENCYPART_ARC
(10,17),-1.18673 # DEPENDENCYPART_ARC
(10,18),-1.37859 # DEPENDENCYPART_ARC
(11,1),-1.67654 # DEPENDENCYPART_ARC
(11,2),-2.08184 # DEPENDENCYPART_ARC
(11,3),-1.2235 # DEPENDENCYPART_ARC
(11,4),-0.767894 # DEPENDENCYPART_ARC
(11,5),-0.0156294 # DEPENDENCYPART_ARC
(11,6),1.08206 # DEPENDENCYPART_ARC
(11,7),1.27922 # DEPENDENCYPART_ARC
(11,8),0.505083 # DEPENDENCYPART_ARC
(11,9),0.917117 # DEPENDENCYPART_ARC
(11,10),4.08975 # DEPENDENCYPART_ARC
(11,12),1.40277 # DEPENDENCYPART_ARC
(11,13),0.391586 # DEPENDENCYPART_ARC
(11,14),0.570519 # DEPENDENCYPART_ARC
(11,15),0.525405 # DEPENDENCYPART_ARC
(11,16),0.481195 # DEPENDENCYPART_ARC
(11,17),0.396578 # DEPENDENCYPART_ARC
(11,18),0.671973 # DEPENDENCYPART_ARC
(12,1),-2.93711 # DEPENDENCYPART_ARC
(12,2),-2.74088 # DEPENDENCYPART_ARC
(12,3),-2.73962 # DEPENDENCYPART_ARC
(12,4),-1.94928 # DEPENDENCYPART_ARC
(12,5),-1.96566 # DEPENDENCYPART_ARC
(12,6),-1.84989 # DEPENDENCYPART_ARC
(12,7),-2.05477 # DEPENDENCYPART_ARC
(12,8),-0.402102 # DEPENDENCYPART_ARC
(12,9),-1.88206 # DEPENDENCYPART_ARC
(12,10),-1.56675 # DEPENDENCYPART_ARC
(12,11),-1.43913 # DEPENDENCYPART_ARC
(12,13),-0.602023 # DEPENDENCYPART_ARC
(12,14),-0.729509 # DEPENDENCYPART_ARC
(12,15),-0.991841 # DEPENDENCYPART_ARC
(12,16),-1.49178 # DEPENDENCYPART_ARC
(12,17),-1.85835 # DEPENDENCYPART_ARC
(12,18),-1.16662 # DEPENDENCYPART_ARC
(13,1),-2.28942 # DEPENDENCYPART_ARC
(13,2),-2.37329 # DEPENDENCYPART_ARC
(13,3),-1.7431 # DEPENDENCYPART_ARC
(13,4),-1.28694 # DEPENDENCYPART_ARC
(13,5),-1.03383 # DEPENDENCYPART_ARC
(13,6),-1.05843 # DEPENDENCYPART_ARC
(13,7),-0.675221 # DEPENDENCYPART_ARC
(13,8),-0.67129 # DEPENDENCYPART_ARC
(13,9),-0.593917 # DEPENDENCYPART_ARC
(13,10),-0.0264565 # DEPENDENCYPART_ARC
(13,11),-0.597352 # DEPENDENCYPART_ARC
(13,12),0.617629 # DEPENDENCYPART_ARC
(13,14),2.22923 # DEPENDENCYPART_ARC
(13,15),2.20262 # DEPENDENCYPART_ARC
(13,16),1.04696 # DEPENDENCYPART_ARC
(13,17),3.54047 # DEPENDENCYPART_ARC
(13,18),-0.234942 # DEPENDENCYPART_ARC
(14,1),-7.09413 # DEPENDENCYPART_ARC
(14,2),-7.55995 # DEPENDENCYPART_ARC
(14,3),-5.85139 # DEPENDENCYPART_ARC
(14,4),-4.92897 # DEPENDENCYPART_ARC
(14,5),-4.07834 # DEPENDENCYPART_ARC
(14,6),-4.37143 # DEPENDENCYPART_ARC
(14,7),-4.01933 # DEPENDENCYPART_ARC
(14,8),-4.14604 # DEPENDENCYPART_ARC
(14,9),-3.34468 # DEPENDENCYPART_ARC
(14,10),-2.73506 # DEPENDENCYPART_ARC
(14,11),-3.51509 # DEPENDENCYPART_ARC
(14,12),-2.74623 # DEPENDENCYPART_ARC
(14,13),-2.16733 # DEPENDENCYPART_ARC
(14,15),0.762234 # DEPENDENCYPART_ARC
(14,16),-0.362492 # DEPENDENCYPART_ARC
(14,17),-0.28333 # DEPENDENCYPART_ARC
(14,18),-1.49871 # DEPENDENCYPART_ARC
(15,1),-5.22589 # DEPENDENCYPART_ARC
(15,2),-5.47872 # DEPENDENCYPART_ARC
(15,3),-3.85453 # DEPENDENCYPART_ARC
(15,4),-3.51502 # DEPENDENCYPART_ARC
(15,5),-2.5193 # DEPENDENCYPART_ARC
(15,6),-2.38275 # DEPENDENCYPART_ARC
(15,7),-2.43306 # DEPENDENCYPART_ARC
(15,8),-2.26579 # DEPENDENCYPART_ARC
(15,9),-2.36219 # DEPENDENCYPART_ARC
(15,10),-1.19419 # DEPENDENCYPART_ARC
(15,11),-1.91783 # DEPENDENCYPART_ARC
(15,12),-1.41399 # DEPENDENCYPART_ARC
(15,13),-0.932566 # DEPENDENCYPART_ARC
(15,14),3.14437 # DEPENDENCYPART_ARC
(15,16),0.75493 # DEPENDENCYPART_ARC
(15,17),0.992133 # DEPENDENCYPART_ARC
(15,18),-0.130698 # DEPENDENCYPART_ARC
(16,1),-1.06645 # DEPENDENCYPART_ARC
(16,2),-1.8752 # DEPENDENCYPART_ARC
(16,3),-2.22634 # DEPENDENCYPART_ARC
(16,4),-2.13535 # DEPENDENCYPART_ARC
(16,5),-1.10052 # DEPENDENCYPART_ARC
(16,6),-0.578878 # DEPENDENCYPART_ARC
(16,7),-0.790227 # DEPENDENCYPART_ARC
(16,8),-0.404801 # DEPENDENCYPART_ARC
(16,9),-1.07293 # DEPENDENCYPART_ARC
(16,10),-0.485943 # DEPENDENCYPART_ARC
(16,11),-0.572495 # DEPENDENCYPART_ARC
(16,12),0.313964 # DEPENDENCYPART_ARC
(16,13),-0.175342 # DEPENDENCYPART_ARC
(16,14),1.77181 # DEPENDENCYPART_ARC
(16,15),1.24274 # DEPENDENCYPART_ARC
(16,17),1.32159 # DEPENDENCYPART_ARC
(16,18),0.00390338 # DEPENDENCYPART_ARC
(17,1),-1.47294 # DEPENDENCYPART_ARC
(17,2),-1.78453 # DEPENDENCYPART_ARC
(17,3),-0.987161 # DEPENDENCYPART_ARC
(17,4),-0.324441 # DEPENDENCYPART_ARC
(17,5),-0.6948 # DEPENDENCYPART_ARC
(17,6),-0.992836 # DEPENDENCYPART_ARC
(17,7),-0.157877 # DEPENDENCYPART_ARC
(17,8),0.64459 # DEPENDENCYPART_ARC
(17,9),-1.53253 # DEPENDENCYPART_ARC
(17,10),0.377236 # DEPENDENCYPART_ARC
(17,11),0.0725601 # DEPENDENCYPART_ARC
(17,12),0.610211 # DEPENDENCYPART_ARC
(17,13),0.603973 # DEPENDENCYPART_ARC
(17,14),4.79546 # DEPENDENCYPART_ARC
(17,15),4.17715 # DEPENDENCYPART_ARC
(17,16),4.75406 # DEPENDENCYPART_ARC
(17,18),-0.230395 # DEPENDENCYPART_ARC
(18,1),-2.00531 # DEPENDENCYPART_ARC
(18,2),-2.18805 # DEPENDENCYPART_ARC
(18,3),-1.70317 # DEPENDENCYPART_ARC
(18,4),-1.5507 # DEPENDENCYPART_ARC
(18,5),-1.70904 # DEPENDENCYPART_ARC
(18,6),-2.04565 # DEPENDENCYPART_ARC
(18,7),-1.91621 # DEPENDENCYPART_ARC
(18,8),-0.81911 # DEPENDENCYPART_ARC
