# _root_ Gitano , which makes budget-priced apparel sold mainly through mass merchandisers like K mart and Wal-Mart , said the Regatta acquisition will enhance its strategy to expand into department stores .
#goldHeads=18,1,4,1,6,4,6,7,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
#predictedHeads=18,1,4,1,6,4,6,9,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
(0,1),-6.47587 # DEPENDENCYPART_ARC
(0,2),-6.90253 # DEPENDENCYPART_ARC
(0,3),-6.98847 # DEPENDENCYPART_ARC
(0,4),-5.15991 # DEPENDENCYPART_ARC
(0,5),-6.79821 # DEPENDENCYPART_ARC
(0,6),-7.71862 # DEPENDENCYPART_ARC
(0,7),-4.91784 # DEPENDENCYPART_ARC
(0,8),-7.26885 # DEPENDENCYPART_ARC
(0,9),-7.02519 # DEPENDENCYPART_ARC
(0,10),-7.4936 # DEPENDENCYPART_ARC
(0,11),-6.42104 # DEPENDENCYPART_ARC
(0,12),-7.74586 # DEPENDENCYPART_ARC
(0,13),-6.80672 # DEPENDENCYPART_ARC
(0,14),-6.9406 # DEPENDENCYPART_ARC
(0,15),-8.5838 # DEPENDENCYPART_ARC
(0,16),-8.26742 # DEPENDENCYPART_ARC
(0,17),-8.44279 # DEPENDENCYPART_ARC
(0,18),-1.02904 # DEPENDENCYPART_ARC
(0,19),-9.0983 # DEPENDENCYPART_ARC
(0,20),-8.33648 # DEPENDENCYPART_ARC
(0,21),-8.76675 # DEPENDENCYPART_ARC
(0,22),-4.97405 # DEPENDENCYPART_ARC
(0,23),-7.33866 # DEPENDENCYPART_ARC
(0,24),-8.59714 # DEPENDENCYPART_ARC
(0,25),-9.01737 # DEPENDENCYPART_ARC
(0,26),-9.08316 # DEPENDENCYPART_ARC
(0,27),-7.99722 # DEPENDENCYPART_ARC
(0,28),-10.1203 # DEPENDENCYPART_ARC
(0,29),-8.88608 # DEPENDENCYPART_ARC
(0,30),-6.74908 # DEPENDENCYPART_ARC
(0,31),-6.90227 # DEPENDENCYPART_ARC
(1,2),3.48575 # DEPENDENCYPART_ARC
(1,3),0.454816 # DEPENDENCYPART_ARC
(1,4),3.22099 # DEPENDENCYPART_ARC
(1,5),1.12421 # DEPENDENCYPART_ARC
(1,6),1.19731 # DEPENDENCYPART_ARC
(1,7),0.630766 # DEPENDENCYPART_ARC
(1,8),0.17111 # DEPENDENCYPART_ARC
(1,9),0.0842799 # DEPENDENCYPART_ARC
(1,10),-0.587798 # DEPENDENCYPART_ARC
(1,11),-0.37035 # DEPENDENCYPART_ARC
(1,12),0.113263 # DEPENDENCYPART_ARC
(1,13),-1.41018 # DEPENDENCYPART_ARC
(1,14),-0.017909 # DEPENDENCYPART_ARC
(1,15),1.92785 # DEPENDENCYPART_ARC
(1,16),-1.17498 # DEPENDENCYPART_ARC
(1,17),3.892 # DEPENDENCYPART_ARC
(1,18),0.806188 # DEPENDENCYPART_ARC
(1,19),-0.679907 # DEPENDENCYPART_ARC
(1,20),-2.54346 # DEPENDENCYPART_ARC
(1,21),-3.92899 # DEPENDENCYPART_ARC
(1,22),-0.626961 # DEPENDENCYPART_ARC
(1,23),-1.6646 # DEPENDENCYPART_ARC
(1,24),-1.76904 # DEPENDENCYPART_ARC
(1,25),-5.05055 # DEPENDENCYPART_ARC
(1,26),-1.57802 # DEPENDENCYPART_ARC
(1,27),-2.10318 # DEPENDENCYPART_ARC
(1,28),-2.96841 # DEPENDENCYPART_ARC
(1,29),-6.27142 # DEPENDENCYPART_ARC
(1,30),-2.55499 # DEPENDENCYPART_ARC
(1,31),0.778442 # DEPENDENCYPART_ARC
(2,1),-1.02098 # DEPENDENCYPART_ARC
(2,3),-0.913479 # DEPENDENCYPART_ARC
(2,4),-0.649671 # DEPENDENCYPART_ARC
(2,5),-1.44526 # DEPENDENCYPART_ARC
(2,6),-1.90452 # DEPENDENCYPART_ARC
(2,7),-1.78879 # DEPENDENCYPART_ARC
