# _root_ It 's that last set of numbers , as much as anything else , that gives the Giants hope in the Series games to come .
#goldHeads=5,5,5,5,0,5,6,9,5,9,9,11,12,9,16,5,18,16,16,19,23,23,20,23,24,5,
#predictedHeads=2,3,5,5,0,5,6,5,10,7,10,11,12,16,16,10,19,19,16,16,23,23,20,23,24,16,
(0,1),-5.82014 # DEPENDENCYPART_ARC
(0,2),-6.00746 # DEPENDENCYPART_ARC
(0,3),-6.27181 # DEPENDENCYPART_ARC
(0,4),-6.57407 # DEPENDENCYPART_ARC
(0,5),-6.27364 # DEPENDENCYPART_ARC
(0,6),-6.41862 # DEPENDENCYPART_ARC
(0,7),-5.88937 # DEPENDENCYPART_ARC
(0,8),-6.94292 # DEPENDENCYPART_ARC
(0,9),-6.91512 # DEPENDENCYPART_ARC
(0,10),-6.66062 # DEPENDENCYPART_ARC
(0,11),-6.09923 # DEPENDENCYPART_ARC
(0,12),-6.12329 # DEPENDENCYPART_ARC
(0,13),-7.43385 # DEPENDENCYPART_ARC
(0,14),-7.80964 # DEPENDENCYPART_ARC
(0,15),-6.80987 # DEPENDENCYPART_ARC
(0,16),-4.03451 # DEPENDENCYPART_ARC
(0,17),-8.44941 # DEPENDENCYPART_ARC
(0,18),-5.75182 # DEPENDENCYPART_ARC
(0,19),-6.51051 # DEPENDENCYPART_ARC
(0,20),-7.73772 # DEPENDENCYPART_ARC
(0,21),-8.93642 # DEPENDENCYPART_ARC
(0,22),-6.17509 # DEPENDENCYPART_ARC
(0,23),-5.20723 # DEPENDENCYPART_ARC
(0,24),-8.56832 # DEPENDENCYPART_ARC
(0,25),-5.14439 # DEPENDENCYPART_ARC
(0,26),-4.98349 # DEPENDENCYPART_ARC
(1,2),0.424149 # DEPENDENCYPART_ARC
(1,3),0.560859 # DEPENDENCYPART_ARC
(1,4),-0.361571 # DEPENDENCYPART_ARC
(1,5),0.251119 # DEPENDENCYPART_ARC
(1,6),0.00206913 # DEPENDENCYPART_ARC
(1,7),-0.473354 # DEPENDENCYPART_ARC
(1,8),0.187507 # DEPENDENCYPART_ARC
(1,9),-0.394957 # DEPENDENCYPART_ARC
(1,10),-1.34402 # DEPENDENCYPART_ARC
(1,11),0.257626 # DEPENDENCYPART_ARC
(1,12),-0.212673 # DEPENDENCYPART_ARC
(1,13),-1.00089 # DEPENDENCYPART_ARC
(1,14),-0.284927 # DEPENDENCYPART_ARC
(1,15),-1.93034 # DEPENDENCYPART_ARC
(1,16),-0.686905 # DEPENDENCYPART_ARC
(1,17),-1.30648 # DEPENDENCYPART_ARC
(1,18),-1.66575 # DEPENDENCYPART_ARC
(1,19),-0.850282 # DEPENDENCYPART_ARC
(1,20),-1.41402 # DEPENDENCYPART_ARC
(1,21),-1.72319 # DEPENDENCYPART_ARC
(1,22),-1.98883 # DEPENDENCYPART_ARC
(1,23),-2.35995 # DEPENDENCYPART_ARC
(1,24),-1.45028 # DEPENDENCYPART_ARC
(1,25),-2.8238 # DEPENDENCYPART_ARC
