# _root_ The comparable lead times for the Commerce index , whose components include the stock market , are far shorter -- 10 months before recessions and only three months before recoveries .
#goldHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,17,22,23,22,28,28,25,28,29,17,
#predictedHeads=4,4,4,8,17,8,8,5,8,11,12,0,15,15,12,17,12,19,17,17,22,17,22,23,24,28,26,25,24,29,17,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-6.22477 # DEPENDENCYPART_ARC
(0,3),-6.14629 # DEPENDENCYPART_ARC
(0,4),-6.58794 # DEPENDENCYPART_ARC
(0,5),-6.76682 # DEPENDENCYPART_ARC
(0,6),-7.29816 # DEPENDENCYPART_ARC
(0,7),-6.06102 # DEPENDENCYPART_ARC
(0,8),-6.93529 # DEPENDENCYPART_ARC
(0,9),-7.22581 # DEPENDENCYPART_ARC
(0,10),-6.64987 # DEPENDENCYPART_ARC
(0,11),-5.18569 # DEPENDENCYPART_ARC
(0,12),-2.33136 # DEPENDENCYPART_ARC
(0,13),-8.04475 # DEPENDENCYPART_ARC
(0,14),-6.54127 # DEPENDENCYPART_ARC
(0,15),-6.51225 # DEPENDENCYPART_ARC
(0,16),-8.1187 # DEPENDENCYPART_ARC
(0,17),-2.49992 # DEPENDENCYPART_ARC
(0,18),-8.74024 # DEPENDENCYPART_ARC
(0,19),-7.90515 # DEPENDENCYPART_ARC
(0,20),-7.52986 # DEPENDENCYPART_ARC
(0,21),-9.0708 # DEPENDENCYPART_ARC
(0,22),-7.18629 # DEPENDENCYPART_ARC
(0,23),-9.78365 # DEPENDENCYPART_ARC
(0,24),-6.68079 # DEPENDENCYPART_ARC
(0,25),-9.51437 # DEPENDENCYPART_ARC
(0,26),-9.95405 # DEPENDENCYPART_ARC
(0,27),-10.1137 # DEPENDENCYPART_ARC
(0,28),-8.10999 # DEPENDENCYPART_ARC
(0,29),-10.5943 # DEPENDENCYPART_ARC
(0,30),-6.98054 # DEPENDENCYPART_ARC
(0,31),-5.99651 # DEPENDENCYPART_ARC
(1,2),-0.262137 # DEPENDENCYPART_ARC
(1,3),-0.800405 # DEPENDENCYPART_ARC
(1,4),-1.11311 # DEPENDENCYPART_ARC
(1,5),-1.35879 # DEPENDENCYPART_ARC
(1,6),-2.34723 # DEPENDENCYPART_ARC
(1,7),-2.22298 # DEPENDENCYPART_ARC
(1,8),-1.86661 # DEPENDENCYPART_ARC
(1,9),-1.25961 # DEPENDENCYPART_ARC
(1,10),-2.15528 # DEPENDENCYPART_ARC
(1,11),-2.20395 # DEPENDENCYPART_ARC
(1,12),-2.34349 # DEPENDENCYPART_ARC
(1,13),-3.23387 # DEPENDENCYPART_ARC
(1,14),-2.5845 # DEPENDENCYPART_ARC
(1,15),-2.61416 # DEPENDENCYPART_ARC
(1,16),-1.92397 # DEPENDENCYPART_ARC
(1,17),-3.39504 # DEPENDENCYPART_ARC
(1,18),-2.91248 # DEPENDENCYPART_ARC
(1,19),-3.64765 # DEPENDENCYPART_ARC
(1,20),-2.83572 # DEPENDENCYPART_ARC
(1,21),-3.23922 # DEPENDENCYPART_ARC
(1,22),-3.21125 # DEPENDENCYPART_ARC
(1,23),-4.57472 # DEPENDENCYPART_ARC
(1,24),-3.48305 # DEPENDENCYPART_ARC
(1,25),-3.6864 # DEPENDENCYPART_ARC
(1,26),-3.85783 # DEPENDENCYPART_ARC
(1,27),-4.436 # DEPENDENCYPART_ARC
(1,28),-3.74677 # DEPENDENCYPART_ARC
(1,29),-5.33095 # DEPENDENCYPART_ARC
(1,30),-3.91784 # DEPENDENCYPART_ARC
(1,31),-1.73594 # DEPENDENCYPART_ARC
(2,1),1.72533 # DEPENDENCYPART_ARC
(2,3),0.948287 # DEPENDENCYPART_ARC
(2,4),0.339981 # DEPENDENCYPART_ARC
(2,5),-0.154117 # DEPENDENCYPART_ARC
(2,6),-1.36465 # DEPENDENCYPART_ARC
(2,7),-0.750866 # DEPENDENCYPART_ARC
(2,8),-0.956916 # DEPENDENCYPART_ARC
(2,9),-0.318214 # DEPENDENCYPART_ARC
(2,10),-1.33062 # DEPENDENCYPART_ARC
(2,11),-1.18402 # DEPENDENCYPART_ARC
(2,12),-0.793905 # DEPENDENCYPART_ARC
(2,13),-2.07133 # DEPENDENCYPART_ARC
(2,14),-1.72227 # DEPENDENCYPART_ARC
(2,15),-1.988 # DEPENDENCYPART_ARC
(2,16),-1.06163 # DEPENDENCYPART_ARC
(2,17),-1.37496 # DEPENDENCYPART_ARC
(2,18),-2.25795 # DEPENDENCYPART_ARC
(2,19),-2.09552 # DEPENDENCYPART_ARC
(2,20),-1.65396 # DEPENDENCYPART_ARC
(2,21),-3.70965 # DEPENDENCYPART_ARC
(2,22),-2.37744 # DEPENDENCYPART_ARC
(2,23),-3.67698 # DEPENDENCYPART_ARC
(2,24),-2.40776 # DEPENDENCYPART_ARC
(2,25),-1.76078 # DEPENDENCYPART_ARC
(2,26),-3.31094 # DEPENDENCYPART_ARC
(2,27),-4.42013 # DEPENDENCYPART_ARC
(2,28),-2.9515 # DEPENDENCYPART_ARC
(2,29),-4.42482 # DEPENDENCYPART_ARC
(2,30),-3.1005 # DEPENDENCYPART_ARC
(2,31),-0.864856 # DEPENDENCYPART_ARC
(3,1),1.13936 # DEPENDENCYPART_ARC
(3,2),1.17594 # DEPENDENCYPART_ARC
(3,4),1.32837 # DEPENDENCYPART_ARC
(3,5),0.674033 # DEPENDENCYPART_ARC
(3,6),-0.618203 # DEPENDENCYPART_ARC
(3,7),-0.656387 # DEPENDENCYPART_ARC
(3,8),-0.681974 # DEPENDENCYPART_ARC
(3,9),0.328181 # DEPENDENCYPART_ARC
(3,10),-1.25169 # DEPENDENCYPART_ARC
(3,11),-1.04993 # DEPENDENCYPART_ARC
(3,12),-0.15874 # DEPENDENCYPART_ARC
(3,13),-1.29757 # DEPENDENCYPART_ARC
(3,14),-1.32103 # DEPENDENCYPART_ARC
(3,15),-1.12116 # DEPENDENCYPART_ARC
(3,16),-0.0984758 # DEPENDENCYPART_ARC
(3,17),-1.34758 # DEPENDENCYPART_ARC
(3,18),-1.87241 # DEPENDENCYPART_ARC
(3,19),-1.15886 # DEPENDENCYPART_ARC
(3,20),0.168856 # DEPENDENCYPART_ARC
(3,21),-1.91632 # DEPENDENCYPART_ARC
(3,22),-1.82641 # DEPENDENCYPART_ARC
(3,23),-3.15383 # DEPENDENCYPART_ARC
(3,24),-2.02913 # DEPENDENCYPART_ARC
(3,25),-2.79634 # DEPENDENCYPART_ARC
