# _root_ Ilford , for example , recently introduced a black-and-white film that can be processed quickly by color labs .
#goldHeads=7,7,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
#predictedHeads=7,1,7,3,7,7,0,10,10,7,12,10,12,13,14,14,18,16,7,
(0,1),-6.47587 # DEPENDENCYPART_ARC
(0,2),-6.91722 # DEPENDENCYPART_ARC
(0,3),-6.70009 # DEPENDENCYPART_ARC
(0,4),-6.524 # DEPENDENCYPART_ARC
(0,5),-7.27908 # DEPENDENCYPART_ARC
(0,6),-7.00696 # DEPENDENCYPART_ARC
(0,7),-2.95047 # DEPENDENCYPART_ARC
(0,8),-7.63653 # DEPENDENCYPART_ARC
(0,9),-7.00812 # DEPENDENCYPART_ARC
(0,10),-7.27235 # DEPENDENCYPART_ARC
(0,11),-7.18537 # DEPENDENCYPART_ARC
(0,12),-4.99123 # DEPENDENCYPART_ARC
(0,13),-5.65068 # DEPENDENCYPART_ARC
(0,14),-5.07052 # DEPENDENCYPART_ARC
(0,15),-7.85622 # DEPENDENCYPART_ARC
(0,16),-8.02611 # DEPENDENCYPART_ARC
(0,17),-7.08118 # DEPENDENCYPART_ARC
(0,18),-5.7712 # DEPENDENCYPART_ARC
(0,19),-6.66077 # DEPENDENCYPART_ARC
(1,2),1.56414 # DEPENDENCYPART_ARC
(1,3),0.630793 # DEPENDENCYPART_ARC
(1,4),1.16931 # DEPENDENCYPART_ARC
(1,5),1.76784 # DEPENDENCYPART_ARC
(1,6),-0.558044 # DEPENDENCYPART_ARC
(1,7),1.16995 # DEPENDENCYPART_ARC
(1,8),-0.622388 # DEPENDENCYPART_ARC
(1,9),-0.777219 # DEPENDENCYPART_ARC
(1,10),-0.477954 # DEPENDENCYPART_ARC
(1,11),-2.20806 # DEPENDENCYPART_ARC
(1,12),0.145003 # DEPENDENCYPART_ARC
(1,13),-1.53615 # DEPENDENCYPART_ARC
(1,14),-1.06206 # DEPENDENCYPART_ARC
(1,15),-1.69293 # DEPENDENCYPART_ARC
(1,16),-2.1197 # DEPENDENCYPART_ARC
(1,17),-3.60271 # DEPENDENCYPART_ARC
(1,18),-2.28415 # DEPENDENCYPART_ARC
(1,19),0.136793 # DEPENDENCYPART_ARC
(2,1),-0.944653 # DEPENDENCYPART_ARC
(2,3),-0.681493 # DEPENDENCYPART_ARC
(2,4),-1.04903 # DEPENDENCYPART_ARC
(2,5),0.0701073 # DEPENDENCYPART_ARC
(2,6),-1.6354 # DEPENDENCYPART_ARC
(2,7),-1.33349 # DEPENDENCYPART_ARC
(2,8),-1.94174 # DEPENDENCYPART_ARC
(2,9),-2.12283 # DEPENDENCYPART_ARC
(2,10),-2.58208 # DEPENDENCYPART_ARC
(2,11),-2.75186 # DEPENDENCYPART_ARC
(2,12),-2.00629 # DEPENDENCYPART_ARC
(2,13),-2.03214 # DEPENDENCYPART_ARC
