# _root_ Revenue was $ 444.9 million , including net interest , down slightly from $ 450.7 million .
#goldHeads=2,0,2,3,3,3,3,9,7,3,2,11,11,13,14,14,2,
#predictedHeads=2,0,2,3,3,2,2,9,7,2,2,11,11,13,14,14,2,
(0,1),-5.96762 # DEPENDENCYPART_ARC
(0,2),-3.08192 # DEPENDENCYPART_ARC
(0,3),-7.19959 # DEPENDENCYPART_ARC
(0,4),-7.89778 # DEPENDENCYPART_ARC
(0,5),-8.12221 # DEPENDENCYPART_ARC
(0,6),-7.01766 # DEPENDENCYPART_ARC
(0,7),-6.71142 # DEPENDENCYPART_ARC
(0,8),-7.405 # DEPENDENCYPART_ARC
(0,9),-7.9783 # DEPENDENCYPART_ARC
(0,10),-7.7258 # DEPENDENCYPART_ARC
(0,11),-8.07695 # DEPENDENCYPART_ARC
(0,12),-7.97107 # DEPENDENCYPART_ARC
(0,13),-7.35772 # DEPENDENCYPART_ARC
(0,14),-8.62764 # DEPENDENCYPART_ARC
(0,15),-9.17943 # DEPENDENCYPART_ARC
(0,16),-9.44654 # DEPENDENCYPART_ARC
(0,17),-6.70575 # DEPENDENCYPART_ARC
(1,2),0.736549 # DEPENDENCYPART_ARC
(1,3),-0.060638 # DEPENDENCYPART_ARC
(1,4),0.282439 # DEPENDENCYPART_ARC
(1,5),-0.275232 # DEPENDENCYPART_ARC
(1,6),-0.0210977 # DEPENDENCYPART_ARC
(1,7),0.246515 # DEPENDENCYPART_ARC
(1,8),-0.585583 # DEPENDENCYPART_ARC
(1,9),-1.21135 # DEPENDENCYPART_ARC
(1,10),-0.377602 # DEPENDENCYPART_ARC
(1,11),-0.411449 # DEPENDENCYPART_ARC
(1,12),-0.452858 # DEPENDENCYPART_ARC
(1,13),-1.17753 # DEPENDENCYPART_ARC
(1,14),-1.36982 # DEPENDENCYPART_ARC
(1,15),-1.28747 # DEPENDENCYPART_ARC
(1,16),-1.72049 # DEPENDENCYPART_ARC
(1,17),0.275813 # DEPENDENCYPART_ARC
(2,1),2.92627 # DEPENDENCYPART_ARC
(2,3),2.93696 # DEPENDENCYPART_ARC
(2,4),1.66088 # DEPENDENCYPART_ARC
