# _root_ Security Pacific 's loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .
#goldHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,9,6,18,16,18,22,22,19,24,25,18,6,
#predictedHeads=2,5,2,5,6,0,6,9,7,6,9,11,12,12,9,6,18,16,18,22,22,19,24,25,22,6,
(0,1),-6.06505 # DEPENDENCYPART_ARC
(0,2),-5.95426 # DEPENDENCYPART_ARC
(0,3),-7.99326 # DEPENDENCYPART_ARC
(0,4),-6.52884 # DEPENDENCYPART_ARC
(0,5),-7.2333 # DEPENDENCYPART_ARC
(0,6),-3.43304 # DEPENDENCYPART_ARC
(0,7),-7.27783 # DEPENDENCYPART_ARC
(0,8),-8.39911 # DEPENDENCYPART_ARC
(0,9),-8.48134 # DEPENDENCYPART_ARC
(0,10),-7.74174 # DEPENDENCYPART_ARC
(0,11),-7.96494 # DEPENDENCYPART_ARC
(0,12),-8.63189 # DEPENDENCYPART_ARC
(0,13),-8.72617 # DEPENDENCYPART_ARC
(0,14),-8.8976 # DEPENDENCYPART_ARC
(0,15),-8.05785 # DEPENDENCYPART_ARC
(0,16),-7.08364 # DEPENDENCYPART_ARC
(0,17),-7.52706 # DEPENDENCYPART_ARC
(0,18),-3.11655 # DEPENDENCYPART_ARC
(0,19),-8.40104 # DEPENDENCYPART_ARC
(0,20),-8.299 # DEPENDENCYPART_ARC
(0,21),-7.88062 # DEPENDENCYPART_ARC
(0,22),-8.48999 # DEPENDENCYPART_ARC
(0,23),-9.57996 # DEPENDENCYPART_ARC
(0,24),-8.76932 # DEPENDENCYPART_ARC
(0,25),-9.28426 # DEPENDENCYPART_ARC
(0,26),-6.60958 # DEPENDENCYPART_ARC
(1,2),-0.78693 # DEPENDENCYPART_ARC
(1,3),0.585153 # DEPENDENCYPART_ARC
(1,4),-0.956978 # DEPENDENCYPART_ARC
(1,5),-0.712543 # DEPENDENCYPART_ARC
(1,6),-1.41694 # DEPENDENCYPART_ARC
(1,7),-2.15223 # DEPENDENCYPART_ARC
(1,8),-2.13978 # DEPENDENCYPART_ARC
(1,9),-1.86452 # DEPENDENCYPART_ARC
(1,10),-0.943726 # DEPENDENCYPART_ARC
(1,11),-2.53708 # DEPENDENCYPART_ARC
(1,12),-2.84414 # DEPENDENCYPART_ARC
(1,13),-2.94467 # DEPENDENCYPART_ARC
(1,14),-3.31469 # DEPENDENCYPART_ARC
(1,15),-1.00323 # DEPENDENCYPART_ARC
(1,16),-3.53209 # DEPENDENCYPART_ARC
(1,17),-3.14675 # DEPENDENCYPART_ARC
(1,18),-3.15611 # DEPENDENCYPART_ARC
(1,19),-3.44605 # DEPENDENCYPART_ARC
(1,20),-3.94316 # DEPENDENCYPART_ARC
(1,21),-3.31541 # DEPENDENCYPART_ARC
(1,22),-6.43043 # DEPENDENCYPART_ARC
(1,23),-3.8013 # DEPENDENCYPART_ARC
(1,24),-7.14159 # DEPENDENCYPART_ARC
(1,25),-4.25132 # DEPENDENCYPART_ARC
(1,26),-1.8804 # DEPENDENCYPART_ARC
(2,1),6.66871 # DEPENDENCYPART_ARC
(2,3),5.03542 # DEPENDENCYPART_ARC
(2,4),1.45315 # DEPENDENCYPART_ARC
(2,5),0.562076 # DEPENDENCYPART_ARC
(2,6),0.356421 # DEPENDENCYPART_ARC
(2,7),-0.136196 # DEPENDENCYPART_ARC
(2,8),-0.3226 # DEPENDENCYPART_ARC
(2,9),-0.842221 # DEPENDENCYPART_ARC
(2,10),-0.016797 # DEPENDENCYPART_ARC
(2,11),-0.43224 # DEPENDENCYPART_ARC
(2,12),-0.956956 # DEPENDENCYPART_ARC
(2,13),-0.994305 # DEPENDENCYPART_ARC
(2,14),-1.39051 # DEPENDENCYPART_ARC
(2,15),0.424082 # DEPENDENCYPART_ARC
(2,16),-1.10914 # DEPENDENCYPART_ARC
(2,17),-1.25421 # DEPENDENCYPART_ARC
(2,18),-1.29526 # DEPENDENCYPART_ARC
(2,19),-1.60358 # DEPENDENCYPART_ARC
(2,20),-2.16166 # DEPENDENCYPART_ARC
(2,21),-1.49371 # DEPENDENCYPART_ARC
(2,22),-5.23569 # DEPENDENCYPART_ARC
(2,23),-2.15002 # DEPENDENCYPART_ARC
(2,24),-6.03567 # DEPENDENCYPART_ARC
(2,25),-2.41063 # DEPENDENCYPART_ARC
(2,26),-0.264043 # DEPENDENCYPART_ARC
(3,1),0.823292 # DEPENDENCYPART_ARC
(3,2),1.54318 # DEPENDENCYPART_ARC
(3,4),0.0880171 # DEPENDENCYPART_ARC
(3,5),-0.793305 # DEPENDENCYPART_ARC
(3,6),-0.476391 # DEPENDENCYPART_ARC
(3,7),-1.14826 # DEPENDENCYPART_ARC
(3,8),-1.5376 # DEPENDENCYPART_ARC
(3,9),-1.96129 # DEPENDENCYPART_ARC
(3,10),-0.872844 # DEPENDENCYPART_ARC
(3,11),-0.854141 # DEPENDENCYPART_ARC
(3,12),-2.46646 # DEPENDENCYPART_ARC
(3,13),-2.36535 # DEPENDENCYPART_ARC
(3,14),-2.44444 # DEPENDENCYPART_ARC
(3,15),-1.41786 # DEPENDENCYPART_ARC
(3,16),-2.40849 # DEPENDENCYPART_ARC
(3,17),-2.32371 # DEPENDENCYPART_ARC
(3,18),-1.99603 # DEPENDENCYPART_ARC
(3,19),-2.40594 # DEPENDENCYPART_ARC
(3,20),-3.07591 # DEPENDENCYPART_ARC
(3,21),-3.34619 # DEPENDENCYPART_ARC
(3,22),-3.52845 # DEPENDENCYPART_ARC
(3,23),-2.84643 # DEPENDENCYPART_ARC
(3,24),-3.43059 # DEPENDENCYPART_ARC
(3,25),-2.73861 # DEPENDENCYPART_ARC
(3,26),-3.76441 # DEPENDENCYPART_ARC
(4,1),0.77941 # DEPENDENCYPART_ARC
(4,2),0.569348 # DEPENDENCYPART_ARC
(4,3),0.886152 # DEPENDENCYPART_ARC
(4,5),1.10361 # DEPENDENCYPART_ARC
(4,6),0.55383 # DEPENDENCYPART_ARC
(4,7),-0.621041 # DEPENDENCYPART_ARC
(4,8),-0.485042 # DEPENDENCYPART_ARC
(4,9),-0.800424 # DEPENDENCYPART_ARC
(4,10),-0.726549 # DEPENDENCYPART_ARC
(4,11),-0.819572 # DEPENDENCYPART_ARC
(4,12),-1.79975 # DEPENDENCYPART_ARC
(4,13),-1.6937 # DEPENDENCYPART_ARC
