# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,25,20,25,18,11,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.74363 # DEPENDENCYPART_ARC
(0,3),-6.8392 # DEPENDENCYPART_ARC
(0,4),-4.56778 # DEPENDENCYPART_ARC
(0,5),-6.83281 # DEPENDENCYPART_ARC
(0,6),-7.19017 # DEPENDENCYPART_ARC
(0,7),-7.02457 # DEPENDENCYPART_ARC
(0,8),-6.17677 # DEPENDENCYPART_ARC
(0,9),-7.0562 # DEPENDENCYPART_ARC
(0,10),-6.58858 # DEPENDENCYPART_ARC
(0,11),0.941079 # DEPENDENCYPART_ARC
(0,12),-6.47763 # DEPENDENCYPART_ARC
(0,13),-6.51993 # DEPENDENCYPART_ARC
(0,14),-7.49209 # DEPENDENCYPART_ARC
(0,15),-7.92765 # DEPENDENCYPART_ARC
(0,16),-6.38324 # DEPENDENCYPART_ARC
(0,17),-6.6052 # DEPENDENCYPART_ARC
(0,18),-7.52474 # DEPENDENCYPART_ARC
(0,19),-8.8961 # DEPENDENCYPART_ARC
(0,20),-7.73469 # DEPENDENCYPART_ARC
(0,21),-9.57704 # DEPENDENCYPART_ARC
(0,22),-7.87113 # DEPENDENCYPART_ARC
(0,23),-10.2285 # DEPENDENCYPART_ARC
(0,24),-8.12447 # DEPENDENCYPART_ARC
(0,25),-7.48942 # DEPENDENCYPART_ARC
(0,26),-5.21054 # DEPENDENCYPART_ARC
(1,2),-1.35795 # DEPENDENCYPART_ARC
(1,3),-2.30121 # DEPENDENCYPART_ARC
(1,4),-1.90378 # DEPENDENCYPART_ARC
(1,5),-2.41842 # DEPENDENCYPART_ARC
(1,6),-3.04859 # DEPENDENCYPART_ARC
