# _root_ Fidelity , for example , prepared ads several months ago in case of a market plunge .
#goldHeads=6,6,6,3,6,0,6,9,10,6,6,11,12,16,16,13,6,
#predictedHeads=6,1,6,3,7,0,6,9,10,6,6,11,12,16,16,13,6,
(0,1),-6.49646 # DEPENDENCYPART_ARC
(0,2),-6.93781 # DEPENDENCYPART_ARC
(0,3),-6.72068 # DEPENDENCYPART_ARC
(0,4),-6.54459 # DEPENDENCYPART_ARC
(0,5),-7.27812 # DEPENDENCYPART_ARC
(0,6),-4.42142 # DEPENDENCYPART_ARC
(0,7),-5.72769 # DEPENDENCYPART_ARC
(0,8),-6.1657 # DEPENDENCYPART_ARC
(0,9),-6.3504 # DEPENDENCYPART_ARC
(0,10),-8.20689 # DEPENDENCYPART_ARC
(0,11),-7.891 # DEPENDENCYPART_ARC
(0,12),-6.77356 # DEPENDENCYPART_ARC
(0,13),-8.06727 # DEPENDENCYPART_ARC
(0,14),-8.26265 # DEPENDENCYPART_ARC
(0,15),-6.69577 # DEPENDENCYPART_ARC
(0,16),-6.53718 # DEPENDENCYPART_ARC
(0,17),-6.93195 # DEPENDENCYPART_ARC
(1,2),1.61413 # DEPENDENCYPART_ARC
(1,3),0.710405 # DEPENDENCYPART_ARC
(1,4),1.24892 # DEPENDENCYPART_ARC
(1,5),1.16901 # DEPENDENCYPART_ARC
(1,6),0.284259 # DEPENDENCYPART_ARC
(1,7),-0.477671 # DEPENDENCYPART_ARC
(1,8),-0.324101 # DEPENDENCYPART_ARC
(1,9),-0.633034 # DEPENDENCYPART_ARC
(1,10),-0.566799 # DEPENDENCYPART_ARC
(1,11),-1.41245 # DEPENDENCYPART_ARC
(1,12),-1.53087 # DEPENDENCYPART_ARC
(1,13),-2.13691 # DEPENDENCYPART_ARC
(1,14),-1.53129 # DEPENDENCYPART_ARC
(1,15),-2.4362 # DEPENDENCYPART_ARC
(1,16),-2.7251 # DEPENDENCYPART_ARC
(1,17),0.842699 # DEPENDENCYPART_ARC
(2,1),-0.942206 # DEPENDENCYPART_ARC
(2,3),-0.438154 # DEPENDENCYPART_ARC
(2,4),-0.805688 # DEPENDENCYPART_ARC
(2,5),0.283545 # DEPENDENCYPART_ARC
(2,6),-1.2931 # DEPENDENCYPART_ARC
(2,7),-1.53211 # DEPENDENCYPART_ARC
(2,8),-1.76525 # DEPENDENCYPART_ARC
(2,9),-2.00674 # DEPENDENCYPART_ARC
(2,10),-1.8484 # DEPENDENCYPART_ARC
(2,11),-1.58303 # DEPENDENCYPART_ARC
(2,12),-2.47986 # DEPENDENCYPART_ARC
(2,13),-1.60189 # DEPENDENCYPART_ARC
