# _root_ `` We went down 3\/4 point in 10 minutes right before lunch , then after lunch we went up 3\/4 point in 12 minutes , '' he said .
#goldHeads=3,3,28,3,6,4,3,9,7,11,3,11,3,18,18,15,18,3,18,21,19,18,24,22,3,3,28,0,28,
#predictedHeads=28,3,28,3,6,4,3,9,7,11,3,11,3,15,3,15,18,15,18,21,19,18,24,22,28,28,28,0,28,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.44019 # DEPENDENCYPART_ARC
(0,3),-4.09995 # DEPENDENCYPART_ARC
(0,4),-6.62948 # DEPENDENCYPART_ARC
(0,5),-7.5375 # DEPENDENCYPART_ARC
(0,6),-6.20395 # DEPENDENCYPART_ARC
(0,7),-7.1047 # DEPENDENCYPART_ARC
(0,8),-8.11452 # DEPENDENCYPART_ARC
(0,9),-6.93414 # DEPENDENCYPART_ARC
(0,10),-7.34976 # DEPENDENCYPART_ARC
(0,11),-6.88304 # DEPENDENCYPART_ARC
(0,12),-6.09104 # DEPENDENCYPART_ARC
(0,13),-7.54846 # DEPENDENCYPART_ARC
(0,14),-7.9953 # DEPENDENCYPART_ARC
(0,15),-6.9912 # DEPENDENCYPART_ARC
(0,16),-6.38296 # DEPENDENCYPART_ARC
(0,17),-6.07123 # DEPENDENCYPART_ARC
(0,18),-4.95069 # DEPENDENCYPART_ARC
(0,19),-8.17597 # DEPENDENCYPART_ARC
(0,20),-9.31234 # DEPENDENCYPART_ARC
(0,21),-6.04854 # DEPENDENCYPART_ARC
(0,22),-8.5885 # DEPENDENCYPART_ARC
(0,23),-9.68418 # DEPENDENCYPART_ARC
(0,24),-7.69242 # DEPENDENCYPART_ARC
(0,25),-9.42099 # DEPENDENCYPART_ARC
(0,26),-7.81384 # DEPENDENCYPART_ARC
(0,27),-5.29894 # DEPENDENCYPART_ARC
(0,28),0.173005 # DEPENDENCYPART_ARC
(0,29),-5.89687 # DEPENDENCYPART_ARC
(1,2),-1.46934 # DEPENDENCYPART_ARC
(1,3),-1.6555 # DEPENDENCYPART_ARC
(1,4),-2.08359 # DEPENDENCYPART_ARC
(1,5),-2.59238 # DEPENDENCYPART_ARC
(1,6),-2.68876 # DEPENDENCYPART_ARC
(1,7),-2.65282 # DEPENDENCYPART_ARC
(1,8),-3.21515 # DEPENDENCYPART_ARC
(1,9),-3.44199 # DEPENDENCYPART_ARC
(1,10),-2.87149 # DEPENDENCYPART_ARC
(1,11),-3.09437 # DEPENDENCYPART_ARC
(1,12),-3.11958 # DEPENDENCYPART_ARC
(1,13),-2.66255 # DEPENDENCYPART_ARC
(1,14),-3.28856 # DEPENDENCYPART_ARC
(1,15),-3.54648 # DEPENDENCYPART_ARC
(1,16),-3.31879 # DEPENDENCYPART_ARC
(1,17),-3.7307 # DEPENDENCYPART_ARC
(1,18),-3.67815 # DEPENDENCYPART_ARC
(1,19),-3.80131 # DEPENDENCYPART_ARC
(1,20),-4.45249 # DEPENDENCYPART_ARC
(1,21),-3.68272 # DEPENDENCYPART_ARC
(1,22),-4.29286 # DEPENDENCYPART_ARC
(1,23),-4.6814 # DEPENDENCYPART_ARC
(1,24),-4.96187 # DEPENDENCYPART_ARC
(1,25),-3.98292 # DEPENDENCYPART_ARC
(1,26),-1.90037 # DEPENDENCYPART_ARC
(1,27),-4.80141 # DEPENDENCYPART_ARC
(1,28),-4.70989 # DEPENDENCYPART_ARC
(1,29),-3.90373 # DEPENDENCYPART_ARC
(2,1),-0.191403 # DEPENDENCYPART_ARC
(2,3),1.06599 # DEPENDENCYPART_ARC
(2,4),-0.0746372 # DEPENDENCYPART_ARC
(2,5),-0.395924 # DEPENDENCYPART_ARC
(2,6),-0.437283 # DEPENDENCYPART_ARC
(2,7),-0.377671 # DEPENDENCYPART_ARC
(2,8),-1.1803 # DEPENDENCYPART_ARC
(2,9),-0.702462 # DEPENDENCYPART_ARC
(2,10),-0.904823 # DEPENDENCYPART_ARC
(2,11),-0.672049 # DEPENDENCYPART_ARC
(2,12),-1.10644 # DEPENDENCYPART_ARC
(2,13),-0.462817 # DEPENDENCYPART_ARC
(2,14),-1.35618 # DEPENDENCYPART_ARC
(2,15),-1.35974 # DEPENDENCYPART_ARC
(2,16),-1.5417 # DEPENDENCYPART_ARC
(2,17),-1.22614 # DEPENDENCYPART_ARC
(2,18),-1.68841 # DEPENDENCYPART_ARC
(2,19),-1.90603 # DEPENDENCYPART_ARC
(2,20),-2.48859 # DEPENDENCYPART_ARC
(2,21),-2.20271 # DEPENDENCYPART_ARC
(2,22),-2.33995 # DEPENDENCYPART_ARC
(2,23),-2.65824 # DEPENDENCYPART_ARC
(2,24),-2.34808 # DEPENDENCYPART_ARC
(2,25),-1.55646 # DEPENDENCYPART_ARC
(2,26),-1.66912 # DEPENDENCYPART_ARC
(2,27),-2.27352 # DEPENDENCYPART_ARC
(2,28),-2.61619 # DEPENDENCYPART_ARC
(2,29),-1.98972 # DEPENDENCYPART_ARC
(3,1),2.20494 # DEPENDENCYPART_ARC
(3,2),3.72064 # DEPENDENCYPART_ARC
(3,4),3.08078 # DEPENDENCYPART_ARC
(3,5),1.31075 # DEPENDENCYPART_ARC
(3,6),2.19211 # DEPENDENCYPART_ARC
(3,7),3.98427 # DEPENDENCYPART_ARC
(3,8),0.429155 # DEPENDENCYPART_ARC
(3,9),0.933399 # DEPENDENCYPART_ARC
(3,10),1.59917 # DEPENDENCYPART_ARC
(3,11),3.21766 # DEPENDENCYPART_ARC
(3,12),-0.276362 # DEPENDENCYPART_ARC
(3,13),2.69249 # DEPENDENCYPART_ARC
(3,14),1.91271 # DEPENDENCYPART_ARC
(3,15),2.19653 # DEPENDENCYPART_ARC
(3,16),-1.76568 # DEPENDENCYPART_ARC
(3,17),-0.11754 # DEPENDENCYPART_ARC
(3,18),0.0583822 # DEPENDENCYPART_ARC
(3,19),0.0560495 # DEPENDENCYPART_ARC
(3,20),-1.35812 # DEPENDENCYPART_ARC
(3,21),-1.24768 # DEPENDENCYPART_ARC
(3,22),1.14115 # DEPENDENCYPART_ARC
(3,23),-1.50442 # DEPENDENCYPART_ARC
(3,24),-2.32155 # DEPENDENCYPART_ARC
(3,25),2.0909 # DEPENDENCYPART_ARC
(3,26),2.59054 # DEPENDENCYPART_ARC
(3,27),-1.7429 # DEPENDENCYPART_ARC
(3,28),-1.34505 # DEPENDENCYPART_ARC
(3,29),6.19495 # DEPENDENCYPART_ARC
(4,1),-0.0831984 # DEPENDENCYPART_ARC
(4,2),0.233633 # DEPENDENCYPART_ARC
(4,3),0.410959 # DEPENDENCYPART_ARC
(4,5),2.41774 # DEPENDENCYPART_ARC
(4,6),2.8179 # DEPENDENCYPART_ARC
(4,7),1.41694 # DEPENDENCYPART_ARC
(4,8),1.12714 # DEPENDENCYPART_ARC
(4,9),1.06082 # DEPENDENCYPART_ARC
(4,10),-0.648664 # DEPENDENCYPART_ARC
(4,11),0.314007 # DEPENDENCYPART_ARC
(4,12),-0.333747 # DEPENDENCYPART_ARC
(4,13),0.552398 # DEPENDENCYPART_ARC
(4,14),-0.606944 # DEPENDENCYPART_ARC
(4,15),-0.363768 # DEPENDENCYPART_ARC
(4,16),-1.49974 # DEPENDENCYPART_ARC
(4,17),-0.765112 # DEPENDENCYPART_ARC
(4,18),-1.1161 # DEPENDENCYPART_ARC
(4,19),-1.30332 # DEPENDENCYPART_ARC
(4,20),-2.93393 # DEPENDENCYPART_ARC
(4,21),-0.661314 # DEPENDENCYPART_ARC
(4,22),-0.460232 # DEPENDENCYPART_ARC
(4,23),-2.26168 # DEPENDENCYPART_ARC
(4,24),-0.754577 # DEPENDENCYPART_ARC
(4,25),0.107056 # DEPENDENCYPART_ARC
(4,26),-0.0265825 # DEPENDENCYPART_ARC
(4,27),-1.74584 # DEPENDENCYPART_ARC
(4,28),-3.03186 # DEPENDENCYPART_ARC
(4,29),0.386926 # DEPENDENCYPART_ARC
(5,1),-0.770188 # DEPENDENCYPART_ARC
(5,2),-0.795412 # DEPENDENCYPART_ARC
