# _root_ The new expiration date is the date on which DIG 's financing commitments , which total about $ 240 million , are to expire .
#goldHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
#predictedHeads=4,4,4,5,0,7,5,24,8,13,10,13,8,7,16,13,18,16,18,18,13,7,22,23,5,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-6.24027 # DEPENDENCYPART_ARC
(0,3),-6.06502 # DEPENDENCYPART_ARC
(0,4),-6.28704 # DEPENDENCYPART_ARC
(0,5),-2.61826 # DEPENDENCYPART_ARC
(0,6),-7.30252 # DEPENDENCYPART_ARC
(0,7),-7.49647 # DEPENDENCYPART_ARC
(0,8),-7.38795 # DEPENDENCYPART_ARC
(0,9),-7.20577 # DEPENDENCYPART_ARC
(0,10),-6.33932 # DEPENDENCYPART_ARC
(0,11),-7.15884 # DEPENDENCYPART_ARC
(0,12),-6.52423 # DEPENDENCYPART_ARC
(0,13),-5.99989 # DEPENDENCYPART_ARC
(0,14),-7.66516 # DEPENDENCYPART_ARC
(0,15),-7.54756 # DEPENDENCYPART_ARC
(0,16),-4.78181 # DEPENDENCYPART_ARC
(0,17),-7.97706 # DEPENDENCYPART_ARC
(0,18),-8.90396 # DEPENDENCYPART_ARC
(0,19),-8.97872 # DEPENDENCYPART_ARC
(0,20),-9.09194 # DEPENDENCYPART_ARC
(0,21),-8.54138 # DEPENDENCYPART_ARC
(0,22),-2.99339 # DEPENDENCYPART_ARC
(0,23),-8.85528 # DEPENDENCYPART_ARC
(0,24),-6.44813 # DEPENDENCYPART_ARC
(0,25),-5.14854 # DEPENDENCYPART_ARC
(1,2),-0.257737 # DEPENDENCYPART_ARC
(1,3),-0.813588 # DEPENDENCYPART_ARC
(1,4),-1.02222 # DEPENDENCYPART_ARC
(1,5),-1.00899 # DEPENDENCYPART_ARC
(1,6),-2.32251 # DEPENDENCYPART_ARC
(1,7),-1.84435 # DEPENDENCYPART_ARC
(1,8),-2.06233 # DEPENDENCYPART_ARC
(1,9),-2.66251 # DEPENDENCYPART_ARC
(1,10),-2.46428 # DEPENDENCYPART_ARC
(1,11),-2.61401 # DEPENDENCYPART_ARC
(1,12),-2.23036 # DEPENDENCYPART_ARC
(1,13),-2.64283 # DEPENDENCYPART_ARC
(1,14),-1.32312 # DEPENDENCYPART_ARC
(1,15),-3.39742 # DEPENDENCYPART_ARC
(1,16),-1.96315 # DEPENDENCYPART_ARC
(1,17),-3.00996 # DEPENDENCYPART_ARC
(1,18),-3.98332 # DEPENDENCYPART_ARC
(1,19),-3.30092 # DEPENDENCYPART_ARC
(1,20),-3.25748 # DEPENDENCYPART_ARC
(1,21),-1.87155 # DEPENDENCYPART_ARC
(1,22),-3.26819 # DEPENDENCYPART_ARC
(1,23),-3.53583 # DEPENDENCYPART_ARC
(1,24),-4.10193 # DEPENDENCYPART_ARC
(1,25),-2.45368 # DEPENDENCYPART_ARC
(2,1),1.26818 # DEPENDENCYPART_ARC
(2,3),0.930712 # DEPENDENCYPART_ARC
(2,4),-0.0874132 # DEPENDENCYPART_ARC
(2,5),-0.0493156 # DEPENDENCYPART_ARC
