# _root_ While Mayor Norman found the market 's performance Monday reassuring , he says , he remains uneasy .
#goldHeads=16,3,4,1,6,8,6,4,10,4,13,13,0,13,16,13,16,16,
#predictedHeads=16,3,4,1,6,8,6,4,4,9,13,13,0,13,16,13,16,4,
(0,1),-7.01741 # DEPENDENCYPART_ARC
(0,2),-6.25106 # DEPENDENCYPART_ARC
(0,3),-4.70549 # DEPENDENCYPART_ARC
(0,4),-3.15093 # DEPENDENCYPART_ARC
(0,5),-7.98334 # DEPENDENCYPART_ARC
(0,6),-7.28657 # DEPENDENCYPART_ARC
(0,7),-8.4699 # DEPENDENCYPART_ARC
(0,8),-7.25333 # DEPENDENCYPART_ARC
(0,9),-7.69307 # DEPENDENCYPART_ARC
(0,10),-6.54798 # DEPENDENCYPART_ARC
(0,11),-7.78628 # DEPENDENCYPART_ARC
(0,12),-5.84667 # DEPENDENCYPART_ARC
(0,13),-1.91412 # DEPENDENCYPART_ARC
(0,14),-8.1265 # DEPENDENCYPART_ARC
(0,15),-5.83096 # DEPENDENCYPART_ARC
(0,16),-2.27148 # DEPENDENCYPART_ARC
(0,17),-7.39398 # DEPENDENCYPART_ARC
(0,18),-5.27658 # DEPENDENCYPART_ARC
(1,2),0.981482 # DEPENDENCYPART_ARC
(1,3),0.73232 # DEPENDENCYPART_ARC
(1,4),4.61035 # DEPENDENCYPART_ARC
(1,5),-1.45663 # DEPENDENCYPART_ARC
(1,6),-3.58326 # DEPENDENCYPART_ARC
(1,7),-1.1559 # DEPENDENCYPART_ARC
(1,8),-3.36776 # DEPENDENCYPART_ARC
(1,9),-3.36528 # DEPENDENCYPART_ARC
(1,10),0.260687 # DEPENDENCYPART_ARC
(1,11),0.643087 # DEPENDENCYPART_ARC
(1,12),-2.34582 # DEPENDENCYPART_ARC
(1,13),1.39499 # DEPENDENCYPART_ARC
(1,14),0.377598 # DEPENDENCYPART_ARC
(1,15),-2.74939 # DEPENDENCYPART_ARC
(1,16),-0.28661 # DEPENDENCYPART_ARC
(1,17),-2.50695 # DEPENDENCYPART_ARC
(1,18),0.959599 # DEPENDENCYPART_ARC
(2,1),-0.983406 # DEPENDENCYPART_ARC
(2,3),1.82911 # DEPENDENCYPART_ARC
(2,4),-1.63961 # DEPENDENCYPART_ARC
(2,5),-1.63003 # DEPENDENCYPART_ARC
(2,6),-2.11268 # DEPENDENCYPART_ARC
(2,7),-1.31192 # DEPENDENCYPART_ARC
(2,8),-2.34743 # DEPENDENCYPART_ARC
(2,9),-2.94284 # DEPENDENCYPART_ARC
(2,10),-2.34237 # DEPENDENCYPART_ARC
(2,11),-1.24744 # DEPENDENCYPART_ARC
(2,12),-2.83246 # DEPENDENCYPART_ARC
(2,13),-2.71395 # DEPENDENCYPART_ARC
(2,14),-2.03279 # DEPENDENCYPART_ARC
(2,15),-3.26218 # DEPENDENCYPART_ARC
(2,16),-3.72034 # DEPENDENCYPART_ARC
(2,17),-3.39755 # DEPENDENCYPART_ARC
