# _root_ Church 's Fried Chicken Inc. and Popeye 's Famous Fried Chicken Inc. , which have merged , are still troubled by overlapping restaurant locations .
#goldHeads=4,1,4,18,4,4,11,7,11,11,6,11,4,15,4,15,4,0,18,18,20,24,24,21,18,
#predictedHeads=4,1,4,18,4,4,6,7,11,11,6,11,11,15,11,15,11,0,18,18,20,24,24,21,18,
(0,1),-6.22156 # DEPENDENCYPART_ARC
(0,2),-6.93395 # DEPENDENCYPART_ARC
(0,3),-6.16739 # DEPENDENCYPART_ARC
(0,4),-6.2277 # DEPENDENCYPART_ARC
(0,5),-6.63865 # DEPENDENCYPART_ARC
(0,6),-7.65879 # DEPENDENCYPART_ARC
(0,7),-8.37488 # DEPENDENCYPART_ARC
(0,8),-10.1575 # DEPENDENCYPART_ARC
(0,9),-8.5117 # DEPENDENCYPART_ARC
(0,10),-8.40285 # DEPENDENCYPART_ARC
(0,11),-8.62576 # DEPENDENCYPART_ARC
(0,12),-8.65185 # DEPENDENCYPART_ARC
(0,13),-7.7158 # DEPENDENCYPART_ARC
(0,14),-7.89196 # DEPENDENCYPART_ARC
(0,15),-4.13271 # DEPENDENCYPART_ARC
(0,16),-4.91386 # DEPENDENCYPART_ARC
(0,17),-8.13171 # DEPENDENCYPART_ARC
(0,18),-3.00082 # DEPENDENCYPART_ARC
(0,19),-7.98641 # DEPENDENCYPART_ARC
(0,20),-4.95834 # DEPENDENCYPART_ARC
(0,21),-10.4831 # DEPENDENCYPART_ARC
(0,22),-7.06128 # DEPENDENCYPART_ARC
(0,23),-9.57279 # DEPENDENCYPART_ARC
(0,24),-6.77503 # DEPENDENCYPART_ARC
(0,25),-7.76917 # DEPENDENCYPART_ARC
(1,2),4.36871 # DEPENDENCYPART_ARC
(1,3),1.25582 # DEPENDENCYPART_ARC
(1,4),0.788781 # DEPENDENCYPART_ARC
(1,5),1.84599 # DEPENDENCYPART_ARC
(1,6),1.37891 # DEPENDENCYPART_ARC
(1,7),-0.8859 # DEPENDENCYPART_ARC
(1,8),0.908288 # DEPENDENCYPART_ARC
(1,9),-0.575873 # DEPENDENCYPART_ARC
(1,10),-0.544613 # DEPENDENCYPART_ARC
(1,11),-0.613298 # DEPENDENCYPART_ARC
(1,12),-1.19086 # DEPENDENCYPART_ARC
(1,13),1.58763 # DEPENDENCYPART_ARC
(1,14),-2.17627 # DEPENDENCYPART_ARC
(1,15),0.0792174 # DEPENDENCYPART_ARC
(1,16),-0.467836 # DEPENDENCYPART_ARC
(1,17),1.59346 # DEPENDENCYPART_ARC
(1,18),0.107641 # DEPENDENCYPART_ARC
(1,19),-1.61731 # DEPENDENCYPART_ARC
(1,20),-0.882073 # DEPENDENCYPART_ARC
(1,21),-1.54805 # DEPENDENCYPART_ARC
(1,22),-1.43737 # DEPENDENCYPART_ARC
(1,23),-1.67362 # DEPENDENCYPART_ARC
(1,24),-1.18513 # DEPENDENCYPART_ARC
(1,25),-0.543575 # DEPENDENCYPART_ARC
(2,1),0.886744 # DEPENDENCYPART_ARC
(2,3),-0.209228 # DEPENDENCYPART_ARC
(2,4),-0.791707 # DEPENDENCYPART_ARC
(2,5),-1.11701 # DEPENDENCYPART_ARC
(2,6),-0.607443 # DEPENDENCYPART_ARC
