# _root_ `` In the U.S. market , the recognition of the Manpower name is infinitely stronger than Blue Arrow , '' Mr. Fromstein said .
#goldHeads=13,13,5,5,2,13,8,13,8,12,12,9,23,15,13,15,18,16,13,13,22,23,0,23,
#predictedHeads=23,13,5,5,2,13,8,13,8,12,12,9,23,15,13,15,18,16,23,23,22,23,0,23,
(0,1),-6.40454 # DEPENDENCYPART_ARC
(0,2),-6.74657 # DEPENDENCYPART_ARC
(0,3),-6.88278 # DEPENDENCYPART_ARC
(0,4),-6.19343 # DEPENDENCYPART_ARC
(0,5),-6.34754 # DEPENDENCYPART_ARC
(0,6),-6.62558 # DEPENDENCYPART_ARC
(0,7),-7.36902 # DEPENDENCYPART_ARC
(0,8),-6.65331 # DEPENDENCYPART_ARC
(0,9),-7.54648 # DEPENDENCYPART_ARC
(0,10),-7.8476 # DEPENDENCYPART_ARC
(0,11),-6.69777 # DEPENDENCYPART_ARC
(0,12),-6.563 # DEPENDENCYPART_ARC
(0,13),-3.51768 # DEPENDENCYPART_ARC
(0,14),-7.5463 # DEPENDENCYPART_ARC
(0,15),-6.1681 # DEPENDENCYPART_ARC
(0,16),-7.81705 # DEPENDENCYPART_ARC
(0,17),-7.03659 # DEPENDENCYPART_ARC
(0,18),-7.1112 # DEPENDENCYPART_ARC
(0,19),-8.51164 # DEPENDENCYPART_ARC
(0,20),-7.29307 # DEPENDENCYPART_ARC
(0,21),-7.90749 # DEPENDENCYPART_ARC
(0,22),-7.15404 # DEPENDENCYPART_ARC
(0,23),1.80842 # DEPENDENCYPART_ARC
(0,24),-4.68345 # DEPENDENCYPART_ARC
(1,2),-1.73442 # DEPENDENCYPART_ARC
(1,3),-2.33884 # DEPENDENCYPART_ARC
(1,4),-1.99022 # DEPENDENCYPART_ARC
(1,5),-2.55682 # DEPENDENCYPART_ARC
(1,6),-2.11352 # DEPENDENCYPART_ARC
(1,7),-3.05522 # DEPENDENCYPART_ARC
(1,8),-3.05332 # DEPENDENCYPART_ARC
(1,9),-2.92356 # DEPENDENCYPART_ARC
(1,10),-3.38458 # DEPENDENCYPART_ARC
(1,11),-3.22911 # DEPENDENCYPART_ARC
(1,12),-3.20812 # DEPENDENCYPART_ARC
(1,13),-3.14867 # DEPENDENCYPART_ARC
(1,14),-3.21332 # DEPENDENCYPART_ARC
(1,15),-3.57417 # DEPENDENCYPART_ARC
(1,16),-3.57912 # DEPENDENCYPART_ARC
(1,17),-3.85693 # DEPENDENCYPART_ARC
(1,18),-3.97408 # DEPENDENCYPART_ARC
(1,19),-3.2165 # DEPENDENCYPART_ARC
(1,20),-2.00722 # DEPENDENCYPART_ARC
(1,21),-4.26097 # DEPENDENCYPART_ARC
(1,22),-4.34297 # DEPENDENCYPART_ARC
(1,23),-3.98431 # DEPENDENCYPART_ARC
(1,24),-3.33802 # DEPENDENCYPART_ARC
(2,1),0.0365292 # DEPENDENCYPART_ARC
(2,3),0.386975 # DEPENDENCYPART_ARC
(2,4),2.84936 # DEPENDENCYPART_ARC
(2,5),4.07386 # DEPENDENCYPART_ARC
(2,6),0.79839 # DEPENDENCYPART_ARC
(2,7),-1.40664 # DEPENDENCYPART_ARC
(2,8),-0.745741 # DEPENDENCYPART_ARC
(2,9),-0.689392 # DEPENDENCYPART_ARC
(2,10),-2.05278 # DEPENDENCYPART_ARC
(2,11),-3.16717 # DEPENDENCYPART_ARC
(2,12),-2.27652 # DEPENDENCYPART_ARC
(2,13),-2.02223 # DEPENDENCYPART_ARC
(2,14),-1.0092 # DEPENDENCYPART_ARC
(2,15),-1.00115 # DEPENDENCYPART_ARC
(2,16),-0.346376 # DEPENDENCYPART_ARC
(2,17),-5.85078 # DEPENDENCYPART_ARC
(2,18),-4.78291 # DEPENDENCYPART_ARC
(2,19),-0.0298839 # DEPENDENCYPART_ARC
(2,20),-1.10903 # DEPENDENCYPART_ARC
(2,21),-7.76139 # DEPENDENCYPART_ARC
(2,22),-6.72305 # DEPENDENCYPART_ARC
(2,23),-1.72764 # DEPENDENCYPART_ARC
(2,24),0.126452 # DEPENDENCYPART_ARC
(3,1),-2.3311 # DEPENDENCYPART_ARC
(3,2),-1.36409 # DEPENDENCYPART_ARC
(3,4),-0.734194 # DEPENDENCYPART_ARC
(3,5),-0.442201 # DEPENDENCYPART_ARC
(3,6),-1.09566 # DEPENDENCYPART_ARC
(3,7),-2.13307 # DEPENDENCYPART_ARC
(3,8),-1.16805 # DEPENDENCYPART_ARC
(3,9),-1.24419 # DEPENDENCYPART_ARC
(3,10),-2.38865 # DEPENDENCYPART_ARC
(3,11),-2.51469 # DEPENDENCYPART_ARC
(3,12),-1.78023 # DEPENDENCYPART_ARC
(3,13),-3.11193 # DEPENDENCYPART_ARC
(3,14),-2.28222 # DEPENDENCYPART_ARC
(3,15),-2.86506 # DEPENDENCYPART_ARC
(3,16),-2.40925 # DEPENDENCYPART_ARC
(3,17),-3.09647 # DEPENDENCYPART_ARC
(3,18),-3.0022 # DEPENDENCYPART_ARC
(3,19),-2.29432 # DEPENDENCYPART_ARC
(3,20),-2.48367 # DEPENDENCYPART_ARC
(3,21),-3.36498 # DEPENDENCYPART_ARC
(3,22),-3.39366 # DEPENDENCYPART_ARC
(3,23),-4.22011 # DEPENDENCYPART_ARC
(3,24),-3.02578 # DEPENDENCYPART_ARC
(4,1),-0.790594 # DEPENDENCYPART_ARC
(4,2),-0.522848 # DEPENDENCYPART_ARC
(4,3),2.41911 # DEPENDENCYPART_ARC
(4,5),0.535347 # DEPENDENCYPART_ARC
(4,6),-0.0431938 # DEPENDENCYPART_ARC
(4,7),-0.918001 # DEPENDENCYPART_ARC
(4,8),-1.14721 # DEPENDENCYPART_ARC
(4,9),-1.03399 # DEPENDENCYPART_ARC
(4,10),-1.33026 # DEPENDENCYPART_ARC
(4,11),-2.34335 # DEPENDENCYPART_ARC
(4,12),-2.09389 # DEPENDENCYPART_ARC
(4,13),-1.31883 # DEPENDENCYPART_ARC
(4,14),-2.23882 # DEPENDENCYPART_ARC
(4,15),-2.37263 # DEPENDENCYPART_ARC
(4,16),-2.19852 # DEPENDENCYPART_ARC
(4,17),-3.44553 # DEPENDENCYPART_ARC
(4,18),-2.92024 # DEPENDENCYPART_ARC
(4,19),-0.656948 # DEPENDENCYPART_ARC
(4,20),-0.79296 # DEPENDENCYPART_ARC
(4,21),-3.88367 # DEPENDENCYPART_ARC
(4,22),-3.58756 # DEPENDENCYPART_ARC
(4,23),-3.04954 # DEPENDENCYPART_ARC
(4,24),-2.30676 # DEPENDENCYPART_ARC
(5,1),0.0553629 # DEPENDENCYPART_ARC
(5,2),0.714576 # DEPENDENCYPART_ARC
(5,3),4.73962 # DEPENDENCYPART_ARC
(5,4),4.65075 # DEPENDENCYPART_ARC
(5,6),1.61737 # DEPENDENCYPART_ARC
(5,7),-0.250395 # DEPENDENCYPART_ARC
(5,8),0.58436 # DEPENDENCYPART_ARC
(5,9),0.340902 # DEPENDENCYPART_ARC
(5,10),-0.778721 # DEPENDENCYPART_ARC
(5,11),-0.433354 # DEPENDENCYPART_ARC
(5,12),-0.191386 # DEPENDENCYPART_ARC
(5,13),0.442621 # DEPENDENCYPART_ARC
(5,14),-0.807031 # DEPENDENCYPART_ARC
(5,15),-0.514815 # DEPENDENCYPART_ARC
(5,16),-0.735978 # DEPENDENCYPART_ARC
(5,17),-1.20639 # DEPENDENCYPART_ARC
(5,18),-0.619199 # DEPENDENCYPART_ARC
(5,19),0.573759 # DEPENDENCYPART_ARC
(5,20),0.707084 # DEPENDENCYPART_ARC
(5,21),-1.46264 # DEPENDENCYPART_ARC
(5,22),-1.78262 # DEPENDENCYPART_ARC
(5,23),-1.44887 # DEPENDENCYPART_ARC
(5,24),0.533233 # DEPENDENCYPART_ARC
(6,1),-1.51287 # DEPENDENCYPART_ARC
(6,2),-1.61074 # DEPENDENCYPART_ARC
(6,3),-0.779404 # DEPENDENCYPART_ARC
(6,4),-1.66352 # DEPENDENCYPART_ARC
(6,5),-1.17298 # DEPENDENCYPART_ARC
(6,7),-0.194764 # DEPENDENCYPART_ARC
(6,8),-0.998869 # DEPENDENCYPART_ARC
(6,9),-0.818086 # DEPENDENCYPART_ARC
(6,10),-1.49184 # DEPENDENCYPART_ARC
(6,11),-1.23535 # DEPENDENCYPART_ARC
(6,12),-2.05276 # DEPENDENCYPART_ARC
(6,13),-1.3177 # DEPENDENCYPART_ARC
(6,14),-1.82095 # DEPENDENCYPART_ARC
(6,15),-1.92508 # DEPENDENCYPART_ARC
(6,16),-1.50429 # DEPENDENCYPART_ARC
(6,17),-2.22495 # DEPENDENCYPART_ARC
(6,18),-2.3949 # DEPENDENCYPART_ARC
(6,19),-0.800516 # DEPENDENCYPART_ARC
(6,20),-1.55925 # DEPENDENCYPART_ARC
(6,21),-2.66541 # DEPENDENCYPART_ARC
(6,22),-2.78385 # DEPENDENCYPART_ARC
(6,23),-2.31712 # DEPENDENCYPART_ARC
(6,24),-2.21687 # DEPENDENCYPART_ARC
(7,1),-2.56565 # DEPENDENCYPART_ARC
(7,2),-1.99991 # DEPENDENCYPART_ARC
(7,3),-1.13416 # DEPENDENCYPART_ARC
(7,4),-1.61499 # DEPENDENCYPART_ARC
(7,5),-1.81284 # DEPENDENCYPART_ARC
(7,6),-0.636438 # DEPENDENCYPART_ARC
(7,8),-0.271859 # DEPENDENCYPART_ARC
(7,9),-0.744181 # DEPENDENCYPART_ARC
(7,10),-2.04015 # DEPENDENCYPART_ARC
(7,11),-1.80373 # DEPENDENCYPART_ARC
(7,12),-1.56535 # DEPENDENCYPART_ARC
(7,13),-1.70115 # DEPENDENCYPART_ARC
(7,14),-1.84401 # DEPENDENCYPART_ARC
(7,15),-2.5336 # DEPENDENCYPART_ARC
(7,16),-2.06427 # DEPENDENCYPART_ARC
(7,17),-2.62456 # DEPENDENCYPART_ARC
(7,18),-2.79358 # DEPENDENCYPART_ARC
(7,19),-2.06418 # DEPENDENCYPART_ARC
(7,20),-2.05698 # DEPENDENCYPART_ARC
(7,21),-3.12756 # DEPENDENCYPART_ARC
(7,22),-3.13751 # DEPENDENCYPART_ARC
(7,23),-3.5241 # DEPENDENCYPART_ARC
(7,24),-2.95613 # DEPENDENCYPART_ARC
(8,1),-1.36017 # DEPENDENCYPART_ARC
(8,2),-0.259277 # DEPENDENCYPART_ARC
(8,3),1.20922 # DEPENDENCYPART_ARC
(8,4),0.523173 # DEPENDENCYPART_ARC
(8,5),-0.739152 # DEPENDENCYPART_ARC
(8,6),0.609879 # DEPENDENCYPART_ARC
(8,7),3.87363 # DEPENDENCYPART_ARC
(8,9),3.87284 # DEPENDENCYPART_ARC
(8,10),0.654229 # DEPENDENCYPART_ARC
(8,11),0.95013 # DEPENDENCYPART_ARC
(8,12),1.37061 # DEPENDENCYPART_ARC
(8,13),1.24759 # DEPENDENCYPART_ARC
(8,14),0.54638 # DEPENDENCYPART_ARC
(8,15),0.687537 # DEPENDENCYPART_ARC
(8,16),1.26857 # DEPENDENCYPART_ARC
(8,17),-0.382061 # DEPENDENCYPART_ARC
(8,18),0.405227 # DEPENDENCYPART_ARC
(8,19),0.611821 # DEPENDENCYPART_ARC
(8,20),1.32062 # DEPENDENCYPART_ARC
(8,21),-0.685473 # DEPENDENCYPART_ARC
