# _root_ The 3,000 hours of work will save the state $ 55,000 .
#goldHeads=3,3,6,3,4,0,6,9,7,7,10,6,
#predictedHeads=3,3,6,3,4,0,6,9,7,7,10,6,
(0,1),-6.17175 # DEPENDENCYPART_ARC
(0,2),-6.64996 # DEPENDENCYPART_ARC
(0,3),-6.66525 # DEPENDENCYPART_ARC
(0,4),-6.97844 # DEPENDENCYPART_ARC
(0,5),-5.86653 # DEPENDENCYPART_ARC
(0,6),-3.26645 # DEPENDENCYPART_ARC
(0,7),-5.06994 # DEPENDENCYPART_ARC
(0,8),-7.52287 # DEPENDENCYPART_ARC
(0,9),-5.53765 # DEPENDENCYPART_ARC
(0,10),-8.08372 # DEPENDENCYPART_ARC
(0,11),-8.20439 # DEPENDENCYPART_ARC
(0,12),-4.81701 # DEPENDENCYPART_ARC
(1,2),1.37985 # DEPENDENCYPART_ARC
(1,3),-0.627692 # DEPENDENCYPART_ARC
(1,4),-0.623242 # DEPENDENCYPART_ARC
(1,5),-1.16618 # DEPENDENCYPART_ARC
(1,6),-0.724874 # DEPENDENCYPART_ARC
(1,7),-1.70304 # DEPENDENCYPART_ARC
(1,8),-2.22884 # DEPENDENCYPART_ARC
(1,9),-1.74394 # DEPENDENCYPART_ARC
(1,10),-2.88669 # DEPENDENCYPART_ARC
(1,11),-2.03657 # DEPENDENCYPART_ARC
(1,12),-0.878128 # DEPENDENCYPART_ARC
(2,1),2.08154 # DEPENDENCYPART_ARC
(2,3),0.662187 # DEPENDENCYPART_ARC
(2,4),0.587925 # DEPENDENCYPART_ARC
(2,5),-0.202913 # DEPENDENCYPART_ARC
(2,6),-0.134472 # DEPENDENCYPART_ARC
(2,7),-0.738345 # DEPENDENCYPART_ARC
(2,8),-0.991075 # DEPENDENCYPART_ARC
(2,9),-0.740763 # DEPENDENCYPART_ARC
(2,10),-0.633324 # DEPENDENCYPART_ARC
(2,11),-1.20886 # DEPENDENCYPART_ARC
(2,12),-0.534399 # DEPENDENCYPART_ARC
(3,1),4.21438 # DEPENDENCYPART_ARC
(3,2),3.61165 # DEPENDENCYPART_ARC
(3,4),3.25938 # DEPENDENCYPART_ARC
(3,5),1.70597 # DEPENDENCYPART_ARC
(3,6),1.66315 # DEPENDENCYPART_ARC
(3,7),0.968041 # DEPENDENCYPART_ARC
(3,8),0.137738 # DEPENDENCYPART_ARC
(3,9),1.44566 # DEPENDENCYPART_ARC
(3,10),-0.596611 # DEPENDENCYPART_ARC
(3,11),-0.192887 # DEPENDENCYPART_ARC
(3,12),0.87704 # DEPENDENCYPART_ARC
(4,1),-0.109023 # DEPENDENCYPART_ARC
(4,2),0.0211905 # DEPENDENCYPART_ARC
(4,3),0.841682 # DEPENDENCYPART_ARC
(4,5),4.17679 # DEPENDENCYPART_ARC
(4,6),0.315334 # DEPENDENCYPART_ARC
(4,7),-0.18109 # DEPENDENCYPART_ARC
(4,8),-1.89813 # DEPENDENCYPART_ARC
(4,9),-0.871753 # DEPENDENCYPART_ARC
(4,10),-1.59469 # DEPENDENCYPART_ARC
(4,11),-1.67413 # DEPENDENCYPART_ARC
(4,12),-0.583265 # DEPENDENCYPART_ARC
(5,1),0.939345 # DEPENDENCYPART_ARC
